Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,22.24,22.64,18.75,18.92,18.9,0
2016-11-02,18.86,18.97,17.63,17.94,17.92,0
2016-11-03,17.73,18.05,17.42,17.49,17.47,0
2016-11-04,17.6,17.8,17.51,17.68,17.66,0
2016-11-07,17.9,18.0,17.28,17.34,17.32,0
2016-11-08,17.36,17.55,17.22,17.41,17.39,6537400
2016-11-09,16.95,17.7,16.75,17.53,17.51,0
2016-11-10,17.55,18.53,17.55,18.45,18.43,0
2016-11-11,18.43,18.94,18.31,18.86,18.84,5358700
2016-11-14,18.94,19.12,18.83,19.09,19.06,0
2016-11-15,19.16,19.96,19.16,19.91,19.88,0
2016-11-16,19.75,19.8,19.45,19.61,19.58,0
2016-11-17,19.55,19.62,19.36,19.5,19.47,0
2016-11-18,19.46,19.91,19.37,19.91,19.88,0
2016-11-21,19.89,20.19,19.82,20.18,20.15,0
2016-11-22,20.07,20.28,19.8,19.89,19.86,0
2016-11-23,19.81,20.4,19.71,20.28,20.25,0
2016-11-25,20.32,20.65,20.24,20.53,20.5,0
2016-11-28,20.4,20.43,19.92,20.15,20.12,0
2016-11-29,20.04,20.04,19.51,19.67,19.64,0
2016-11-30,19.59,19.85,19.25,19.28,19.25,0
2016-12-01,19.34,19.82,19.26,19.5,19.47,0
2016-12-02,19.39,19.72,19.35,19.69,19.66,0
2016-12-05,19.64,20.28,19.61,20.26,20.23,0
2016-12-06,19.89,20.34,19.7,20.32,20.29,0
2016-12-07,20.41,20.9,20.38,20.88,20.85,0
2016-12-08,21.01,21.21,20.89,20.91,20.88,0
2016-12-09,21.13,21.82,21.11,21.8,21.77,0
2016-12-12,21.73,22.2,21.51,21.58,21.55,0
2016-12-13,21.57,21.76,20.91,21.19,21.16,0
2016-12-14,20.91,21.39,20.7,20.75,20.72,0
2016-12-15,20.71,21.01,20.43,20.56,20.53,0
2016-12-16,20.49,20.87,20.13,20.26,20.23,0
2016-12-19,20.05,20.2,19.85,20.02,19.99,0
2016-12-20,20.0,20.37,20.0,20.1,20.07,0
2016-12-21,20.02,20.2,19.93,20.02,19.99,0
2016-12-22,19.92,20.13,19.81,20.07,20.04,0
2016-12-23,20.0,20.09,19.67,19.78,19.75,2162800
2016-12-27,19.8,20.13,19.63,19.78,19.75,2424300
2016-12-28,19.69,19.86,19.23,19.25,19.22,3243400
2016-12-29,19.26,19.3,18.68,18.7,18.68,4650500
2016-12-30,18.78,19.08,18.47,18.54,18.52,5054000
2017-01-03,18.74,19.2,18.64,19.19,19.16,4285200
2017-01-04,19.2,19.73,19.01,19.7,19.67,4434700
2017-01-05,19.7,20.2,19.6,20.1,20.07,5409500
2017-01-06,20.15,20.71,20.01,20.63,20.6,5535600
2017-01-09,20.59,20.63,20.29,20.39,20.36,4882200
2017-01-10,20.18,20.93,20.18,20.71,20.68,4311400
2017-01-11,20.73,21.1,20.65,21.1,21.07,4199300
2017-01-12,20.93,21.03,20.5,21.0,20.97,5548700
2017-01-13,20.94,21.23,20.89,21.13,21.1,4616200
2017-01-17,20.7,20.9,20.58,20.74,20.71,3044400
2017-01-18,20.73,20.96,20.63,20.88,20.85,2577400
2017-01-19,20.79,21.35,20.79,21.31,21.28,3684900
2017-01-20,21.3,21.64,21.14,21.29,21.26,5623400
2017-01-23,21.26,21.37,21.09,21.33,21.3,4182800
2017-01-24,21.48,22.4,21.42,22.17,22.14,8308800
2017-01-25,22.36,22.72,22.23,22.69,22.66,3802900
2017-01-26,22.55,22.88,22.31,22.86,22.83,3274100
2017-01-27,22.85,22.88,22.51,22.6,22.57,2702100
2017-01-30,22.62,22.66,22.16,22.5,22.47,3789000
2017-01-31,22.3,22.79,22.13,22.79,22.76,5661300
2017-02-01,23.27,25.5,23.09,25.28,25.25,16385400
2017-02-02,25.01,25.5,24.82,25.2,25.17,8086700
2017-02-03,25.17,25.92,25.17,25.9,25.87,5964100
2017-02-06,25.22,26.31,25.22,26.2,26.17,10249100
2017-02-07,26.2,26.72,26.07,26.62,26.58,7512700
2017-02-08,26.48,27.41,26.33,27.3,27.26,7665900
2017-02-09,27.3,28.14,27.15,27.96,27.92,9069200
2017-02-10,28.23,29.85,28.12,29.62,29.58,11540800
2017-02-13,29.47,29.87,29.05,29.65,29.61,10160800
2017-02-14,29.45,30.16,29.34,29.52,29.48,11884100
2017-02-15,29.34,29.52,29.08,29.21,29.17,5073900
2017-02-16,29.14,29.49,29.06,29.49,29.45,5046900
2017-02-17,29.36,30.08,29.25,29.91,29.87,4651500
2017-02-21,29.67,30.38,29.65,30.29,30.25,3882600
2017-02-22,29.88,30.56,29.88,30.55,30.51,4517000
2017-02-23,30.58,30.69,29.52,29.57,29.53,6950800
2017-02-24,28.99,29.53,28.74,29.32,29.28,4510000
2017-02-27,29.3,29.64,29.11,29.24,29.2,3067100
2017-02-28,29.1,29.38,28.64,28.79,28.75,4143200
2017-03-01,29.3,29.89,29.3,29.54,29.5,3618500
2017-03-02,29.24,29.46,28.52,28.54,28.5,2998200
2017-03-03,28.56,28.79,27.75,28.09,28.05,3623500
2017-03-06,28.01,28.03,27.56,27.7,27.66,3549700
2017-03-07,27.6,27.64,26.65,26.98,26.94,6261900
2017-03-08,26.97,27.19,26.65,26.85,26.81,4092500
2017-03-09,26.74,27.0,26.27,26.49,26.46,4030200
2017-03-10,26.59,26.92,26.43,26.83,26.79,3964500
2017-03-13,26.79,27.03,26.57,26.8,26.76,3176000
2017-03-14,26.58,26.76,26.45,26.67,26.63,1908600
2017-03-15,26.83,27.43,26.78,27.26,27.22,2273200
2017-03-16,27.38,27.55,26.98,27.32,27.28,2669600
2017-03-17,27.34,27.81,27.29,27.5,27.46,5994200
2017-03-20,27.54,28.18,27.4,27.87,27.83,3787300
2017-03-21,27.93,27.99,26.67,26.75,26.71,6408200
2017-03-22,26.69,27.07,26.42,26.5,26.47,3487700
2017-03-23,26.5,26.84,26.45,26.68,26.64,3998000
2017-03-24,26.68,26.89,26.37,26.68,26.64,2931200
2017-03-27,26.11,26.66,26.01,26.56,26.52,2822300
2017-03-28,26.45,27.12,26.45,27.04,27.0,2546100
2017-03-29,26.76,27.01,26.12,26.2,26.17,3226100
2017-03-30,26.11,26.58,26.03,26.56,26.52,2551100
2017-03-31,26.47,26.55,26.2,26.34,26.31,2514400
2017-04-03,26.48,26.7,25.87,26.18,26.15,2345400
2017-04-04,26.15,26.48,26.08,26.38,26.35,5288700
2017-04-05,26.55,26.85,25.85,25.89,25.86,3734700
2017-04-06,25.83,26.24,25.78,26.16,26.13,1586300
2017-04-07,26.0,26.5,26.0,26.41,26.38,1812500
2017-04-10,26.41,26.84,26.41,26.53,26.5,2615100
2017-04-11,26.54,26.84,26.06,26.59,26.55,3216100
2017-04-12,26.5,26.5,25.71,25.85,25.82,5437000
2017-04-13,25.82,25.99,25.68,25.9,25.87,4642100
2017-04-17,27.25,28.44,26.5,26.69,26.65,12633700
2017-04-18,26.31,26.31,24.6,25.8,25.77,9245600
2017-04-19,25.82,26.48,25.82,25.97,25.94,5108800
2017-04-20,26.19,26.32,26.06,26.11,26.08,2307500
2017-04-21,26.15,26.21,25.97,26.0,25.97,2978200
2017-04-24,26.36,26.55,25.97,26.1,26.07,4577400
2017-04-25,26.3,27.0,26.23,26.98,26.94,4984000
2017-04-26,27.05,27.99,27.02,27.5,27.46,5708900
2017-04-27,27.46,27.5,26.9,27.22,27.18,3641500
2017-04-28,27.33,27.49,27.18,27.33,27.29,4363000
2017-05-01,27.43,27.53,26.88,27.25,27.21,3226600
2017-05-02,26.99,27.4,26.99,27.15,27.11,3293400
2017-05-03,26.98,26.98,26.53,26.78,26.74,2573500
2017-05-04,26.68,26.77,26.25,26.62,26.58,2945600
2017-05-05,26.63,27.3,26.54,27.3,27.26,2371200
2017-05-08,27.21,27.29,27.0,27.08,27.04,1863300
2017-05-09,27.1,27.39,27.01,27.26,27.22,2110100
2017-05-10,27.16,27.35,27.12,27.28,27.24,1996500
2017-05-11,27.15,27.26,26.88,27.21,27.17,1891700
2017-05-12,27.13,27.77,27.05,27.7,27.66,2852300
2017-05-15,27.77,28.3,27.77,28.1,28.06,2974800
2017-05-16,28.1,28.19,27.41,27.41,27.37,2427400
2017-05-17,27.41,27.41,26.77,26.84,26.8,3387300
2017-05-18,26.69,27.05,26.55,26.92,26.88,1928900
2017-05-19,27.09,27.79,27.01,27.58,27.54,2011400
2017-05-22,27.8,28.65,27.55,27.63,27.59,2692400
2017-05-23,27.67,28.03,27.42,27.87,27.83,1982000
2017-05-24,27.95,28.19,27.82,28.08,28.04,1976100
2017-05-25,28.11,28.22,27.08,27.21,27.17,2997700
2017-05-26,27.21,27.56,27.1,27.42,27.38,2191200
2017-05-30,27.45,27.46,26.97,27.22,27.18,4116100
2017-05-31,27.19,27.51,26.72,27.47,27.43,8096800
2017-06-01,27.46,28.06,27.29,27.97,27.93,5646000
2017-06-02,28.05,28.31,27.9,28.16,28.12,2423800
