Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,132.41,132.85,130.75,130.9,91.09,4223400
2010-01-04,131.18,132.97,130.85,132.45,92.16,6155300
2010-01-05,131.68,131.85,130.1,130.85,91.05,6841400
2010-01-06,130.68,131.49,129.81,130.0,90.46,5605300
2010-01-07,129.87,130.25,128.91,129.55,90.15,5840600
2010-01-08,129.07,130.92,129.05,130.85,91.05,4197200
2010-01-11,131.06,131.06,128.67,129.48,90.1,5730400
2010-01-12,129.03,131.33,129.0,130.51,90.81,8081500
2010-01-13,130.39,131.12,129.16,130.23,90.62,6455400
2010-01-14,130.55,132.71,129.91,132.31,92.07,7111800
2010-01-15,132.03,132.89,131.09,131.78,91.7,8494400
2010-01-19,131.63,134.25,131.56,134.14,93.34,13916200
2010-01-20,130.46,131.15,128.95,130.25,90.63,15197500
2010-01-21,130.47,130.69,128.06,129.0,89.76,9608600
2010-01-22,128.67,128.89,125.37,125.5,87.33,10088600
2010-01-25,126.33,126.89,125.71,126.12,87.76,5738500
2010-01-26,125.92,127.75,125.41,125.75,87.5,7135300
2010-01-27,125.82,126.96,125.04,126.33,87.91,8719200
2010-01-28,127.03,127.04,123.05,123.75,86.11,9622200
2010-01-29,124.32,125.0,121.9,122.39,85.16,11571200
2010-02-01,123.23,124.95,122.78,124.67,86.75,7242900
2010-02-02,124.79,125.81,123.95,125.53,87.35,5899900
2010-02-03,125.16,126.07,125.07,125.66,87.44,4177100
2010-02-04,125.19,125.44,122.9,123.0,85.59,9126900
2010-02-05,123.04,123.72,121.83,123.52,85.95,8617000
2010-02-08,123.15,123.22,121.74,121.88,85.19,5718500
2010-02-09,122.65,124.2,122.46,123.21,86.12,6044500
2010-02-10,122.94,123.65,122.21,122.81,85.84,5219100
2010-02-11,122.58,124.2,122.06,123.73,86.48,5089000
2010-02-12,123.01,124.05,121.61,124.0,86.67,8017700
2010-02-16,124.91,125.23,124.11,125.23,87.53,6777300
2010-02-17,125.5,126.53,125.21,126.33,88.3,5827400
2010-02-18,126.13,128.0,126.0,127.81,89.33,5525900
2010-02-19,127.35,128.06,126.87,127.19,88.9,6303100
2010-02-22,127.3,127.43,126.31,126.85,88.66,3808100
2010-02-23,126.48,127.66,126.0,126.46,88.39,4591900
2010-02-24,127.02,128.27,126.81,127.59,89.18,4782000
2010-02-25,126.05,127.24,125.57,127.07,88.82,5658700
2010-02-26,127.01,128.0,126.74,127.16,88.88,4784200
2010-03-01,127.5,128.83,127.47,128.57,89.86,4577700
2010-03-02,128.7,129.09,127.13,127.42,89.06,6013300
2010-03-03,127.73,128.02,126.68,126.88,88.68,6390000
2010-03-04,127.07,127.07,125.47,126.72,88.57,6032300
2010-03-05,127.17,127.55,127.04,127.25,88.94,6140200
2010-03-08,127.06,127.5,126.36,126.41,88.35,6199300
2010-03-09,126.27,126.29,125.2,125.55,87.75,7528800
2010-03-10,125.99,126.36,125.21,125.62,87.8,6916200
2010-03-11,125.71,127.81,125.71,127.6,89.19,7922200
2010-03-12,127.91,128.37,127.51,127.94,89.42,5169500
2010-03-15,127.4,128.34,127.28,127.83,89.35,4497700
2010-03-16,128.0,128.88,127.45,128.67,89.93,6134900
2010-03-17,128.9,128.93,127.36,127.76,89.3,6348400
2010-03-18,127.46,128.75,127.45,128.38,89.73,4954400
2010-03-19,127.71,128.93,126.78,127.71,89.26,10744300
2010-03-22,127.11,128.39,126.57,127.98,89.45,5651900
