Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,41.65,41.66,41.12,41.14,33.04,382800
2010-01-04,41.51,42.02,41.5,42.01,33.74,286000
2010-01-05,41.86,41.93,41.44,41.7,33.49,348900
2010-01-06,41.63,41.97,41.51,41.87,33.63,375600
2010-01-07,41.65,41.84,41.07,41.55,33.37,402000
2010-01-08,41.33,41.4,40.98,41.4,33.25,249000
2010-01-11,41.55,41.62,41.17,41.53,33.35,249900
2010-01-12,41.21,41.52,41.0,41.42,33.26,331900
2010-01-13,41.43,42.15,41.37,42.11,33.82,295900
2010-01-14,41.89,42.2,41.83,42.12,33.83,278600
2010-01-15,42.03,42.22,41.75,42.02,33.75,447800
2010-01-19,42.06,42.76,41.93,42.76,34.34,272800
2010-01-20,42.36,42.39,41.39,42.12,33.83,757700
2010-01-21,42.35,42.9,41.66,41.68,33.47,479800
2010-01-22,41.48,41.76,40.9,40.95,32.89,536600
2010-01-25,41.39,41.41,40.72,40.87,32.82,287900
2010-01-26,40.65,40.87,40.23,40.3,32.37,335900
2010-01-27,40.2,40.57,39.78,40.28,32.35,286400
2010-01-28,40.35,40.49,39.28,40.0,32.12,560100
2010-01-29,40.16,40.75,39.77,39.77,31.94,431000
2010-02-01,40.03,40.44,39.83,40.41,32.45,386200
2010-02-02,40.38,41.15,40.05,41.08,32.99,569100
2010-02-03,40.8,41.49,40.8,41.36,33.22,543400
2010-02-04,41.07,41.11,40.22,40.23,32.31,902000
2010-02-05,40.15,40.76,39.32,40.25,32.33,803200
2010-02-08,40.17,40.54,39.73,39.85,32.0,651900
2010-02-09,40.32,41.4,39.95,41.08,32.99,842400
2010-02-10,41.11,41.65,40.88,41.44,33.28,664600
2010-02-11,41.28,41.73,40.86,41.69,33.48,671800
2010-02-12,41.2,41.77,41.11,41.68,33.47,486400
2010-02-16,41.87,42.03,41.49,42.0,33.73,522500
2010-02-17,42.13,42.61,41.7,42.1,33.81,479600
2010-02-18,42.08,42.42,41.88,42.38,34.04,317100
2010-02-19,42.23,42.7,41.95,42.48,34.12,371400
2010-02-22,42.48,42.48,41.95,42.25,33.93,242400
2010-02-23,42.19,42.3,41.63,41.74,33.52,525400
2010-02-24,41.91,42.13,41.61,41.9,33.65,561700
2010-02-25,41.5,41.97,41.01,41.97,33.71,462200
2010-02-26,42.12,42.23,41.75,42.11,33.82,395500
2010-03-01,42.2,42.42,41.86,42.35,34.01,395800
2010-03-02,42.5,42.85,42.42,42.84,34.41,482200
2010-03-03,42.89,43.32,42.84,42.92,34.47,293300
2010-03-04,43.27,43.75,43.04,43.53,34.96,421400
2010-03-05,43.85,44.57,43.83,44.49,35.73,469800
2010-03-08,44.45,44.56,44.13,44.27,35.55,232100
