Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,31.06,31.11,30.71,30.73,27.91,1303700
2010-01-04,31.09,31.15,30.77,30.81,27.98,2353000
2010-01-05,30.76,30.9,30.41,30.81,27.98,3142100
2010-01-06,30.66,30.85,30.32,30.38,27.59,2884400
2010-01-07,30.29,30.6,30.12,30.28,27.5,3100300
2010-01-08,30.33,31.12,30.12,31.08,28.23,4249700
2010-01-11,30.93,31.41,30.93,31.22,28.35,4011700
2010-01-12,30.99,31.41,30.88,31.22,28.35,2969100
2010-01-13,31.35,31.69,31.2,31.58,28.68,2618300
2010-01-14,31.69,31.88,31.42,31.78,28.86,2617000
2010-01-15,31.72,31.97,31.09,31.46,28.57,3835100
2010-01-19,31.38,31.92,31.3,31.73,28.82,2161500
2010-01-20,31.53,31.63,30.75,31.22,28.35,2720100
2010-01-21,31.21,31.41,30.66,30.84,28.01,3110400
2010-01-22,30.8,30.98,30.06,30.1,27.34,2590200
2010-01-25,30.2,30.55,30.06,30.36,27.57,2774200
2010-01-26,30.28,30.49,29.98,30.03,27.27,4020100
2010-01-27,29.89,30.08,29.62,30.01,27.26,4070400
2010-01-28,29.81,30.07,29.4,29.66,26.94,3816100
2010-01-29,29.89,30.0,29.53,29.61,26.89,3805600
2010-02-01,29.51,30.1,29.51,29.91,27.16,2725100
2010-02-02,29.88,30.03,29.64,29.96,27.21,3239300
2010-02-03,29.78,30.15,29.72,29.99,27.24,2128300
2010-02-04,29.9,29.95,29.26,29.26,26.57,3174200
2010-02-05,29.38,29.7,29.03,29.44,26.74,4337100
2010-02-08,29.4,29.55,29.11,29.36,26.67,2227700
2010-02-09,29.54,29.71,29.02,29.31,26.62,3877000
2010-02-10,29.2,29.45,29.07,29.39,26.69,2102700
2010-02-11,29.3,29.68,29.0,29.6,26.88,2460700
2010-02-12,29.06,29.45,29.04,29.39,26.69,2794600
2010-02-16,29.47,29.8,29.26,29.79,27.06,2013900
2010-02-17,29.84,29.99,29.57,29.91,27.16,2483500
2010-02-18,29.96,30.35,29.88,30.32,27.54,2737500
2010-02-19,32.25,33.15,32.2,32.72,29.72,9866000
2010-02-22,32.6,32.83,32.19,32.36,29.39,4738500
