Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,21.25,21.3,20.27,21.1,16.68,10933700
2017-05-15,21.01,22.3,21.01,22.02,17.4,3487300
2017-05-16,22.19,22.41,22.05,22.1,17.47,1289300
2017-05-17,22.15,22.51,21.67,22.1,17.47,1583700
2017-05-18,22.19,23.63,21.98,22.5,17.78,4075200
2017-05-19,22.56,23.49,22.32,22.72,17.96,1248600
2017-05-22,22.8,23.09,22.52,22.89,18.09,383100
2017-05-23,22.99,23.61,22.65,23.45,18.53,704000
2017-05-24,23.54,23.59,23.01,23.35,18.45,408800
2017-05-25,23.42,23.82,22.31,22.51,17.79,1080700
2017-05-26,22.55,23.24,22.35,23.03,18.2,721100
2017-05-30,23.0,23.29,22.59,22.95,18.14,843100
2017-05-31,22.97,23.18,22.67,22.93,18.12,484400
2017-06-01,22.91,23.43,22.81,22.93,18.12,486400
2017-06-02,22.89,23.1,22.6,22.65,17.9,546600
2017-06-05,22.61,22.91,21.92,22.63,17.88,422200
2017-06-06,21.83,22.71,21.83,22.29,17.62,1089500
2017-06-07,22.4,22.79,21.57,21.76,17.51,733500
2017-06-08,21.75,21.93,21.61,21.65,17.42,432600
2017-06-09,21.68,22.82,21.68,22.49,18.1,565900
2017-06-12,22.46,23.58,21.89,23.03,18.53,826200
2017-06-13,22.99,24.24,22.8,23.49,18.9,927300
2017-06-14,23.57,23.71,22.55,23.25,18.71,1988500
2017-06-15,23.08,24.55,22.77,22.99,18.5,1510300
2017-06-16,23.0,24.0,23.0,23.92,19.25,2465600
2017-06-19,24.06,24.21,23.54,23.92,19.25,460200
2017-06-20,23.72,23.72,22.21,22.62,18.2,1043700
2017-06-21,22.54,22.75,20.63,20.72,16.67,1275400
2017-06-22,20.72,21.07,19.91,21.06,16.95,1321900
2017-06-23,21.03,21.1,20.24,20.47,16.47,3690400
2017-06-26,20.42,21.05,20.08,20.5,16.5,790800
2017-06-27,20.56,21.63,20.42,21.29,17.13,1029100
2017-06-28,21.28,21.64,21.14,21.27,17.12,737600
2017-06-29,21.33,21.54,21.04,21.43,17.25,796200
