Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,21.37,21.52,21.02,21.04,10.42,690800
2010-01-04,21.16,21.31,20.96,21.16,10.48,995500
2010-01-05,21.1,21.28,20.98,21.22,10.52,1120100
2010-01-06,21.25,21.97,21.2,21.9,10.85,1974900
2010-01-07,21.86,22.26,21.82,22.26,11.03,1518900
2010-01-08,22.18,22.39,22.02,22.32,11.06,1048500
2010-01-11,22.37,22.55,22.17,22.49,11.14,1014100
2010-01-12,22.31,22.58,22.13,22.22,11.01,1605500
2010-01-13,22.26,22.81,22.26,22.79,11.29,1002300
2010-01-14,22.78,22.98,22.51,22.95,11.37,1214000
2010-01-15,22.87,23.04,22.41,22.53,11.17,1261200
2010-01-19,22.5,22.93,22.42,22.86,11.33,958900
2010-01-20,22.67,22.7,22.33,22.46,11.13,681200
2010-01-21,22.42,22.59,22.2,22.25,11.02,1418900
2010-01-22,22.26,22.28,21.91,21.94,10.87,1560100
2010-01-25,22.11,22.14,21.63,21.78,10.79,905800
2010-01-26,21.76,21.86,21.43,21.44,10.63,834600
2010-01-27,21.42,21.58,21.17,21.45,10.63,1289600
2010-01-28,21.5,21.5,21.07,21.16,10.49,784500
2010-01-29,21.34,21.44,21.09,21.13,10.47,1605100
2010-02-01,21.23,21.39,21.13,21.24,10.52,1015100
2010-02-02,21.24,21.52,21.16,21.47,10.64,1066500
2010-02-03,21.4,21.65,21.3,21.36,10.58,874100
2010-02-04,21.15,21.31,20.87,20.88,10.35,1499300
2010-02-05,20.8,21.03,20.29,20.43,10.12,2948200
2010-02-08,20.41,20.44,20.15,20.15,9.98,1330500
2010-02-09,20.37,20.5,20.13,20.28,10.05,1251600
2010-02-10,20.28,20.38,19.87,19.98,9.9,1705500
2010-02-11,19.94,20.26,19.7,20.08,9.95,1853500
2010-02-12,19.96,20.13,19.76,20.06,9.94,1668100
2010-02-16,20.19,20.71,20.05,20.7,10.26,1283900
2010-02-17,21.37,21.88,21.13,21.77,10.79,3238900
2010-02-18,21.8,22.08,21.72,22.03,10.92,1318900
2010-02-19,21.96,22.57,21.96,22.32,11.06,1933600
2010-02-22,22.44,22.59,21.89,22.06,10.93,1786200
2010-02-23,22.03,22.27,21.97,22.06,10.93,2021500
