Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,37.95,38.24,37.57,37.61,36.24,1046100
2010-01-04,38.1,38.46,37.93,38.45,37.05,1728500
2010-01-05,38.45,39.0,38.23,38.96,37.54,1510300
2010-01-06,38.85,40.3,38.8,40.25,38.78,2579500
2010-01-07,40.46,41.94,40.44,41.84,40.31,3467400
2010-01-08,41.63,42.08,41.42,41.74,40.22,1917700
2010-01-11,41.97,42.22,41.26,41.31,39.8,1510500
2010-01-12,40.91,41.39,40.33,41.19,39.69,1558400
2010-01-13,41.15,41.42,40.02,40.93,39.44,1592400
2010-01-14,40.92,41.36,40.68,41.09,39.59,1056700
2010-01-15,40.9,41.31,40.04,40.27,38.8,1556700
2010-01-19,40.32,40.59,40.04,40.59,39.11,1488100
2010-01-20,40.2,40.25,39.6,40.14,38.67,2065900
2010-01-21,40.08,40.3,39.37,39.9,38.44,3164200
2010-01-22,39.71,40.44,39.18,39.66,38.21,3511300
2010-01-25,39.88,40.28,39.55,39.95,38.49,2594600
2010-01-26,41.09,41.09,38.89,38.94,37.52,2359800
2010-01-27,39.54,39.9,38.76,39.42,37.98,2451100
2010-01-28,39.69,39.74,37.88,38.08,36.69,2287400
2010-01-29,38.19,39.19,37.68,37.79,36.41,1793000
2010-02-01,38.05,38.38,37.92,38.31,36.91,1852000
2010-02-02,37.22,37.9,36.8,37.35,35.99,3222000
2010-02-03,37.86,38.45,37.36,37.57,36.2,1871600
2010-02-04,37.17,37.38,36.17,36.18,34.86,1750000
2010-02-05,36.22,36.3,35.02,35.93,34.62,2339900
2010-02-08,36.01,36.85,35.39,36.23,34.91,1974000
2010-02-09,36.74,37.11,36.18,36.7,35.36,1783800
2010-02-10,36.72,36.84,36.07,36.29,34.97,1326100
2010-02-11,36.25,36.86,36.06,36.8,35.46,1506000
2010-02-12,36.34,36.57,35.87,36.5,35.17,1314500
2010-02-16,37.0,38.36,36.85,38.27,36.87,2295400
2010-02-17,38.59,38.81,38.19,38.74,37.33,1343100
2010-02-18,38.58,39.44,38.58,39.36,37.92,980800
2010-02-19,39.11,39.5,38.86,39.32,37.88,1383800
2010-02-22,39.51,39.68,39.11,39.32,37.88,889600
2010-02-23,39.13,39.26,38.55,38.87,37.45,1764600
2010-02-24,38.81,39.71,38.81,39.47,38.03,1708800
2010-02-25,38.86,39.45,38.44,39.4,37.96,1317400
2010-02-26,39.24,39.48,38.71,38.8,37.38,1861400
2010-03-01,38.91,39.71,38.91,39.43,37.99,1188500
2010-03-02,39.64,39.96,39.53,39.87,38.41,1474400
2010-03-03,39.95,40.8,39.88,40.31,38.84,1652400
2010-03-04,40.35,40.56,40.03,40.19,38.72,951700
2010-03-05,40.38,41.44,40.38,41.44,39.93,1835500
2010-03-08,41.93,42.97,41.85,42.01,40.48,1969800
2010-03-09,42.87,43.5,42.39,42.85,41.29,2269400
2010-03-10,42.87,43.26,42.73,42.9,41.33,1365700
2010-03-11,42.72,43.37,42.38,43.25,41.67,1169800
2010-03-12,43.45,43.69,43.13,43.55,41.96,888900
2010-03-15,43.55,43.64,42.73,43.43,41.84,997100
2010-03-16,43.49,44.0,43.26,43.97,42.36,1104200
2010-03-17,44.15,45.04,44.15,44.43,42.81,1885200
2010-03-18,44.31,44.43,43.41,43.85,42.25,1184700
2010-03-19,43.1,44.21,42.98,43.1,41.53,1686800
2010-03-22,42.94,43.61,42.73,43.4,41.82,854300
2010-03-23,43.51,44.37,43.35,44.24,42.63,1112200
2010-03-24,44.9,46.13,44.9,45.97,44.29,3428500
2010-03-25,46.11,46.3,45.3,45.41,43.75,1594900
2010-03-26,45.49,45.6,44.63,44.87,43.23,1256900
2010-03-29,45.05,45.74,44.94,45.65,43.98,1140900
2010-03-30,45.61,45.87,45.14,45.41,43.75,1231300
2010-03-31,45.2,45.51,45.0,45.19,43.54,1030700
2010-04-01,45.52,46.07,45.43,45.77,44.1,1052200
2010-04-05,45.97,46.4,45.78,46.17,44.48,1168800
2010-04-06,45.88,46.26,45.28,45.41,43.75,2614800
2010-04-07,45.15,45.69,43.87,44.37,42.75,2786600
2010-04-08,44.09,44.43,43.83,44.28,42.66,1845700
2010-04-09,44.36,48.28,44.18,47.61,45.87,9764800
2010-04-12,47.36,47.36,46.44,46.74,45.03,2165900
2010-04-13,46.71,47.48,46.62,47.35,45.62,2009200
2010-04-14,47.58,47.94,47.12,47.86,46.11,1215800
2010-04-15,47.7,48.24,47.5,47.91,46.16,956300
2010-04-16,47.77,47.8,46.25,46.9,45.19,1783500
