Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,32.87,32.87,32.19,32.27,28.81,1213800
2010-01-04,32.56,33.11,32.24,33.06,29.52,1876000
2010-01-05,33.05,33.15,32.46,33.15,29.6,2186900
2010-01-06,32.97,33.3,32.85,32.95,29.42,1147200
2010-01-07,32.88,33.26,32.62,33.08,29.54,1272400
2010-01-08,33.12,34.14,33.12,34.04,30.39,2068200
2010-01-11,34.04,34.9,33.98,34.54,30.84,1897100
2010-01-12,34.4,34.46,33.51,33.71,30.1,1326500
2010-01-13,34.21,34.21,33.54,33.86,30.23,1371400
2010-01-14,33.67,34.82,33.67,34.7,30.98,1723400
2010-01-15,34.47,34.83,33.69,34.02,30.38,1241200
2010-01-19,34.09,34.29,33.76,33.9,30.27,1381200
2010-01-20,33.69,33.92,32.92,33.82,30.2,1200400
2010-01-21,33.74,34.11,32.69,32.92,29.39,1668800
2010-01-22,32.95,33.08,32.12,32.23,28.78,1032600
2010-01-25,32.36,32.65,32.18,32.4,28.93,687700
2010-01-26,32.24,32.76,31.98,32.39,28.92,688400
2010-01-27,32.23,32.99,32.14,32.83,29.31,1073100
2010-01-28,32.82,32.82,30.02,30.96,27.64,4540300
2010-01-29,31.08,31.3,30.48,30.66,27.38,2246000
2010-02-01,30.83,31.09,30.46,30.87,27.56,1397100
2010-02-02,30.86,30.94,30.32,30.66,27.38,1413600
2010-02-03,30.4,31.2,30.2,31.17,27.83,1101000
2010-02-04,30.9,31.1,30.26,30.29,27.05,1618100
2010-02-05,30.41,30.71,29.45,30.49,27.22,2318200
2010-02-08,30.48,30.78,30.01,30.43,27.17,880400
2010-02-09,30.79,31.1,30.39,30.68,27.39,1107300
2010-02-10,30.49,31.45,30.3,31.45,28.19,2193800
2010-02-11,31.47,31.81,31.17,31.57,28.3,2739500
2010-02-12,31.29,31.69,31.0,31.68,28.4,1325700
2010-02-16,31.88,32.09,31.6,32.09,28.76,708400
2010-02-17,32.29,32.66,32.26,32.66,29.28,1508300
2010-02-18,32.68,32.68,32.1,32.35,29.0,1103100
2010-02-19,32.2,32.98,32.2,32.95,29.54,1413000
2010-02-22,33.19,33.78,33.15,33.4,29.94,1626800
2010-02-23,33.4,33.74,32.95,33.45,29.98,2247400
2010-02-24,33.68,34.35,33.4,34.21,30.66,1579100
2010-02-25,33.83,34.81,33.44,34.72,31.12,2026400
2010-02-26,34.75,35.5,34.73,35.48,31.8,1858700
2010-03-01,35.46,35.82,34.82,34.93,31.31,2163700
2010-03-02,34.96,35.34,34.88,35.1,31.46,1786200
2010-03-03,34.06,34.85,34.06,34.6,31.01,2381000
2010-03-04,34.52,34.67,33.96,34.3,30.75,1761000
2010-03-05,34.41,35.12,34.38,34.98,31.36,1023300
2010-03-08,35.02,35.55,34.79,35.27,31.62,1399900
2010-03-09,35.21,36.21,35.17,36.15,32.4,2095400
2010-03-10,36.21,36.71,35.63,35.78,32.07,1904300
2010-03-11,35.64,35.82,35.21,35.62,31.93,1779900
2010-03-12,35.63,35.76,35.11,35.41,31.74,1407800
2010-03-15,35.46,35.74,35.25,35.69,31.99,824100
2010-03-16,35.75,36.55,35.7,36.54,32.75,1193900
2010-03-17,36.57,36.93,35.9,36.02,32.29,1388700
2010-03-18,35.93,36.42,35.73,36.35,32.58,1304700
2010-03-19,36.49,36.72,35.83,35.91,32.19,2153900
2010-03-22,35.85,36.3,35.52,36.26,32.5,1478000
2010-03-23,36.42,36.56,36.02,36.54,32.75,1295800
2010-03-24,36.52,36.69,36.21,36.38,32.61,1623300
2010-03-25,36.78,36.94,35.73,35.76,32.05,1408600
2010-03-26,35.97,36.21,35.35,35.64,31.95,1544900
2010-03-29,35.7,36.09,35.53,35.64,31.95,1760600
2010-03-30,35.82,35.88,35.31,35.69,31.99,2066300
2010-03-31,35.67,36.17,35.48,35.88,32.16,1448200
2010-04-01,36.14,36.53,35.22,35.61,31.92,1237100
2010-04-05,35.75,35.9,35.52,35.67,31.97,1222000
2010-04-06,35.51,35.99,35.43,35.88,32.16,1279400
2010-04-07,35.71,35.9,34.87,35.07,31.44,2158900
2010-04-08,34.87,36.1,34.56,35.98,32.25,1810100
2010-04-09,36.1,36.13,35.76,36.1,32.36,887900
2010-04-12,36.1,36.22,35.93,36.04,32.31,911900
2010-04-13,35.93,36.23,35.56,36.23,32.48,1062100
2010-04-14,36.26,37.07,35.98,37.05,33.21,1866400
2010-04-15,38.07,39.65,37.59,37.69,33.78,5231700
2010-04-16,37.71,37.9,36.62,36.95,33.12,1862700
2010-04-19,36.86,37.45,36.71,37.04,33.2,1784200
2010-04-20,37.12,37.36,36.26,36.59,32.8,1130800
2010-04-21,36.48,36.89,36.28,36.67,32.87,1301900
2010-04-22,36.48,36.98,36.07,36.95,33.12,1125800
2010-04-23,37.0,37.51,36.71,37.46,33.58,1237600
2010-04-26,37.24,37.81,37.24,37.39,33.52,912600
2010-04-27,37.41,37.93,36.61,36.68,32.88,1120700
2010-04-28,36.92,37.27,36.67,36.85,33.03,1162900
2010-04-29,37.15,37.93,37.15,37.66,33.76,1337200
2010-04-30,37.55,37.9,36.78,36.8,32.99,1143800
2010-05-03,37.12,37.72,36.96,37.7,33.79,819700
2010-05-04,37.23,37.23,35.76,36.2,32.45,1343300
2010-05-05,36.08,36.85,35.87,36.15,32.4,1556100
2010-05-06,35.99,36.32,31.51,34.88,31.27,2293300
2010-05-07,34.64,35.15,33.7,34.04,30.51,1603300
2010-05-10,35.33,35.87,34.51,35.11,31.47,1579700
2010-05-11,35.81,36.72,35.13,36.17,32.42,2535900
2010-05-12,36.21,36.59,35.59,35.6,32.02,8547100
2010-05-13,35.38,35.88,34.81,35.32,31.77,6074300
2010-05-14,35.17,35.46,34.73,35.07,31.54,4833600
2010-05-17,35.21,35.95,34.78,35.81,32.21,2380100
2010-05-18,36.03,36.38,35.27,35.45,31.88,2439800
2010-05-19,35.57,35.84,34.75,35.28,31.73,2435600
2010-05-20,34.58,34.68,33.16,33.19,29.85,2481800
