Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,65.12,65.12,64.33,64.41,46.39,6962300
2010-01-04,64.71,64.99,64.41,64.68,46.59,9506200
2010-01-05,64.58,64.62,63.82,63.93,46.05,10673100
2010-01-06,63.9,64.54,63.83,64.45,46.42,13171500
2010-01-07,64.25,64.35,63.74,63.99,46.09,10901600
2010-01-08,63.92,64.26,63.63,64.21,46.25,7898000
2010-01-11,64.75,64.75,64.01,64.22,46.26,7975700
2010-01-12,64.13,64.72,64.02,64.56,46.5,10820700
2010-01-13,64.54,65.23,64.54,64.97,46.8,13023800
2010-01-14,65.2,65.27,64.75,65.1,46.89,7899000
2010-01-15,65.14,65.2,63.98,64.56,46.5,20995000
2010-01-19,64.14,65.75,64.11,65.35,47.07,15181800
2010-01-20,65.47,65.95,64.47,65.15,46.93,13033000
2010-01-21,65.07,65.47,63.8,63.97,46.08,14473900
2010-01-22,63.91,64.19,63.09,63.2,45.52,14017200
2010-01-25,63.67,63.7,63.05,63.22,45.54,10001700
2010-01-26,62.64,63.01,62.22,62.79,45.23,15630300
2010-01-27,62.78,63.72,62.7,63.44,45.69,14982400
2010-01-28,63.57,64.07,63.04,63.8,45.95,17096000
2010-01-29,63.95,64.27,62.82,62.86,45.28,17844400
2010-02-01,63.26,63.26,62.77,63.09,45.44,10153400
2010-02-02,63.2,64.2,62.63,63.99,46.09,13609300
2010-02-03,63.87,63.87,63.29,63.63,45.83,9255900
2010-02-04,63.49,63.62,62.62,62.64,45.12,18397000
2010-02-05,62.69,63.6,61.89,62.64,45.12,16775200
2010-02-08,62.5,62.98,62.26,62.37,44.92,10081200
2010-02-09,62.55,63.47,62.47,62.76,45.2,11356400
2010-02-10,62.79,63.07,62.21,62.73,45.18,10115800
2010-02-11,62.62,63.21,62.26,62.91,45.31,8353600
2010-02-12,62.61,63.0,62.11,62.72,45.18,12335800
2010-02-16,63.25,63.71,62.82,63.61,45.82,10212400
2010-02-17,63.63,64.36,63.61,63.98,46.08,9485500
2010-02-18,63.98,64.7,63.95,64.53,46.48,8260600
2010-02-19,64.15,64.46,63.62,63.81,46.31,14222300
2010-02-22,63.81,64.1,63.39,63.49,46.08,9839700
2010-02-23,63.56,63.85,63.23,63.31,45.95,12481400
2010-02-24,63.55,63.85,63.25,63.45,46.05,8519300
2010-02-25,62.79,63.35,62.52,63.28,45.93,10528900
2010-02-26,63.46,63.59,63.0,63.0,45.72,9357800
2010-03-01,63.27,63.46,63.17,63.39,46.01,9219400
2010-03-02,63.31,63.64,63.02,63.44,46.04,9014000
2010-03-03,63.59,63.75,63.22,63.4,46.01,9360400
2010-03-04,63.53,63.7,63.37,63.57,46.14,8067200
2010-03-05,63.66,64.07,63.55,64.04,46.48,10633600
2010-03-08,64.08,64.41,64.02,64.2,46.6,33380500
2010-03-09,64.55,64.55,64.09,64.27,46.65,8827100
2010-03-10,64.49,64.56,64.15,64.29,46.66,8436600
2010-03-11,64.15,64.22,63.6,64.22,46.61,9957800
2010-03-12,64.26,64.26,63.85,64.18,46.58,8223000
2010-03-15,64.14,64.57,64.07,64.57,46.86,7444700
2010-03-16,64.7,64.72,64.23,64.53,46.83,8882000
2010-03-17,64.72,64.74,64.48,64.65,46.92,8060700
2010-03-18,64.58,65.15,64.37,65.06,47.22,11742100
2010-03-19,65.11,65.49,64.81,65.11,47.26,23117600
2010-03-22,65.07,65.44,64.98,65.1,47.25,8803800
2010-03-23,65.18,65.39,64.87,65.36,47.44,9453900
2010-03-24,65.31,65.31,64.75,64.75,46.99,9312500
2010-03-25,65.04,65.25,64.53,64.57,46.86,10496600
2010-03-26,64.68,64.72,64.33,64.38,46.73,9450400
2010-03-29,64.46,64.93,64.4,64.82,47.05,7812900
2010-03-30,64.95,64.98,64.56,64.9,47.1,8311600
2010-03-31,64.84,65.31,64.7,65.2,47.32,11939100
2010-04-01,65.37,65.77,65.24,65.77,47.73,10600600
2010-04-05,65.77,65.89,65.38,65.4,47.47,8617600
2010-04-06,65.13,65.45,65.0,65.31,47.4,8260100
2010-04-07,65.24,65.49,65.08,65.22,47.34,9409400
2010-04-08,65.19,65.19,64.77,64.93,47.12,8962600
2010-04-09,64.88,65.17,64.78,65.14,47.28,6972700
2010-04-12,65.11,65.21,64.93,65.11,47.26,8692200
2010-04-13,65.06,65.85,64.91,65.68,47.67,12481600
2010-04-14,65.43,65.6,65.18,65.49,47.53,10501900
2010-04-15,65.29,65.54,65.13,65.51,47.55,8656900
2010-04-16,65.34,65.65,64.89,65.02,47.19,15742500
2010-04-19,65.06,66.1,65.06,66.03,47.92,14626300
2010-04-20,66.03,66.2,65.73,65.99,47.89,11916400
2010-04-21,65.98,65.98,65.07,65.39,47.46,13355700
2010-04-22,65.18,65.24,64.33,64.78,47.02,19583000
2010-04-23,64.71,65.04,64.33,65.04,47.2,11674900
2010-04-26,64.99,65.2,64.72,64.76,47.0,9281500
2010-04-27,64.57,64.88,64.21,64.28,46.65,11862200
2010-04-28,64.43,64.86,64.25,64.62,46.9,12476600
2010-04-29,64.85,65.34,64.85,65.01,47.18,7930100
2010-04-30,65.13,65.34,64.3,64.3,46.67,14255900
2010-05-03,65.16,65.62,64.54,65.33,47.42,15310500
2010-05-04,65.07,65.28,64.41,64.7,46.96,14895700
2010-05-05,64.58,65.29,64.44,65.14,47.28,13143700
2010-05-06,65.04,65.1,60.03,63.4,46.01,24410000
2010-05-07,63.26,63.6,62.09,63.31,45.95,20467100
2010-05-10,64.91,65.36,64.0,64.75,46.99,18445400
2010-05-11,64.23,65.09,64.18,64.67,46.94,10879000
2010-05-12,64.85,65.05,64.49,64.9,47.1,11036800
2010-05-13,64.84,65.16,64.51,64.67,46.94,12337000
2010-05-14,64.71,64.79,63.41,63.97,46.43,12505100
2010-05-17,64.06,64.24,63.2,63.88,46.36,10260800
2010-05-18,63.44,63.56,62.85,62.97,45.7,18480900
2010-05-19,62.69,62.96,62.05,62.22,45.16,18863200
2010-05-20,61.82,61.84,60.55,60.55,43.95,24098700
2010-05-21,59.78,60.96,59.51,60.88,44.19,21813000
2010-05-24,60.62,61.45,60.21,60.57,43.96,13993300
2010-05-25,59.71,60.41,59.15,60.35,43.8,21179000
2010-05-26,60.83,60.83,59.65,59.66,43.3,18914100
2010-05-27,59.74,59.89,58.71,59.03,43.23,29926600
2010-05-28,58.72,59.12,58.19,58.3,42.7,26815900
2010-06-01,58.21,59.41,57.55,58.76,43.04,19508400
2010-06-02,59.07,59.73,58.69,59.73,43.75,15581800
2010-06-03,59.89,60.15,59.55,59.77,43.78,14254200
2010-06-04,58.96,59.03,57.76,58.01,42.49,21785400
2010-06-07,58.17,58.55,58.0,58.0,42.48,13843300
2010-06-08,58.15,58.71,57.87,58.64,42.95,14941500
2010-06-09,58.8,58.94,57.94,58.17,42.6,13173000
2010-06-10,58.72,59.13,58.35,58.5,42.85,16995200
2010-06-11,58.17,58.48,57.94,58.46,42.82,14713000
2010-06-14,58.7,59.1,58.38,58.42,42.79,10524000
2010-06-15,58.93,59.16,58.55,59.14,43.31,11103200
2010-06-16,59.25,59.58,58.78,59.24,43.39,8636300
2010-06-17,59.28,59.44,58.65,59.18,43.34,11723100
2010-06-18,59.18,59.29,58.85,59.18,43.34,16838200
2010-06-21,59.5,59.8,58.92,59.13,43.31,12143600
2010-06-22,59.25,60.09,59.12,59.16,43.33,13823800
2010-06-23,59.16,59.42,58.71,59.24,43.39,12659500
2010-06-24,59.03,59.94,59.03,59.6,43.65,18216100
2010-06-25,59.86,59.87,58.63,58.7,42.99,45006900
2010-06-28,59.01,59.79,58.81,59.45,43.54,15834300
2010-06-29,58.98,59.42,58.68,59.24,43.39,20236500
2010-06-30,59.04,59.61,58.94,59.06,43.26,15802100
2010-07-01,59.07,59.25,58.65,59.07,43.26,17973500
2010-07-02,59.42,59.59,58.85,59.08,43.27,10534400
2010-07-06,59.5,59.6,58.67,59.08,43.27,15461100
2010-07-07,59.33,60.7,59.04,60.61,44.39,17280000
2010-07-08,60.93,61.73,60.64,61.38,44.96,15895900
2010-07-09,60.97,61.07,60.38,60.54,44.34,12174000
2010-07-12,60.48,60.54,60.06,60.21,44.1,10797200
2010-07-13,60.59,60.96,60.44,60.5,44.31,10924500
2010-07-14,60.16,60.68,60.05,60.62,44.4,9668500
2010-07-15,60.62,60.75,59.9,60.26,44.14,12839300
2010-07-16,60.0,60.19,59.25,59.44,43.53,17569900
2010-07-19,59.72,59.79,59.37,59.57,43.63,10277500
2010-07-20,58.45,58.77,58.0,58.58,42.9,22304800
2010-07-21,58.8,58.8,56.87,57.12,41.84,25707600
2010-07-22,57.43,57.62,56.86,57.02,41.76,17972900
2010-07-23,57.28,57.64,57.0,57.63,42.21,15076600
2010-07-26,57.65,58.01,57.48,57.74,42.29,11775200
2010-07-27,57.95,58.44,57.62,58.1,42.55,16964000
2010-07-28,58.14,58.25,57.65,57.83,42.36,13502100
2010-07-29,58.1,58.27,57.71,57.83,42.36,13031000
2010-07-30,57.63,58.36,57.27,58.09,42.55,12978000
2010-08-02,58.5,58.88,58.41,58.72,43.01,11455600
2010-08-03,58.75,59.6,58.71,59.35,43.47,10855100
2010-08-04,59.37,59.93,59.23,59.74,43.75,10508800
2010-08-05,59.53,59.89,59.51,59.76,43.77,9796700
2010-08-06,59.52,60.0,59.25,59.96,43.92,8524100
2010-08-09,60.0,60.25,59.79,60.05,43.98,6674700
2010-08-10,59.41,59.81,58.9,59.43,43.53,13550800
2010-08-11,58.92,58.95,58.3,58.5,42.85,11470100
2010-08-12,58.15,58.71,58.1,58.52,42.86,8240500
2010-08-13,58.49,58.49,58.06,58.15,42.59,8546700
2010-08-16,57.99,58.11,57.47,58.01,42.49,8751200
2010-08-17,58.93,59.48,58.5,59.22,43.37,13479100
2010-08-18,59.46,59.82,59.03,59.35,43.47,10534900
2010-08-19,59.17,59.18,58.4,58.72,43.01,11949700
2010-08-20,58.7,58.91,58.49,58.74,43.02,11286200
2010-08-23,58.98,59.35,58.81,58.87,43.12,8842900
2010-08-24,58.5,58.69,57.86,58.01,42.49,14930400
2010-08-25,58.0,58.2,57.84,57.98,42.47,11675000
2010-08-26,58.2,58.22,57.78,57.8,42.33,12834100
2010-08-27,57.45,57.88,56.99,57.6,42.58,11674800
2010-08-30,57.6,57.8,57.26,57.3,42.36,9240100
2010-08-31,57.25,57.44,57.0,57.02,42.16,14563100
2010-09-01,57.67,58.36,57.44,58.29,43.09,11603700
2010-09-02,58.52,58.79,58.3,58.61,43.33,8079700
2010-09-03,58.85,59.0,58.5,58.93,43.57,7533400
2010-09-07,58.8,58.97,58.63,58.7,43.4,5625100
2010-09-08,58.42,59.03,58.42,58.85,43.51,8412500
2010-09-09,59.39,60.03,59.26,59.82,44.23,14077700
2010-09-10,59.94,60.0,59.77,59.98,44.34,8358800
2010-09-13,60.06,60.38,59.92,60.32,44.6,10706600
2010-09-14,60.43,60.97,60.25,60.58,44.79,9912900
2010-09-15,60.67,61.15,60.5,61.05,45.14,9111500
2010-09-16,60.82,61.39,60.76,61.29,45.31,10496300
2010-09-17,61.59,61.72,61.13,61.57,45.52,12240600
2010-09-20,61.65,62.23,61.51,62.09,45.9,10991500
2010-09-21,61.86,62.23,61.8,61.94,45.79,9449200
2010-09-22,61.98,62.5,61.9,61.97,45.82,9353300
2010-09-23,61.63,62.0,61.57,61.81,45.7,8393800
2010-09-24,61.98,62.4,61.83,62.14,45.94,12636900
2010-09-27,62.22,62.32,61.93,62.03,45.86,7687600
2010-09-28,61.96,62.6,61.69,62.43,46.16,12132800
2010-09-29,62.31,62.55,62.13,62.31,46.07,9590000
2010-09-30,62.49,62.7,61.55,61.96,45.81,12845600
2010-10-01,62.09,62.25,61.57,61.75,45.65,9773200
2010-10-04,61.54,61.98,61.3,61.67,45.59,8703600
2010-10-05,62.08,62.94,62.01,62.8,46.43,12439400
2010-10-06,62.89,63.26,62.5,63.21,46.73,11339800
2010-10-07,63.29,63.5,63.0,63.22,46.74,9826600
2010-10-08,63.38,63.39,63.03,63.23,46.75,7354800
2010-10-11,63.26,63.31,63.04,63.3,46.8,6172100
2010-10-12,63.13,63.44,62.97,63.29,46.79,8707400
2010-10-13,63.43,63.79,63.29,63.58,47.01,10104700
2010-10-14,63.79,63.8,63.39,63.74,47.12,8632700
2010-10-15,63.98,64.0,63.14,63.57,47.0,13265100
2010-10-18,63.69,63.98,63.25,63.86,47.21,10814100
2010-10-19,62.89,63.67,62.5,63.29,46.79,17235400
2010-10-20,63.32,64.03,63.06,63.6,47.02,10206800
2010-10-21,63.86,64.22,63.52,63.99,47.31,11111700
2010-10-22,64.08,64.12,63.64,63.81,47.18,6774800
2010-10-25,64.04,64.23,63.85,63.98,47.3,7794700
2010-10-26,63.85,63.95,63.61,63.84,47.2,7122900
2010-10-27,63.58,63.69,63.28,63.57,47.0,11916100
2010-10-28,63.94,64.11,63.51,63.56,46.99,10116000
2010-10-29,63.64,63.84,63.32,63.74,47.12,9309900
2010-11-01,63.88,64.09,63.31,63.69,47.09,9356000
