Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,41.62,42.13,41.45,41.67,31.4,20143100
2010-01-04,41.79,42.99,41.67,42.85,32.32,35460500
2010-01-05,42.79,43.84,42.78,43.68,32.95,41208300
2010-01-06,43.45,44.09,43.31,43.92,33.13,27729000
2010-01-07,43.79,45.12,43.61,44.79,33.79,44864700
2010-01-08,44.37,44.7,44.08,44.68,33.7,33110100
2010-01-11,45.12,45.19,44.31,44.53,33.59,31878700
2010-01-12,43.99,44.15,42.94,43.49,32.81,47109600
2010-01-13,43.55,44.53,42.87,44.25,33.38,39622000
2010-01-14,44.2,44.79,44.1,44.69,33.71,37938300
2010-01-15,44.3,44.43,43.34,43.68,32.95,69738500
2010-01-19,43.4,43.75,42.9,43.28,32.65,41731500
2010-01-20,43.01,43.68,42.71,43.4,32.74,39934400
2010-01-21,43.04,43.15,40.32,40.54,30.58,137547700
2010-01-22,40.65,41.2,38.82,39.16,29.54,106634900
2010-01-25,39.76,39.89,38.84,39.21,29.58,56572200
2010-01-26,39.0,39.84,38.28,38.44,29.0,52975300
2010-01-27,38.35,39.49,38.07,39.33,29.67,66314300
2010-01-28,39.68,40.04,38.72,39.48,29.78,65047400
2010-01-29,39.65,39.85,38.8,38.94,29.37,53649000
2010-02-01,39.1,39.93,38.95,39.63,29.89,37408200
2010-02-02,39.8,40.68,39.7,40.55,30.59,45968500
2010-02-03,40.58,41.1,40.17,40.29,30.39,37373300
2010-02-04,39.79,39.92,38.35,38.35,28.93,57211800
2010-02-05,38.64,38.88,37.03,38.3,28.89,75224100
2010-02-08,38.29,38.29,37.32,37.7,28.44,58321000
2010-02-09,38.19,38.7,37.84,38.39,28.96,45173500
2010-02-10,38.64,39.5,38.52,38.87,29.32,39331800
2010-02-11,38.84,39.37,38.36,39.02,29.43,33830600
2010-02-12,38.67,39.18,38.36,38.95,29.38,38051100
2010-02-16,39.33,40.14,38.75,40.07,30.23,46425300
2010-02-17,40.26,40.45,39.76,40.04,30.2,34644100
2010-02-18,39.94,40.51,39.77,40.41,30.48,31809500
2010-02-19,40.11,40.7,39.9,40.03,30.2,40290200
2010-02-22,40.4,41.3,40.25,40.85,30.81,43898900
2010-02-23,40.9,41.25,39.76,39.88,30.08,52233100
2010-02-24,40.05,40.97,40.0,40.85,30.81,44645000
2010-02-25,40.16,40.69,39.7,40.64,30.66,46718100
2010-02-26,40.69,42.31,40.6,41.97,31.66,67699100
2010-03-01,42.03,42.18,41.41,41.83,31.55,34606800
2010-03-02,41.98,42.4,41.36,41.62,31.4,33891600
2010-03-03,41.65,42.06,41.34,41.53,31.33,27562500
2010-03-04,41.91,42.08,41.66,41.92,31.62,25450700
2010-03-05,42.32,42.87,42.19,42.81,32.29,34790800
2010-03-08,42.85,43.03,42.47,42.59,32.13,28524900
2010-03-09,42.39,42.82,42.05,42.42,32.0,37107100
2010-03-10,42.87,43.49,42.81,42.93,32.38,40903700
2010-03-11,42.91,43.2,42.8,43.18,32.57,30119600
2010-03-12,43.34,43.54,42.85,43.15,32.55,31367300
2010-03-15,42.92,43.21,42.6,43.07,32.49,29142000
2010-03-16,43.35,43.38,42.69,43.24,32.62,28553800
2010-03-17,43.31,44.11,43.27,43.79,33.03,32918800
2010-03-18,43.75,43.79,43.15,43.64,32.92,26012000
2010-03-19,43.45,43.89,43.13,43.45,32.78,37014400
2010-03-22,43.07,43.79,43.04,43.74,32.99,23257200
2010-03-23,43.85,44.74,43.78,44.58,33.63,33735700
2010-03-24,44.44,44.97,44.2,44.94,33.9,35849200
2010-03-25,44.98,46.05,44.89,44.94,33.9,45019400
2010-03-26,45.04,45.89,44.79,45.02,33.96,39727000
2010-03-29,45.25,45.38,44.46,44.86,33.84,30628400
2010-03-30,44.9,45.05,44.36,44.58,33.63,30296300
2010-03-31,44.31,45.0,44.25,44.75,33.76,39043000
2010-04-01,45.03,45.31,44.99,45.18,34.12,23894600
2010-04-05,45.28,45.4,44.79,45.34,34.24,21342400
2010-04-06,45.23,45.94,45.15,45.84,34.62,28192100
2010-04-07,45.83,46.05,45.02,45.32,34.22,28890100
2010-04-08,45.16,45.97,44.81,45.76,34.56,28869900
2010-04-09,45.88,46.22,45.45,45.98,34.72,22881200
2010-04-12,46.03,46.47,45.9,46.14,34.84,24645900
2010-04-13,46.04,46.38,45.85,45.87,34.64,27988900
2010-04-14,47.4,47.93,46.78,47.73,36.04,72533100
2010-04-15,47.65,48.2,47.49,47.81,36.11,45412100
2010-04-16,47.67,47.75,45.14,45.55,34.4,121203900
2010-04-19,45.23,45.7,44.59,45.39,34.28,72136600
2010-04-20,45.77,46.15,45.56,45.88,34.65,39310700
2010-04-21,46.04,46.39,45.0,45.35,34.25,46320600
2010-04-22,44.91,45.12,44.03,44.74,33.79,63176900
2010-04-23,44.73,45.07,44.25,44.94,33.94,32483800
2010-04-26,44.78,44.81,43.73,43.89,33.14,42889300
2010-04-27,43.48,44.37,42.3,42.41,32.03,66296100
2010-04-28,42.84,43.71,42.78,43.46,32.82,48578900
2010-04-29,43.89,44.33,43.6,44.0,33.23,36520300
2010-04-30,44.02,44.05,42.23,42.58,32.16,54121100
2010-05-03,42.97,43.73,42.89,43.53,32.87,31230900
2010-05-04,42.97,43.36,42.25,42.47,32.07,48982200
2010-05-05,42.11,43.37,41.62,42.63,32.19,43062100
2010-05-06,42.63,42.78,39.29,40.81,30.82,78226200
2010-05-07,41.03,41.84,39.78,40.76,30.78,72976300
2010-05-10,42.32,43.3,41.42,41.95,31.68,66578300
2010-05-11,41.46,42.55,41.15,41.55,31.38,50771200
2010-05-12,41.74,41.79,40.81,41.69,31.48,47700000
2010-05-13,41.44,41.6,40.78,40.81,30.82,35320800
2010-05-14,40.1,40.1,39.21,39.89,30.12,60719400
2010-05-17,39.93,40.04,38.77,39.84,30.09,56506200
2010-05-18,40.62,40.62,38.55,39.02,29.47,61735000
2010-05-19,38.54,39.66,38.52,39.38,29.74,64600500
2010-05-20,38.55,39.25,37.31,37.83,28.57,76564100
2010-05-21,37.02,40.16,37.02,40.05,30.24,89588800
2010-05-24,40.16,40.25,38.5,38.62,29.16,49141600
2010-05-25,37.67,39.01,37.35,38.94,29.41,66813700
2010-05-26,39.19,39.5,38.47,38.78,29.29,50719600
2010-05-27,39.58,40.49,39.4,40.42,30.52,44843000
2010-05-28,40.33,40.35,39.36,39.58,29.89,41252400
2010-06-01,39.32,39.96,38.5,38.54,29.1,37848600
2010-06-02,39.17,39.62,38.67,39.55,29.87,39618500
2010-06-03,39.86,39.94,38.62,39.1,29.53,30950400
2010-06-04,38.49,38.7,37.5,37.62,28.41,52868900
2010-06-07,37.79,38.13,36.66,36.72,27.73,44528300
2010-06-08,36.86,37.8,36.55,37.78,28.53,51017900
2010-06-09,38.15,38.16,37.01,37.12,28.03,42586000
2010-06-10,37.68,38.37,37.41,38.29,28.92,44302600
2010-06-11,37.79,38.17,37.52,38.09,28.76,31147600
2010-06-14,37.97,38.27,37.23,37.33,28.19,48662200
2010-06-15,37.55,38.28,37.26,38.25,28.89,45355600
2010-06-16,38.02,38.88,37.99,38.52,29.09,37217100
2010-06-17,38.6,38.9,37.92,38.44,29.03,34755100
2010-06-18,38.6,39.27,38.38,39.18,29.59,37270800
2010-06-21,39.55,39.78,38.66,38.87,29.35,33665100
2010-06-22,38.93,39.58,38.22,38.33,28.95,42245700
2010-06-23,38.29,39.11,38.02,38.89,29.37,45046000
2010-06-24,38.55,38.7,37.42,38.03,28.72,73843400
2010-06-25,38.78,39.6,38.28,39.44,29.78,70734200
2010-06-28,39.55,39.64,38.47,38.54,29.1,39962900
2010-06-29,37.91,37.91,36.88,37.06,27.99,56694200
2010-06-30,37.02,37.49,36.51,36.61,27.65,35332500
2010-07-01,36.54,36.69,35.16,36.08,27.28,56642900
2010-07-02,36.31,36.69,35.34,35.83,27.1,36796000
2010-07-06,36.69,36.88,35.86,36.33,27.47,35953600
2010-07-07,36.64,38.24,36.41,38.15,28.85,44602900
2010-07-08,38.78,38.82,37.15,38.16,28.86,41498200
2010-07-09,37.75,38.89,37.68,38.85,29.38,30422300
2010-07-12,38.86,39.34,38.6,39.19,29.64,24998900
2010-07-13,39.81,40.69,39.74,40.48,30.61,48564800
2010-07-14,40.15,40.38,39.84,40.35,30.51,37320600
2010-07-15,40.72,40.84,39.31,40.46,30.6,81876200
2010-07-16,40.28,40.35,38.86,39.0,29.49,58507400
2010-07-19,39.03,39.36,38.12,39.04,29.52,35404900
2010-07-20,38.32,39.64,38.28,39.63,29.97,43538200
2010-07-21,40.25,40.25,38.34,38.42,29.05,41115600
2010-07-22,38.96,39.6,38.73,39.35,29.76,35494400
2010-07-23,39.17,39.96,38.97,39.83,30.12,28241000
2010-07-26,39.8,40.36,39.5,40.33,30.5,27209400
2010-07-27,40.74,41.24,40.61,40.69,30.77,44872200
2010-07-28,40.44,40.9,40.15,40.32,30.49,23945400
2010-07-29,40.71,40.83,39.91,40.21,30.41,28994300
2010-07-30,39.72,40.69,39.72,40.28,30.46,26406500
2010-08-02,40.98,41.7,40.73,41.64,31.49,35566700
2010-08-03,41.5,41.65,40.87,41.08,31.07,29967900
2010-08-04,41.22,41.4,40.86,41.29,31.22,23078100
2010-08-05,40.97,41.43,40.94,41.27,31.21,19830500
2010-08-06,40.74,40.95,39.97,40.44,30.58,34906600
2010-08-09,40.55,40.56,39.66,39.82,30.11,37790900
2010-08-10,39.67,39.73,39.16,39.17,29.62,34166500
2010-08-11,38.65,38.78,37.75,37.77,28.56,46201600
2010-08-12,37.36,37.99,37.22,37.81,28.59,35387300
2010-08-13,37.8,38.04,37.5,37.5,28.36,24564100
2010-08-16,37.32,37.82,37.28,37.69,28.5,28334100
2010-08-17,37.97,38.07,37.4,37.48,28.34,33883800
2010-08-18,37.39,38.19,37.39,37.89,28.65,27041700
2010-08-19,37.66,37.97,37.0,37.07,28.03,35384700
2010-08-20,37.11,37.36,36.81,37.14,28.09,30862000
2010-08-23,37.21,37.41,36.84,36.88,27.89,29282800
2010-08-24,36.59,36.7,35.92,36.21,27.38,48709200
2010-08-25,35.95,36.44,35.67,36.23,27.4,36058000
2010-08-26,36.36,36.62,35.62,35.63,26.94,31873200
2010-08-27,35.87,36.69,35.55,36.6,27.68,38448800
2010-08-30,36.4,36.6,35.83,35.85,27.11,27306500
2010-08-31,35.94,36.64,35.73,36.36,27.5,34784400
2010-09-01,36.74,37.8,36.66,37.74,28.54,36770500
2010-09-02,37.84,38.2,37.49,38.16,28.86,31282900
2010-09-03,38.47,39.17,38.47,39.17,29.62,34135600
2010-09-07,38.73,38.84,38.22,38.28,28.95,31885500
2010-09-08,38.34,39.43,38.34,39.12,29.58,30781000
2010-09-09,39.93,40.32,39.12,40.1,30.32,33438800
2010-09-10,39.92,40.25,39.67,39.76,30.07,21928600
2010-09-13,40.64,41.47,40.64,41.12,31.1,41643200
2010-09-14,40.97,41.23,40.46,40.72,30.79,42754100
2010-09-15,40.51,41.14,40.34,40.98,30.99,25399500
2010-09-16,40.72,41.1,40.55,40.99,31.0,25207500
2010-09-17,41.03,41.08,39.99,40.06,30.29,45938300
2010-09-20,40.24,41.31,40.03,41.19,31.15,33337500
2010-09-21,41.31,41.5,40.47,40.59,30.69,33548900
2010-09-22,40.43,40.84,39.75,39.94,30.2,34546000
2010-09-23,39.63,39.7,38.99,39.1,29.57,33471100
2010-09-24,39.51,39.8,39.3,39.75,30.06,28855100
2010-09-27,39.54,39.67,39.01,39.08,29.55,25684900
2010-09-28,39.36,39.4,38.61,38.95,29.45,31442600
2010-09-29,38.79,38.88,38.06,38.41,29.05,40207000
2010-09-30,38.49,38.95,37.96,38.06,28.78,54885200
2010-10-01,38.34,39.09,38.29,38.81,29.35,38973800
2010-10-04,38.98,39.54,38.71,38.95,29.49,38886100
2010-10-05,39.36,39.82,39.07,39.64,30.01,42379500
2010-10-06,39.56,40.07,39.42,39.9,30.21,31559900
2010-10-07,40.11,40.32,39.2,39.52,29.92,26923900
2010-10-08,39.67,39.78,39.13,39.31,29.76,28178500
2010-10-11,39.52,39.91,39.4,39.73,30.08,24601000
2010-10-12,39.47,40.49,39.47,40.4,30.59,38798100
2010-10-13,40.66,40.72,39.58,39.84,30.17,69607700
2010-10-14,39.25,39.38,38.1,38.72,29.32,76504900
2010-10-15,38.87,38.94,36.54,37.15,28.13,142280400
2010-10-18,37.15,38.26,37.01,38.2,28.92,55058700
2010-10-19,37.9,38.65,37.5,37.69,28.54,70595100
2010-10-20,38.0,38.3,37.46,38.1,28.85,43497200
2010-10-21,38.19,38.4,36.21,37.7,28.55,38250300
2010-10-22,37.5,37.79,37.32,37.7,28.55,24876900
2010-10-25,37.97,38.07,37.0,37.07,28.07,37893500
2010-10-26,36.98,37.26,36.78,37.2,28.17,39188100
2010-10-27,37.06,37.63,37.0,37.54,28.42,30777500
2010-10-28,37.7,37.96,37.33,37.51,28.4,30614600
2010-10-29,37.45,37.74,37.32,37.63,28.49,19803300
2010-11-01,37.61,38.0,37.1,37.42,28.33,36941900
2010-11-02,37.53,37.57,36.83,36.96,27.99,39913100
2010-11-03,36.98,37.83,36.96,37.72,28.56,35299600
