Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,53.96,53.96,53.17,53.2,37.89,738200
2010-01-04,53.31,53.57,52.57,52.83,37.63,2749000
2010-01-05,52.8,52.98,52.55,52.95,37.71,1472000
2010-01-06,52.82,53.14,52.6,52.96,37.72,1494300
2010-01-07,52.78,53.52,52.7,53.48,38.09,1782900
2010-01-08,53.3,53.38,53.0,53.38,38.02,1342700
2010-01-11,53.51,53.72,53.03,53.41,38.04,943600
2010-01-12,53.16,53.65,53.14,53.39,38.03,1463800
2010-01-13,53.46,53.99,53.46,53.72,38.26,1405300
2010-01-14,53.85,54.11,53.6,53.85,38.35,1638400
2010-01-15,54.5,54.96,54.1,54.34,38.7,3779600
2010-01-19,54.28,54.6,54.28,54.5,38.82,1437200
2010-01-20,54.3,54.43,53.5,53.87,38.37,1869600
2010-01-21,53.97,54.46,53.16,53.44,38.06,2401100
2010-01-22,53.28,54.61,53.24,54.34,38.7,4832000
2010-01-25,54.44,54.57,54.12,54.17,38.58,2339800
2010-01-26,54.06,54.86,53.82,54.85,39.07,2906100
2010-01-27,54.76,55.28,54.7,55.05,39.21,3484600
2010-01-28,55.03,55.45,54.14,54.81,39.04,2435800
2010-01-29,54.97,54.98,54.27,54.42,38.76,3334300
2010-02-01,54.79,54.88,54.34,54.72,38.97,3388900
2010-02-02,54.58,55.39,54.44,55.36,39.43,3271100
2010-02-03,55.3,55.41,54.94,55.19,39.31,2837100
2010-02-04,53.82,54.43,52.41,52.41,37.33,6502200
2010-02-05,52.19,53.02,52.06,52.72,37.55,4463000
2010-02-08,52.82,52.82,51.99,52.01,37.04,2102500
2010-02-09,52.29,52.88,52.14,52.49,37.39,2192600
2010-02-10,52.55,52.62,52.22,52.33,37.27,2001900
2010-02-11,52.41,52.66,51.93,52.62,37.48,1918900
2010-02-12,52.39,52.79,52.2,52.34,37.28,3179000
2010-02-16,52.6,52.68,51.91,52.6,37.46,2551100
2010-02-17,52.56,52.98,52.45,52.98,37.73,2304600
2010-02-18,52.85,53.12,52.78,53.01,37.76,1458900
2010-02-19,52.93,53.4,52.81,53.2,37.89,1985200
2010-02-22,53.15,53.32,52.74,52.86,37.65,2577100
2010-02-23,52.89,53.06,52.37,52.73,37.56,2344700
2010-02-24,52.8,53.32,52.15,52.4,37.32,2329300
2010-02-25,52.04,52.38,51.7,52.31,37.26,2045000
2010-02-26,52.33,52.39,51.82,52.15,37.41,2110700
2010-03-01,52.31,52.46,52.05,52.16,37.42,2476100
2010-03-02,52.32,52.77,52.32,52.61,37.74,2301800
2010-03-03,52.6,52.79,52.48,52.57,37.71,2050700
2010-03-04,52.53,53.0,52.21,52.65,37.77,2761900
2010-03-05,52.76,52.94,52.41,52.93,37.97,1649400
2010-03-08,52.8,52.8,52.51,52.62,37.75,1518000
2010-03-09,52.44,52.71,52.32,52.43,37.61,1408300
2010-03-10,52.47,52.75,52.31,52.51,37.67,2099300
2010-03-11,52.79,52.97,52.33,52.69,37.8,2331000
2010-03-12,52.61,53.05,52.44,52.49,37.66,2173300
2010-03-15,52.44,52.8,52.39,52.51,37.67,1385600
2010-03-16,52.73,52.91,52.51,52.83,37.9,1912600
2010-03-17,52.97,53.13,52.62,52.96,37.99,1967000
2010-03-18,52.98,53.08,52.7,52.84,37.91,1974500
2010-03-19,53.43,53.46,52.69,53.43,38.33,3283100
2010-03-22,53.49,54.32,53.26,54.16,38.85,3631700
2010-03-23,54.35,54.8,54.12,54.76,39.28,2804500
2010-03-24,54.55,54.75,54.34,54.61,39.18,2126600
2010-03-25,54.75,54.8,53.95,54.24,38.91,2490700
2010-03-26,54.24,54.35,53.53,53.76,38.57,1940600
2010-03-29,53.28,53.96,53.1,53.86,38.64,2381300
2010-03-30,53.89,54.2,53.73,53.75,38.56,1937700
2010-03-31,53.57,53.72,53.34,53.43,38.33,1943300
2010-04-01,53.53,53.89,53.43,53.61,38.46,1933400
2010-04-05,53.75,53.81,53.03,53.14,38.12,1960400
2010-04-06,53.04,53.15,52.85,53.04,38.05,1824100
2010-04-07,53.06,53.06,52.54,52.65,37.77,2325100
2010-04-08,52.5,52.58,52.24,52.31,37.53,2309300
2010-04-09,52.32,52.97,52.03,52.81,37.88,3031600
2010-04-12,53.06,53.17,52.9,53.08,38.08,1582900
2010-04-13,52.97,53.27,52.93,53.12,38.11,2175800
2010-04-14,53.12,53.52,52.94,53.52,38.39,2721500
2010-04-15,53.29,53.7,52.91,53.54,38.41,1960600
2010-04-16,53.44,54.12,53.4,54.04,38.77,3888000
2010-04-19,53.83,53.94,53.45,53.78,38.58,2235800
2010-04-20,53.92,54.0,53.15,53.61,38.46,2450200
2010-04-21,53.56,54.0,53.52,53.87,38.65,2284800
2010-04-22,53.71,54.0,53.52,53.98,38.72,2339700
2010-04-23,53.88,53.95,53.36,53.62,38.47,2190000
2010-04-26,53.67,53.96,53.27,53.34,38.26,2326000
2010-04-27,53.08,53.25,52.43,52.43,37.61,2996500
2010-04-28,52.64,52.8,52.15,52.58,37.72,2918800
2010-04-29,53.0,55.36,53.0,55.01,39.46,8059100
2010-04-30,54.79,55.45,54.76,54.94,39.41,3460400
2010-05-03,55.13,55.13,54.29,54.74,39.27,2704300
2010-05-04,54.31,54.86,53.96,54.13,38.83,3053200
2010-05-05,54.04,54.78,53.88,54.74,39.27,3409000
2010-05-06,54.6,54.9,52.5,53.71,38.53,4834500
2010-05-07,53.6,53.7,52.4,52.84,37.91,4408000
2010-05-10,54.22,54.49,53.78,54.25,38.92,3062500
2010-05-11,53.95,54.92,53.64,54.38,39.01,1859200
2010-05-12,54.39,55.0,54.1,54.89,39.38,2729100
2010-05-13,54.98,55.25,54.43,54.63,39.19,1673800
2010-05-14,54.31,54.63,54.2,54.5,39.1,2680400
2010-05-17,54.65,55.68,54.48,55.58,39.87,3654900
2010-05-18,55.74,56.0,55.39,55.46,39.79,2798400
2010-05-19,55.41,55.46,54.7,55.17,39.58,2829500
2010-05-20,54.57,54.61,53.76,53.76,38.57,4538700
2010-05-21,53.2,54.08,53.2,54.08,38.8,2781700
2010-05-24,53.82,54.43,53.61,53.96,38.71,1540100
2010-05-25,53.13,53.43,52.67,53.43,38.33,2916100
2010-05-26,53.79,53.83,52.85,52.91,37.96,3189500
2010-05-27,53.2,53.61,52.97,53.59,38.72,1668200
2010-05-28,53.74,53.88,53.22,53.43,38.6,2665800
2010-06-01,53.12,54.05,53.03,53.59,38.72,3136100
2010-06-02,53.85,54.94,53.79,54.94,39.69,2989800
2010-06-03,54.94,55.21,54.88,55.11,39.82,1604400
2010-06-04,54.02,54.12,52.97,53.22,38.45,4448800
2010-06-07,53.19,54.23,53.02,53.49,38.65,2437100
2010-06-08,53.49,54.4,53.33,54.35,39.27,3138600
2010-06-09,54.21,54.64,53.85,53.98,39.0,3443800
2010-06-10,54.55,54.74,54.06,54.33,39.25,3892900
2010-06-11,53.97,53.99,53.37,53.66,38.77,3162600
2010-06-14,53.99,54.9,53.99,54.47,39.35,3347500
2010-06-15,54.97,54.97,54.2,54.62,39.46,2181000
