Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,36.83,37.03,36.16,36.16,21.58,1734400
2010-01-04,36.6,37.37,36.57,36.92,22.04,2827000
2010-01-05,36.85,36.93,36.27,36.51,21.79,2136200
2010-01-06,36.4,36.83,36.27,36.37,21.71,2379400
2010-01-07,36.21,36.64,35.73,36.57,21.83,2311900
2010-01-08,36.47,37.18,36.34,37.12,22.16,2379600
2010-01-11,37.23,37.41,36.35,36.96,22.06,1961400
2010-01-12,36.7,36.76,35.3,35.67,21.29,3002200
2010-01-13,35.89,36.27,34.95,36.09,21.54,3969500
2010-01-14,35.73,35.95,34.81,35.0,20.89,5867400
2010-01-15,34.93,35.24,33.27,33.34,19.9,6721000
2010-01-19,33.48,33.77,33.2,33.64,20.08,4374500
2010-01-20,33.3,33.34,32.62,33.23,19.84,4605900
2010-01-21,33.35,33.9,32.76,32.85,19.61,3852400
2010-01-22,32.23,32.38,30.72,30.86,18.42,7991300
2010-01-25,30.79,31.4,30.78,30.96,18.48,4021300
2010-01-26,30.72,31.32,30.66,30.67,18.31,3843400
2010-01-27,30.56,31.2,30.16,30.85,18.41,4557400
2010-01-28,30.9,30.98,28.93,29.38,17.54,8674800
2010-01-29,29.73,29.75,27.8,28.2,16.83,10519600
2010-02-01,28.45,29.2,28.3,29.19,17.42,6982600
2010-02-02,29.14,29.39,28.69,29.1,17.37,5245700
2010-02-03,28.95,29.41,28.72,29.29,17.48,6157800
2010-02-04,29.24,29.44,28.12,28.31,16.9,5891200
2010-02-05,28.47,28.96,28.06,28.79,17.19,5902100
2010-02-08,28.79,29.31,28.3,28.72,17.14,3299800
2010-02-09,29.11,29.54,28.76,29.17,17.41,3539900
2010-02-10,29.15,29.5,28.7,28.99,17.3,2348300
2010-02-11,28.92,29.65,28.63,29.48,17.69,4173400
2010-02-12,29.1,30.12,28.76,29.67,17.8,4493200
2010-02-16,30.12,30.83,29.78,30.82,18.49,4337300
2010-02-17,30.9,30.96,30.05,30.43,18.26,3327900
2010-02-18,30.27,30.27,29.67,30.25,18.15,3180000
2010-02-19,30.45,30.73,30.1,30.58,18.35,3698900
2010-02-22,30.79,30.82,30.18,30.33,18.2,2849300
2010-02-23,30.02,30.15,28.8,28.89,17.33,5228200
2010-02-24,29.11,29.5,28.9,29.09,17.45,5315800
2010-02-25,28.49,28.93,27.98,28.9,17.34,4440400
2010-02-26,28.92,29.14,28.44,29.13,17.48,3311700
2010-03-01,29.39,30.16,29.37,30.14,18.08,3653200
2010-03-02,30.48,30.7,30.19,30.26,18.16,3016700
2010-03-03,30.35,30.72,30.08,30.23,18.14,2371900
2010-03-04,30.18,30.44,29.62,30.03,18.02,2037500
2010-03-05,30.2,30.63,29.96,30.29,18.17,2578700
2010-03-08,30.38,30.48,30.11,30.13,18.08,2001000
2010-03-09,29.93,30.1,29.58,29.75,17.85,3126400
2010-03-10,29.68,30.2,29.64,30.13,18.08,2733700
2010-03-11,29.98,30.16,29.58,29.99,17.99,2789200
2010-03-12,30.04,30.09,29.31,29.45,17.67,3970500
2010-03-15,28.67,28.73,27.7,28.09,16.85,7296200
2010-03-16,28.18,29.06,28.08,29.01,17.41,4718200
2010-03-17,29.21,29.47,29.0,29.42,17.65,4209300
2010-03-18,29.32,29.79,28.87,29.09,17.45,3697600
2010-03-19,29.48,29.53,28.49,28.79,17.27,3941500
2010-03-22,28.68,29.85,28.57,29.77,17.86,3351800
2010-03-23,29.7,31.2,29.62,31.09,18.65,6879500
2010-03-24,30.73,31.29,30.44,30.66,18.4,5360300
2010-03-25,31.09,31.46,30.84,30.88,18.53,4207300
2010-03-26,31.17,31.4,30.25,30.41,18.25,4017900
2010-03-29,30.6,30.9,30.44,30.61,18.37,2651600
