Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,28.79,28.88,28.47,28.5,18.95,10848800
2010-01-04,28.58,28.61,28.45,28.52,18.97,13870400
2010-01-05,28.42,28.5,28.07,28.17,18.74,23172400
2010-01-06,28.17,28.22,27.99,28.17,18.73,19264600
2010-01-07,28.17,28.18,27.88,28.09,18.68,13234600
2010-01-08,27.73,27.82,27.38,27.58,18.34,28712400
2010-01-11,27.58,28.23,27.4,28.14,18.71,28642400
2010-01-12,28.05,28.5,28.03,28.44,18.91,23269800
2010-01-13,28.43,28.72,28.34,28.51,18.96,15157400
2010-01-14,28.52,28.62,28.39,28.57,18.99,12392600
2010-01-15,28.48,28.67,28.02,28.15,18.72,27460800
2010-01-19,28.11,28.25,27.96,28.21,18.76,14615400
2010-01-20,28.08,28.19,27.65,27.75,18.45,18810200
2010-01-21,27.77,27.79,27.09,27.18,18.08,27396800
2010-01-22,27.17,27.43,26.99,27.12,18.03,23551400
2010-01-25,27.25,27.27,26.94,27.17,18.07,16853200
2010-01-26,27.03,27.25,26.93,27.07,18.0,15515000
2010-01-27,27.0,27.33,26.85,27.25,18.12,20414800
2010-01-28,27.35,27.42,27.07,27.09,18.01,20905200
2010-01-29,27.22,27.47,26.95,27.12,18.04,22146800
2010-02-01,27.25,27.28,27.0,27.19,18.08,14517600
2010-02-02,27.26,27.6,27.08,27.52,18.3,16888600
2010-02-03,27.46,27.48,27.26,27.43,18.24,15899400
2010-02-04,27.27,27.34,26.7,26.72,17.76,21342800
2010-02-05,26.62,26.72,26.26,26.55,17.65,29285000
2010-02-08,26.64,26.64,26.28,26.33,17.51,16721200
2010-02-09,26.84,27.49,26.68,27.0,17.96,31495000
2010-02-10,27.3,27.3,26.58,26.9,17.88,18717600
2010-02-11,26.8,27.17,26.64,27.11,18.03,26327200
2010-02-12,26.96,27.2,26.81,26.99,17.95,24640000
2010-02-16,27.25,27.41,26.97,27.41,18.23,19339400
2010-02-17,27.41,27.77,27.38,27.67,18.4,17064600
2010-02-18,27.58,27.96,27.58,27.95,18.59,17264600
2010-02-19,27.9,27.95,27.59,27.86,18.53,18944800
2010-02-22,27.9,27.93,27.64,27.69,18.41,13487600
2010-02-23,27.7,27.8,27.4,27.42,18.23,14835600
2010-02-24,27.5,27.59,27.34,27.58,18.34,14470600
2010-02-25,26.57,26.79,26.31,26.56,17.66,63648600
2010-02-26,26.55,26.55,26.11,26.36,17.53,63095400
2010-03-01,26.61,26.68,26.4,26.64,17.71,39449800
2010-03-02,26.69,26.84,26.58,26.65,17.72,24506200
2010-03-03,26.65,27.06,26.59,26.97,17.93,26574200
2010-03-04,27.35,27.52,27.16,27.24,18.11,28983200
2010-03-05,27.34,27.48,27.18,27.35,18.19,24238600
2010-03-08,27.36,27.43,27.16,27.23,18.11,18915600
2010-03-09,27.17,27.3,26.98,27.09,18.01,23070000
2010-03-10,27.13,27.18,27.02,27.1,18.02,21574800
2010-03-11,26.89,26.89,26.5,26.8,18.12,29130600
2010-03-12,26.84,26.89,26.63,26.67,18.03,22334400
2010-03-15,26.86,26.92,26.68,26.83,18.13,23874000
2010-03-16,26.9,26.93,26.78,26.85,18.15,22287800
2010-03-17,26.91,27.0,26.8,26.92,18.2,26074400
2010-03-18,26.95,27.02,26.87,26.98,18.23,23496200
2010-03-19,27.38,27.53,26.8,27.38,18.5,43610800
2010-03-22,27.25,27.42,27.2,27.27,18.43,18127400
2010-03-23,27.35,27.67,27.2,27.65,18.69,19081200
2010-03-24,27.61,27.68,27.31,27.31,18.46,17052600
2010-03-25,27.45,27.59,27.33,27.4,18.52,16638800
2010-03-26,27.4,27.49,27.25,27.33,18.47,16276800
2010-03-29,27.4,27.48,27.33,27.39,18.51,13853600
2010-03-30,27.45,27.52,27.31,27.43,18.54,13631600
2010-03-31,27.4,27.65,27.25,27.5,18.59,22922000
2010-04-01,27.68,27.72,27.57,27.65,18.69,14346000
