Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,33.93,33.93,33.28,33.29,29.98,612500
2010-01-04,33.49,33.87,33.42,33.65,30.31,613500
2010-01-05,33.64,34.44,33.5,34.31,30.9,1129300
2010-01-06,33.24,33.59,31.87,32.05,28.87,2627400
2010-01-07,32.04,32.8,31.8,32.41,29.19,1076500
2010-01-08,32.29,34.02,32.29,33.86,30.5,1005000
2010-01-11,34.13,34.24,33.41,34.01,30.63,1036500
2010-01-12,33.63,33.86,33.23,33.52,30.19,694000
2010-01-13,33.69,33.76,33.0,33.53,30.2,615800
2010-01-14,33.51,33.86,33.17,33.42,30.1,457700
2010-01-15,33.24,33.38,32.55,32.92,29.65,785100
2010-01-19,32.96,32.97,32.61,32.78,29.52,518000
2010-01-20,32.23,32.36,31.4,32.19,28.99,1091100
2010-01-21,32.14,32.86,31.51,31.52,28.39,1046700
2010-01-22,31.06,31.9,30.97,31.01,27.93,770900
2010-01-25,31.43,31.43,30.78,30.79,27.73,1149100
2010-01-26,30.72,31.27,30.36,31.13,28.04,666800
2010-01-27,30.96,31.46,30.72,31.35,28.24,682000
2010-01-28,31.4,32.0,31.19,31.19,28.09,1993500
2010-01-29,31.32,31.56,29.54,29.7,26.75,2066100
2010-02-01,29.87,30.88,29.87,30.78,27.72,819600
2010-02-02,30.79,31.03,30.52,30.79,27.73,816300
2010-02-03,30.64,31.4,30.4,31.12,28.03,1521900
2010-02-04,30.87,30.87,29.79,29.86,26.89,1249800
2010-02-05,29.96,30.38,29.52,30.27,27.26,1704900
2010-02-08,30.25,30.76,29.77,29.96,26.98,682800
2010-02-09,30.52,30.67,30.07,30.33,27.32,607500
2010-02-10,30.23,30.61,30.09,30.44,27.42,764800
2010-02-11,30.42,32.34,30.42,31.93,28.76,1970600
2010-02-12,31.6,32.84,31.17,32.39,29.17,2512700
2010-02-16,32.81,33.32,32.28,33.08,29.8,1318000
2010-02-17,33.27,33.4,32.6,33.06,29.78,690800
2010-02-18,33.15,33.17,32.79,33.15,29.86,665100
2010-02-19,33.01,34.03,33.01,33.92,30.55,805400
2010-02-22,34.0,34.93,33.87,34.87,31.41,1443000
2010-02-23,34.82,35.03,34.19,34.39,30.97,1155000
2010-02-24,34.42,34.67,34.04,34.32,30.91,887200
2010-02-25,33.78,35.07,33.34,34.99,31.52,1136100
2010-02-26,35.0,35.0,34.08,34.3,30.89,1289400
2010-03-01,34.44,35.5,34.44,35.41,31.89,1048400
2010-03-02,35.52,35.88,35.07,35.11,31.62,1150700
2010-03-03,35.06,35.24,34.52,34.68,31.24,947300
2010-03-04,34.82,35.06,34.63,34.88,31.42,602900
2010-03-05,35.09,35.61,35.06,35.45,31.93,1005300
2010-03-08,35.39,35.81,35.03,35.55,32.02,651200
2010-03-09,35.26,36.3,35.26,35.89,32.33,923600
2010-03-10,36.45,36.82,35.69,35.99,32.42,2444800
2010-03-11,36.06,36.44,35.77,36.0,32.43,1656400
2010-03-12,36.2,36.22,35.67,35.75,32.2,1952000
2010-03-15,35.75,35.83,35.38,35.57,32.04,1308600
2010-03-16,35.79,36.33,35.7,36.33,32.72,1024700
2010-03-17,36.2,36.54,35.93,36.1,32.52,1085700
2010-03-18,36.02,36.91,35.77,35.91,32.34,1148900
2010-03-19,35.75,36.07,35.16,35.75,32.2,1046300
2010-03-22,35.42,36.29,35.3,36.17,32.58,554900
2010-03-23,36.18,36.23,35.44,35.94,32.37,601600
2010-03-24,35.77,35.96,35.36,35.76,32.21,711000
2010-03-25,36.11,36.59,35.53,35.57,32.04,869300
2010-03-26,35.8,36.39,35.61,36.2,32.61,968600
2010-03-29,36.3,36.81,36.18,36.43,32.81,600600
2010-03-30,36.4,36.74,36.26,36.54,32.91,540100
2010-03-31,36.46,36.71,35.87,36.17,32.58,784600
2010-04-01,36.51,36.89,36.3,36.54,32.91,718600
2010-04-05,36.78,37.36,36.56,37.09,33.41,665300
2010-04-06,37.16,37.19,36.68,37.15,33.46,977200
2010-04-07,37.21,37.23,36.6,36.95,33.28,1287600
2010-04-08,36.62,38.22,36.51,38.14,34.35,1421000
2010-04-09,38.39,38.45,37.89,38.37,34.56,972200
2010-04-12,38.42,38.42,37.72,37.95,34.18,785900
2010-04-13,38.0,38.29,37.46,38.23,34.43,1103600
2010-04-14,38.54,39.0,38.43,38.9,35.04,886700
2010-04-15,38.85,39.69,38.74,39.07,35.19,1615500
2010-04-16,38.97,39.1,37.47,38.18,34.39,973600
2010-04-19,37.93,38.02,36.92,37.34,33.63,864700
2010-04-20,37.62,38.24,37.58,37.8,34.05,668700
2010-04-21,37.87,38.26,37.73,37.92,34.15,619800
2010-04-22,37.4,38.08,36.73,37.96,34.19,824500
2010-04-23,37.91,38.36,37.6,38.28,34.48,538900
2010-04-26,38.14,39.48,38.14,39.26,35.36,1364900
2010-04-27,39.6,41.37,39.4,40.1,36.12,2795500
2010-04-28,40.49,40.51,38.76,39.41,35.5,1708300
2010-04-29,39.93,41.87,39.89,41.41,37.3,5130400
2010-04-30,41.35,42.11,40.5,40.55,36.52,2019300
2010-05-03,40.89,42.32,40.89,41.78,37.63,1727700
2010-05-04,41.46,41.46,39.44,39.74,35.79,2392000
2010-05-05,39.15,40.12,37.8,39.24,35.34,1555100
2010-05-06,39.23,39.84,34.61,37.7,33.96,2411500
2010-05-07,37.31,37.91,35.5,35.93,32.36,2689500
2010-05-10,38.01,38.76,37.61,38.72,34.88,2500800
2010-05-11,38.11,39.66,38.11,39.09,35.21,1789200
2010-05-12,39.34,40.89,39.24,40.68,36.64,1809100
2010-05-13,40.66,41.43,39.94,40.22,36.23,1492700
2010-05-14,39.77,39.85,38.47,38.85,34.99,1520900
2010-05-17,39.01,39.34,37.25,37.78,34.03,2117300
2010-05-18,38.38,39.24,37.25,37.62,33.88,1655500
2010-05-19,37.45,37.79,35.51,36.55,32.92,2113400
2010-05-20,35.15,35.45,33.69,33.77,30.42,2393100
2010-05-21,33.0,35.41,32.61,34.88,31.42,2370700
2010-05-24,35.9,36.48,35.14,35.99,32.42,2575300
2010-05-25,34.69,36.17,34.18,36.05,32.47,2260700
2010-05-26,36.87,37.54,36.35,36.79,33.14,1654100
2010-05-27,37.86,38.8,37.16,38.8,34.95,1541700
2010-05-28,38.81,39.17,37.64,38.17,34.38,1609700
2010-06-01,37.99,39.31,37.6,38.08,34.3,1673400
2010-06-02,38.29,39.4,38.06,39.4,35.49,1149900
2010-06-03,39.42,40.06,38.28,38.84,34.98,1564700
2010-06-04,37.66,38.25,36.45,36.75,33.1,1799100
2010-06-07,36.98,37.7,36.06,36.06,32.48,1688800
2010-06-08,36.27,36.89,35.46,36.47,32.85,1592400
2010-06-09,36.9,38.34,36.63,36.88,33.22,1432400
2010-06-10,37.72,38.78,37.67,38.45,34.63,1264100
2010-06-11,37.68,39.49,37.62,39.22,35.33,935400
2010-06-14,39.71,40.39,39.16,39.24,35.34,1088800
2010-06-15,39.4,40.49,39.27,40.43,36.42,898300
2010-06-16,40.0,41.69,40.0,40.81,36.76,1524200
2010-06-17,41.19,41.37,39.59,41.2,37.11,1173400
2010-06-18,41.3,41.48,40.88,41.11,37.03,867000
2010-06-21,41.7,41.99,40.43,40.78,36.73,1177400
2010-06-22,40.98,41.08,38.46,38.58,34.75,1651000
2010-06-23,38.77,38.95,37.82,38.76,34.91,1355200
2010-06-24,38.37,39.04,37.66,38.12,34.33,1519300
2010-06-25,38.5,39.39,37.85,39.29,35.39,1541300
2010-06-28,38.98,39.4,38.5,38.63,34.79,900100
2010-06-29,37.87,37.97,36.75,37.15,33.46,1270600
2010-06-30,36.96,37.65,36.19,36.35,32.74,849300
2010-07-01,36.54,37.05,34.64,36.1,32.52,1625900
2010-07-02,36.3,36.5,34.71,34.94,31.47,936000
2010-07-06,35.76,35.9,34.12,34.38,30.97,1555300
2010-07-07,34.38,36.35,34.38,36.27,32.67,1284300
2010-07-08,36.83,37.22,36.27,37.14,33.45,1103500
2010-07-09,37.09,37.61,36.83,37.24,33.54,732200
2010-07-12,37.2,37.68,36.55,37.08,33.4,866600
2010-07-13,37.79,38.09,36.96,37.41,33.7,1158900
2010-07-14,37.5,37.5,35.29,36.27,32.67,3089300
2010-07-15,36.21,37.2,35.62,37.05,33.37,1329600
2010-07-16,36.69,36.71,34.57,34.72,31.27,1857900
2010-07-19,34.78,35.11,33.76,34.46,31.04,1298800
2010-07-20,33.8,35.59,33.76,35.49,31.97,1036800
2010-07-21,35.87,37.07,35.7,36.0,32.43,2294700
2010-07-22,36.64,37.8,36.64,37.45,33.73,1274800
2010-07-23,37.37,38.48,37.27,38.35,34.54,894700
2010-07-26,38.51,39.51,38.18,39.45,35.53,1210400
2010-07-27,36.77,39.48,36.74,37.15,33.46,4054800
2010-07-28,37.08,37.52,36.61,36.72,33.07,1479300
2010-07-29,37.17,37.29,36.13,36.71,33.06,1723200
2010-07-30,36.36,37.17,35.96,36.7,33.06,1127500
2010-08-02,37.45,37.75,37.0,37.29,33.59,1646600
2010-08-03,36.89,37.64,36.24,37.21,33.51,1244400
2010-08-04,37.37,38.08,37.22,37.92,34.15,848000
2010-08-05,37.52,38.29,37.31,38.16,34.37,778500
2010-08-06,37.55,38.16,37.23,37.75,34.0,856700
2010-08-09,38.23,38.52,37.81,38.17,34.38,738600
2010-08-10,37.58,37.72,37.0,37.45,33.73,549600
2010-08-11,36.88,36.88,35.13,35.62,32.08,863800
2010-08-12,34.86,34.87,33.63,34.46,31.04,3385400
2010-08-13,34.47,34.67,34.23,34.44,31.02,1106700
2010-08-16,34.2,34.54,34.0,34.39,30.97,993000
2010-08-17,34.94,35.19,34.75,34.9,31.43,1417600
2010-08-18,34.9,35.3,34.52,35.06,31.58,642100
2010-08-19,34.84,34.93,33.3,33.78,30.43,1302800
2010-08-20,33.63,33.81,32.43,33.71,30.36,2115400
2010-08-23,33.9,34.1,32.69,32.75,29.5,1159900
2010-08-24,32.07,32.75,31.73,32.38,29.16,1620000
2010-08-25,31.98,33.62,31.93,33.33,30.02,2061400
2010-08-26,33.5,33.91,32.76,33.02,29.74,1869800
2010-08-27,33.37,33.89,32.53,33.77,30.42,1288300
2010-08-30,33.67,33.98,32.81,32.84,29.58,592500
2010-08-31,32.75,33.99,32.16,33.57,30.24,1926300
2010-09-01,34.16,35.64,34.09,35.39,31.88,1499100
2010-09-02,35.63,36.35,35.4,36.24,32.64,1374400
2010-09-03,36.93,37.69,36.54,37.16,33.47,1363100
2010-09-07,36.88,37.06,36.24,36.92,33.25,965600
2010-09-08,37.1,38.44,37.1,38.09,34.31,1633200
2010-09-09,38.58,38.64,37.63,37.8,34.05,1195000
2010-09-10,37.83,38.45,37.69,38.18,34.39,771600
2010-09-13,38.87,39.3,38.66,39.14,35.25,1053900
2010-09-14,39.13,39.48,38.67,38.73,34.88,1002400
2010-09-15,38.72,39.04,38.36,38.66,34.82,753900
2010-09-16,38.63,39.1,37.82,38.08,34.3,876600
2010-09-17,38.3,38.84,37.89,38.56,34.73,1207400
2010-09-20,38.83,39.14,38.37,38.52,34.69,1266500
2010-09-21,38.6,39.1,38.42,38.64,34.8,948400
2010-09-22,38.44,38.83,37.83,38.24,34.44,655700
2010-09-23,37.8,38.38,37.39,37.93,34.16,1152200
2010-09-24,38.6,39.28,38.56,39.14,35.25,836500
2010-09-27,39.04,39.08,38.57,38.62,34.78,662300
2010-09-28,38.67,38.67,37.71,38.4,34.59,640400
2010-09-29,38.13,38.47,37.88,38.1,34.32,999800
2010-09-30,38.41,38.41,37.21,37.41,33.7,1371600
2010-10-01,37.61,37.8,36.17,37.26,33.56,1826900
2010-10-04,37.19,37.62,36.27,36.84,33.18,852800
2010-10-05,37.32,38.53,37.23,38.32,34.51,1331700
2010-10-06,38.3,38.96,38.15,38.72,34.88,899900
2010-10-07,38.94,38.94,37.96,38.55,34.72,909500
2010-10-08,38.51,39.87,38.16,39.47,35.55,1040300
2010-10-11,39.63,40.0,39.32,39.54,35.61,597800
2010-10-12,39.39,39.85,38.64,39.65,35.71,1072100
2010-10-13,40.12,41.94,40.07,41.5,37.38,2204300
2010-10-14,41.49,41.69,40.89,41.27,37.17,1227300
2010-10-15,41.62,41.99,40.77,41.42,37.31,1133300
2010-10-18,41.51,41.81,41.23,41.57,37.44,676100
2010-10-19,40.9,41.56,40.5,40.85,36.79,888400
2010-10-20,40.96,42.87,40.96,42.22,38.03,1306000
2010-10-21,42.32,42.84,41.18,41.84,37.69,1504400
2010-10-22,41.88,42.33,41.67,42.06,37.88,603700
2010-10-25,42.25,42.99,41.81,41.94,37.78,1199500
2010-10-26,41.49,44.91,41.0,43.61,39.28,2977000
2010-10-27,43.4,43.69,42.67,43.37,39.06,1390100
2010-10-28,43.59,44.5,43.08,43.78,39.43,1263100
2010-10-29,43.5,44.11,43.5,43.82,39.47,702100
2010-11-01,44.09,44.73,43.39,43.75,39.41,755800
2010-11-02,44.34,44.57,43.91,44.3,39.9,755100
2010-11-03,44.4,45.06,44.11,45.04,40.57,1193100
2010-11-04,45.71,46.58,45.26,45.85,41.3,2301800
2010-11-05,45.78,46.59,45.55,46.53,41.91,1451300
2010-11-08,46.63,47.14,46.16,46.84,42.19,1177400
2010-11-09,46.91,47.0,45.01,45.21,40.72,1210000
2010-11-10,45.2,45.86,44.85,45.86,41.31,1341300
2010-11-11,45.29,46.23,45.08,46.03,41.46,1032100
2010-11-12,45.5,45.94,44.5,44.74,40.3,697000
2010-11-15,45.2,45.67,44.97,45.19,40.7,782600
2010-11-16,44.76,45.1,43.45,44.0,39.63,1186100
2010-11-17,44.22,44.97,43.59,44.65,40.22,1042300
2010-11-18,45.27,46.87,45.27,46.21,41.62,1226400
2010-11-19,46.11,47.01,45.67,46.9,42.24,912200
2010-11-22,46.5,47.43,46.33,46.76,42.12,997000
2010-11-23,45.97,46.15,45.31,45.72,41.18,914200
2010-11-24,46.24,47.81,46.24,47.7,42.96,1000100
2010-11-26,47.21,48.01,46.99,47.84,43.09,338900
2010-11-29,47.41,48.1,47.06,48.0,43.23,1125900
2010-11-30,47.38,47.79,47.12,47.34,42.64,1164900
2010-12-01,48.34,48.78,47.85,47.98,43.22,1194800
2010-12-02,47.98,48.75,47.96,48.47,43.66,887600
2010-12-03,48.28,49.48,48.28,49.29,44.4,986300
2010-12-06,49.06,49.38,48.57,48.97,44.11,802500
2010-12-07,49.82,49.87,48.87,48.98,44.12,1133700
2010-12-08,49.19,49.8,48.37,48.5,43.68,858700
2010-12-09,48.92,49.79,48.73,49.57,44.65,761200
2010-12-10,49.73,50.07,49.27,49.98,45.02,728300
2010-12-13,49.42,49.48,47.82,47.94,43.18,1646700
2010-12-14,48.19,48.6,47.5,47.78,43.04,842800
2010-12-15,47.69,49.41,47.25,47.43,42.72,1198700
2010-12-16,47.65,48.4,47.05,48.25,43.46,605200
2010-12-17,48.13,48.31,47.69,48.02,43.25,951000
2010-12-20,48.2,48.26,47.07,47.49,42.77,761000
2010-12-21,47.95,48.6,47.78,48.27,43.48,653700
2010-12-22,48.43,48.49,47.88,48.2,43.41,354100
2010-12-23,48.23,48.41,47.62,47.77,43.03,329700
2010-12-27,47.5,48.18,47.33,48.03,43.26,223800
2010-12-28,48.12,48.15,47.29,47.56,42.84,377200
2010-12-29,47.64,48.15,47.58,48.06,43.29,271600
2010-12-30,47.93,48.38,47.92,48.13,43.35,223600
