Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,36.71,36.84,36.35,36.35,33.99,938800
2010-01-04,36.8,37.29,36.59,37.18,34.76,2210900
2010-01-05,37.22,37.42,36.77,37.38,34.95,1975600
2010-01-06,37.39,37.7,37.11,37.64,35.19,1324300
2010-01-07,37.53,38.01,37.28,37.92,35.46,1979400
2010-01-08,37.73,37.95,37.62,37.89,35.43,1159400
2010-01-11,38.18,38.18,37.7,37.92,35.46,1390600
2010-01-12,37.66,37.94,37.5,37.62,35.17,1565400
2010-01-13,37.73,38.01,37.51,37.92,35.46,1566100
2010-01-14,37.75,38.02,37.57,37.91,35.45,1279600
2010-01-15,37.73,37.87,37.03,37.21,34.79,1678600
2010-01-19,37.08,38.18,37.07,38.16,35.68,2078300
2010-01-20,37.96,38.04,37.31,37.6,35.16,2015800
2010-01-21,38.41,38.41,36.81,37.19,34.77,2503500
2010-01-22,36.92,37.28,35.68,35.73,33.41,2884400
2010-01-25,36.16,36.44,35.91,36.09,33.74,1754900
2010-01-26,35.96,36.68,35.95,36.04,33.7,1808700
2010-01-27,35.93,36.44,35.82,36.38,34.02,2365500
2010-01-28,36.54,36.66,35.46,35.93,33.59,1755100
2010-01-29,36.1,36.52,35.66,35.77,33.44,2594500
2010-02-01,35.89,36.47,35.86,36.41,34.04,1738300
2010-02-02,36.4,37.08,36.24,37.06,34.65,1625800
2010-02-03,36.83,36.95,36.54,36.63,34.25,982500
2010-02-04,36.42,36.5,35.32,35.33,33.03,2979200
2010-02-05,35.32,35.47,34.59,35.37,33.07,3097500
2010-02-08,35.01,35.52,34.24,34.76,32.5,2513100
2010-02-09,35.13,35.44,34.85,35.22,32.93,2060900
2010-02-10,35.14,35.34,34.81,35.03,32.75,2185500
2010-02-11,35.04,35.23,34.6,35.21,32.92,2099400
2010-02-12,34.9,35.25,34.24,35.17,32.88,3247200
2010-02-16,35.54,36.13,35.39,36.12,33.77,2151600
2010-02-17,36.23,36.49,35.89,36.17,33.82,1524000
2010-02-18,35.98,36.54,35.98,36.44,34.07,1292000
2010-02-19,36.32,36.71,36.11,36.55,34.17,1423900
2010-02-22,36.7,36.77,36.55,36.7,34.31,1160700
2010-02-23,36.58,36.64,35.99,36.06,33.72,2003300
2010-02-24,36.1,36.65,36.09,36.62,34.24,1756000
2010-02-25,36.06,36.69,35.75,36.66,34.34,1871400
2010-02-26,36.62,36.71,36.26,36.46,34.15,1961400
2010-03-01,36.61,37.1,36.55,37.02,34.67,1600700
2010-03-02,37.14,37.33,36.94,37.19,34.83,1260100
2010-03-03,37.24,37.4,37.0,37.05,34.7,1563000
2010-03-04,37.09,37.26,36.84,37.14,34.79,2348000
2010-03-05,37.36,37.66,37.16,37.5,35.12,2278300
2010-03-08,37.57,37.7,37.41,37.54,35.16,1510800
2010-03-09,37.46,37.6,37.26,37.44,35.07,1645300
2010-03-10,37.46,37.68,37.4,37.53,35.15,2600700
2010-03-11,37.36,37.71,37.32,37.7,35.31,1366700
2010-03-12,37.82,38.1,37.45,37.56,35.18,1765600
2010-03-15,37.38,37.57,37.08,37.4,35.03,2110500
2010-03-16,37.44,37.62,37.33,37.62,35.24,1606900
