Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,19.57,19.6,19.22,19.24,9.51,1374400
2010-01-04,19.37,19.76,19.27,19.31,9.54,3959400
2010-01-05,19.24,19.43,18.53,18.68,9.23,9097500
2010-01-06,18.56,19.12,18.34,19.07,9.42,6889000
2010-01-07,19.42,19.59,18.45,18.76,9.27,7511700
2010-01-08,18.86,19.62,18.78,19.59,9.68,5684200
2010-01-11,20.1,20.61,19.93,20.46,10.11,6663400
2010-01-12,20.23,20.9,20.15,20.43,10.1,4553600
2010-01-13,20.47,20.54,19.96,20.23,10.0,3190400
2010-01-14,20.2,20.32,19.73,19.92,9.84,3322000
2010-01-15,19.82,20.02,19.36,19.39,9.58,3155400
2010-01-19,19.39,19.54,19.17,19.34,9.56,4890700
2010-01-20,19.11,19.24,18.89,18.9,9.34,5126600
2010-01-21,18.95,19.09,18.52,18.68,9.23,6916600
2010-01-22,18.81,18.92,18.36,18.38,9.08,5490400
2010-01-25,18.6,18.75,18.39,18.6,9.19,3461100
2010-01-26,18.96,19.82,18.65,19.4,9.59,8012900
2010-01-27,19.35,19.81,19.21,19.71,9.74,5122100
2010-01-28,19.75,19.75,19.14,19.21,9.49,4520700
2010-01-29,19.37,19.46,18.94,19.02,9.4,3554700
2010-02-01,19.23,19.67,19.12,19.65,9.71,3070800
2010-02-02,19.68,20.33,19.66,20.32,10.04,5572500
2010-02-03,20.23,20.32,20.0,20.26,10.01,6301000
2010-02-04,20.17,20.3,19.96,20.03,9.9,8675400
2010-02-05,19.98,20.51,19.84,20.47,10.12,7955500
2010-02-08,20.49,20.49,20.01,20.01,9.89,6362800
2010-02-09,20.23,20.45,19.98,20.34,10.05,5263600
2010-02-10,20.25,20.36,19.9,20.09,9.93,3786800
2010-02-11,20.0,20.37,19.88,20.34,10.05,2641500
2010-02-12,20.05,20.55,19.84,20.48,10.12,5100100
2010-02-16,20.74,20.84,20.48,20.83,10.29,3053000
2010-02-17,20.91,21.17,20.77,21.05,10.4,3577700
2010-02-18,20.96,21.37,20.9,21.34,10.55,2260400
2010-02-19,21.2,21.48,21.17,21.4,10.58,2877100
2010-02-22,21.6,21.73,21.32,21.5,10.62,5583600
2010-02-23,21.45,21.52,20.97,21.03,10.39,7453500
2010-02-24,20.87,21.56,20.87,21.54,10.72,7085800
2010-02-25,22.03,22.53,21.9,22.15,11.02,17572600
2010-02-26,22.15,22.26,21.99,22.11,11.0,6981300
2010-03-01,22.25,22.72,22.16,22.53,11.21,4907500
2010-03-02,22.66,22.76,22.4,22.43,11.16,4186100
2010-03-03,22.5,22.75,22.35,22.65,11.27,3272200
2010-03-04,22.73,23.02,22.51,22.98,11.44,4048700
2010-03-05,23.17,23.38,22.92,23.28,11.59,2860700
2010-03-08,23.32,23.63,23.21,23.47,11.68,3407800
2010-03-09,23.48,23.62,23.31,23.59,11.74,4247100
2010-03-10,23.6,23.77,23.44,23.49,11.69,4881700
2010-03-11,23.35,23.66,23.24,23.61,11.75,2738300
2010-03-12,23.7,23.74,23.42,23.74,11.82,3086200
2010-03-15,23.73,23.79,23.46,23.71,11.8,2439400
2010-03-16,24.05,24.85,23.99,24.71,12.3,8786800
2010-03-17,24.91,24.94,24.44,24.68,12.28,6765600
2010-03-18,24.78,24.84,24.5,24.75,12.32,3452500
2010-03-19,24.67,24.91,24.43,24.67,12.28,3481000
2010-03-22,24.54,25.4,24.45,25.29,12.59,4867700
2010-03-23,25.38,25.49,24.96,25.46,12.67,3588400
2010-03-24,25.31,25.37,24.89,24.98,12.43,3696500
2010-03-25,25.25,25.68,25.15,25.34,12.61,4862000
2010-03-26,25.46,25.7,25.32,25.54,12.71,3729400
2010-03-29,25.6,25.82,25.2,25.78,12.83,3935300
2010-03-30,25.71,26.37,25.71,25.88,12.88,6886800
2010-03-31,24.88,24.97,24.56,24.62,12.75,6207600
2010-04-01,24.86,25.0,24.66,24.8,12.84,4944500
2010-04-05,24.81,25.77,24.81,25.73,13.32,4619300
2010-04-06,25.62,25.75,25.45,25.72,13.32,4392300
2010-04-07,25.71,25.8,25.33,25.68,13.29,6790500
2010-04-08,25.67,26.38,25.37,26.28,13.61,7797900
2010-04-09,26.36,26.67,25.96,26.62,13.78,5191400
2010-04-12,26.61,27.09,26.56,26.89,13.92,5508700
2010-04-13,26.69,27.22,26.6,27.19,14.08,5826800
2010-04-14,27.2,27.4,26.77,27.03,13.99,8089600
2010-04-15,26.94,27.84,26.75,27.56,14.27,6169800
2010-04-16,27.4,27.54,26.81,27.07,14.01,6160500
2010-04-19,27.08,27.33,26.74,27.26,14.11,5605700
2010-04-20,27.52,27.68,27.27,27.59,14.28,3266700
2010-04-21,27.57,28.09,27.5,28.03,14.51,3268100
2010-04-22,27.87,28.76,27.6,28.59,14.8,3816900
2010-04-23,28.49,28.76,28.25,28.48,14.74,3432800
2010-04-26,28.5,28.78,28.42,28.57,14.79,3432300
2010-04-27,28.32,28.43,27.66,27.75,14.37,4622900
2010-04-28,27.88,28.12,27.06,27.15,14.06,5508200
2010-04-29,27.22,27.8,27.22,27.55,14.26,5273600
2010-04-30,27.6,27.69,26.36,26.8,13.87,6686500
2010-05-03,26.98,28.19,26.87,27.8,14.39,5395500
2010-05-04,27.47,27.47,26.71,26.87,13.91,6195500
2010-05-05,26.39,27.31,26.15,26.5,13.72,4903600
