Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,46.94,47.11,46.72,46.77,25.26,631100
2010-01-04,46.96,47.33,46.64,47.19,25.49,1417700
2010-01-05,47.11,47.36,46.54,46.99,25.38,1595100
2010-01-06,47.48,47.63,46.91,47.11,25.45,1120100
2010-01-07,47.04,47.16,46.79,47.14,25.46,820600
2010-01-08,46.94,47.14,46.81,47.06,25.42,886000
2010-01-11,46.86,47.09,46.81,46.94,25.35,720800
2010-01-12,46.81,47.11,46.72,46.99,25.38,923400
2010-01-13,47.04,47.04,46.3,46.79,25.27,1891700
2010-01-14,46.81,47.06,46.62,46.91,25.34,1793900
2010-01-15,46.91,47.14,46.62,46.67,25.21,2319200
2010-01-19,46.67,47.19,46.49,47.19,25.49,873700
2010-01-20,46.99,47.04,46.54,46.64,25.19,975100
2010-01-21,46.59,47.09,46.07,46.17,24.94,1136900
2010-01-22,46.17,46.54,45.36,45.46,24.55,1122300
2010-01-25,45.85,46.1,45.48,45.98,24.83,842400
2010-01-26,45.88,46.07,45.04,45.31,24.47,1029500
2010-01-27,45.14,45.28,44.91,45.11,24.37,1303300
2010-01-28,45.14,45.51,44.84,45.16,24.39,1115100
2010-01-29,45.26,45.68,45.01,45.26,24.45,1397600
2010-02-01,45.06,45.98,44.72,45.93,24.81,1422200
2010-02-02,45.9,46.02,45.41,46.02,24.86,1729300
2010-02-03,45.85,46.15,45.68,45.75,24.71,1419100
2010-02-04,45.38,45.98,45.38,45.63,24.65,2172700
2010-02-05,45.6,46.12,45.36,46.12,24.91,2509000
2010-02-08,46.05,46.1,45.28,45.31,24.47,1053200
2010-02-09,45.85,45.85,45.09,45.7,24.69,1025500
2010-02-10,45.53,45.85,45.38,45.83,24.75,1292200
2010-02-11,45.9,46.1,45.33,46.07,24.89,953200
2010-02-12,45.83,46.35,45.53,46.3,25.01,1064800
2010-02-16,46.42,47.16,46.22,46.91,25.34,1296800
2010-02-17,47.04,47.36,46.84,47.33,25.57,1054800
2010-02-18,47.28,47.51,47.01,47.06,25.42,1012500
2010-02-19,46.89,47.26,46.47,47.19,25.49,1393200
2010-02-22,47.19,47.41,46.81,46.94,25.35,597400
2010-02-23,46.79,47.11,46.72,47.09,25.43,1216100
2010-02-24,47.31,48.1,47.09,48.1,25.98,1678300
2010-02-25,47.58,47.98,47.06,47.88,25.86,1235300
2010-02-26,48.02,48.77,48.0,48.64,26.27,6597900
2010-03-01,48.64,48.79,48.07,48.17,26.02,1078700
2010-03-02,48.57,48.64,47.6,47.93,25.89,1696000
2010-03-03,48.12,48.12,47.41,47.46,25.63,1399400
2010-03-04,47.83,48.02,47.28,47.41,25.61,1373500
2010-03-05,47.65,47.95,47.38,47.68,25.75,1393100
2010-03-08,47.73,47.83,47.51,47.73,25.78,1261200
2010-03-09,47.6,48.17,47.58,48.12,25.99,1242400
2010-03-10,48.1,48.15,47.75,48.07,25.97,974600
2010-03-11,47.9,47.98,47.56,47.88,25.86,1033100
2010-03-12,47.9,47.98,47.53,47.65,25.74,613600
2010-03-15,47.65,47.78,47.43,47.78,25.81,682500
2010-03-16,47.65,47.73,47.46,47.7,25.77,687300
2010-03-17,47.65,47.88,47.48,47.58,25.7,884500
2010-03-18,47.43,47.75,47.06,47.26,25.53,1143600
2010-03-19,47.26,47.36,46.37,47.26,25.53,2133400
2010-03-22,47.09,48.1,46.86,47.98,25.91,1179100
2010-03-23,47.9,48.1,47.26,47.51,25.66,1128000
2010-03-24,47.46,47.6,47.01,47.04,25.41,758600
2010-03-25,47.21,47.46,47.11,47.16,25.47,638500
2010-03-26,47.33,47.68,47.09,47.56,25.69,1003700
2010-03-29,47.78,47.78,46.67,46.69,25.22,1361700
2010-03-30,46.84,47.06,46.47,46.86,25.31,1472000
2010-03-31,44.1,44.69,43.21,43.7,23.61,6368500
2010-04-01,43.7,43.95,42.77,43.01,23.23,3264300
2010-04-05,43.19,43.33,42.86,43.01,23.23,1792400
2010-04-06,42.99,43.14,42.37,42.72,23.07,1597500
2010-04-07,42.81,42.81,41.95,42.47,22.94,2424500
2010-04-08,42.35,42.54,42.1,42.47,22.94,1398400
2010-04-09,42.69,43.38,42.52,43.23,23.35,1886700
2010-04-12,43.6,43.6,42.81,42.96,23.21,1965500
2010-04-13,42.99,43.41,42.74,43.21,23.34,1531100
2010-04-14,43.23,43.8,43.16,43.75,23.63,1857700
2010-04-15,44.25,44.79,43.75,44.44,24.01,2798800
2010-04-16,44.3,44.47,43.6,44.37,23.97,2771500
2010-04-19,44.47,44.96,44.22,44.91,24.26,2185600
2010-04-20,44.37,45.19,44.02,45.16,24.39,2438800
2010-04-21,44.96,45.31,44.79,45.09,24.35,1936500
2010-04-22,44.94,45.41,44.54,45.33,24.49,1879800
2010-04-23,45.33,45.58,44.89,45.58,24.62,1599900
2010-04-26,45.33,45.48,44.91,44.99,24.3,2039700
2010-04-27,44.81,44.96,44.42,44.47,24.02,2081500
2010-04-28,44.72,44.72,43.41,43.78,23.65,1792800
2010-04-29,43.8,44.05,43.63,43.78,23.65,1013100
2010-04-30,43.88,43.95,42.81,42.99,23.22,2562200
2010-05-03,43.19,43.38,42.89,43.06,23.26,1297700
2010-05-04,42.74,43.21,42.49,43.11,23.29,1379900
2010-05-05,42.99,44.07,42.81,43.04,23.25,945800
2010-05-06,42.86,43.68,42.15,42.69,23.06,2143500
2010-05-07,42.67,43.51,42.52,43.31,23.39,3275700
2010-05-10,44.12,44.12,42.74,43.04,23.25,1925400
2010-05-11,42.74,42.96,41.93,42.35,22.87,3164900
2010-05-12,42.52,42.62,42.3,42.59,23.01,1669400
2010-05-13,42.57,42.81,42.4,42.49,22.95,981300
2010-05-14,42.49,43.01,42.12,42.52,22.97,1598700
2010-05-17,42.47,43.53,42.47,43.41,23.45,1846800
2010-05-18,43.43,43.7,43.19,43.28,23.38,2069900
2010-05-19,43.04,43.43,42.72,42.81,23.13,1710600
2010-05-20,42.32,42.64,41.73,41.73,22.54,1776600
2010-05-21,41.33,42.4,41.11,42.37,22.89,2103300
2010-05-24,42.02,42.57,41.98,42.3,22.85,976900
2010-05-25,41.8,42.32,41.26,42.27,22.83,1545500
2010-05-26,42.47,42.79,41.9,42.05,22.71,1537100
2010-05-27,42.54,42.69,42.0,42.59,23.01,821200
2010-05-28,42.57,42.74,42.22,42.44,22.93,878600
2010-06-01,42.27,42.62,41.85,42.15,22.77,889700
2010-06-02,42.25,43.06,42.07,43.06,23.26,893300
2010-06-03,42.74,43.93,42.74,43.51,23.5,1269800
2010-06-04,43.19,44.32,42.89,43.41,23.45,2336600
2010-06-07,43.58,43.83,42.96,43.19,23.33,1429600
2010-06-08,43.28,43.28,42.67,42.94,23.19,1800700
2010-06-09,42.99,43.43,42.81,42.96,23.21,1444300
2010-06-10,43.21,44.07,43.21,43.68,23.59,1829800
2010-06-11,43.28,43.43,42.81,43.26,23.37,1867600
2010-06-14,43.7,43.88,43.23,43.28,23.38,2218800
2010-06-15,43.28,43.9,43.28,43.75,23.63,1490200
2010-06-16,43.73,44.49,43.58,44.32,23.94,1724000
2010-06-17,44.44,44.67,44.17,44.67,24.13,1167400
2010-06-18,44.72,44.94,44.32,44.42,23.99,1919400
2010-06-21,44.59,44.89,43.8,43.88,23.7,1319400
2010-06-22,43.68,43.9,43.14,43.16,23.31,1150600
2010-06-23,43.09,43.16,42.54,42.64,23.03,1634200
2010-06-24,42.49,43.04,42.3,42.37,22.89,1432200
2010-06-25,42.42,42.72,42.0,42.4,22.9,3821900
2010-06-28,42.54,42.64,42.05,42.2,22.79,1458300
2010-06-29,42.0,42.15,41.36,41.53,22.43,2260100
2010-06-30,41.73,42.1,41.28,41.33,22.33,1646600
2010-07-01,41.23,41.26,40.54,40.86,22.07,1530100
2010-07-02,40.96,40.99,40.44,40.57,21.91,745800
2010-07-06,41.14,41.14,40.42,40.74,22.01,1247100
2010-07-07,40.59,41.21,40.57,41.19,22.25,811000
2010-07-08,41.28,42.02,41.21,41.56,22.45,777700
