Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,48.04,48.25,47.55,47.55,37.15,628300
2010-01-04,47.7,48.74,47.7,48.33,37.76,654600
2010-01-05,48.35,48.5,47.44,48.0,37.5,892100
2010-01-06,47.82,48.74,47.8,48.49,37.88,776300
2010-01-07,48.3,48.77,47.93,48.63,37.99,814200
2010-01-08,48.78,48.8,48.25,48.69,38.04,529700
2010-01-11,48.7,49.31,48.57,49.26,38.48,587400
2010-01-12,48.92,49.01,47.28,47.39,37.02,963900
2010-01-13,47.67,49.11,47.54,49.02,38.29,900900
2010-01-14,48.99,49.05,48.32,48.95,38.24,479000
2010-01-15,48.93,48.97,47.66,48.0,37.5,660900
2010-01-19,48.0,49.67,48.0,48.76,38.09,1297300
2010-01-20,48.47,48.83,47.73,48.43,37.83,655400
2010-01-21,48.36,48.79,47.19,47.24,36.9,559000
2010-01-22,47.03,47.17,45.71,45.78,35.76,789800
2010-01-25,45.97,46.47,45.81,46.19,36.08,685400
2010-01-26,46.06,46.07,44.96,45.64,35.65,654900
2010-01-27,45.5,46.82,44.75,46.8,36.56,1408700
2010-01-28,48.09,48.09,43.04,44.34,34.64,3535900
2010-01-29,44.54,44.72,42.67,42.92,33.53,1674200
2010-02-01,43.0,45.12,42.84,44.74,34.95,1358800
2010-02-02,44.71,45.45,44.39,45.3,35.39,1164400
2010-02-03,45.06,45.52,44.51,44.78,34.98,965700
2010-02-04,44.46,44.8,44.23,44.35,34.65,1166200
2010-02-05,44.08,44.87,43.79,44.73,34.94,1017000
2010-02-08,44.82,44.92,44.18,44.25,34.57,848700
2010-02-09,44.58,45.12,44.04,44.75,34.96,600800
2010-02-10,44.76,44.76,43.93,44.41,34.69,581200
2010-02-11,44.36,45.14,43.9,45.03,35.18,596200
2010-02-12,44.33,45.2,43.84,44.98,35.14,945200
2010-02-16,45.19,45.64,45.09,45.59,35.62,382600
2010-02-17,45.64,46.15,45.53,46.02,35.95,510100
2010-02-18,46.03,46.97,45.87,46.88,36.62,543800
2010-02-19,46.81,47.39,46.29,47.23,36.9,661900
2010-02-22,47.34,47.39,46.78,47.05,36.76,536400
2010-02-23,47.01,47.32,46.41,46.54,36.36,464800
2010-02-24,46.78,46.94,45.62,46.09,36.01,1137400
2010-02-25,45.58,46.46,44.47,45.32,35.4,1371200
2010-02-26,45.56,45.61,44.88,45.22,35.33,764100
2010-03-01,45.49,45.53,44.6,45.08,35.22,1335700
2010-03-02,45.2,45.5,45.02,45.43,35.49,1762200
2010-03-03,45.43,47.18,45.2,46.82,36.58,1293200
2010-03-04,46.92,46.92,45.91,46.27,36.32,810800
2010-03-05,46.43,46.62,46.2,46.35,36.38,724200
2010-03-08,46.6,46.74,46.1,46.24,36.29,716100
2010-03-09,46.15,46.47,45.88,46.1,36.18,949700
2010-03-10,46.22,46.49,45.91,46.39,36.41,677600
2010-03-11,46.42,46.81,46.05,46.75,36.69,573300
2010-03-12,46.76,46.77,45.04,45.12,35.41,1182100
2010-03-15,45.1,45.48,44.93,45.42,35.65,874400
2010-03-16,45.63,46.0,45.28,45.94,36.06,706000
2010-03-17,46.17,46.8,45.92,46.55,36.54,744300
2010-03-18,46.69,47.36,46.69,47.26,37.09,828700
2010-03-19,46.05,47.43,45.75,46.05,36.14,1150100
2010-03-22,45.77,47.21,45.74,46.98,36.87,690300
2010-03-23,47.09,47.69,46.97,47.53,37.31,838200
2010-03-24,47.4,47.4,46.31,46.59,36.57,722900
2010-03-25,46.92,47.15,46.12,46.13,36.21,693900
2010-03-26,46.21,46.6,46.05,46.2,36.26,522700
2010-03-29,46.46,46.86,46.25,46.85,36.77,779600
2010-03-30,47.04,47.47,46.74,47.42,37.22,717800
2010-03-31,47.34,47.65,46.93,47.49,37.27,828900
2010-04-01,47.67,48.0,47.51,47.84,37.55,677800
2010-04-05,47.84,48.64,47.68,48.59,38.14,697200
2010-04-06,48.21,48.7,47.56,48.7,38.22,884600
2010-04-07,48.49,48.9,48.04,48.45,38.03,731700
2010-04-08,48.13,48.47,47.71,48.43,38.01,494300
2010-04-09,48.44,48.88,48.25,48.88,38.37,343200
2010-04-12,48.94,49.8,48.68,49.43,38.8,782400
2010-04-13,49.16,49.51,48.94,49.15,38.58,727900
2010-04-14,49.34,49.87,49.24,49.87,39.14,573300
2010-04-15,49.91,50.11,49.5,49.84,39.12,756900
2010-04-16,49.78,50.19,49.03,49.26,38.66,737200
2010-04-19,49.25,49.76,48.94,49.55,38.89,800200
2010-04-20,50.06,50.06,49.25,49.68,38.99,736100
2010-04-21,49.96,50.71,49.62,50.66,39.76,1110300
2010-04-22,50.16,50.61,49.58,50.53,39.66,721900
2010-04-23,50.45,50.46,49.71,50.3,39.48,609900
2010-04-26,50.31,50.72,49.91,50.42,39.57,889000
2010-04-27,50.0,50.37,48.67,48.85,38.34,1362400
2010-04-28,49.18,50.02,48.83,49.79,39.08,1119000
2010-04-29,50.42,54.5,50.29,54.41,42.71,3331500
2010-04-30,54.21,54.21,51.42,51.48,40.41,1485300
2010-05-03,51.5,52.1,51.33,52.03,40.84,1168300
2010-05-04,51.22,51.22,49.49,49.97,39.22,1364300
2010-05-05,49.1,50.17,49.1,49.89,39.16,1272700
2010-05-06,49.73,50.2,45.9,48.18,37.82,1950400
2010-05-07,47.9,48.5,46.47,46.8,36.73,1471900
2010-05-10,48.48,49.88,48.48,49.72,39.02,1206600
2010-05-11,49.16,50.44,48.86,49.63,38.95,783500
2010-05-12,49.71,50.5,49.71,50.24,39.43,822100
2010-05-13,49.98,50.49,49.11,49.19,38.61,1219900
2010-05-14,48.86,49.21,47.6,48.12,37.77,1263500
2010-05-17,48.19,49.21,47.71,49.1,38.54,1187500
2010-05-18,49.6,49.79,48.39,48.52,38.08,1135300
2010-05-19,48.44,48.68,47.18,47.87,37.57,1181800
2010-05-20,46.87,47.07,45.64,45.78,35.93,1446600
2010-05-21,44.69,47.65,44.52,46.18,36.25,4181900
2010-05-24,46.65,46.66,45.38,45.45,35.67,1758100
2010-05-25,44.39,46.34,44.34,46.07,36.16,2630700
2010-05-26,46.45,48.01,45.67,45.84,35.98,2504500
2010-05-27,45.9,47.66,45.9,47.66,37.59,1828600
2010-05-28,47.77,47.8,46.57,46.91,37.0,1071000
2010-06-01,46.55,47.05,45.25,45.34,35.76,1481500
2010-06-02,45.69,47.79,45.69,47.78,37.68,1474300
2010-06-03,47.39,47.95,47.1,47.75,37.66,1197100
2010-06-04,46.75,47.27,45.38,45.58,35.95,1187900
2010-06-07,45.82,46.18,44.6,44.66,35.22,1311400
2010-06-08,44.72,45.08,43.96,44.89,35.4,1254900
2010-06-09,45.35,46.16,44.49,44.7,35.25,1282000
2010-06-10,45.63,46.42,45.33,46.33,36.54,975600
2010-06-11,45.64,46.63,45.6,46.56,36.72,827800
2010-06-14,47.13,47.42,46.33,46.4,36.59,760100
2010-06-15,46.95,48.26,46.81,48.19,38.01,1235800
2010-06-16,48.03,48.33,47.62,48.14,37.97,895100
2010-06-17,48.15,48.37,47.69,48.29,38.09,1049400
2010-06-18,48.35,48.71,48.22,48.49,38.24,920100
2010-06-21,49.04,49.21,47.5,47.85,37.74,769300
2010-06-22,48.05,48.56,47.05,47.13,37.17,912400
2010-06-23,47.22,47.77,46.65,47.14,37.18,1088200
2010-06-24,46.83,46.97,45.69,45.79,36.11,1422300
2010-06-25,46.0,46.0,44.66,44.78,35.32,2355600
2010-06-28,44.97,45.32,44.28,45.02,35.51,1576100
2010-06-29,44.21,44.21,42.73,42.9,33.83,2363000
2010-06-30,42.89,43.0,41.46,41.65,32.85,2199700
2010-07-01,41.55,41.69,40.24,41.09,32.41,1455300
2010-07-02,41.25,41.55,40.83,41.18,32.48,1253500
2010-07-06,41.75,42.61,41.15,41.55,32.77,1333700
2010-07-07,41.67,42.6,41.48,42.56,33.57,1304900
2010-07-08,42.86,43.09,42.41,43.06,33.96,821500
2010-07-09,42.84,43.14,42.51,42.9,33.83,562400
2010-07-12,42.67,43.1,42.57,42.92,33.85,523000
2010-07-13,43.59,44.23,43.31,44.04,34.73,1165800
2010-07-14,44.13,44.84,43.78,44.73,35.28,1350100
2010-07-15,44.7,44.83,43.97,44.74,35.29,1090300
2010-07-16,44.43,44.43,43.14,43.34,34.18,1015200
2010-07-19,44.11,44.11,43.18,43.6,34.39,890900
2010-07-20,43.03,44.37,42.76,44.37,34.99,1137600
2010-07-21,44.64,44.89,43.97,44.11,34.79,1669100
2010-07-22,44.87,46.09,44.87,45.92,36.22,1321900
2010-07-23,45.76,46.07,45.09,45.8,36.12,1047400
2010-07-26,45.81,46.25,45.55,46.25,36.48,595900
2010-07-27,46.57,46.59,45.62,45.89,36.19,651800
2010-07-28,45.71,46.04,45.53,45.68,36.03,657700
2010-07-29,45.93,46.11,44.76,45.21,35.66,775200
2010-07-30,44.37,45.01,44.23,44.53,35.12,1366300
2010-08-02,45.39,45.75,45.11,45.6,35.96,769600
2010-08-03,45.11,46.01,44.74,45.82,36.14,1280300
2010-08-04,45.81,45.82,44.68,45.46,35.85,1480400
2010-08-05,45.17,45.3,44.77,45.17,35.62,761500
2010-08-06,45.36,48.95,45.16,46.88,36.97,2467600
2010-08-09,47.09,47.09,46.28,46.54,36.71,1040600
2010-08-10,46.13,46.59,45.5,46.29,36.51,1396300
2010-08-11,45.31,45.31,44.39,44.6,35.18,1103900
2010-08-12,44.05,44.24,43.61,43.83,34.57,998900
2010-08-13,43.58,44.22,43.51,43.82,34.56,836900
2010-08-16,43.61,44.17,43.25,43.93,34.65,1115500
2010-08-17,44.27,44.84,44.13,44.31,34.95,1235300
2010-08-18,44.23,44.32,43.65,43.8,34.54,1344000
2010-08-19,43.51,43.73,42.67,42.77,33.73,1393700
2010-08-20,42.42,43.04,42.0,42.76,33.72,1430500
2010-08-23,42.95,43.52,42.95,42.96,33.88,1167400
2010-08-24,42.36,42.64,41.69,42.1,33.2,919900
2010-08-25,41.69,42.62,41.13,42.35,33.4,1221500
