Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,81.45,81.53,80.3,80.31,63.77,1003400
2010-01-04,80.91,81.78,80.85,81.56,64.76,1233000
2010-01-05,81.27,81.4,79.63,80.04,63.55,2170900
2010-01-06,80.03,80.99,80.0,80.75,64.12,2359700
2010-01-07,80.76,81.23,80.59,80.96,64.28,2105100
2010-01-08,80.71,81.57,80.6,81.49,64.7,1424900
2010-01-11,82.34,82.37,81.41,82.26,65.31,1343000
2010-01-12,81.35,81.81,80.7,81.38,64.62,1171200
2010-01-13,81.78,82.94,81.25,82.82,65.76,1257800
2010-01-14,82.87,82.87,80.88,81.01,64.32,1401500
2010-01-15,80.76,81.45,80.36,80.96,64.28,1788900
2010-01-19,80.74,81.53,80.6,81.08,64.38,1598500
2010-01-20,80.41,81.03,80.08,80.75,64.12,1456100
2010-01-21,80.74,81.62,79.48,79.5,63.12,1672400
2010-01-22,79.22,80.29,77.9,78.24,62.12,2019200
2010-01-25,79.26,80.09,78.94,79.43,63.07,1885800
2010-01-26,78.94,79.8,78.45,78.66,62.46,1939100
2010-01-27,77.45,78.53,74.7,76.77,60.96,6430200
2010-01-28,77.16,77.47,75.87,76.15,60.46,2827800
2010-01-29,76.8,76.93,75.17,75.32,59.8,3075600
2010-02-01,76.01,76.81,75.78,76.81,60.99,2450400
2010-02-02,76.8,77.6,76.18,77.24,61.33,1888000
2010-02-03,77.03,77.72,76.66,76.89,61.05,1658200
2010-02-04,76.18,76.51,74.55,74.59,59.22,2506800
2010-02-05,74.98,75.6,73.11,74.01,58.76,4520300
2010-02-08,74.13,76.17,73.99,74.14,58.87,2498700
2010-02-09,75.04,75.77,73.85,75.19,59.7,2950700
2010-02-10,75.07,76.08,74.52,75.22,59.72,2379200
2010-02-11,75.04,76.32,75.02,76.23,60.53,1680000
2010-02-12,75.16,77.09,74.62,76.93,61.08,3320000
2010-02-16,77.74,78.0,77.21,77.92,61.87,1770100
2010-02-17,78.14,78.78,77.4,78.04,61.96,1933200
2010-02-18,77.79,78.49,77.41,77.71,61.7,2129900
2010-02-19,77.48,77.76,76.87,77.22,61.31,2765400
2010-02-22,77.46,77.68,76.74,76.9,61.06,2019000
2010-02-23,76.64,76.85,75.89,76.16,60.47,1756300
2010-02-24,76.44,76.91,75.62,76.0,60.34,2892400
