Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,36.1,36.15,35.66,35.71,24.51,4821400
2010-01-04,35.77,36.35,35.77,35.82,24.59,6067100
2010-01-05,35.9,35.91,34.93,35.19,24.16,7517100
2010-01-06,35.24,35.53,35.24,35.45,24.34,7661600
2010-01-07,35.49,35.56,35.15,35.27,24.21,5997100
2010-01-08,35.28,35.28,34.84,35.0,24.03,5624400
2010-01-11,35.09,35.56,35.09,35.48,24.36,4793400
2010-01-12,35.35,35.6,35.21,35.36,24.27,4700800
2010-01-13,35.35,36.0,35.27,35.85,24.61,5320900
2010-01-14,35.75,36.0,35.75,36.0,24.71,6417300
2010-01-15,36.0,36.11,35.43,35.82,24.59,6519600
2010-01-19,35.99,37.92,35.91,37.41,25.68,17795600
2010-01-20,37.4,37.72,36.66,37.3,25.61,8851200
2010-01-21,37.27,37.48,36.0,36.11,24.79,11022600
2010-01-22,36.09,36.41,35.46,35.52,24.38,7247500
2010-01-25,35.85,36.02,35.53,35.75,24.54,6499400
2010-01-26,35.96,36.24,35.77,36.16,24.82,7128400
2010-01-27,36.16,36.42,35.9,36.39,24.98,7009700
2010-01-28,35.91,36.01,35.27,35.75,24.54,9423500
2010-01-29,35.94,35.94,35.13,35.2,24.16,9281900
2010-02-01,35.36,35.69,34.85,35.0,24.03,6767300
2010-02-02,35.0,35.75,34.9,35.62,24.45,6573500
2010-02-03,35.45,35.45,35.07,35.31,24.24,5493500
2010-02-04,35.1,35.22,34.61,34.67,23.8,8914200
2010-02-05,34.64,34.82,33.91,34.52,23.7,8698500
2010-02-08,34.49,35.13,34.22,34.78,23.88,8301000
2010-02-09,34.95,35.47,34.86,35.2,24.16,10261600
2010-02-10,34.75,34.75,33.98,34.17,23.79,9425900
2010-02-11,34.17,34.43,33.82,34.17,23.79,6352000
2010-02-12,33.95,34.04,33.63,33.95,23.64,8706400
2010-02-16,34.25,34.25,33.95,34.08,23.73,7280900
2010-02-17,34.35,34.62,34.22,34.39,23.94,5708100
2010-02-18,34.39,34.59,34.26,34.41,23.96,4158200
2010-02-19,34.2,34.48,33.86,34.24,23.84,5476400
2010-02-22,34.4,34.65,34.08,34.47,24.0,5855000
2010-02-23,34.36,34.47,33.85,33.96,23.64,5547900
2010-02-24,34.11,34.31,33.96,34.04,23.7,4426200
2010-02-25,33.84,34.32,33.72,34.24,23.84,6111600
2010-02-26,34.33,34.52,34.19,34.34,23.91,4850100
2010-03-01,34.5,34.55,34.28,34.32,23.89,5714700
2010-03-02,34.34,34.76,34.33,34.55,24.05,6316400
2010-03-03,34.62,34.73,34.23,34.32,23.89,5317600
2010-03-04,34.39,34.56,34.31,34.54,24.05,5815300
2010-03-05,34.65,35.09,34.63,35.09,24.43,5995400
2010-03-08,35.11,35.11,34.81,34.93,24.32,5672000
2010-03-09,35.0,35.17,34.77,35.06,24.41,4805800
2010-03-10,35.24,35.46,35.08,35.34,24.6,5063800
2010-03-11,35.33,35.83,35.23,35.82,24.94,6661300
2010-03-12,35.99,36.0,35.48,35.93,25.01,7245200
2010-03-15,35.91,36.04,35.76,36.01,25.07,6446000
2010-03-16,36.09,36.22,35.89,36.18,25.19,6635900
2010-03-17,36.21,36.34,36.09,36.22,25.22,6155400
2010-03-18,36.08,36.38,36.02,36.36,25.31,5731200
2010-03-19,36.17,36.58,36.01,36.17,25.18,9641300
2010-03-22,36.17,36.82,36.12,36.54,25.44,6691600
2010-03-23,36.64,36.8,36.46,36.62,25.49,6515200
2010-03-24,36.68,36.7,36.18,36.26,25.24,5450700
2010-03-25,36.58,36.58,35.96,35.98,25.05,5852200
2010-03-26,36.04,36.04,35.4,35.42,24.66,8199200
2010-03-29,35.5,35.73,35.34,35.47,24.69,6954900
2010-03-30,35.51,35.94,35.48,35.9,24.99,7239900
2010-03-31,35.87,36.49,35.8,36.22,25.22,9361900
2010-04-01,36.45,36.59,36.04,36.15,25.17,6248100
2010-04-05,36.35,36.97,36.2,36.55,25.45,8196400
2010-04-06,36.39,36.58,36.06,36.51,25.42,7033500
2010-04-07,36.51,36.68,36.45,36.52,25.42,9554200
2010-04-08,36.51,36.62,36.45,36.52,25.42,6104900
2010-04-09,36.69,36.92,36.54,36.84,25.65,4587200
2010-04-12,36.83,36.83,36.54,36.57,25.46,5256400
2010-04-13,36.57,36.96,36.5,36.92,25.7,5788900
2010-04-14,36.72,36.82,36.45,36.59,25.47,7678300
2010-04-15,36.61,36.78,36.5,36.72,25.56,5629500
2010-04-16,36.52,36.84,36.5,36.54,25.44,7987600
2010-04-19,35.95,36.62,35.75,36.58,25.47,11600000
2010-04-20,36.53,36.65,36.46,36.53,25.43,7789400
2010-04-21,36.5,36.56,35.8,36.01,25.07,11347000
2010-04-22,35.79,35.84,35.21,35.38,24.63,10391800
2010-04-23,35.42,35.48,34.85,35.46,24.69,10398900
2010-04-26,35.48,35.7,35.25,35.32,24.59,6419000
2010-04-27,35.29,35.4,34.82,34.87,24.28,7002500
2010-04-28,35.02,35.02,34.57,34.76,24.2,6968300
2010-04-29,34.97,35.35,34.83,35.04,24.39,6256300
2010-04-30,35.13,35.5,34.97,34.97,24.35,6937600
2010-05-03,35.27,35.41,35.0,35.19,24.5,5234100
2010-05-04,35.03,35.38,34.86,35.01,24.37,7010800
2010-05-05,34.96,35.37,34.86,35.08,24.42,6713800
2010-05-06,35.05,35.13,33.42,34.4,23.95,12354100
2010-05-07,34.4,34.9,34.02,34.62,24.1,23682700
2010-05-10,35.47,35.8,34.92,35.15,24.47,13461100
2010-05-11,34.98,35.54,34.95,35.28,24.56,6984800
2010-05-12,35.07,35.07,34.47,34.78,24.55,6697600
2010-05-13,34.78,34.83,34.48,34.5,24.36,5617300
2010-05-14,34.34,34.4,33.73,33.92,23.95,7688500
2010-05-17,33.97,34.16,33.58,34.01,24.01,5526900
2010-05-18,34.25,34.42,33.61,33.62,23.73,6693100
2010-05-19,33.47,34.0,33.47,33.86,23.9,9399300
2010-05-20,33.45,33.96,33.1,33.34,23.54,12160500
2010-05-21,33.0,33.2,32.67,33.12,23.38,9019400
2010-05-24,33.01,33.41,32.9,32.98,23.28,4874600
2010-05-25,32.63,32.81,32.02,32.75,23.12,10079600
2010-05-26,32.98,32.98,32.1,32.25,22.77,12715000
2010-05-27,32.67,32.87,32.52,32.82,23.17,6110700
2010-05-28,32.84,33.08,32.56,32.79,23.15,8389500
2010-06-01,32.63,33.13,32.41,32.55,22.98,5852100
2010-06-02,32.76,33.22,32.62,33.21,23.45,5509500
2010-06-03,33.23,33.54,33.17,33.37,23.56,5107700
2010-06-04,33.02,33.1,32.27,32.37,22.85,6832600
2010-06-07,32.59,32.85,32.43,32.58,23.0,9650100
2010-06-08,32.57,32.92,32.38,32.9,23.23,7600900
2010-06-09,33.0,33.29,32.81,32.95,23.26,6512400
2010-06-10,33.35,33.92,33.15,33.46,23.62,7213400
2010-06-11,33.32,33.8,33.26,33.67,23.77,5601600
2010-06-14,34.0,34.22,33.83,33.87,23.91,6053200
2010-06-15,33.95,34.42,33.76,34.39,24.28,6373600
2010-06-16,34.27,34.36,33.92,34.11,24.08,7534700
2010-06-17,34.24,34.39,33.93,34.39,24.28,6494200
2010-06-18,34.66,34.74,34.36,34.61,24.43,8506400
2010-06-21,34.76,34.85,34.52,34.66,24.47,5373200
2010-06-22,34.66,34.98,34.42,34.45,24.32,5256400
2010-06-23,34.44,34.7,34.24,34.56,24.4,5625800
2010-06-24,34.54,34.61,34.19,34.48,24.34,16867500
2010-06-25,34.32,34.35,33.86,33.94,23.96,12710800
2010-06-28,34.25,34.26,33.77,34.02,24.02,8289300
2010-06-29,33.61,33.81,33.34,33.75,23.83,8854700
2010-06-30,33.7,34.07,33.43,33.5,23.65,7742600
2010-07-01,33.43,33.47,32.82,33.12,23.38,17132600
2010-07-02,33.28,33.87,33.09,33.67,23.77,6888200
2010-07-06,33.97,34.15,33.67,33.91,23.94,19358500
2010-07-07,34.02,34.67,33.76,34.66,24.47,6759500
2010-07-08,34.83,35.19,34.75,35.18,24.84,7511300
2010-07-09,35.14,35.18,34.88,35.17,24.83,5367200
2010-07-12,35.1,35.19,34.94,35.13,24.8,4361700
2010-07-13,35.27,35.6,35.17,35.21,24.86,7524300
2010-07-14,35.15,35.2,34.7,34.8,24.57,11570800
2010-07-15,34.86,35.24,34.62,35.17,24.83,7380700
2010-07-16,35.08,35.12,34.58,34.64,24.46,7637500
2010-07-19,34.76,35.08,34.76,34.99,24.7,4951300
2010-07-20,34.77,35.31,34.45,35.26,24.89,6926100
2010-07-21,35.43,35.43,34.72,34.95,24.67,6809100
2010-07-22,35.85,35.85,35.0,35.15,24.82,8888000
2010-07-23,35.22,35.24,34.57,35.17,24.83,6328000
2010-07-26,35.2,35.52,35.17,35.44,25.02,4673400
2010-07-27,35.63,36.13,35.25,36.1,25.49,11840500
2010-07-28,36.02,36.2,35.53,35.67,25.18,10420300
2010-07-29,35.76,35.99,35.2,35.45,25.03,7269400
2010-07-30,35.26,35.82,35.05,35.6,25.13,7662800
2010-08-02,35.84,36.39,35.75,36.34,25.66,6991400
2010-08-03,36.43,36.66,36.28,36.58,25.82,5950300
2010-08-04,36.47,36.82,36.22,36.78,25.97,6623300
2010-08-05,36.59,36.88,36.46,36.85,26.02,3620200
2010-08-06,36.6,36.89,36.39,36.87,26.03,4711800
2010-08-09,36.98,37.01,36.87,36.96,26.09,5664200
2010-08-10,36.81,37.92,36.81,37.77,26.66,11213900
2010-08-11,36.81,37.26,36.57,36.71,26.26,9675700
2010-08-12,36.42,36.87,36.23,36.6,26.18,7401800
2010-08-13,35.39,35.84,35.23,35.7,25.53,13055600
2010-08-16,35.38,35.73,35.23,35.57,25.44,5217800
2010-08-17,35.08,35.15,34.45,34.75,24.86,14976600
2010-08-18,34.81,34.97,34.64,34.78,24.88,23704700
2010-08-19,34.59,34.69,34.18,34.28,24.52,10578400
2010-08-20,34.1,34.23,33.73,34.17,24.44,9187800
2010-08-23,34.35,34.54,34.25,34.31,24.54,13820500
2010-08-24,34.04,34.22,33.85,33.97,24.3,6426300
2010-08-25,33.84,34.5,33.8,34.31,24.54,7127500
2010-08-26,34.46,34.46,33.84,33.95,24.28,6380900
