Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,24.86,25.12,24.82,24.88,20.04,2591000
2010-01-04,25.32,25.91,24.93,25.88,20.84,3811400
2010-01-05,25.8,26.61,25.72,26.42,21.28,4839200
2010-01-06,26.25,26.93,25.93,26.82,21.6,4520000
2010-01-07,26.82,27.59,26.47,27.45,22.11,5713900
2010-01-08,27.18,27.48,26.65,27.03,21.78,3479000
2010-01-11,27.32,27.53,26.99,27.39,22.07,3233100
2010-01-12,28.4,28.44,26.67,26.93,21.7,5980100
2010-01-13,26.9,27.53,26.32,27.31,22.0,4143500
2010-01-14,27.18,27.56,26.49,27.46,22.12,4901700
2010-01-15,27.23,27.36,26.69,26.89,21.66,3940400
2010-01-19,26.85,27.71,26.6,27.69,22.31,3802400
2010-01-20,27.46,27.46,26.89,27.07,21.81,2664100
2010-01-21,27.11,27.4,25.83,26.01,20.95,5978100
2010-01-22,25.99,26.18,24.32,24.47,19.71,7236800
2010-01-25,25.1,25.65,24.54,24.81,19.99,3253800
2010-01-26,24.56,25.58,24.45,24.67,19.87,4413700
2010-01-27,24.47,25.57,24.34,25.49,20.54,3778200
2010-01-28,25.81,25.81,24.4,24.82,20.0,4469500
2010-01-29,25.09,25.68,24.43,24.58,19.8,4325000
2010-02-01,25.0,25.27,24.71,24.93,20.08,3440500
2010-02-02,25.0,26.3,24.71,26.17,21.08,6030600
2010-02-03,26.0,26.08,25.22,25.47,20.52,4034800
2010-02-04,25.19,25.19,23.75,23.77,19.15,7142100
2010-02-05,23.81,24.28,22.52,23.72,19.11,7099800
2010-02-08,23.82,24.52,23.37,23.5,18.93,5032400
2010-02-09,24.5,25.2,23.84,24.5,19.74,10533700
2010-02-10,24.5,24.88,24.05,24.46,19.71,3340200
2010-02-11,24.44,24.88,23.71,24.82,20.0,3891200
2010-02-12,24.46,24.8,23.96,24.7,19.9,3857400
2010-02-16,24.57,24.95,24.11,24.93,20.08,3897000
2010-02-17,25.19,25.4,24.91,25.15,20.26,3309500
2010-02-18,24.88,25.76,24.88,25.72,20.72,4458600
2010-02-19,25.43,25.71,24.76,25.48,20.53,4873700
2010-02-22,25.6,25.89,25.46,25.78,20.77,3442300
2010-02-23,25.61,25.61,24.42,24.65,19.86,5113400
2010-02-24,24.77,25.36,24.64,25.34,20.41,3345300
2010-02-25,24.8,25.3,24.51,25.27,20.36,5087200
2010-02-26,25.22,25.27,24.81,25.18,20.29,3086600
2010-03-01,25.27,25.69,25.19,25.62,20.64,2629700
2010-03-02,25.72,26.55,25.69,26.11,21.03,5537300
2010-03-03,26.15,26.35,25.94,26.27,21.16,3396100
2010-03-04,26.22,26.68,26.12,26.58,21.41,3089800
2010-03-05,26.66,27.1,26.53,26.98,21.74,3131800
2010-03-08,27.06,27.43,26.87,26.94,21.7,2779200
2010-03-09,26.9,27.4,26.56,27.18,21.9,2365800
2010-03-10,27.38,27.66,27.04,27.21,21.92,3229300
2010-03-11,27.06,27.34,26.84,27.33,22.02,1861000
2010-03-12,27.55,27.75,27.18,27.36,22.04,2696000
2010-03-15,27.12,28.32,27.12,28.2,22.72,5472500
2010-03-16,28.3,28.53,27.75,28.48,22.94,3756300
2010-03-17,29.1,30.74,29.07,29.73,23.95,9950800
2010-03-18,29.53,29.81,29.08,29.24,23.56,4511500
