Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,39.61,39.63,39.21,39.21,35.29,802800
2010-01-04,39.7,40.45,39.52,39.88,35.89,1856900
2010-01-05,39.79,39.8,39.09,39.61,35.65,1463300
2010-01-06,39.63,40.13,39.34,39.43,35.49,2158300
2010-01-07,39.25,39.75,38.92,39.36,35.42,1443400
2010-01-08,39.33,40.58,39.11,40.35,36.31,2022100
2010-01-11,40.91,41.56,40.71,41.43,37.29,3492100
2010-01-12,40.82,40.92,38.65,38.74,34.87,3604800
2010-01-13,39.0,39.16,37.68,38.86,34.97,2906400
2010-01-14,38.67,38.92,38.0,38.34,34.51,2222300
2010-01-15,38.47,38.49,36.63,36.82,33.14,2758300
2010-01-19,36.94,37.27,36.68,37.04,33.34,2290800
2010-01-20,36.6,37.13,35.94,37.0,33.3,2324500
2010-01-21,36.9,37.97,36.39,36.49,32.84,2155800
2010-01-22,36.0,36.59,34.28,34.29,30.86,3232400
2010-01-25,34.42,35.2,34.35,34.89,31.4,2261200
2010-01-26,34.76,35.64,34.49,35.0,31.5,3121600
2010-01-27,34.51,35.59,34.34,35.54,31.99,3020100
2010-01-28,35.64,35.92,33.21,33.38,30.04,7112200
2010-01-29,33.78,34.0,32.6,33.01,29.71,4418800
2010-02-01,33.15,33.77,33.03,33.62,30.26,2880300
2010-02-02,33.93,34.11,33.52,33.93,30.54,3957400
2010-02-03,33.65,34.0,33.0,33.21,29.89,4359200
2010-02-04,32.78,32.92,32.07,32.25,29.02,3513000
2010-02-05,32.37,33.33,32.16,33.29,29.96,3161100
2010-02-08,33.21,33.7,32.66,32.97,29.67,2090600
2010-02-09,33.28,34.01,33.02,33.69,30.32,2996400
2010-02-10,33.76,34.23,32.98,33.69,30.32,1588900
2010-02-11,33.6,34.96,33.28,34.77,31.29,2724300
2010-02-12,34.14,35.47,33.81,35.05,31.54,2727400
2010-02-16,35.45,35.74,35.33,35.71,32.14,2311600
2010-02-17,35.98,35.98,34.97,35.27,31.74,2059200
2010-02-18,35.09,35.2,34.26,35.13,31.62,2923700
2010-02-19,34.92,35.69,34.72,35.66,32.09,2385200
2010-02-22,35.69,35.89,35.17,35.25,31.72,1956400
2010-02-23,35.05,35.2,32.76,33.15,29.83,6753100
2010-02-24,33.39,34.3,33.31,33.72,30.35,5820100
2010-02-25,33.26,33.88,32.67,33.76,30.38,3136800
2010-02-26,33.71,33.98,32.98,33.91,30.52,1865700
2010-03-01,34.09,35.23,34.09,35.14,31.63,2276000
2010-03-02,35.23,36.09,35.18,35.48,31.93,3253600
2010-03-03,35.7,35.87,34.97,35.2,31.68,1765600
2010-03-04,35.31,35.5,34.26,34.52,31.07,2282800
2010-03-05,34.64,35.06,34.04,34.72,31.25,2214600
2010-03-08,34.71,35.05,34.61,34.95,31.45,1275400
2010-03-09,34.87,35.05,34.3,34.75,31.27,1633900
2010-03-10,34.84,35.63,34.6,35.56,32.0,2558900
2010-03-11,35.3,35.75,34.52,34.74,31.27,2912700
2010-03-12,34.83,35.04,34.07,34.26,30.83,2967600
2010-03-15,33.09,33.34,32.56,32.68,29.41,6697300
2010-03-16,32.83,33.81,32.79,33.74,30.37,3331500
2010-03-17,34.08,34.19,33.55,33.89,30.5,3193100
2010-03-18,33.82,34.49,33.41,33.9,30.51,2863500
2010-03-19,34.11,34.16,33.45,33.88,30.49,3359700
