Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,15.08,15.2,14.87,14.94,9.96,10169200
2010-01-04,15.6,16.62,15.52,16.62,11.08,36415700
2010-01-05,17.01,18.29,16.96,18.27,12.18,66116600
2010-01-06,18.03,18.35,17.8,18.1,12.07,31210700
2010-01-07,17.85,18.56,17.66,18.5,12.34,29376100
2010-01-08,18.35,18.4,18.01,18.1,12.07,18760500
2010-01-11,18.4,18.68,18.2,18.36,12.24,22028000
2010-01-12,18.37,18.85,18.18,18.34,12.23,34472600
2010-01-13,18.5,18.65,17.61,18.29,12.2,25562200
2010-01-14,18.32,19.12,18.18,18.65,12.44,32126200
2010-01-15,18.62,18.92,18.2,18.4,12.27,19672900
2010-01-19,18.32,18.64,17.91,18.62,12.42,18572100
2010-01-20,18.35,18.5,17.65,17.88,11.92,25002000
2010-01-21,17.86,18.3,16.98,17.02,11.35,29746200
2010-01-22,16.95,17.29,16.15,16.28,10.86,36811100
2010-01-25,16.73,16.75,15.56,16.19,10.8,28101300
2010-01-26,15.97,16.55,15.85,16.21,10.81,28934500
2010-01-27,16.18,16.29,15.77,16.24,10.83,18153500
2010-01-28,16.4,16.78,15.77,15.86,10.58,22569200
2010-01-29,16.12,16.5,15.37,15.5,10.34,30200400
2010-02-01,15.67,17.12,15.67,17.11,11.41,36443500
2010-02-02,17.02,17.15,16.31,16.95,11.3,31679700
2010-02-03,16.94,17.02,16.49,16.52,11.02,15652300
2010-02-04,16.22,16.24,15.33,15.37,10.25,32569900
2010-02-05,15.55,15.77,14.88,15.71,10.48,29592300
2010-02-08,15.81,16.2,15.4,15.54,10.36,21102400
2010-02-09,15.93,16.08,15.5,15.89,10.6,20931300
2010-02-10,15.99,16.2,15.71,15.84,10.56,15124700
2010-02-11,15.98,16.93,15.75,16.87,11.25,27332000
2010-02-12,16.55,16.82,16.25,16.81,11.21,23036600
2010-02-16,17.18,17.65,17.1,17.56,11.71,21864600
2010-02-17,17.85,17.95,17.31,17.46,11.64,23050900
2010-02-18,16.39,16.5,15.8,15.91,10.61,53185900
2010-02-19,15.87,16.44,15.87,16.24,10.83,28488600
2010-02-22,16.5,16.74,16.41,16.52,11.02,19226400
2010-02-23,16.44,16.47,15.95,16.09,10.73,23120700
2010-02-24,16.25,16.34,16.01,16.09,10.73,17605200
2010-02-25,15.85,16.24,15.5,16.2,10.8,20621600
2010-02-26,16.3,16.78,16.05,16.63,11.09,24100500
2010-03-01,16.87,17.3,16.8,17.09,11.4,22198700
2010-03-02,17.34,17.47,17.05,17.11,11.41,20437200
2010-03-03,17.11,17.41,16.9,17.17,11.45,19647300
2010-03-04,17.19,17.25,16.78,17.18,11.46,18190400
2010-03-05,17.39,17.98,17.34,17.87,11.92,25164200
2010-03-08,17.99,18.6,17.9,18.44,12.3,28276300
2010-03-09,18.36,19.3,18.25,18.85,12.57,41037700
2010-03-10,19.25,19.84,18.96,19.73,13.16,42071300
2010-03-11,19.59,19.62,19.1,19.34,12.9,25767300
2010-03-12,19.67,19.89,19.4,19.59,13.06,25320700
2010-03-15,19.25,19.45,18.3,18.69,12.46,34005700
2010-03-16,18.9,20.11,18.75,20.06,13.38,42332200
2010-03-17,20.35,20.55,19.63,19.84,13.23,36219800
2010-03-18,19.75,19.84,19.28,19.28,12.86,22973100
2010-03-19,19.5,19.58,19.25,19.5,13.0,23020300
2010-03-22,19.15,21.59,18.88,21.43,14.29,74328000
2010-03-23,21.78,22.1,20.9,21.45,14.31,46784600
2010-03-24,21.33,22.39,21.23,21.9,14.61,55172400
2010-03-25,22.29,22.49,20.82,20.93,13.96,43210800
2010-03-26,21.15,22.22,21.12,21.89,14.6,53852400
2010-03-29,22.1,22.14,21.43,21.86,14.58,29358100
2010-03-30,21.88,21.94,21.0,21.21,14.15,36316400
2010-03-31,20.98,21.62,20.6,21.15,14.11,40794200
2010-04-01,21.18,21.48,20.7,21.3,14.21,34438000
2010-04-05,21.67,23.41,21.56,23.36,15.58,58182900
2010-04-06,23.4,23.96,23.08,23.43,15.63,46346100
2010-04-07,22.89,23.35,22.6,22.93,15.29,38588600
2010-04-08,22.81,24.66,22.6,24.23,16.16,64044300
2010-04-09,24.38,24.42,23.93,24.12,16.09,35189600
2010-04-12,24.44,24.95,24.1,24.22,16.15,38662600
2010-04-13,24.37,24.8,24.18,24.39,16.27,28419200
2010-04-14,24.77,24.83,23.93,24.0,16.01,41134000
2010-04-15,23.34,24.24,23.27,23.72,15.82,33483900
2010-04-16,23.78,23.95,22.32,22.9,15.27,43909100
2010-04-19,22.6,23.44,22.07,22.77,15.19,33587500
2010-04-20,23.43,24.23,23.35,24.05,16.04,31848500
2010-04-21,24.16,24.19,23.38,23.71,15.81,23517800
2010-04-22,23.41,24.49,23.26,24.43,16.29,26882800
2010-04-23,24.65,25.92,24.61,25.12,16.75,41221500
2010-04-26,26.18,26.57,25.81,26.2,17.47,40524300
2010-04-27,25.96,26.03,24.58,24.69,16.47,44972600
2010-04-28,25.27,25.48,24.23,25.15,16.77,33757000
2010-04-29,25.56,26.23,25.43,26.05,17.37,28379000
2010-04-30,26.0,26.44,24.75,24.86,16.58,35608400
2010-05-03,25.39,25.83,24.43,25.65,17.11,32499200
2010-05-04,25.17,25.21,23.55,23.87,15.92,50612900
2010-05-05,22.87,24.49,22.08,23.31,15.55,49651400
2010-05-06,22.64,23.88,18.08,21.65,14.44,74236000
2010-05-07,22.26,22.38,19.59,21.19,14.13,74402900
2010-05-10,23.42,23.75,22.83,23.25,15.51,43415700
2010-05-11,22.76,24.3,22.58,23.61,15.75,42743800
2010-05-12,24.16,24.2,23.71,24.02,16.02,30875600
2010-05-13,24.24,24.88,23.77,24.4,16.27,39484900
2010-05-14,24.03,24.13,23.05,23.43,15.63,33809100
2010-05-17,23.15,23.67,21.81,22.5,15.01,44442200
2010-05-18,23.22,23.47,22.17,22.23,14.83,42395100
2010-05-19,22.09,22.63,20.82,21.75,14.51,47117000
2010-05-20,20.68,21.05,19.75,19.85,13.24,48869100
2010-05-21,19.21,21.45,19.06,21.0,14.01,59260900
2010-05-24,21.11,22.05,20.88,20.89,13.93,35999200
2010-05-25,19.93,21.45,19.51,21.37,14.25,48648500
2010-05-26,21.93,22.49,21.52,21.65,14.44,45458100
2010-05-27,22.76,23.83,22.61,23.83,15.89,43608500
2010-05-28,23.96,24.49,22.87,23.48,15.66,49908300
2010-06-01,23.17,23.77,22.91,23.02,15.35,35562500
2010-06-02,23.57,24.27,23.25,24.25,16.17,33284600
2010-06-03,24.63,25.17,24.16,24.93,16.63,43436100
2010-06-04,24.37,25.46,23.75,24.25,16.17,58190200
2010-06-07,24.47,24.63,22.71,22.72,15.15,45624300
2010-06-08,23.09,24.01,22.25,23.96,15.98,51287800
2010-06-09,24.31,24.97,23.67,24.13,16.09,56960300
2010-06-10,24.74,25.06,24.41,24.94,16.63,35292200
2010-06-11,24.46,25.78,24.22,25.72,17.15,36452000
2010-06-14,26.25,26.94,25.85,25.99,17.33,52471600
2010-06-15,26.28,26.94,25.63,26.74,17.83,40914800
2010-06-16,26.39,27.2,26.25,26.59,17.73,39907600
2010-06-17,26.85,27.0,26.25,26.72,17.82,32548800
2010-06-18,26.71,27.13,26.4,26.76,17.85,25868300
2010-06-21,27.49,27.84,26.76,27.03,18.03,34998300
2010-06-22,27.02,27.24,26.03,26.04,17.37,33704600
2010-06-23,26.34,27.1,26.09,27.04,18.03,33022900
2010-06-24,26.79,27.39,25.81,25.99,17.33,43833900
2010-06-25,26.27,26.63,25.44,26.5,17.67,35838400
2010-06-28,26.49,26.55,25.34,25.35,16.91,31039700
2010-06-29,24.41,24.5,22.64,22.84,15.23,73016300
2010-06-30,23.11,23.59,22.02,22.14,14.77,38492600
2010-07-01,22.14,22.7,20.73,21.87,14.59,53289000
2010-07-02,22.01,22.07,21.02,21.59,14.4,32957500
2010-07-06,22.28,22.65,21.3,21.59,14.4,33726100
2010-07-07,21.68,22.99,21.66,22.95,15.31,31267300
2010-07-08,23.58,23.7,22.26,22.96,15.31,34700500
2010-07-09,22.72,23.44,22.67,23.32,15.55,23464600
2010-07-12,23.3,23.62,22.73,23.07,15.39,24154500
2010-07-13,23.46,24.27,23.31,23.97,15.99,26862800
2010-07-14,24.07,24.77,23.65,24.37,16.25,31436800
2010-07-15,24.39,24.65,23.8,24.14,16.1,27633600
2010-07-16,24.09,24.26,23.38,23.5,15.67,28188000
2010-07-19,23.76,23.84,22.62,23.73,15.83,27905300
2010-07-20,22.89,24.95,22.89,24.91,16.61,32182900
2010-07-21,25.17,25.3,24.15,24.34,16.23,30082800
2010-07-22,24.88,25.33,24.68,25.07,16.72,28110200
2010-07-23,24.56,25.6,24.5,25.54,17.03,28405700
2010-07-26,25.76,26.05,25.34,25.67,17.12,25623300
2010-07-27,25.94,26.0,25.05,25.28,16.86,26045900
2010-07-28,26.02,26.9,25.28,26.69,17.8,56017200
2010-07-29,26.95,27.49,26.47,26.93,17.96,40583000
2010-07-30,26.5,27.11,26.41,26.86,17.91,26528600
2010-08-02,27.5,28.12,27.2,27.96,18.65,31012100
2010-08-03,27.66,28.32,27.24,28.12,18.75,31722100
2010-08-04,28.36,29.04,28.16,28.89,19.27,31226600
2010-08-05,28.78,29.5,28.28,28.57,19.05,31204600
2010-08-06,28.16,28.88,28.06,28.81,19.21,24547900
2010-08-09,29.08,29.19,28.66,29.05,19.37,17238700
2010-08-10,28.67,28.88,28.15,28.41,18.95,24811100
2010-08-11,27.51,27.69,26.77,26.93,17.96,26699800
2010-08-12,26.9,28.41,26.8,28.36,18.91,34564100
2010-08-13,28.44,28.85,28.3,28.39,18.93,26129400
2010-08-16,28.32,28.88,28.22,28.86,19.25,22248200
2010-08-17,29.29,30.29,29.29,29.76,19.85,33354400
2010-08-18,30.1,30.47,29.76,30.29,20.2,34022900
2010-08-19,30.39,30.39,29.29,29.64,19.77,32842700
2010-08-20,29.34,29.79,28.87,29.63,19.76,20858400
2010-08-23,30.08,30.08,28.9,28.94,19.3,20240100
2010-08-24,28.18,28.31,27.26,27.49,18.33,29306700
2010-08-25,27.19,28.69,27.02,28.59,19.07,27982500
2010-08-26,28.99,29.38,27.73,27.92,18.62,32020700
2010-08-27,28.38,29.4,27.68,29.3,19.54,29214600
2010-08-30,29.28,29.35,28.47,28.49,19.0,20629200
2010-08-31,28.45,29.17,28.09,28.33,18.89,28330700
2010-09-01,28.7,29.51,28.3,29.39,19.6,27239500
2010-09-02,29.44,30.24,29.3,30.07,20.05,22160800
2010-09-03,30.67,31.34,30.43,30.99,20.67,24124500
