Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,12.21,12.3,12.12,12.14,10.15,2737800
2010-01-04,12.28,12.57,12.2,12.56,10.5,3380500
2010-01-05,12.48,12.68,12.41,12.67,10.6,3258600
2010-01-06,12.7,12.96,12.57,12.8,10.76,7311000
2010-01-07,12.79,13.68,12.75,13.6,11.43,9601700
2010-01-08,13.47,13.71,13.18,13.69,11.51,4110900
2010-01-11,13.8,13.84,13.5,13.66,11.48,3189400
2010-01-12,13.51,13.57,13.3,13.44,11.3,2465200
2010-01-13,13.48,13.49,13.05,13.27,11.15,3817100
2010-01-14,13.2,13.32,12.96,13.21,11.1,3160200
2010-01-15,13.46,13.48,13.06,13.18,11.08,6323500
2010-01-19,13.16,13.57,13.11,13.55,11.39,3071800
2010-01-20,13.2,13.29,12.94,13.14,11.04,3482600
2010-01-21,13.26,13.27,12.64,12.73,10.7,4563000
2010-01-22,12.62,12.95,12.21,12.22,10.27,3796400
2010-01-25,12.42,12.54,12.07,12.11,10.18,3860000
2010-01-26,12.03,12.37,11.97,12.11,10.18,5118300
2010-01-27,11.98,12.02,11.61,11.93,10.03,7173300
2010-01-28,12.02,12.29,11.71,11.95,10.05,5505700
2010-01-29,12.04,12.36,11.85,11.92,10.02,7458400
2010-02-01,12.03,12.3,11.92,12.29,10.33,4239900
2010-02-02,12.28,13.01,12.25,12.99,10.92,6038100
2010-02-03,12.88,13.18,12.88,13.05,10.97,5328300
2010-02-04,12.86,12.87,12.53,12.74,10.71,7710400
2010-02-05,12.66,12.73,11.95,12.43,10.44,6391900
2010-02-08,12.33,12.5,12.17,12.35,10.38,3684100
2010-02-09,12.6,12.85,12.36,12.7,10.67,5297200
2010-02-10,12.71,12.82,12.36,12.74,10.71,3570500
2010-02-11,12.17,12.37,11.23,12.1,10.17,14592200
2010-02-12,11.85,12.14,11.73,12.14,10.2,8129300
2010-02-16,12.21,12.36,12.05,12.3,10.34,4833700
2010-02-17,12.41,12.41,12.08,12.26,10.3,5139500
2010-02-18,12.28,12.34,12.09,12.15,10.22,4232700
2010-02-19,12.1,12.14,11.92,11.95,10.05,7121800
2010-02-22,12.03,12.26,11.95,11.97,10.06,4199200
2010-02-23,11.93,12.06,11.47,11.64,9.79,5311300
2010-02-24,11.69,11.74,11.34,11.7,9.83,3845300
2010-02-25,11.42,11.59,11.21,11.56,9.72,4984500
2010-02-26,11.62,11.82,11.43,11.75,9.88,5482400
2010-03-01,11.84,12.31,11.84,12.28,10.32,5179800
2010-03-02,12.4,12.42,12.21,12.32,10.36,3165400
2010-03-03,12.42,12.69,12.29,12.45,10.47,3705400
2010-03-04,12.46,12.61,12.31,12.43,10.44,2180400
2010-03-05,12.55,12.68,12.52,12.64,10.63,2193300
2010-03-08,12.68,12.88,12.65,12.88,10.83,2462600
2010-03-09,12.82,12.96,12.75,12.9,10.84,2785200
2010-03-10,12.86,13.15,12.85,13.06,10.98,4054800
2010-03-11,12.98,13.33,12.87,13.29,11.17,4178200
2010-03-12,13.36,13.46,13.15,13.33,11.21,3521500
2010-03-15,13.32,13.38,13.15,13.31,11.19,3204800
2010-03-16,13.36,13.49,13.24,13.45,11.31,2787100
2010-03-17,13.48,13.83,13.44,13.65,11.47,3722300
2010-03-18,13.59,13.84,13.55,13.63,11.46,2641500
2010-03-19,13.18,13.84,13.18,13.18,11.08,6617400
2010-03-22,13.05,13.41,13.02,13.38,11.25,3223400
2010-03-23,13.38,13.64,13.22,13.6,11.43,4679600
2010-03-24,13.62,13.76,13.3,13.33,11.21,4596700
2010-03-25,13.51,13.6,13.28,13.3,11.18,3942200
2010-03-26,13.38,13.53,13.22,13.35,11.22,3171200
