Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,27.16,27.26,26.79,26.8,23.06,888300
2010-01-04,26.94,27.28,26.82,27.27,23.46,1859700
2010-01-05,27.16,27.3,26.68,26.99,23.22,1982400
2010-01-06,26.6,26.9,26.41,26.42,22.73,2019100
2010-01-07,26.32,26.52,26.25,26.34,22.66,3805600
2010-01-08,26.2,26.85,26.12,26.84,23.09,2144200
2010-01-11,26.88,26.95,26.5,26.68,22.96,1459600
2010-01-12,26.53,26.92,26.31,26.82,23.08,2884300
2010-01-13,26.92,27.76,26.65,27.68,23.82,3141900
2010-01-14,27.66,27.8,27.09,27.78,23.9,2353700
2010-01-15,27.67,27.77,27.24,27.42,23.59,2439400
2010-01-19,27.56,27.76,27.29,27.7,23.83,1712300
2010-01-20,27.58,27.97,27.39,27.63,23.77,2323400
2010-01-21,27.77,27.95,27.32,27.32,23.51,2525300
2010-01-22,27.24,27.78,26.91,26.97,23.21,3456500
2010-01-25,27.08,27.29,26.29,26.33,22.66,3612900
2010-01-26,26.21,26.69,26.2,26.63,22.91,4660500
2010-01-27,27.3,29.18,27.16,28.83,24.81,6819800
2010-01-28,29.01,29.01,28.15,28.32,24.37,3915200
2010-01-29,28.44,28.6,27.58,27.59,23.74,3795300
2010-02-01,27.84,28.15,27.74,27.92,24.02,2747900
2010-02-02,27.88,28.54,27.8,28.37,24.41,3618000
2010-02-03,28.24,28.45,28.01,28.1,24.18,2824800
2010-02-04,27.68,27.68,26.35,26.39,22.71,5817500
2010-02-05,26.52,27.36,26.41,27.34,23.52,5023200
2010-02-08,27.28,27.4,26.47,26.48,22.78,3593300
2010-02-09,26.75,27.02,26.53,26.76,23.03,3464500
2010-02-10,26.71,27.06,26.24,26.66,22.94,2910600
2010-02-11,26.63,27.21,26.45,27.12,23.33,2867200
2010-02-12,26.86,27.1,26.42,26.98,23.21,3033200
2010-02-16,27.19,27.27,26.91,27.24,23.44,2389100
2010-02-17,27.37,27.4,27.03,27.07,23.38,2529100
2010-02-18,27.0,27.13,26.81,26.9,23.24,2147000
2010-02-19,26.72,27.13,26.58,27.09,23.4,2362400
2010-02-22,27.18,27.18,26.7,26.8,23.15,2118900
2010-02-23,26.79,26.91,26.39,26.72,23.08,2923300
2010-02-24,26.81,27.07,26.62,27.02,23.34,1887400
2010-02-25,26.67,26.93,26.35,26.86,23.2,2177600
2010-02-26,26.96,26.99,26.56,26.62,22.99,1355800
2010-03-01,26.71,27.38,26.58,27.17,23.47,2193800
2010-03-02,27.24,27.35,26.95,27.21,23.5,1432300
2010-03-03,27.19,27.36,27.1,27.18,23.48,1539100
2010-03-04,27.18,27.34,26.98,27.28,23.56,954400
2010-03-05,27.42,28.23,27.3,28.11,24.28,2756100
2010-03-08,28.08,28.42,27.85,28.21,24.37,1302400
2010-03-09,28.19,28.27,27.91,28.04,24.22,2235500
2010-03-10,28.04,28.04,27.34,27.75,23.97,2345400
2010-03-11,27.67,28.28,27.54,28.26,24.41,1736400
2010-03-12,28.3,28.75,28.15,28.26,24.41,1567200
2010-03-15,28.1,28.68,28.03,28.6,24.7,1481000
2010-03-16,28.61,28.74,28.43,28.73,24.82,1307300
2010-03-17,28.75,28.82,28.61,28.74,24.82,1189600
2010-03-18,28.75,30.37,28.55,29.66,25.62,6082600
2010-03-19,29.66,30.86,29.46,29.66,25.62,3333900
2010-03-22,29.48,30.09,29.34,30.02,25.93,2048400
2010-03-23,29.98,30.39,29.72,30.32,26.19,1961300
2010-03-24,30.2,30.43,30.04,30.33,26.2,1907700
2010-03-25,30.5,31.04,30.27,30.51,26.35,2526200
2010-03-26,30.5,30.81,30.1,30.26,26.14,2157800
2010-03-29,30.37,30.86,30.28,30.54,26.38,1263300
2010-03-30,30.49,30.6,30.17,30.23,26.11,1370900
2010-03-31,30.05,30.27,29.72,29.75,25.7,2170900
2010-04-01,29.93,30.31,29.18,29.37,25.37,5092400
2010-04-05,29.5,29.63,29.43,29.53,25.51,2226700
2010-04-06,29.45,29.63,29.27,29.44,25.43,2369700
2010-04-07,29.44,29.99,29.19,29.34,25.34,2542400
2010-04-08,29.31,29.31,28.9,29.0,25.05,1804700
2010-04-09,28.98,29.09,28.72,28.87,24.94,2288900
2010-04-12,28.93,29.01,28.62,28.63,24.73,2330200
2010-04-13,28.55,28.87,28.52,28.63,24.73,1785000
2010-04-14,28.8,28.96,28.7,28.9,24.96,2353400
2010-04-15,28.89,29.68,28.77,29.65,25.61,2797900
