Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,36.52,36.52,36.13,36.13,29.09,394300
2010-01-04,36.41,36.41,36.06,36.3,29.22,490000
2010-01-05,36.22,36.32,36.06,36.2,29.14,548700
2010-01-06,36.18,36.38,36.01,36.34,29.26,587900
2010-01-07,36.43,36.65,36.18,36.62,29.48,699900
2010-01-08,36.61,36.72,36.22,36.72,29.56,666300
2010-01-11,36.7,37.17,36.68,37.02,29.8,509900
2010-01-12,36.86,37.37,36.82,37.36,30.08,498900
2010-01-13,37.45,37.96,37.45,37.7,30.35,779500
2010-01-14,37.46,37.69,37.41,37.66,30.32,435100
2010-01-15,37.65,37.96,37.29,37.59,30.26,840200
2010-01-19,37.58,37.79,37.43,37.74,30.38,463400
2010-01-20,37.68,37.68,37.1,37.29,30.02,437200
2010-01-21,37.37,37.74,36.92,37.04,29.82,719200
2010-01-22,37.04,37.35,36.76,36.77,29.6,445900
2010-01-25,36.92,37.24,36.72,37.22,29.96,542500
2010-01-26,37.05,37.15,36.82,37.09,29.86,628300
2010-01-27,37.13,37.63,36.95,37.54,30.22,1048600
2010-01-28,37.75,37.75,36.29,36.45,29.34,1572300
2010-01-29,36.64,37.0,36.1,36.3,29.22,1118400
2010-02-01,36.42,36.64,36.21,36.58,29.45,417600
2010-02-02,36.71,37.01,36.52,37.0,29.79,521700
2010-02-03,36.83,36.83,36.41,36.49,29.38,587400
2010-02-04,36.36,36.36,35.69,35.76,28.79,757200
2010-02-05,35.71,35.86,35.53,35.77,28.8,1241700
2010-02-08,35.74,35.96,35.46,35.56,28.63,623100
2010-02-09,35.71,35.98,35.4,35.85,28.86,706800
2010-02-10,35.9,36.0,35.62,35.92,28.92,755000
2010-02-11,35.95,35.98,35.4,35.96,28.95,681200
2010-02-12,35.8,36.19,35.71,36.08,29.05,774800
2010-02-16,36.25,36.58,35.95,36.58,29.45,613300
2010-02-17,36.6,37.29,36.6,37.12,29.88,685700
2010-02-18,37.11,37.66,37.11,37.61,30.28,500100
2010-02-19,37.56,37.87,37.43,37.76,30.4,541700
2010-02-22,37.77,37.86,37.37,37.47,30.17,507100
2010-02-23,37.47,37.64,37.1,37.15,29.91,672100
2010-02-24,37.26,37.36,36.91,37.26,30.0,561500
2010-02-25,36.92,37.11,36.7,37.1,29.87,733800
2010-02-26,37.19,37.22,36.85,37.11,29.88,515000
2010-03-01,37.25,37.35,36.98,37.33,30.05,405600
2010-03-02,37.44,37.86,37.4,37.72,30.37,648600
2010-03-03,37.81,37.96,37.62,37.82,30.45,365700
2010-03-04,37.96,37.99,37.65,37.9,30.51,775500
2010-03-05,38.0,38.0,37.65,38.0,30.59,917000
2010-03-08,37.91,38.0,37.61,37.76,30.4,564100
2010-03-09,37.62,38.0,37.61,37.97,30.57,711200
2010-03-10,37.91,38.15,37.87,38.1,30.67,812900
2010-03-11,37.96,38.3,37.93,38.3,30.83,483400
2010-03-12,38.29,38.42,38.17,38.31,30.84,480600
2010-03-15,38.32,38.73,38.32,38.66,31.12,789000
2010-03-16,38.69,38.69,38.52,38.63,31.1,857200
2010-03-17,38.69,38.89,38.53,38.89,31.31,524800
2010-03-18,38.82,39.07,38.81,38.85,31.28,487600
2010-03-19,39.11,39.19,38.81,39.11,31.49,990000
2010-03-22,39.06,39.4,38.84,39.4,31.72,800800
2010-03-23,39.37,39.71,39.2,39.71,31.97,589300
2010-03-24,39.58,39.61,39.19,39.37,31.69,1038500
2010-03-25,39.19,39.4,37.95,38.03,30.62,2607500
2010-03-26,37.99,38.37,37.55,37.63,30.29,965000
2010-03-29,37.78,37.98,37.61,37.85,30.47,850900
2010-03-30,37.97,38.29,37.97,38.29,30.83,762700
2010-03-31,38.27,38.54,38.11,38.36,30.88,733400
2010-04-01,38.53,38.67,38.4,38.58,31.06,495700
2010-04-05,38.63,38.65,38.05,38.14,30.7,575900
2010-04-06,38.0,38.38,38.0,38.37,30.89,579800
2010-04-07,38.22,38.33,38.04,38.17,30.73,622900
2010-04-08,38.0,38.25,37.88,38.15,30.92,634300
2010-04-09,38.25,38.43,38.09,38.43,31.15,379500
2010-04-12,38.49,38.56,38.29,38.37,31.1,457000
2010-04-13,38.23,38.5,38.13,38.41,31.13,401800
2010-04-14,38.43,38.47,38.15,38.26,31.01,622400
2010-04-15,38.26,38.62,37.99,38.62,31.3,734100
2010-04-16,38.58,38.74,38.5,38.64,31.32,1035400
2010-04-19,38.47,38.76,38.32,38.76,31.42,504400
2010-04-20,38.82,39.05,38.67,39.03,31.64,671400
2010-04-21,39.05,39.38,38.98,39.17,31.75,803100
2010-04-22,39.09,39.45,38.92,39.45,31.98,876400
2010-04-23,39.35,39.49,38.99,39.49,32.01,608600
2010-04-26,39.63,39.84,39.49,39.54,32.05,591000
2010-04-27,39.46,39.58,38.98,39.0,31.61,984300
2010-04-28,39.09,39.29,38.76,39.08,31.68,537400
2010-04-29,39.19,39.85,39.11,39.77,32.24,491400
2010-04-30,39.9,40.19,39.54,39.57,32.07,797700
2010-05-03,39.6,39.77,39.5,39.61,32.11,973300
2010-05-04,39.3,39.56,39.14,39.4,31.94,785900
