Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,91.36,91.5,89.03,89.41,77.56,351000
2010-01-04,90.06,91.79,90.06,91.67,79.53,456200
2010-01-05,91.28,91.83,90.08,90.43,78.45,435000
2010-01-06,93.43,93.43,92.09,92.68,80.4,676600
2010-01-07,92.68,92.68,90.72,91.85,79.68,488800
2010-01-08,91.74,92.51,89.87,90.33,78.36,655500
2010-01-11,90.68,90.95,88.66,88.93,77.15,734800
2010-01-12,88.33,89.03,88.13,88.63,76.89,578200
2010-01-13,89.14,89.23,87.39,88.7,76.95,612000
2010-01-14,88.61,88.81,88.01,88.32,76.62,245700
2010-01-15,88.45,88.45,86.22,86.45,75.0,542000
2010-01-19,86.33,88.16,86.16,88.16,76.48,456300
2010-01-20,87.25,87.5,85.91,87.34,75.77,463800
2010-01-21,87.51,87.71,83.76,84.66,73.44,803800
2010-01-22,84.64,85.39,81.96,82.07,71.2,707600
2010-01-25,82.88,83.31,81.85,81.95,71.09,832200
2010-01-26,81.65,82.61,80.63,81.4,70.62,629800
2010-01-27,81.22,81.22,79.16,80.79,70.09,1171300
2010-01-28,80.93,81.1,78.13,79.78,69.21,691600
2010-01-29,80.12,81.35,78.95,79.18,68.69,652400
2010-02-01,79.66,80.96,79.35,80.96,70.23,573800
2010-02-02,81.18,82.45,80.95,82.1,71.22,425000
2010-02-03,81.77,82.58,80.73,80.97,70.24,342400
2010-02-04,80.03,80.03,78.43,78.5,68.1,505800
2010-02-05,78.32,78.85,76.26,78.62,68.2,531700
2010-02-08,78.49,80.09,77.39,79.61,69.06,710800
2010-02-09,76.98,77.93,74.66,75.95,65.89,2723700
2010-02-10,75.94,77.98,74.0,77.41,67.15,1366800
2010-02-11,77.08,78.11,76.05,78.05,67.71,412600
2010-02-12,77.37,78.26,76.48,78.25,67.88,447100
2010-02-16,78.6,79.66,78.15,79.57,69.03,313100
2010-02-17,79.88,80.16,79.17,79.67,69.12,219900
2010-02-18,79.76,80.81,79.43,80.67,69.98,342900
2010-02-19,80.33,81.77,80.17,81.51,70.71,417200
2010-02-22,81.62,82.46,80.86,81.99,71.13,496800
2010-02-23,81.56,82.13,80.66,81.49,70.69,532200
2010-02-24,81.76,82.1,80.99,81.87,71.02,498600
2010-02-25,80.66,81.18,79.8,80.96,70.58,313400
2010-02-26,81.29,81.52,78.59,79.22,69.06,851000
2010-03-01,79.44,79.44,77.81,78.17,68.15,539900
2010-03-02,78.22,78.89,77.38,77.63,67.68,537700
2010-03-03,77.99,79.98,77.88,79.38,69.2,647000
2010-03-04,79.89,80.79,79.74,80.53,70.2,531400
2010-03-05,81.15,82.33,81.15,82.14,71.61,443900
2010-03-08,82.16,82.99,82.03,82.53,71.95,657300
2010-03-09,82.0,82.39,81.53,81.88,71.38,914900
2010-03-10,82.0,82.5,81.39,82.0,71.49,360900
