Date,Open,High,Low,Close,Adj Close,Volume
2011-06-24,19.38,19.58,18.42,18.62,14.01,1675400
2011-06-27,18.34,18.98,18.3,18.83,14.16,895200
2011-06-28,19.17,20.0,18.85,19.35,14.55,4151800
2011-06-29,19.5,20.49,19.35,20.03,15.07,3695200
2011-06-30,20.33,21.0,20.09,20.7,15.57,3025600
2011-07-01,20.6,23.72,20.5,21.1,15.87,8334200
2011-07-05,21.1,21.5,20.83,21.1,15.87,11823000
2011-07-06,20.8,21.12,20.5,20.94,15.75,10983000
2011-07-07,21.09,21.63,20.85,20.89,15.71,16707600
2011-07-08,20.4,21.3,20.26,20.7,15.57,16417000
2011-07-11,20.4,20.4,19.75,20.05,15.08,9495200
2011-07-12,19.93,20.5,19.72,20.24,15.22,8011200
2011-07-13,20.26,20.62,19.62,19.98,15.03,11642800
2011-07-14,19.99,20.01,19.1,19.32,14.53,11528400
2011-07-15,19.5,19.74,19.05,19.58,14.73,9938400
2011-07-18,19.36,19.8,18.88,19.56,14.71,8311600
2011-07-19,19.63,19.97,19.57,19.87,14.95,6423000
2011-07-20,19.9,19.97,19.7,19.76,14.87,5449000
2011-07-21,19.76,20.12,19.56,20.05,15.08,7249200
2011-07-22,20.14,20.41,19.95,20.28,15.26,6645600
2011-07-25,20.62,21.06,20.33,20.68,15.56,8898600
2011-07-26,20.69,21.86,20.64,21.52,16.19,11324200
2011-07-27,21.51,21.65,20.99,21.03,15.82,6998400
2011-07-28,21.22,21.47,21.09,21.39,16.09,6654600
2011-07-29,21.17,22.31,20.99,21.9,16.47,10709600
2011-08-01,22.52,22.69,22.0,22.49,16.91,11518400
2011-08-02,22.26,22.45,21.12,21.17,15.92,10995600
2011-08-03,21.64,22.7,19.51,20.72,15.58,13413800
2011-08-04,20.35,20.35,18.61,19.21,14.45,15377800
2011-08-05,19.45,19.61,16.72,18.66,14.03,12348600
2011-08-08,17.62,18.0,14.74,16.17,12.16,16543000
2011-08-09,16.53,18.2,16.21,18.05,13.58,12054200
2011-08-10,17.77,18.42,17.06,17.56,13.21,9682600
2011-08-11,17.95,19.3,17.72,18.67,14.04,8756400
2011-08-12,18.8,19.56,18.45,18.7,14.07,5906800
2011-08-15,18.94,19.83,18.94,19.55,14.78,5365400
2011-08-16,19.18,19.72,19.06,19.43,14.69,6532400
2011-08-17,19.82,19.98,19.41,19.55,14.78,5627600
2011-08-18,19.06,19.25,17.7,18.31,13.84,7501400
2011-08-19,17.89,18.33,17.32,17.5,13.23,9878600
2011-08-22,17.91,18.0,16.17,16.28,12.31,10774000
2011-08-23,16.32,17.35,16.02,17.12,12.95,10360000
2011-08-24,17.2,18.01,16.85,17.92,13.55,6723400
2011-08-25,18.09,18.45,16.96,17.19,13.0,6376000
2011-08-26,17.2,18.38,17.03,17.43,13.18,5880400
2011-08-29,17.64,18.18,17.52,18.0,13.61,4175000
2011-08-30,17.94,18.19,17.38,18.01,13.62,4385200
2011-08-31,18.25,18.73,18.25,18.53,14.01,5731000
2011-09-01,18.72,19.11,18.45,18.5,13.99,4515400
2011-09-02,17.92,18.5,17.56,17.71,13.39,3594200
2011-09-06,17.11,17.7,16.65,17.5,13.23,5723400
2011-09-07,17.79,18.47,17.62,18.15,13.72,5212200
2011-09-08,18.08,19.08,17.78,18.86,14.27,4086600
2011-09-09,18.31,18.89,17.97,18.17,13.74,5889000
2011-09-12,17.67,18.44,17.44,18.33,13.86,3919200
2011-09-13,18.2,18.32,17.22,17.67,13.36,7147000
2011-09-14,17.62,17.66,17.23,17.51,13.24,7640600
2011-09-15,17.94,18.48,17.61,17.71,13.39,6081400
2011-09-16,17.76,17.83,17.43,17.55,13.27,7195400
2011-09-19,17.09,17.28,16.55,16.77,12.69,5096200
2011-09-20,16.78,17.11,16.75,16.84,12.74,3859200
2011-09-21,16.67,17.23,16.17,16.2,12.25,4013000
2011-09-22,15.58,15.7,14.42,14.73,11.14,11073600
2011-09-23,14.59,15.16,14.53,14.77,11.17,6768000
2011-09-26,14.95,15.18,14.75,15.05,11.38,7971000
2011-09-27,15.41,15.91,14.85,14.91,11.28,9412400
2011-09-28,14.98,15.32,14.46,14.49,10.96,8844400
2011-09-29,14.84,14.93,13.18,13.92,10.53,10516800
2011-09-30,13.69,13.97,13.41,13.53,10.23,9626800
2011-10-03,13.45,13.9,13.31,13.57,10.27,8648200
2011-10-04,13.4,14.4,13.34,14.38,10.87,10200000
2011-10-05,14.53,15.89,14.27,15.74,11.9,10463800
2011-10-06,15.76,16.67,15.55,16.65,12.59,7978400
