Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,36.8,37.07,36.5,36.54,25.19,7064000
2010-01-04,36.82,37.25,36.55,37.01,25.52,13896500
2010-01-05,37.3,37.45,36.93,37.16,25.62,14744800
2010-01-06,37.21,37.73,36.9,37.66,25.97,15239900
2010-01-07,37.47,37.9,37.4,37.72,26.01,11916600
2010-01-08,37.87,37.89,37.43,37.7,25.99,10767100
2010-01-11,37.88,37.92,37.5,37.85,26.1,9581800
2010-01-12,37.82,37.99,37.32,37.55,25.89,10921700
2010-01-13,38.31,39.37,38.1,38.93,26.84,25375400
2010-01-14,39.24,40.12,39.1,39.99,27.57,22024300
2010-01-15,39.98,40.27,39.01,39.47,27.21,20853300
2010-01-19,39.55,40.84,39.44,40.62,28.01,19950700
2010-01-20,40.64,41.15,39.97,41.03,28.29,20842700
2010-01-21,41.08,41.56,40.05,40.08,27.63,25575400
2010-01-22,39.9,40.29,38.77,38.87,26.8,17463600
2010-01-25,39.28,39.74,38.72,38.76,26.72,15377900
2010-01-26,38.5,38.95,38.16,38.58,26.6,19863700
2010-01-27,38.49,38.78,37.96,38.64,26.64,17483100
2010-01-28,38.74,38.94,37.94,37.97,26.18,13366600
2010-01-29,38.26,39.01,37.66,38.18,26.32,16119900
2010-02-01,38.56,38.63,38.07,38.3,26.41,9223900
2010-02-02,38.36,39.72,38.1,39.54,27.26,15131000
2010-02-03,39.4,39.42,38.47,38.72,26.7,17466900
2010-02-04,38.39,38.51,36.82,37.1,25.58,25331400
2010-02-05,37.05,37.08,35.82,36.73,25.32,22972300
2010-02-08,36.58,37.08,36.22,36.59,25.23,10215600
2010-02-09,36.93,37.17,36.32,36.47,25.15,17143000
2010-02-10,36.5,36.69,35.76,36.2,24.96,16820500
2010-02-11,36.22,37.0,35.87,36.88,25.43,14430800
2010-02-12,36.63,37.15,36.09,36.92,25.46,17907400
2010-02-16,37.72,38.18,37.26,37.66,25.97,20771900
2010-02-17,37.73,37.92,37.16,37.34,25.75,11960800
2010-02-18,37.28,37.5,37.03,37.29,25.71,12349800
2010-02-19,37.23,37.63,37.15,37.49,25.85,12408400
2010-02-22,37.86,37.86,36.6,37.12,25.59,17577400
2010-02-23,36.9,37.14,36.4,36.51,25.17,15934800
2010-02-24,36.7,37.04,36.27,36.93,25.46,17093500
2010-02-25,36.44,36.66,36.05,36.57,25.21,17036500
2010-02-26,36.7,37.06,36.44,36.88,25.43,13168400
2010-03-01,37.03,37.43,37.03,37.27,25.7,11806400
2010-03-02,37.58,37.69,37.32,37.39,25.78,12254200
2010-03-03,37.69,37.85,37.1,37.21,25.66,12582900
2010-03-04,37.29,37.38,36.88,37.14,25.61,11852900
2010-03-05,37.22,37.56,36.93,37.49,25.85,9868800
2010-03-08,37.49,37.54,37.11,37.35,25.75,12047300
2010-03-09,37.21,37.3,36.83,37.04,25.54,14695800
2010-03-10,36.95,37.08,36.5,36.67,25.28,19425100
2010-03-11,36.35,36.95,36.1,36.88,25.69,15314100
2010-03-12,37.05,37.2,36.73,37.16,25.89,16386200
2010-03-15,37.04,37.8,37.0,37.75,26.3,17415900
2010-03-16,37.77,38.0,37.4,37.94,26.43,18309100
2010-03-17,37.99,38.1,37.57,38.08,26.53,12389300
2010-03-18,38.07,38.46,37.88,38.45,26.79,12497400
2010-03-19,38.06,38.84,37.85,38.06,26.52,30775700
2010-03-22,38.08,39.04,38.03,38.3,26.68,15473200
2010-03-23,38.57,38.75,38.25,38.5,26.82,12335100
2010-03-24,38.43,38.51,37.98,38.01,26.48,12338400
2010-03-25,38.33,38.34,37.76,37.78,26.32,13175600
2010-03-26,37.82,37.94,37.35,37.43,26.08,13501700
2010-03-29,37.58,38.01,37.58,37.89,26.4,11158300
2010-03-30,37.96,37.96,37.51,37.66,26.24,9921100
2010-03-31,37.49,37.59,37.06,37.35,26.02,12966400
2010-04-01,37.64,37.88,37.5,37.71,26.27,10135300
2010-04-05,37.94,37.97,37.33,37.39,26.05,10464500
2010-04-06,37.53,37.53,37.17,37.25,25.95,12274900
2010-04-07,37.38,37.41,36.56,36.79,25.63,18392100
2010-04-08,36.84,37.02,36.62,36.78,25.62,12330300
2010-04-09,36.8,37.25,36.78,36.97,25.76,10069600
2010-04-12,36.96,37.09,36.8,36.85,25.67,10663800
2010-04-13,36.69,36.93,36.58,36.7,25.57,11921700
2010-04-14,36.74,36.74,36.01,36.21,25.23,19975700
2010-04-15,36.22,36.5,35.96,36.04,25.11,20774000
2010-04-16,35.99,36.17,35.37,35.71,24.88,20588300
2010-04-19,35.68,35.98,35.29,35.9,25.01,12545800
2010-04-20,36.05,36.4,35.87,36.06,25.12,10152200
2010-04-21,36.09,36.18,34.7,34.74,24.2,37189900
2010-04-22,34.57,34.65,33.76,33.77,23.53,38224900
2010-04-23,33.84,35.76,33.54,35.46,24.71,41335100
2010-04-26,35.58,35.96,34.9,35.0,24.38,26595400
2010-04-27,34.85,35.48,34.41,34.48,24.02,19520700
2010-04-28,34.5,34.8,34.2,34.56,24.08,16879500
2010-04-29,34.98,35.61,34.98,35.25,24.56,18242800
2010-04-30,35.33,35.8,35.03,35.04,24.41,15721700
2010-05-03,35.29,35.43,35.04,35.27,24.57,12424800
2010-05-04,35.6,36.36,35.6,35.81,24.95,32438900
2010-05-05,35.42,35.77,34.9,35.59,24.8,21459600
2010-05-06,35.41,35.58,30.7,34.27,23.88,30769800
2010-05-07,33.91,34.22,32.95,33.49,23.33,26434900
2010-05-10,33.92,34.86,33.89,34.25,23.86,23437000
2010-05-11,33.35,34.11,33.03,33.51,23.35,24637200
2010-05-12,33.97,34.04,33.43,33.64,23.44,19086300
2010-05-13,33.68,33.75,33.11,33.31,23.21,14651100
2010-05-14,33.35,33.35,32.68,32.88,22.91,21104600
2010-05-17,32.92,33.06,32.18,32.78,22.84,15406700
2010-05-18,32.97,33.0,32.3,32.35,22.54,18287400
2010-05-19,32.2,32.9,32.07,32.62,22.73,21175700
2010-05-20,32.23,32.55,31.75,31.82,22.17,24695800
2010-05-21,31.2,32.15,31.04,32.04,22.32,25497800
2010-05-24,31.87,32.31,31.61,31.86,22.2,13292000
2010-05-25,31.3,32.08,31.1,32.06,22.34,20686800
2010-05-26,31.98,32.85,31.84,32.42,22.59,26258400
2010-05-27,32.92,33.67,32.78,33.62,23.42,30581200
2010-05-28,33.64,34.12,33.5,33.69,23.47,24992800
2010-06-01,33.43,34.02,33.31,33.53,23.36,20759600
2010-06-02,33.63,34.38,33.53,34.36,23.94,16194200
2010-06-03,34.43,34.56,33.99,34.29,23.89,13110100
2010-06-04,33.85,33.92,32.99,33.17,23.11,18204500
2010-06-07,33.19,33.52,33.1,33.31,23.21,14131000
2010-06-08,33.41,33.87,33.1,33.81,23.56,15480900
2010-06-09,33.86,34.13,33.49,33.71,23.49,12847100
2010-06-10,34.14,34.78,33.99,34.65,24.14,18714600
2010-06-11,34.35,35.1,34.23,34.86,24.56,18120100
2010-06-14,35.05,35.25,34.95,35.02,24.67,13656300
2010-06-15,35.08,36.05,35.03,36.02,25.37,21903300
2010-06-16,35.71,36.18,35.7,36.01,25.37,17335300
2010-06-17,36.14,36.25,35.3,35.86,25.26,17888700
2010-06-18,35.9,36.0,35.48,35.67,25.13,19639800
2010-06-21,36.04,36.15,34.91,35.12,24.74,15570600
2010-06-22,35.19,35.72,35.07,35.13,24.75,16399900
2010-06-23,35.2,35.66,34.93,35.42,24.95,13000600
2010-06-24,35.18,35.7,35.17,35.61,25.08,16429000
2010-06-25,35.6,36.15,35.28,35.93,25.31,33873000
2010-06-28,36.13,36.14,35.57,35.94,25.32,13744600
2010-06-29,35.55,35.8,35.0,35.43,24.96,22864700
2010-06-30,35.32,35.34,34.75,34.97,24.63,21201100
2010-07-01,34.83,34.89,33.65,34.44,24.26,25587200
2010-07-02,34.46,34.5,33.65,34.22,24.11,16993500
2010-07-06,34.28,34.69,34.05,34.65,24.41,14914500
2010-07-07,34.77,35.46,34.42,35.43,24.96,16889200
2010-07-08,35.87,35.87,35.33,35.86,25.26,15567200
2010-07-09,35.91,36.4,35.72,36.3,25.57,11993400
2010-07-12,36.2,36.24,35.84,36.09,25.42,12617600
2010-07-13,36.13,36.7,36.03,36.45,25.68,12904100
2010-07-14,36.21,36.37,35.83,36.2,25.5,11199100
2010-07-15,36.25,36.56,35.9,36.49,25.7,10991100
2010-07-16,36.53,36.8,35.88,35.91,25.3,16579000
2010-07-19,35.94,36.11,35.69,35.8,25.22,10118500
2010-07-20,35.52,35.66,35.2,35.66,25.12,14011700
2010-07-21,35.48,35.69,34.98,35.19,24.79,12814400
2010-07-22,35.36,35.52,35.0,35.18,24.78,15728000
2010-07-23,35.17,35.17,34.41,34.87,24.56,15679200
2010-07-26,35.0,35.3,34.81,35.27,24.85,9634500
2010-07-27,35.32,35.59,35.0,35.18,24.78,12677300
2010-07-28,35.14,35.41,34.62,34.74,24.47,9709800
2010-07-29,35.0,35.3,34.6,35.06,24.7,14571300
2010-07-30,34.35,34.63,33.82,34.46,24.27,21722000
2010-08-02,34.86,35.12,34.55,35.07,24.7,12106900
2010-08-03,35.1,35.25,34.48,34.82,24.53,14582200
2010-08-04,34.78,35.25,34.55,35.19,24.79,13133600
2010-08-05,35.0,35.16,34.7,35.07,24.7,10062700
2010-08-06,34.82,35.0,34.5,34.98,24.64,11658800
2010-08-09,35.06,35.44,35.06,35.36,24.91,10302000
2010-08-10,35.2,35.99,34.82,35.77,25.2,11864700
2010-08-11,35.31,35.5,34.82,34.89,24.58,12442100
2010-08-12,34.65,35.25,34.6,35.04,24.68,9157900
2010-08-13,34.8,35.15,34.65,35.0,24.66,8752200
2010-08-16,34.77,35.0,34.59,34.97,24.63,6886500
2010-08-17,35.19,35.62,34.94,35.54,25.04,10677000
2010-08-18,35.49,35.59,35.03,35.37,24.92,9132800
2010-08-19,35.3,35.34,34.5,34.71,24.45,11508900
2010-08-20,34.55,34.69,34.25,34.44,24.26,12197400
2010-08-23,34.7,35.22,34.56,34.97,24.63,9976600
2010-08-24,34.76,34.8,34.17,34.44,24.26,11259200
2010-08-25,34.42,34.72,34.02,34.54,24.33,10605800
2010-08-26,34.56,34.7,34.28,34.48,24.29,8495300
2010-08-27,34.63,35.11,34.32,35.0,24.66,9546100
2010-08-30,34.92,35.21,34.72,34.73,24.46,6774300
2010-08-31,34.66,35.36,34.51,35.16,24.77,16583200
2010-09-01,35.38,35.76,35.27,35.62,25.09,13057700
2010-09-02,35.69,35.77,34.52,35.35,24.9,11566300
2010-09-03,35.73,35.84,35.28,35.59,25.07,11498000
2010-09-07,35.77,35.77,35.41,35.46,24.98,25332300
2010-09-08,35.35,36.0,35.34,35.81,25.23,22144800
2010-09-09,35.99,36.23,35.79,36.08,25.42,11564500
2010-09-10,36.14,36.71,36.12,36.65,25.82,11222000
2010-09-13,36.62,36.62,36.0,36.22,25.78,10928600
2010-09-14,36.1,36.7,36.06,36.52,26.0,12851200
2010-09-15,36.52,36.87,36.24,36.51,25.99,11491300
2010-09-16,36.49,36.61,36.2,36.43,25.93,9089700
2010-09-17,36.5,36.84,36.16,36.33,25.86,16399400
2010-09-20,36.36,36.64,36.23,36.54,26.01,10523800
2010-09-21,36.54,36.94,36.37,36.72,26.14,12252900
2010-09-22,36.71,37.05,36.63,36.96,26.31,12397700
2010-09-23,36.67,36.99,36.52,36.66,26.09,10602600
2010-09-24,36.82,37.39,36.73,37.34,26.58,11636500
2010-09-27,37.41,37.48,37.13,37.13,26.43,11061800
2010-09-28,37.29,37.48,37.02,37.25,26.51,12722600
2010-09-29,37.1,37.26,36.86,37.12,26.42,9451200
2010-09-30,37.21,37.58,36.64,36.81,26.2,13696000
2010-10-01,36.76,36.84,36.35,36.6,26.05,11741900
2010-10-04,36.49,36.75,36.29,36.52,26.0,9234900
2010-10-05,36.86,37.15,36.7,37.02,26.35,10669200
2010-10-06,37.04,37.22,36.82,37.01,26.34,7541300
2010-10-07,37.35,37.39,36.63,36.71,26.13,13897800
2010-10-08,36.82,36.99,36.61,36.91,26.27,8680800
2010-10-11,36.86,37.0,36.67,36.86,26.24,5576200
2010-10-12,36.67,36.82,36.32,36.64,26.08,11040400
2010-10-13,36.86,37.39,36.78,37.16,26.45,9762300
2010-10-14,37.27,37.38,36.84,37.15,26.44,9544400
2010-10-15,37.27,37.44,36.76,36.95,26.3,15025400
2010-10-18,36.91,37.24,36.91,37.23,26.5,10601100
2010-10-19,37.0,37.05,36.31,36.52,26.0,10372100
2010-10-20,36.61,37.25,36.57,36.99,26.33,9669300
2010-10-21,37.1,37.15,36.58,37.1,26.41,10373000
2010-10-22,37.07,37.15,36.95,37.1,26.41,6330600
2010-10-25,37.3,37.68,37.29,37.42,26.64,10656000
2010-10-26,37.31,37.33,36.89,37.07,26.39,7103400
2010-10-27,36.88,36.88,36.13,36.46,25.95,12119400
2010-10-28,36.67,37.06,36.66,36.94,26.29,9870300
2010-10-29,36.73,36.74,36.02,36.31,25.85,15230600
2010-11-01,36.44,36.73,35.98,36.25,25.8,9667500
2010-11-02,36.57,36.86,36.51,36.61,26.06,9983600
2010-11-03,36.73,36.77,36.04,36.51,25.99,9510200
2010-11-04,36.86,36.95,36.44,36.65,26.09,11861100
2010-11-05,36.67,36.74,35.42,35.7,25.41,22503000
2010-11-08,35.65,35.81,35.57,35.62,25.35,13687200
2010-11-09,35.55,35.74,34.98,35.05,24.95,21298600
2010-11-10,35.05,35.18,34.78,34.96,24.88,19067000
2010-11-11,34.9,35.41,34.85,35.21,25.06,14115400
2010-11-12,35.04,35.06,34.39,34.71,24.71,23756300
2010-11-15,34.71,34.96,34.52,34.54,24.59,13112400
2010-11-16,34.31,34.44,33.94,34.1,24.27,22033600
2010-11-17,34.81,35.65,34.45,34.47,24.54,20032200
2010-11-18,35.14,35.34,34.85,35.29,25.12,15665700
2010-11-19,35.3,35.36,34.92,35.33,25.15,15625100
2010-11-22,35.49,35.64,35.18,35.59,25.33,14557300
2010-11-23,35.34,35.38,34.71,34.81,24.78,18337000
2010-11-24,34.82,35.17,34.81,35.15,25.02,10670700
2010-11-26,34.52,34.89,34.5,34.79,24.76,7114600
2010-11-29,34.58,34.74,34.29,34.69,24.69,13327500
2010-11-30,34.45,34.69,34.32,34.47,24.54,38686500
2010-12-01,34.75,35.12,34.67,35.06,24.96,33120800
2010-12-02,35.16,35.36,35.01,35.22,25.07,37694900
2010-12-03,35.29,35.32,35.02,35.3,25.13,10832800
2010-12-06,35.3,35.35,35.05,35.25,25.09,10664200
2010-12-07,35.47,35.62,35.25,35.37,25.18,18210300
2010-12-08,35.34,35.53,35.2,35.4,25.2,8542700
2010-12-09,35.5,35.67,35.26,35.67,25.39,8817800
2010-12-10,35.7,36.0,35.5,35.99,25.62,12012000
2010-12-13,35.84,36.23,35.7,36.1,25.97,18815200
2010-12-14,36.2,36.76,36.11,36.55,26.29,16472200
2010-12-15,36.4,36.99,36.4,36.66,26.37,15233000
2010-12-16,36.59,36.88,36.4,36.84,26.5,9999500
2010-12-17,36.64,36.8,36.12,36.48,26.24,18735100
2010-12-20,36.66,36.67,36.37,36.5,26.26,10721500
2010-12-21,36.67,36.69,36.16,36.18,26.03,9954200
2010-12-22,36.23,36.38,36.1,36.22,26.06,8629100
2010-12-23,36.25,36.58,36.22,36.29,26.11,7245100
2010-12-27,36.14,36.35,36.05,36.23,26.06,4339800
2010-12-28,36.37,36.44,36.1,36.2,26.04,5419700
2010-12-29,36.25,36.35,36.17,36.21,26.05,5003000
2010-12-30,36.11,36.2,35.97,36.01,25.91,5113700
2010-12-31,35.96,36.25,35.93,36.04,25.93,5491800
2011-01-03,36.29,36.78,35.99,36.04,25.93,19559500
2011-01-04,36.24,36.4,35.85,36.35,26.15,13926100
2011-01-05,36.04,36.58,36.0,36.56,26.3,14520300
2011-01-06,36.56,37.14,36.56,37.06,26.66,11990300
2011-01-07,37.17,37.35,36.86,37.35,26.87,12753500
2011-01-10,37.26,37.62,37.16,37.2,26.76,10723700
2011-01-11,37.24,37.32,36.7,36.95,26.58,10234600
2011-01-12,37.2,37.24,36.92,37.15,26.73,12888900
2011-01-13,35.59,35.78,34.51,34.69,24.96,74294400
2011-01-14,34.63,34.75,34.12,34.23,24.63,41751400
2011-01-18,34.07,34.3,33.48,33.87,24.37,58975000
2011-01-19,34.12,34.15,33.7,33.91,24.4,29746600
2011-01-20,33.8,34.14,33.72,34.05,24.5,21608000
2011-01-21,34.18,34.22,33.88,33.9,24.39,20782300
2011-01-24,33.99,33.99,33.77,33.8,24.32,19633500
2011-01-25,33.77,33.85,33.29,33.36,24.0,32620000
2011-01-26,33.41,33.73,33.18,33.2,23.88,26162400
2011-01-27,33.35,33.43,33.24,33.25,23.92,15474900
2011-01-28,33.49,33.53,33.0,33.07,23.79,16151900
2011-01-31,33.29,33.3,33.07,33.17,23.86,14156900
2011-02-01,33.34,34.04,32.9,34.0,24.46,21406500
2011-02-02,33.9,34.03,33.6,33.82,24.33,13791500
2011-02-03,32.99,33.09,32.51,32.9,23.67,40238900
2011-02-04,32.89,33.12,32.78,32.89,23.66,25272800
2011-02-07,32.94,33.03,32.74,33.0,23.74,14480300
2011-02-08,33.15,33.3,33.05,33.27,23.93,11868200
2011-02-09,33.23,33.29,32.92,33.09,23.81,14152300
2011-02-10,33.12,33.14,32.89,33.04,23.77,10835300
2011-02-11,32.97,33.13,32.86,33.07,23.79,10684000
2011-02-14,32.97,33.02,32.75,32.82,23.61,12422700
2011-02-15,32.8,32.82,32.65,32.79,23.59,16951200
2011-02-16,32.74,33.19,32.68,32.96,23.71,14082200
2011-02-17,32.96,33.15,32.7,33.1,23.81,10950000
2011-02-18,33.06,33.21,32.8,32.85,23.63,17023300
2011-02-22,32.75,32.8,32.26,32.34,23.27,17757800
2011-02-23,32.52,32.61,32.04,32.09,23.09,16776200
2011-02-24,32.08,32.16,31.85,32.03,23.04,13942900
2011-02-25,32.06,32.26,32.0,32.19,23.16,8972500
2011-02-28,32.2,32.61,32.19,32.57,23.43,16670700
2011-03-01,32.6,32.98,32.44,32.46,23.35,22146000
2011-03-02,32.45,32.69,32.3,32.58,23.44,12424500
2011-03-03,32.67,33.25,32.62,33.1,23.81,37959400
2011-03-04,33.15,33.36,32.84,33.06,23.78,38800800
2011-03-07,33.0,33.06,32.72,32.83,23.62,38542000
2011-03-08,32.98,33.09,32.82,32.98,23.73,11549400
2011-03-09,32.91,33.48,32.91,33.29,23.95,13601000
2011-03-10,33.21,33.26,32.84,32.9,23.67,15329300
2011-03-11,32.47,32.91,32.47,32.73,23.82,12258300
2011-03-14,32.5,32.6,32.25,32.38,23.57,13789600
2011-03-15,31.83,32.04,31.71,31.86,23.19,16131300
2011-03-16,31.8,31.86,31.06,31.08,22.62,23150900
2011-03-17,31.26,31.62,31.16,31.44,22.88,13708600
2011-03-18,31.78,31.98,31.66,31.91,23.22,19479800
2011-03-21,32.09,32.58,32.04,32.39,23.57,15263200
2011-03-22,32.52,32.76,32.46,32.53,23.68,16482100
2011-03-23,32.5,32.67,32.41,32.63,23.75,12314400
2011-03-24,32.83,32.9,32.54,32.72,23.81,11484200
2011-03-25,32.72,32.9,32.54,32.57,23.7,10559200
2011-03-28,32.54,32.65,32.39,32.45,23.62,9056800
2011-03-29,32.49,32.8,32.42,32.78,23.86,9921600
2011-03-30,33.03,33.48,33.01,33.3,24.24,17249100
2011-03-31,33.07,33.38,33.0,33.01,24.03,12613000
2011-04-01,33.05,33.25,33.0,33.07,24.07,11444000
2011-04-04,33.34,33.37,33.21,33.27,24.21,11518000
2011-04-05,33.14,33.23,33.01,33.16,24.13,9242300
2011-04-06,33.28,33.45,33.15,33.35,24.27,13041900
2011-04-07,33.43,33.43,33.06,33.33,24.26,12575100
2011-04-08,33.5,33.7,33.4,33.67,24.51,18385100
2011-04-11,33.68,33.85,33.51,33.59,24.45,11182600
2011-04-12,33.42,33.77,33.39,33.56,24.43,14580200
2011-04-13,33.62,33.65,33.37,33.47,24.36,7823900
2011-04-14,33.34,34.04,33.27,33.86,24.64,15020000
2011-04-15,34.9,34.97,34.45,34.51,25.12,36904800
2011-04-18,34.2,34.29,33.85,33.93,24.69,17788700
2011-04-19,33.94,34.11,33.52,33.75,24.56,15193200
2011-04-20,34.07,34.23,33.95,34.04,24.77,14220700
2011-04-21,34.27,34.29,33.96,34.04,24.77,15809000
2011-04-25,33.7,34.4,33.63,34.33,24.99,9626200
2011-04-26,34.44,35.16,34.39,35.06,25.52,21500000
2011-04-27,35.2,35.74,35.05,35.63,25.93,20382500
2011-04-28,35.64,35.8,35.46,35.77,26.03,13451300
2011-04-29,35.98,36.25,35.63,35.95,26.16,18935000
2011-05-02,36.44,36.58,36.18,36.31,26.43,18387300
2011-05-03,36.24,36.64,36.07,36.41,26.5,17721100
2011-05-04,36.36,36.75,36.27,36.56,26.61,17399100
2011-05-05,36.45,36.64,36.17,36.25,26.38,16487800
2011-05-06,36.53,36.75,36.29,36.39,26.49,12773600
2011-05-09,36.11,36.58,36.1,36.48,26.55,10732800
2011-05-10,36.55,36.79,36.5,36.77,26.76,9600900
2011-05-11,36.77,36.95,36.47,36.63,26.66,11892900
2011-05-12,36.7,37.27,36.58,37.2,27.07,15941500
2011-05-13,37.03,37.3,36.85,37.08,26.99,11495500
2011-05-16,37.06,37.56,37.0,37.3,27.15,18739200
2011-05-17,37.19,37.34,36.69,37.27,27.13,20384600
2011-05-18,37.25,37.62,37.11,37.58,27.35,12981700
2011-05-19,37.6,37.65,37.15,37.38,27.21,11401100
2011-05-20,37.38,37.48,36.89,37.06,26.97,11327000
2011-05-23,36.67,36.99,36.62,36.9,26.86,12597100
2011-05-24,36.89,37.04,36.79,36.87,26.83,11521700
2011-05-25,36.66,36.86,36.59,36.69,26.7,11261400
2011-05-26,36.69,36.8,36.1,36.38,26.48,17010300
2011-05-27,36.37,36.58,36.08,36.21,26.35,10492900
2011-05-31,36.39,36.76,36.34,36.75,26.75,14796500
2011-06-01,36.6,36.75,36.2,36.25,26.38,11304400
2011-06-02,36.18,36.25,35.93,36.15,26.31,10578700
2011-06-03,35.79,36.03,35.76,35.82,26.07,9885200
2011-06-06,35.7,35.83,35.49,35.56,25.88,9637700
2011-06-07,35.81,36.12,35.56,35.57,25.89,10049100
2011-06-08,35.53,35.95,35.47,35.79,26.05,12067400
2011-06-09,35.88,36.38,35.79,36.0,26.2,13595400
2011-06-10,35.88,35.88,35.36,35.45,25.8,11901000
2011-06-13,35.03,35.49,35.03,35.33,25.99,7982000
2011-06-14,35.51,35.88,35.33,35.64,26.22,12618900
2011-06-15,35.47,35.47,34.99,35.17,25.87,12150100
2011-06-16,35.14,35.36,35.0,35.18,25.88,10124100
2011-06-17,35.4,35.77,35.18,35.39,26.04,15048500
2011-06-20,35.29,35.81,35.22,35.79,26.33,10782600
2011-06-21,35.91,35.97,35.61,35.78,26.32,8601100
2011-06-22,35.57,35.7,35.42,35.47,26.1,7701600
2011-06-23,35.13,35.32,34.54,34.97,25.73,19474900
2011-06-24,35.02,35.07,34.5,34.55,25.42,16598900
2011-06-27,34.65,34.7,34.37,34.53,25.4,10853900
2011-06-28,34.59,35.0,34.5,34.91,25.68,9989100
2011-06-29,34.95,35.29,34.82,35.1,25.82,12806100
2011-06-30,35.22,35.47,35.1,35.29,25.96,12751200
2011-07-01,35.17,35.73,35.16,35.6,26.19,9881900
2011-07-05,35.51,35.69,35.44,35.49,26.11,8986400
2011-07-06,35.5,35.62,35.37,35.53,26.14,10807300
2011-07-07,35.76,35.95,35.45,35.73,26.29,12214200
2011-07-08,35.88,36.19,35.77,36.12,26.57,15030900
2011-07-11,35.96,35.96,35.51,35.68,26.25,10249900
2011-07-12,35.74,36.03,35.58,35.63,26.21,11842400
2011-07-13,35.7,36.47,35.63,36.03,26.51,13502100
2011-07-14,36.17,36.56,36.02,36.31,26.71,15331000
2011-07-15,36.33,36.44,35.68,35.93,26.43,14603700
2011-07-18,35.68,35.81,35.31,35.49,26.11,10626700
2011-07-19,35.57,35.93,35.31,35.79,26.33,11335800
