Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,32.26,32.3,31.79,31.8,29.52,287000
2010-01-04,31.96,32.34,31.8,31.98,29.69,470900
2010-01-05,31.91,32.45,31.72,32.1,29.8,1330400
2010-01-06,32.02,32.27,31.06,31.23,28.99,1901900
2010-01-07,31.55,34.6,31.32,33.38,30.99,2247900
2010-01-08,33.39,35.1,33.39,34.5,32.03,1648100
2010-01-11,34.46,34.77,33.65,34.21,31.76,1458600
2010-01-12,33.8,33.8,33.08,33.23,30.85,692900
2010-01-13,33.22,33.57,33.22,33.35,30.96,603700
2010-01-14,33.47,33.6,33.08,33.1,30.73,473400
2010-01-15,33.0,33.14,32.07,32.14,29.84,750300
2010-01-19,32.08,32.74,32.08,32.5,30.17,410800
2010-01-20,32.4,32.49,32.08,32.08,29.78,531500
2010-01-21,32.25,32.48,30.96,31.07,28.84,532300
2010-01-22,30.97,31.33,30.27,30.45,28.27,548900
2010-01-25,30.7,30.87,29.87,30.39,28.21,374900
2010-01-26,30.26,30.49,29.4,29.47,27.36,789000
2010-01-27,29.5,29.99,29.2,29.9,27.76,801900
2010-01-28,29.9,29.9,29.33,29.69,27.56,615100
2010-01-29,29.87,29.9,29.55,29.56,27.44,651500
2010-02-01,29.62,30.08,29.56,29.91,27.77,1482900
2010-02-02,29.86,30.02,29.45,29.74,27.61,808600
2010-02-03,29.48,29.68,29.23,29.45,27.34,518000
2010-02-04,29.09,29.22,28.53,28.59,26.54,792000
2010-02-05,28.51,28.84,28.01,28.78,26.72,714500
2010-02-08,28.73,28.74,27.87,27.88,25.88,632300
2010-02-09,28.21,29.05,28.02,28.36,26.33,635000
2010-02-10,28.21,28.55,27.96,28.53,26.49,399900
2010-02-11,28.52,29.51,27.98,29.2,27.11,749500
2010-02-12,28.81,29.21,28.6,29.17,27.08,795600
2010-02-16,29.42,29.58,28.9,29.58,27.46,250600
2010-02-17,29.71,29.79,29.02,29.08,27.0,619900
2010-02-18,29.17,29.3,28.61,28.7,26.64,768800
2010-02-19,28.71,29.36,28.6,29.29,27.19,728400
2010-02-22,29.31,29.68,29.09,29.36,27.26,646200
2010-02-23,29.39,29.67,29.3,29.46,27.35,661700
2010-02-24,29.49,30.01,29.41,29.96,27.81,343800
2010-02-25,29.54,29.89,29.38,29.84,27.7,301800
2010-02-26,29.95,30.04,29.52,29.98,27.83,367800
2010-03-01,28.09,29.49,27.9,28.59,26.54,5746900
2010-03-02,29.74,32.73,29.47,32.61,30.27,4981500
2010-03-03,32.56,32.71,31.96,32.12,29.82,1290300
2010-03-04,32.03,33.21,31.97,32.87,30.51,1332500
2010-03-05,33.04,35.17,32.86,33.62,31.21,2729900
2010-03-08,33.69,34.8,33.5,34.01,31.57,2221300
2010-03-09,33.9,34.03,33.51,33.58,31.17,896600
2010-03-10,33.52,33.74,33.33,33.58,31.17,896000
2010-03-11,33.35,34.34,33.14,34.32,31.86,729400
2010-03-12,34.32,35.47,34.07,34.86,32.36,1573400
2010-03-15,34.75,34.75,34.0,34.55,32.07,869800
2010-03-16,34.52,34.97,34.44,34.92,32.42,626500
2010-03-17,35.02,35.4,34.75,35.37,32.84,1122600
2010-03-18,35.17,35.6,35.05,35.22,32.7,600100
2010-03-19,35.07,35.49,34.79,35.07,32.56,1364200
2010-03-22,35.01,35.81,34.25,35.72,33.16,576600
2010-03-23,35.77,36.19,35.54,36.19,33.6,724300
2010-03-24,36.09,36.25,35.72,35.93,33.36,438000
2010-03-25,36.28,36.58,35.82,35.84,33.27,595700
2010-03-26,35.88,36.0,35.16,35.76,33.2,643100
2010-03-29,35.87,35.93,35.43,35.79,33.23,358200
2010-03-30,35.75,36.62,35.56,36.15,33.56,490300
2010-03-31,36.07,36.36,35.9,36.1,33.51,397100
2010-04-01,36.32,36.47,36.07,36.47,33.86,238000
2010-04-05,36.49,36.99,36.44,36.98,34.33,353900
2010-04-06,36.85,37.45,36.39,37.37,34.69,605000
2010-04-07,37.07,37.78,37.07,37.31,34.64,942700
2010-04-08,36.46,36.93,35.79,36.19,33.6,1133700
2010-04-09,36.39,36.65,35.79,36.62,34.0,614000
2010-04-12,36.77,37.14,35.62,37.1,34.44,848700
2010-04-13,37.0,37.27,36.83,37.02,34.37,447900
2010-04-14,37.29,37.32,36.99,37.11,34.45,512800
2010-04-15,37.11,38.02,37.05,37.96,35.24,452000
2010-04-16,37.72,38.61,36.95,37.25,34.58,814300
2010-04-19,36.97,37.06,36.17,36.49,33.88,591000
2010-04-20,36.71,37.46,36.4,37.39,34.71,349800
2010-04-21,37.49,37.49,35.54,35.99,33.41,1384300
2010-04-22,35.64,36.49,35.57,36.44,33.83,739700
2010-04-23,36.56,36.72,36.31,36.7,34.07,324700
2010-04-26,36.56,37.04,36.27,36.96,34.31,362400
2010-04-27,36.7,36.82,35.93,35.96,33.38,626500
2010-04-28,36.2,36.45,35.18,35.41,32.87,952900
2010-04-29,35.56,35.63,34.63,35.46,32.92,779600
2010-04-30,35.41,35.77,34.65,34.65,32.17,498200
2010-05-03,34.89,34.93,34.39,34.76,32.27,588500
2010-05-04,34.33,34.33,33.5,34.18,31.73,1018400
2010-05-05,33.94,34.47,33.58,33.99,31.55,1012100
2010-05-06,33.65,34.29,31.59,32.98,30.62,996900
2010-05-07,32.83,32.83,31.15,32.43,30.11,1565500
2010-05-10,34.04,34.04,33.19,33.75,31.33,810800
2010-05-11,33.44,34.05,33.01,33.7,31.29,558600
2010-05-12,33.88,34.47,33.55,34.24,31.79,578200
2010-05-13,34.09,34.7,33.89,33.95,31.52,306100
2010-05-14,33.64,33.69,32.52,32.79,30.44,581200
2010-05-17,32.83,33.3,31.93,32.71,30.37,921900
2010-05-18,33.14,33.35,32.15,32.32,30.0,717500
2010-05-19,32.05,32.28,31.13,31.46,29.21,581900
2010-05-20,31.0,31.0,29.62,29.75,27.62,1555500
2010-05-21,29.08,30.48,28.93,30.2,28.04,2108100
2010-05-24,30.02,30.59,29.71,29.75,27.62,943600
2010-05-25,29.0,29.13,28.39,29.03,26.95,1380500
2010-05-26,29.23,29.52,28.59,28.69,26.63,1129300
2010-05-27,29.22,29.69,29.17,29.69,27.56,892000
2010-05-28,29.59,30.15,29.23,29.65,27.53,934000
2010-06-01,29.44,30.04,29.3,29.42,27.31,2153900
2010-06-02,29.55,30.19,29.37,30.14,27.98,1231900
2010-06-03,30.39,30.67,29.36,29.54,27.42,4342500
2010-06-04,28.73,29.43,28.63,28.8,26.74,2125800
2010-06-07,28.95,29.2,28.05,28.15,26.13,1747000
2010-06-08,28.2,28.52,27.42,28.28,26.25,2251600
2010-06-09,28.52,29.04,27.91,28.06,26.05,1219100
2010-06-10,28.38,29.13,28.31,29.12,27.03,1015400
2010-06-11,28.8,29.72,28.76,29.69,27.56,972100
2010-06-14,29.8,30.07,29.23,29.25,27.15,1224500
2010-06-15,29.37,29.6,29.2,29.54,27.42,1110300
2010-06-16,29.47,30.52,29.23,30.12,27.96,802700
2010-06-17,30.18,30.19,29.78,29.9,27.76,403600
2010-06-18,29.9,30.16,29.76,29.97,27.82,518200
2010-06-21,30.35,30.6,30.0,30.12,27.96,614400
2010-06-22,30.09,30.25,29.67,30.06,27.91,1159200
2010-06-23,30.15,30.15,29.22,29.49,27.38,585500
2010-06-24,29.29,29.43,28.58,28.63,26.58,619200
2010-06-25,28.5,29.18,28.36,29.09,27.01,759900
2010-06-28,29.12,29.22,28.88,29.04,26.96,528600
2010-06-29,28.69,28.69,27.14,27.23,25.28,1006800
2010-06-30,27.11,27.85,26.85,27.4,25.44,3091000
2010-07-01,28.42,28.5,26.89,27.34,25.38,1417900
2010-07-02,27.55,27.94,27.27,27.77,25.78,1085200
2010-07-06,28.02,29.17,27.77,28.36,26.33,414500
2010-07-07,28.21,29.66,27.94,29.63,27.51,658800
2010-07-08,29.81,30.22,29.76,30.16,28.0,898400
2010-07-09,30.11,30.66,29.98,30.66,28.46,770300
2010-07-12,30.46,30.78,30.35,30.68,28.48,691300
2010-07-13,30.56,31.17,30.56,31.02,28.8,1088500
2010-07-14,30.99,31.65,30.87,31.49,29.23,616300
2010-07-15,31.53,31.63,31.0,31.53,29.27,664000
2010-07-16,31.37,31.38,30.95,31.01,28.79,840600
2010-07-19,31.04,31.13,30.57,30.8,28.59,334900
2010-07-20,30.49,31.14,30.25,31.12,28.89,480500
2010-07-21,31.1,31.38,30.47,30.54,28.35,350100
2010-07-22,30.86,31.63,30.69,31.59,29.33,372600
2010-07-23,31.47,33.25,31.32,33.13,30.76,1236700
2010-07-26,33.27,33.49,32.83,33.05,30.68,863600
2010-07-27,33.48,33.58,32.73,33.01,30.64,582600
2010-07-28,32.88,33.16,32.58,32.73,30.38,580200
2010-07-29,32.85,32.86,31.57,31.8,29.52,556700
2010-07-30,31.38,32.4,31.2,32.27,29.96,437000
2010-08-02,32.57,33.34,32.57,33.25,30.87,1001100
2010-08-03,33.22,33.42,32.9,33.21,30.83,670500
2010-08-04,33.38,33.45,33.1,33.39,31.0,329800
2010-08-05,33.22,33.33,32.88,32.93,30.57,536900
2010-08-06,32.59,32.96,32.34,32.8,30.45,182300
2010-08-09,32.9,33.16,32.66,33.15,30.77,292300
2010-08-10,33.0,33.13,32.6,32.71,30.37,260200
2010-08-11,32.16,32.28,31.15,31.15,28.92,524400
2010-08-12,30.66,31.4,30.55,31.28,29.04,322300
2010-08-13,31.25,31.45,31.1,31.23,28.99,341900
2010-08-16,31.08,31.54,31.05,31.48,29.22,255800
2010-08-17,31.75,31.98,31.33,31.51,29.25,282000
2010-08-18,31.37,32.32,31.26,32.2,29.89,478300
2010-08-19,32.21,32.24,31.12,31.12,28.89,523200
