Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,20.62,20.64,20.3,20.32,14.14,2095100
2010-01-04,20.71,20.71,20.33,20.49,14.26,2541100
2010-01-05,20.5,20.55,20.1,20.21,14.07,3906700
2010-01-06,20.12,20.4,19.91,19.99,13.91,3572000
2010-01-07,19.9,19.97,19.43,19.88,13.84,3251500
2010-01-08,19.88,20.03,19.75,20.0,13.92,2567600
2010-01-11,19.86,20.05,19.62,19.83,13.8,2615000
2010-01-12,19.75,19.75,19.0,19.02,13.24,4269700
2010-01-13,19.27,19.51,18.65,19.34,13.46,5571700
2010-01-14,19.23,19.32,19.02,19.27,13.41,2798200
2010-01-15,19.41,19.41,18.55,18.65,12.98,4633700
2010-01-19,18.69,18.97,18.53,18.86,13.13,3249900
2010-01-20,18.75,18.96,18.34,18.89,13.15,4838600
2010-01-21,18.91,19.34,18.49,18.74,13.04,3931300
2010-01-22,18.74,18.81,17.88,17.95,12.49,4929700
2010-01-25,17.9,18.27,17.83,18.12,12.61,2916000
2010-01-26,17.96,18.3,17.78,17.95,12.49,2751900
2010-01-27,17.79,18.42,17.61,18.4,12.81,4812400
2010-01-28,18.39,18.42,17.48,18.12,12.61,8101100
2010-01-29,18.97,19.04,17.28,17.48,12.17,9718500
2010-02-01,17.6,17.91,17.52,17.9,12.46,6741500
2010-02-02,18.0,18.39,17.89,18.34,12.76,5278700
2010-02-03,18.21,18.41,17.91,18.17,12.65,3933900
2010-02-04,17.93,17.93,17.26,17.41,12.12,4700400
2010-02-05,17.42,17.77,17.28,17.66,12.29,4998600
2010-02-08,17.91,17.93,17.45,17.63,12.27,2808100
2010-02-09,17.84,17.96,17.53,17.79,12.38,3160800
2010-02-10,17.72,18.1,17.65,17.97,12.51,3185000
2010-02-11,17.92,18.32,17.66,18.13,12.62,4247000
2010-02-12,17.78,18.37,17.71,18.26,12.71,2930700
2010-02-16,18.3,18.68,18.2,18.67,12.99,2957300
2010-02-17,18.62,18.62,18.1,18.44,12.97,2218300
2010-02-18,18.47,18.87,18.37,18.77,13.2,2555100
2010-02-19,18.72,18.84,18.5,18.72,13.17,2099900
2010-02-22,18.85,18.94,18.62,18.78,13.21,1822000
2010-02-23,18.78,18.84,18.12,18.21,12.81,2583500
2010-02-24,18.34,18.73,18.31,18.69,13.15,2629900
2010-02-25,18.37,18.49,18.14,18.49,13.01,3146300
2010-02-26,18.45,18.6,18.12,18.52,13.03,3942900
2010-03-01,18.64,18.92,18.59,18.86,13.27,2077700
2010-03-02,18.89,19.05,18.75,18.84,13.25,2182700
2010-03-03,18.84,19.08,18.65,18.7,13.16,1573600
2010-03-04,18.66,18.8,18.48,18.78,13.21,2062600
2010-03-05,18.78,19.1,18.71,19.02,13.38,2148200
2010-03-08,19.04,19.15,18.88,18.91,13.3,1583800
