Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,13.44,13.47,13.19,13.2,8.84,5076000
2010-01-04,13.26,13.44,13.22,13.31,8.91,10408800
2010-01-05,13.32,13.35,13.06,13.18,8.82,11186400
2010-01-06,13.16,13.34,13.16,13.31,8.91,13493200
2010-01-07,13.3,13.3,13.16,13.27,8.89,9768800
2010-01-08,13.24,13.3,13.11,13.16,8.81,9074400
2010-01-11,13.19,13.44,12.98,13.15,8.8,24571600
2010-01-12,13.05,13.05,12.76,12.83,8.59,22500400
2010-01-13,12.8,12.94,12.65,12.88,8.62,23431200
2010-01-14,12.62,12.66,12.41,12.5,8.37,32314400
2010-01-15,12.43,12.66,12.35,12.64,8.46,24167600
2010-01-19,12.56,12.73,12.53,12.72,8.52,14181200
2010-01-20,12.65,12.65,12.35,12.49,8.36,15854800
2010-01-21,12.48,12.58,12.23,12.26,8.2,18664400
2010-01-22,12.26,12.28,12.03,12.03,8.06,14230000
2010-01-25,12.1,12.14,11.92,11.94,7.99,21731600
2010-01-26,12.12,12.39,12.03,12.31,8.24,25260000
2010-01-27,12.29,12.44,12.19,12.44,8.33,17494400
2010-01-28,12.45,12.45,12.22,12.25,8.2,13256400
2010-01-29,12.25,12.3,12.17,12.19,8.16,23262800
2010-02-01,12.16,12.32,12.14,12.31,8.24,11096400
2010-02-02,12.3,12.4,12.18,12.4,8.3,10453600
2010-02-03,12.32,12.37,12.27,12.35,8.27,15056800
2010-02-04,12.26,12.28,11.99,12.01,8.04,18499600
2010-02-05,11.98,12.0,11.69,11.85,7.93,25320000
2010-02-08,11.85,12.32,11.72,11.72,7.85,9212400
2010-02-09,11.8,11.83,11.58,11.61,7.77,29608800
2010-02-10,11.62,11.62,11.45,11.48,7.68,18621200
2010-02-11,11.5,11.52,11.37,11.49,7.69,17407600
2010-02-12,11.4,11.46,11.32,11.39,7.63,13014800
2010-02-16,11.45,11.6,11.45,11.6,7.76,11662400
2010-02-17,11.62,11.65,11.43,11.44,7.66,11451200
2010-02-18,11.46,11.48,11.39,11.44,7.65,11796000
2010-02-19,11.46,11.77,11.43,11.72,7.85,16754400
2010-02-22,11.79,11.81,11.69,11.7,7.83,13581200
2010-02-23,11.7,11.76,11.66,11.7,7.83,14850000
2010-02-24,11.76,11.82,11.7,11.77,7.96,23348400
2010-02-25,11.68,11.74,11.56,11.72,7.93,12076000
2010-02-26,11.75,11.77,11.59,11.59,7.84,13330000
2010-03-01,11.74,11.93,11.7,11.85,8.01,14040800
2010-03-02,11.86,12.0,11.8,11.8,7.98,12073200
2010-03-03,11.79,11.86,11.69,11.73,7.94,12189600
2010-03-04,11.73,11.83,11.69,11.81,7.99,9306400
2010-03-05,11.86,11.93,11.81,11.91,8.06,9364800
2010-03-08,11.94,11.96,11.89,11.94,8.08,7573600
2010-03-09,11.9,11.91,11.73,11.76,7.95,11987600
2010-03-10,11.74,11.8,11.69,11.74,7.94,7936400
2010-03-11,11.72,11.86,11.68,11.84,8.01,11961600
2010-03-12,11.9,11.9,11.74,11.77,7.96,10052000
2010-03-15,11.78,11.83,11.7,11.83,8.0,6087200
2010-03-16,11.84,11.98,11.77,11.96,8.09,6906000
2010-03-17,12.02,12.02,11.96,12.01,8.12,9468800
2010-03-18,12.02,12.05,11.95,11.99,8.11,11521200
2010-03-19,12.04,12.14,11.95,12.04,8.15,13207200
2010-03-22,12.02,12.04,11.91,11.96,8.09,8700000
2010-03-23,11.97,12.03,11.91,11.95,8.09,9041200
2010-03-24,11.95,11.97,11.77,11.82,8.0,10957200
2010-03-25,11.87,11.9,11.78,11.86,8.03,10774800
2010-03-26,11.9,11.98,11.85,11.95,8.09,10840000
2010-03-29,11.96,12.15,11.94,12.15,8.22,11158400
2010-03-30,12.18,12.18,11.88,11.91,8.06,17424400
2010-03-31,11.9,12.18,11.85,12.08,8.18,15155200
2010-04-01,12.14,12.23,12.12,12.21,8.26,10013600
2010-04-05,12.23,12.25,12.15,12.24,8.28,9532000
2010-04-06,12.18,12.33,12.14,12.3,8.32,8435200
2010-04-07,12.3,12.3,12.15,12.27,8.31,11228800
2010-04-08,12.26,12.3,12.15,12.26,8.3,13638400
2010-04-09,12.27,12.43,12.16,12.43,8.41,13893200
2010-04-12,12.43,12.48,12.38,12.44,8.41,10430800
