Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,40.58,40.61,39.76,39.76,34.48,1883500
2010-01-04,40.5,41.61,40.49,41.56,36.05,5385800
2010-01-05,41.74,42.61,41.56,42.28,36.67,4680500
2010-01-06,42.23,43.01,41.58,42.89,37.2,5213600
2010-01-07,42.65,42.83,42.11,42.47,36.84,4111600
2010-01-08,42.14,43.18,42.02,42.48,36.85,6855900
2010-01-11,42.92,43.01,41.65,42.06,36.49,5479500
2010-01-12,41.65,42.02,41.03,41.8,36.26,5615300
2010-01-13,41.93,42.23,41.03,41.79,36.25,5629100
2010-01-14,41.71,42.59,41.62,42.34,36.73,4252200
2010-01-15,42.34,42.6,41.28,41.7,36.17,4960100
2010-01-19,41.57,42.53,41.48,42.45,36.82,4368500
2010-01-20,41.83,41.83,40.99,41.42,35.92,4885100
2010-01-21,41.5,41.87,39.83,40.03,34.72,6846100
2010-01-22,39.8,39.9,38.23,38.35,33.26,7319800
2010-01-25,38.67,39.31,38.34,38.86,33.71,5419100
2010-01-26,38.44,39.4,37.96,38.48,33.37,5052800
2010-01-27,38.31,38.8,37.57,38.7,33.57,6435300
2010-01-28,39.06,39.22,37.2,37.41,32.45,8969200
2010-01-29,37.94,39.17,36.71,36.88,31.99,10605500
2010-02-01,37.32,37.99,37.08,37.95,32.92,6463200
2010-02-02,38.35,38.67,37.87,38.46,33.36,5514900
2010-02-03,39.22,40.5,38.86,39.65,34.39,9895400
2010-02-04,39.75,40.02,38.3,38.36,33.27,8707600
2010-02-05,38.37,39.02,36.99,38.14,33.08,8604000
2010-02-08,38.13,38.44,37.42,37.45,32.48,6766200
2010-02-09,38.1,39.3,38.03,38.49,33.38,8486900
2010-02-10,38.47,38.78,37.48,38.37,33.28,6103700
2010-02-11,38.44,39.18,38.01,39.14,33.95,6481200
2010-02-12,38.29,39.14,38.11,39.1,33.91,6449000
2010-02-16,39.82,39.91,39.38,39.74,34.47,5782400
2010-02-17,39.86,40.22,39.68,39.97,34.67,5664600
2010-02-18,39.87,40.44,39.6,40.32,34.98,4898200
2010-02-19,40.25,40.71,39.77,40.68,35.28,6513300
2010-02-22,41.33,41.43,39.7,40.04,34.73,6535100
2010-02-23,39.74,40.05,38.71,38.89,33.73,6006800
2010-02-24,38.92,39.5,38.84,39.22,34.02,5675300
2010-02-25,38.41,39.0,37.83,38.93,33.77,6541400
2010-02-26,39.12,39.27,38.65,39.2,34.0,4310000
2010-03-01,39.39,39.55,39.08,39.37,34.15,4748700
2010-03-02,39.51,40.23,39.42,39.7,34.44,5287000
2010-03-03,39.89,40.31,39.82,39.98,34.68,4916500
2010-03-04,40.2,40.2,38.75,38.91,33.75,6200000
2010-03-05,39.51,39.51,38.85,39.37,34.15,7042100
2010-03-08,39.4,39.67,38.94,39.34,34.12,3821900
2010-03-09,39.11,39.49,38.77,39.17,33.98,3779200
2010-03-10,39.1,39.71,38.73,39.41,34.27,3704600
2010-03-11,39.22,39.67,39.0,39.58,34.41,3098900
2010-03-12,39.79,40.03,39.49,39.62,34.45,2629200
2010-03-15,39.48,39.64,38.65,39.01,33.91,3000900
2010-03-16,39.24,39.81,38.94,39.77,34.57,3338200
2010-03-17,39.94,40.76,39.86,40.27,35.01,4321300
2010-03-18,40.12,40.55,39.15,39.42,34.27,4241800
2010-03-19,38.29,39.47,37.91,38.29,33.29,7436000
2010-03-22,37.94,38.51,37.51,38.16,33.18,4790300
2010-03-23,38.36,38.72,38.02,38.3,33.3,5048300
2010-03-24,37.96,38.54,37.9,38.1,33.12,4630600
2010-03-25,38.35,38.57,36.77,36.88,32.06,5850400
2010-03-26,36.89,37.15,35.53,36.0,31.3,9840000
2010-03-29,36.28,36.83,36.23,36.61,31.83,6036600
2010-03-30,36.7,36.75,36.29,36.48,31.72,5947800
2010-03-31,36.81,36.95,36.43,36.59,31.81,7160200
2010-04-01,36.97,37.57,36.76,37.53,32.63,6334900
2010-04-05,37.98,38.72,37.54,38.42,33.4,4928700
2010-04-06,38.35,39.01,38.15,38.97,33.88,5181900
2010-04-07,38.97,38.97,38.3,38.72,33.66,8028400
2010-04-08,38.28,38.28,37.57,38.26,33.26,6487400
2010-04-09,38.44,38.72,38.04,38.71,33.65,4112200
2010-04-12,38.78,39.19,38.56,38.67,33.62,4176100
2010-04-13,38.5,38.5,37.37,37.77,32.84,7081600
2010-04-14,38.06,38.67,37.66,38.1,33.12,7903600
2010-04-15,37.94,38.75,37.9,38.67,33.62,6626900
2010-04-16,38.3,39.04,37.82,38.3,33.3,9709400
2010-04-19,38.02,38.43,37.74,38.36,33.35,5779100
2010-04-20,38.72,40.15,38.55,39.71,34.53,5586600
2010-04-21,39.73,40.52,39.69,40.08,34.85,6865000
2010-04-22,39.57,40.32,39.18,40.22,34.96,4862200
2010-04-23,40.42,41.84,40.41,41.71,36.27,8112100
2010-04-26,41.91,42.16,41.42,41.88,36.41,8144600
2010-04-27,42.2,42.26,39.01,39.12,34.01,13170300
2010-04-28,39.43,40.04,39.04,39.96,34.74,8778600
2010-04-29,40.36,40.79,39.56,40.36,35.09,8366900
2010-04-30,40.5,40.66,38.89,39.7,34.52,11209800
2010-05-03,39.41,40.56,39.23,40.14,34.89,7467500
2010-05-04,39.59,39.75,38.74,39.2,34.08,6701200
2010-05-05,38.53,39.77,38.22,38.61,33.57,7523800
2010-05-06,38.3,39.13,33.85,36.99,32.16,10218200
2010-05-07,36.74,36.96,34.97,35.27,30.66,11171800
2010-05-10,36.98,37.61,36.71,37.29,32.42,10034100
2010-05-11,36.83,37.65,36.47,36.57,31.8,10906700
2010-05-12,36.83,37.18,36.37,37.05,32.21,4979000
2010-05-13,36.93,37.36,36.23,36.65,31.86,6029000
2010-05-14,36.21,36.28,35.27,35.99,31.29,7478000
2010-05-17,36.32,36.51,34.56,35.31,30.7,6430600
2010-05-18,35.94,36.5,34.62,34.82,30.28,5927100
2010-05-19,34.63,34.72,33.25,33.87,29.45,7904900
2010-05-20,32.91,32.96,31.79,31.91,27.74,10428700
2010-05-21,31.33,33.53,31.24,33.26,28.92,9422500
2010-05-24,33.22,33.35,32.52,32.52,28.28,8995500
2010-05-25,31.55,33.29,31.12,33.2,28.86,9136400
2010-05-26,33.66,35.0,33.22,34.31,29.83,11116800
2010-05-27,35.28,36.37,35.16,36.13,31.41,9879400
2010-05-28,35.97,35.98,33.99,34.38,29.89,10637600
2010-06-01,33.35,33.55,30.54,30.57,26.58,19001200
2010-06-02,30.56,31.95,30.21,31.88,27.72,12101900
2010-06-03,32.26,32.42,31.32,32.16,27.96,8440900
2010-06-04,31.11,32.68,31.06,31.25,27.17,6856000
2010-06-07,32.06,32.59,31.5,31.56,27.44,8668700
2010-06-08,31.56,32.03,30.94,31.92,27.75,8350400
2010-06-09,32.28,33.57,31.46,31.7,27.63,10206700
2010-06-10,32.56,33.81,32.55,33.74,29.42,5957300
2010-06-11,33.25,34.0,32.87,33.84,29.5,5135000
2010-06-14,34.33,34.6,33.11,33.23,28.97,7323800
2010-06-15,33.39,35.0,33.39,34.97,30.49,4801500
2010-06-16,34.49,35.09,34.21,34.48,30.06,5817300
2010-06-17,34.58,34.66,33.53,33.96,29.61,6129900
2010-06-18,33.93,34.4,33.46,34.36,29.95,6407200
2010-06-21,34.75,35.0,33.38,33.67,29.36,7381800
2010-06-22,33.32,33.59,32.12,32.34,28.19,10251300
2010-06-23,32.43,32.43,31.51,32.24,28.11,8247300
2010-06-24,32.04,32.64,31.8,31.9,27.81,9319800
2010-06-25,32.12,32.5,31.56,31.83,27.75,10369700
2010-06-28,32.03,32.13,31.27,31.28,27.27,7156000
2010-06-29,30.78,30.82,29.53,29.77,25.96,9315200
2010-06-30,29.93,30.32,29.54,29.82,26.0,10564500
2010-07-01,29.68,30.27,29.02,29.97,26.13,8653500
2010-07-02,30.08,30.65,29.69,30.07,26.22,4299100
2010-07-06,30.51,31.09,29.99,30.43,26.53,5864500
2010-07-07,30.51,31.71,30.44,31.7,27.64,6563500
2010-07-08,32.05,32.27,31.45,32.13,28.01,5014300
2010-07-09,32.14,32.43,31.8,32.02,27.92,4998000
2010-07-12,31.87,32.34,31.55,32.07,27.96,4567700
2010-07-13,32.56,32.93,32.25,32.38,28.23,4232700
2010-07-14,32.12,32.71,31.9,32.35,28.21,4434000
2010-07-15,32.43,32.88,31.61,32.72,28.53,5185200
2010-07-16,32.48,32.48,31.61,31.79,27.72,5805200
2010-07-19,32.21,32.64,31.86,32.54,28.37,5338000
2010-07-20,32.07,33.83,32.0,33.72,29.39,6011900
2010-07-21,34.02,34.17,32.74,33.01,28.78,5200500
2010-07-22,33.53,34.36,33.3,34.14,29.76,5787900
2010-07-23,34.08,34.4,33.36,34.3,29.91,4066700
2010-07-26,34.5,34.5,33.87,34.23,29.84,3840600
2010-07-27,34.27,34.51,33.4,33.71,29.39,4540600
2010-07-28,33.54,34.27,33.38,33.66,29.35,5802200
2010-07-29,34.04,35.22,33.88,35.06,30.57,8775000
2010-07-30,34.51,35.43,34.17,35.31,30.79,6779800
2010-08-02,35.9,37.41,35.9,37.09,32.34,7484600
2010-08-03,36.83,37.25,36.56,36.93,32.19,4541400
2010-08-04,36.92,37.9,36.92,37.75,32.91,6974000
2010-08-05,37.32,37.8,36.97,37.41,32.62,3847100
2010-08-06,37.11,37.71,36.87,37.54,32.73,4356900
2010-08-09,37.68,37.68,36.65,37.03,32.29,4771200
2010-08-10,36.54,36.95,36.04,36.75,32.04,4927900
2010-08-11,36.07,36.1,35.26,35.51,30.96,4847500
2010-08-12,34.93,35.7,34.73,35.6,31.04,5367300
2010-08-13,35.54,36.1,35.28,35.61,31.05,3705100
2010-08-16,35.41,35.64,35.14,35.51,30.96,3687300
2010-08-17,35.94,36.5,35.81,36.22,31.58,3802000
2010-08-18,36.11,36.13,35.48,35.65,31.09,4100000
2010-08-19,35.52,35.62,34.65,34.89,30.42,2872300
2010-08-20,34.64,34.81,33.9,34.47,30.06,4400000
2010-08-23,34.63,34.96,34.44,34.54,30.12,3701900
2010-08-24,34.05,34.81,33.81,34.41,30.0,5063900
2010-08-25,34.11,34.24,33.49,33.72,29.39,7138800
2010-08-26,33.85,34.18,33.01,33.14,28.89,4598300
2010-08-27,33.44,34.26,32.69,34.24,29.85,4490500
2010-08-30,34.3,34.63,33.94,33.95,29.6,3289200
2010-08-31,33.61,34.03,33.36,33.93,29.58,5073200
2010-09-01,34.52,35.54,34.39,35.34,30.81,3631600
2010-09-02,35.36,35.96,35.3,35.88,31.28,4362800
2010-09-03,36.32,36.73,36.11,36.56,31.88,3866600
2010-09-07,36.1,36.13,35.43,35.66,31.09,3861200
2010-09-08,35.6,36.35,35.58,35.94,31.42,3118700
2010-09-09,36.49,36.6,35.68,35.99,31.46,2376000
2010-09-10,36.32,37.22,36.3,37.06,32.39,3789800
2010-09-13,37.75,37.87,37.18,37.26,32.57,3523100
2010-09-14,37.14,37.7,36.88,37.38,32.67,3771300
2010-09-15,37.1,37.22,36.58,37.09,32.42,3471700
2010-09-16,37.04,37.25,36.6,36.88,32.24,3210600
2010-09-17,37.06,37.35,36.74,37.22,32.54,4068500
2010-09-20,37.39,38.21,37.11,38.06,33.27,3784600
2010-09-21,38.15,39.22,38.15,38.76,33.88,6519200
2010-09-22,38.85,39.33,38.47,38.67,33.8,5004400
2010-09-23,38.1,39.03,37.96,38.57,33.71,4649500
2010-09-24,39.16,40.29,39.11,39.86,34.84,6369600
2010-09-27,40.04,40.21,39.29,39.36,34.4,5006300
2010-09-28,39.56,40.09,39.12,39.95,34.92,4188200
2010-09-29,39.81,40.67,39.58,40.44,35.35,5705100
2010-09-30,40.73,40.79,39.68,40.1,35.05,5304400
2010-10-01,40.6,41.21,40.46,40.74,35.61,4808700
2010-10-04,40.51,40.64,39.1,39.62,34.63,6050100
2010-10-05,40.19,41.62,40.17,41.6,36.36,6419700
2010-10-06,41.37,42.0,41.24,41.67,36.42,5191800
2010-10-07,41.97,42.02,40.61,41.15,35.97,5199600
2010-10-08,41.31,42.24,41.09,42.03,36.74,3400900
2010-10-11,41.87,42.38,41.7,42.06,36.76,3644900
2010-10-12,41.95,42.56,41.33,42.22,36.9,3783400
2010-10-13,42.56,43.82,42.56,43.42,37.95,5394800
2010-10-14,43.46,44.1,42.94,43.41,37.94,5506700
2010-10-15,43.66,43.83,42.83,43.82,38.3,4731300
2010-10-18,43.73,43.9,42.95,43.56,38.08,4210000
2010-10-19,42.61,43.17,42.15,42.8,37.41,5909500
2010-10-20,43.0,44.07,42.98,44.01,38.47,4418600
2010-10-21,44.15,44.2,42.75,43.24,37.79,7078100
2010-10-22,43.44,43.99,43.44,43.81,38.3,5267000
2010-10-25,44.32,45.02,43.08,43.26,37.81,9748900
2010-10-26,45.01,47.46,45.01,46.92,41.01,14880100
2010-10-27,46.23,49.22,46.09,48.69,42.56,12717600
2010-10-28,49.36,49.36,47.41,48.22,42.15,7659100
2010-10-29,47.76,49.59,47.76,48.48,42.37,7612000
2010-11-01,49.29,49.71,48.6,48.98,42.81,5551800
2010-11-02,49.53,50.52,49.31,50.02,43.72,5136800
2010-11-03,50.24,50.27,48.69,50.24,43.92,6404600
2010-11-04,51.08,52.66,51.01,52.53,45.92,7501300
2010-11-05,52.83,53.54,52.58,52.99,46.32,7587100
2010-11-08,52.77,52.95,51.85,52.56,45.94,6126700
2010-11-09,52.89,53.86,52.26,52.6,45.97,6298300
2010-11-10,52.58,53.49,51.94,53.28,46.57,7104400
2010-11-11,52.67,53.99,52.67,53.71,46.94,4910500
2010-11-12,53.0,53.62,51.33,51.98,45.44,8023600
2010-11-15,52.19,52.41,51.4,51.84,45.31,4569300
2010-11-16,51.14,52.08,50.87,51.97,45.42,7634700
2010-11-17,51.79,53.75,51.67,53.37,46.65,6472500
2010-11-18,54.07,56.91,53.9,55.79,48.76,14344900
2010-11-19,55.26,55.68,54.36,55.66,48.65,6865100
2010-11-22,55.46,55.49,53.74,54.96,48.04,4850800
2010-11-23,54.12,54.96,53.59,54.89,47.98,4508400
2010-11-24,55.66,57.6,55.63,57.08,49.89,5656100
2010-11-26,55.63,56.56,55.37,55.47,48.49,2747600
2010-11-29,55.18,55.46,54.11,55.36,48.39,6900100
2010-11-30,54.79,56.19,54.36,55.27,48.31,7478000
2010-12-01,55.91,56.36,55.45,55.9,48.95,6808100
2010-12-02,55.85,56.36,55.23,56.21,49.22,5005200
2010-12-03,55.9,57.09,55.9,56.81,49.74,4804700
2010-12-06,56.75,57.36,56.54,57.09,49.99,3791400
2010-12-07,57.75,58.38,56.16,56.42,49.4,5035300
2010-12-08,56.41,56.73,54.9,55.61,48.69,6452400
2010-12-09,56.17,56.96,55.87,56.71,49.66,4088400
2010-12-10,56.51,57.09,56.45,56.5,49.47,4131900
2010-12-13,57.37,59.61,57.3,57.7,50.53,6374400
2010-12-14,57.75,58.95,57.19,57.28,50.15,5065200
2010-12-15,57.03,58.03,56.1,56.1,49.13,4906300
2010-12-16,56.07,56.93,55.08,56.85,49.78,4435100
2010-12-17,56.76,57.59,56.37,57.33,50.2,4708800
2010-12-20,57.55,58.16,56.92,57.76,50.58,3008600
2010-12-21,57.84,59.27,57.69,58.95,51.62,4908200
2010-12-22,59.19,59.4,58.63,59.29,51.91,2931900
2010-12-23,59.15,59.47,58.91,59.34,51.96,1722200
2010-12-27,59.19,59.39,58.21,58.67,51.38,2183600
2010-12-28,58.79,59.13,58.4,58.63,51.34,1928500
2010-12-29,58.81,59.95,58.44,59.79,52.36,2305900
2010-12-30,59.86,60.55,59.62,60.32,52.81,2629800
2010-12-31,60.24,61.06,59.9,60.64,53.1,2231600
2011-01-03,61.44,61.87,60.21,60.3,52.8,4244100
2011-01-04,60.78,60.8,59.16,60.23,52.74,6322200
2011-01-05,59.53,59.9,58.51,59.58,52.17,5896100
2011-01-06,59.69,59.69,57.22,57.46,50.31,6353400
2011-01-07,57.49,59.4,57.33,58.65,51.35,6302700
2011-01-10,58.21,59.33,57.56,58.79,51.48,4971300
2011-01-11,59.26,60.38,59.21,59.87,52.43,4588100
2011-01-12,60.16,60.82,59.23,60.76,53.2,5471400
2011-01-13,60.84,61.49,60.28,60.53,53.0,3726200
2011-01-14,60.44,62.52,59.98,62.5,54.73,5137900
2011-01-18,62.85,63.11,62.04,62.98,55.15,3567300
2011-01-19,62.88,63.12,61.24,61.55,53.9,4454200
2011-01-20,60.9,61.42,59.2,61.1,53.5,5060800
2011-01-21,62.11,62.81,60.53,60.87,53.3,4899800
2011-01-24,60.63,62.06,60.05,61.54,53.89,3707700
2011-01-25,61.26,61.47,59.98,61.43,53.79,5137900
2011-01-26,61.63,64.83,61.63,64.49,56.47,6004400
2011-01-27,64.7,64.82,62.85,63.9,55.96,4027100
2011-01-28,63.59,64.92,63.35,64.44,56.42,3916100
2011-01-31,65.25,66.85,64.47,66.64,58.35,5190800
2011-02-01,66.96,67.39,65.33,66.82,58.51,5402300
2011-02-02,66.57,68.21,66.1,67.3,58.93,5827200
2011-02-03,67.7,69.13,66.29,68.47,59.95,7980000
2011-02-04,69.17,69.96,68.35,68.94,60.36,7327100
2011-02-07,69.29,71.49,69.13,70.07,61.36,6732500
2011-02-08,70.49,70.66,68.79,69.77,61.09,4288300
