Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,53.19,53.3,52.38,52.42,40.26,1164900
2010-01-04,52.83,52.83,52.04,52.59,40.4,1884500
2010-01-05,52.56,53.62,52.5,53.4,41.02,1803900
2010-01-06,53.13,53.96,53.01,53.25,40.9,2116000
2010-01-07,53.01,53.03,52.11,52.55,40.36,3161500
2010-01-08,52.44,54.76,52.44,54.36,41.76,3042400
2010-01-11,54.73,54.73,53.73,54.23,41.66,1452500
2010-01-12,53.84,54.33,53.58,54.02,41.49,2466200
2010-01-13,54.03,54.22,53.31,54.0,41.48,1497600
2010-01-14,53.75,53.96,52.76,53.15,40.83,2677100
2010-01-15,53.36,53.36,52.31,52.78,40.54,2805900
2010-01-19,52.9,53.15,52.47,53.05,40.75,1779200
2010-01-20,52.01,52.08,50.9,51.75,39.75,3114800
2010-01-21,51.6,52.5,50.38,50.4,38.71,3712600
2010-01-22,50.4,50.9,49.55,49.65,38.14,2728300
2010-01-25,50.2,50.33,49.5,49.87,38.31,1600900
2010-01-26,49.71,50.5,49.38,49.75,38.21,2461000
2010-01-27,49.56,50.67,49.19,50.43,38.74,3019000
2010-01-28,49.93,49.94,47.81,48.09,36.94,4524100
2010-01-29,48.0,48.54,46.98,47.06,36.15,3038300
2010-02-01,47.28,48.5,47.28,48.08,36.93,2305800
2010-02-02,48.42,49.54,48.05,49.0,37.64,2867500
2010-02-03,48.59,49.25,48.25,48.45,37.48,1710700
2010-02-04,48.01,48.15,46.77,46.83,36.22,2929400
2010-02-05,46.73,47.29,46.18,47.1,36.43,3011500
2010-02-08,47.01,47.6,46.25,46.31,35.82,3128000
2010-02-09,47.27,47.75,46.93,47.14,36.46,1898500
2010-02-10,47.1,47.38,46.31,46.99,36.35,2391300
2010-02-11,46.85,48.92,46.76,48.58,37.58,3510200
2010-02-12,48.1,48.55,47.75,48.48,37.5,2419000
2010-02-16,48.77,49.92,48.4,49.89,38.59,2512100
2010-02-17,49.9,50.0,48.89,49.26,38.1,2253500
2010-02-18,49.39,50.35,49.22,50.25,38.87,2693600
2010-02-19,49.97,51.3,49.97,51.01,39.46,3290700
2010-02-22,51.24,51.37,50.82,51.14,39.56,1665500
2010-02-23,51.01,51.18,50.18,50.68,39.2,1997400
2010-02-24,50.83,51.16,50.55,51.11,39.53,1715300
2010-02-25,50.67,51.74,50.09,51.65,39.95,2563100
