Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,47.42,47.42,46.65,46.65,33.06,2290000
2010-01-04,47.38,48.28,47.32,47.79,33.87,4923600
2010-01-05,47.77,48.26,47.39,48.12,34.1,3610000
2010-01-06,48.05,50.1,48.05,49.57,35.13,6650900
2010-01-07,49.29,49.29,48.11,49.23,34.89,4732000
2010-01-08,49.13,50.44,48.83,49.93,35.38,6611200
2010-01-11,50.68,50.72,48.96,49.64,35.18,4522300
2010-01-12,48.8,48.94,47.86,48.41,34.3,5210800
2010-01-13,48.41,48.88,47.39,48.43,34.32,3397200
2010-01-14,48.39,48.54,47.38,47.91,33.95,4450700
2010-01-15,47.94,48.08,47.01,47.43,33.61,3922200
2010-01-19,47.45,48.25,47.12,48.11,34.09,3438400
2010-01-20,47.58,47.69,46.95,47.11,33.38,5049300
2010-01-21,47.11,47.25,45.6,45.69,32.38,5712900
2010-01-22,44.43,45.49,43.52,44.19,31.31,7093600
2010-01-25,44.93,45.35,43.99,44.13,31.27,5990800
2010-01-26,42.93,44.61,42.75,43.56,30.87,7585900
2010-01-27,43.39,44.06,41.65,42.59,30.18,7340000
2010-01-28,43.31,43.31,41.1,41.4,29.34,6786700
2010-01-29,42.04,42.29,40.57,40.8,28.91,6653700
2010-02-01,41.3,42.17,41.07,41.97,29.74,4801700
2010-02-02,42.34,43.04,41.71,42.92,30.41,5357900
2010-02-03,42.42,43.18,41.8,41.94,29.72,5049400
2010-02-04,40.67,41.3,39.5,39.5,27.99,9175200
2010-02-05,39.97,40.54,38.93,40.46,28.67,8421400
2010-02-08,40.62,40.85,39.56,39.57,28.04,4748000
2010-02-09,40.42,40.98,39.88,40.46,28.67,5038000
2010-02-10,40.1,40.23,39.24,39.92,28.29,6147800
2010-02-11,40.08,41.17,39.9,41.15,29.16,5957000
2010-02-12,40.34,41.45,40.0,41.13,29.15,5982400
2010-02-16,41.98,42.77,41.73,42.69,30.25,7459600
2010-02-17,42.98,42.98,42.2,42.44,30.07,4983200
2010-02-18,42.45,43.78,42.28,43.62,30.91,6230100
2010-02-19,43.26,45.04,43.2,44.35,31.43,7040500
2010-02-22,44.46,44.49,43.53,43.66,30.94,5398900
2010-02-23,43.51,43.7,41.69,42.0,29.76,6989100
2010-02-24,42.34,42.91,41.68,42.09,29.83,5767200
2010-02-25,41.11,41.97,40.5,41.88,29.68,5943500
2010-02-26,41.98,42.07,40.87,41.4,29.34,6456900
2010-03-01,41.78,42.61,41.49,42.37,30.02,5729600
2010-03-02,42.93,43.29,42.5,42.91,30.41,5721400
2010-03-03,43.23,43.98,43.13,43.16,30.58,4400600
2010-03-04,43.16,43.68,42.91,43.51,30.83,4517200
2010-03-05,44.06,44.72,43.95,44.56,31.58,4963900
2010-03-08,44.94,45.26,44.72,44.84,31.78,5328200
2010-03-09,44.51,45.32,44.31,44.93,31.84,4952400
2010-03-10,44.99,45.49,44.55,45.03,31.91,4868800
2010-03-11,44.4,45.03,44.17,45.01,31.9,4522300
2010-03-12,45.22,45.46,44.76,45.28,32.09,6052300
2010-03-15,44.99,45.2,44.63,45.12,31.97,5030800
2010-03-16,45.79,46.2,45.05,46.07,32.65,6990500
2010-03-17,45.87,46.22,44.87,45.11,31.97,7720600
2010-03-18,45.14,45.49,44.32,44.74,31.7,4503600
2010-03-19,44.39,45.01,43.97,44.39,31.46,6494500
2010-03-22,43.74,44.71,43.54,44.66,31.65,3256700
2010-03-23,44.82,46.39,44.71,46.33,32.83,5863900
2010-03-24,46.05,46.11,45.63,45.82,32.47,4313600
2010-03-25,46.43,46.43,44.76,44.88,31.8,5180200
2010-03-26,45.21,46.0,45.09,45.67,32.36,4033900
2010-03-29,45.99,46.38,45.7,46.04,32.88,3409800
2010-03-30,46.46,46.46,45.19,45.56,32.54,2833400
2010-03-31,45.42,45.83,45.24,45.38,32.41,3034600
2010-04-01,45.98,46.22,45.57,45.95,32.82,2971000
2010-04-05,46.44,47.85,46.08,47.53,33.95,5907200
2010-04-06,47.48,48.05,47.12,47.64,34.03,4088900
2010-04-07,47.44,48.06,47.24,47.61,34.01,6488500
2010-04-08,47.25,47.59,46.96,47.49,33.92,4715700
2010-04-09,47.71,47.81,46.96,47.4,33.86,4397600
2010-04-12,47.45,47.73,46.96,47.15,33.68,3261500
2010-04-13,47.15,47.44,46.42,47.0,33.57,4527700
2010-04-14,47.6,47.77,47.17,47.67,34.05,5042100
2010-04-15,47.6,47.6,46.53,46.65,33.32,6026500
2010-04-16,46.31,46.61,45.15,45.64,32.6,6421000
2010-04-19,45.29,45.6,44.76,45.53,32.52,5724700
2010-04-20,45.97,46.25,44.73,45.26,32.33,6513700
2010-04-21,45.34,45.56,44.55,45.11,32.22,5332900
2010-04-22,44.89,45.44,43.67,45.27,32.33,6567400
2010-04-23,45.71,46.24,45.01,46.06,32.9,5576600
2010-04-26,46.4,46.8,45.7,45.76,32.68,4307500
2010-04-27,45.68,46.02,44.49,44.62,31.87,7392200
2010-04-28,45.13,45.13,44.3,45.01,32.15,4818900
2010-04-29,45.39,45.93,45.11,45.66,32.61,4459200
2010-04-30,45.86,46.17,45.28,45.32,32.37,6374400
2010-05-03,45.81,46.15,44.88,45.93,32.81,4699300
2010-05-04,45.25,45.6,44.66,45.16,32.26,5433900
2010-05-05,44.09,47.01,44.09,45.77,32.69,7855300
2010-05-06,45.39,46.69,42.64,44.7,31.93,7931300
2010-05-07,44.48,45.77,43.04,44.9,32.07,8373100
2010-05-10,46.58,46.77,45.9,46.57,33.26,5379600
2010-05-11,45.92,46.74,45.63,45.99,32.85,3919000
2010-05-12,46.35,46.87,45.95,46.77,33.41,3945400
2010-05-13,46.97,47.48,46.19,46.33,33.09,4872000
2010-05-14,45.84,46.08,44.98,45.89,32.78,5772100
2010-05-17,45.96,46.04,44.56,45.53,32.52,6162700
2010-05-18,46.04,46.45,44.37,44.51,31.79,6269500
2010-05-19,44.08,45.13,43.75,44.56,31.83,6450700
2010-05-20,43.32,43.9,42.27,42.71,30.51,7989000
2010-05-21,41.83,43.44,41.72,42.95,30.68,9555600
2010-05-24,42.75,43.47,42.25,42.25,30.18,4467000
2010-05-25,40.81,42.99,40.56,42.9,30.64,7794200
2010-05-26,43.22,44.0,42.32,42.45,30.32,6652500
2010-05-27,43.8,43.89,42.98,43.85,31.32,5412400
2010-05-28,43.56,43.72,42.62,43.05,30.75,3816200
2010-06-01,42.56,42.99,41.43,41.43,29.59,4082000
2010-06-02,41.62,42.83,41.59,42.76,30.54,4452800
2010-06-03,43.11,43.2,41.82,42.54,30.38,3936900
2010-06-04,41.69,42.09,40.67,40.93,29.23,5618900
2010-06-07,41.06,41.22,40.12,40.12,28.66,4526000
2010-06-08,40.17,41.05,39.83,40.95,29.25,6361800
2010-06-09,41.28,41.94,40.87,41.09,29.35,6426200
2010-06-10,41.9,42.49,41.69,42.43,30.31,4642400
2010-06-11,42.0,42.78,42.0,42.63,30.45,3535600
2010-06-14,43.04,43.28,42.34,42.43,30.31,3767600
2010-06-15,42.34,42.73,41.28,42.65,30.46,6498700
2010-06-16,42.17,42.37,41.91,42.17,30.12,4092500
2010-06-17,42.26,42.26,41.01,41.69,29.78,5274800
2010-06-18,41.76,41.98,41.23,41.49,29.63,5197200
2010-06-21,42.3,42.93,41.48,41.77,29.83,5653700
2010-06-22,41.75,42.06,40.99,41.08,29.34,4751300
2010-06-23,41.08,41.96,40.84,41.72,29.8,4594800
2010-06-24,41.34,41.58,40.46,40.54,28.96,4973600
2010-06-25,40.66,41.32,40.04,41.16,29.4,5737800
2010-06-28,41.02,41.02,40.1,40.14,28.92,4063400
2010-06-29,39.5,39.61,38.28,38.48,27.73,7586400
2010-06-30,38.43,39.22,38.18,38.28,27.58,4621700
2010-07-01,38.33,38.91,37.35,37.76,27.21,6919700
2010-07-02,38.01,38.07,37.31,37.32,26.89,3749100
2010-07-06,37.9,38.32,36.95,37.37,26.93,4605700
2010-07-07,37.28,39.08,37.13,39.07,28.15,5371800
2010-07-08,39.44,39.45,38.42,39.11,28.18,4634900
2010-07-09,39.09,39.92,39.01,39.61,28.54,2693400
2010-07-12,39.55,39.55,38.41,38.67,27.86,3633000
2010-07-13,39.23,39.46,38.91,39.21,28.25,2781800
2010-07-14,39.42,39.64,38.63,39.4,28.39,3892400
2010-07-15,39.53,39.53,38.6,39.27,28.3,3305200
2010-07-16,38.97,38.97,38.01,38.09,27.45,3872100
2010-07-19,38.36,38.7,38.09,38.45,27.71,2578400
2010-07-20,38.0,39.91,37.96,39.82,28.69,4047600
2010-07-21,40.13,40.4,38.79,39.11,28.18,4570300
2010-07-22,39.99,40.66,39.3,39.67,28.58,4412900
2010-07-23,40.0,40.0,38.86,39.84,28.71,5863800
2010-07-26,39.77,40.18,39.51,40.11,28.9,3228000
2010-07-27,40.53,40.59,39.14,39.8,28.68,3945300
2010-07-28,39.53,40.0,39.39,39.55,28.5,2791200
2010-07-29,39.81,40.05,38.82,39.16,28.22,2861100
2010-07-30,38.72,39.29,38.63,39.14,28.2,2608600
2010-08-02,39.72,40.4,39.56,40.27,29.02,2310400
2010-08-03,40.15,40.49,39.65,39.86,28.72,3184300
2010-08-04,40.08,40.34,39.72,40.3,29.04,2313300
2010-08-05,40.09,40.11,39.56,39.98,28.81,2415800
2010-08-06,39.61,40.35,39.42,39.99,28.82,3078900
2010-08-09,40.07,40.15,39.68,40.02,28.84,1551000
2010-08-10,39.54,40.0,39.0,39.7,28.61,2791600
2010-08-11,39.06,39.2,38.35,38.36,27.64,3107400
2010-08-12,37.98,38.77,37.82,38.56,27.79,2865900
2010-08-13,38.31,38.45,38.01,38.09,27.45,1993200
2010-08-16,38.02,38.58,37.83,38.42,27.68,1881100
2010-08-17,38.67,39.68,38.67,39.32,28.33,2843400
2010-08-18,39.27,39.64,38.95,39.34,28.35,2480200
2010-08-19,39.27,39.67,38.36,38.54,27.77,2837700
2010-08-20,38.29,38.43,38.0,38.37,27.65,2534900
2010-08-23,38.52,38.58,37.75,37.76,27.21,2847400
2010-08-24,37.37,37.46,36.6,36.68,26.43,4952600
2010-08-25,36.4,36.82,35.71,36.68,26.43,8353900
2010-08-26,36.97,37.14,36.33,36.38,26.21,2999900
2010-08-27,36.64,37.27,36.37,37.25,26.84,3039500
2010-08-30,36.99,37.49,36.66,36.66,26.42,2604900
2010-08-31,36.49,37.23,36.41,36.78,26.5,3036400
2010-09-01,37.32,38.06,37.2,37.96,27.35,3012900
2010-09-02,37.98,38.44,37.65,38.44,27.7,1935600
2010-09-03,38.9,38.95,38.31,38.68,27.87,2966100
2010-09-07,38.51,39.73,38.41,39.38,28.38,4104500
2010-09-08,39.44,40.45,39.36,40.03,28.84,3567600
2010-09-09,40.9,40.9,39.62,39.83,28.7,3022800
2010-09-10,39.93,40.35,39.62,40.09,28.89,1732500
2010-09-13,40.46,40.89,40.46,40.66,29.3,2187500
2010-09-14,39.3,40.05,38.05,39.41,28.4,6728600
2010-09-15,39.14,39.41,39.02,39.27,28.3,3623300
2010-09-16,39.01,39.53,38.89,38.95,28.07,3473300
2010-09-17,39.0,39.13,38.55,38.74,27.91,3206500
2010-09-20,38.36,38.82,38.09,38.76,27.93,3528800
2010-09-21,38.59,38.62,37.81,38.07,27.43,8789600
2010-09-22,38.03,38.69,37.72,37.84,27.27,4332900
2010-09-23,37.45,37.64,36.92,37.0,26.66,4822400
2010-09-24,37.49,37.78,37.22,37.64,27.12,3142800
2010-09-27,37.64,37.73,37.32,37.55,27.06,3056600
2010-09-28,37.4,38.08,36.97,38.02,27.66,4321700
2010-09-29,37.75,38.53,37.65,38.39,27.93,3750100
2010-09-30,38.57,38.8,38.03,38.2,27.79,3418600
2010-10-01,38.61,38.87,38.31,38.87,28.28,3526900
2010-10-04,38.64,38.79,38.25,38.55,28.05,3765800
2010-10-05,38.95,39.59,38.78,39.53,28.76,3699000
2010-10-06,39.55,40.32,39.5,39.83,28.98,3887900
2010-10-07,40.0,40.01,38.64,38.99,28.37,3896800
2010-10-08,38.92,40.05,38.92,39.92,29.04,3570300
2010-10-11,40.03,40.43,39.83,40.08,29.16,2239800
2010-10-12,39.89,40.18,39.53,39.88,29.01,3222400
2010-10-13,40.37,40.37,39.87,40.15,29.21,3586900
2010-10-14,40.15,40.25,39.27,39.64,28.84,3790200
2010-10-15,39.89,40.0,38.87,39.25,28.56,8579400
2010-10-18,39.02,39.57,38.81,39.51,28.75,2319100
2010-10-19,38.8,39.5,38.35,38.52,28.02,3867400
2010-10-20,38.67,39.49,38.67,39.38,28.65,3214100
2010-10-21,39.19,39.3,37.36,37.89,27.57,8120100
2010-10-22,38.15,38.25,37.7,37.88,27.56,3429000
2010-10-25,38.25,38.5,37.89,38.26,27.84,3553900
2010-10-26,37.64,38.07,37.38,37.88,27.56,2870000
2010-10-27,37.5,37.68,37.02,37.57,27.33,3291600
2010-10-28,37.8,38.1,37.66,37.96,27.62,2814700
2010-10-29,37.93,38.36,37.7,38.22,27.81,2297800
2010-11-01,38.39,38.82,37.96,38.2,27.79,2945900
2010-11-02,38.5,39.18,38.5,38.74,28.18,2788100
2010-11-03,38.97,38.97,37.9,38.54,28.04,3551900
2010-11-04,39.12,39.47,38.9,39.4,28.67,5102800
2010-11-05,39.36,40.81,39.36,40.4,29.39,4964700
2010-11-08,40.19,40.35,39.98,40.28,29.31,2620500
2010-11-09,40.42,40.94,39.8,39.92,29.04,3813700
2010-11-10,39.96,40.56,39.62,40.5,29.47,2954400
2010-11-11,40.22,40.71,40.06,40.64,29.57,2253400
2010-11-12,40.17,40.74,39.85,40.06,29.15,3787600
2010-11-15,40.28,40.35,39.35,39.36,28.64,2969000
2010-11-16,39.05,39.09,37.89,37.97,27.62,6064900
2010-11-17,37.93,38.55,37.62,37.64,27.38,4949400
2010-11-18,38.14,38.47,37.71,37.82,27.52,4029800
2010-11-19,37.85,38.24,37.51,37.96,27.62,4082600
2010-11-22,37.81,38.32,37.6,38.26,27.84,3028700
2010-11-23,37.82,37.82,37.25,37.5,27.28,3066400
2010-11-24,37.64,38.02,37.45,37.96,27.62,3622300
2010-11-26,37.65,37.68,37.38,37.54,27.31,1233200
2010-11-29,37.38,37.66,37.0,37.62,27.37,3311800
2010-11-30,37.22,38.39,37.2,37.74,27.46,4301500
2010-12-01,38.49,39.25,38.41,39.22,28.53,4124100
2010-12-02,39.18,40.32,39.18,40.26,29.29,4648200
2010-12-03,40.18,40.28,39.62,39.91,29.04,4228800
2010-12-06,39.89,39.99,39.53,39.74,28.91,7125400
2010-12-07,40.48,41.44,40.48,41.33,30.07,7834400
2010-12-08,41.46,41.98,40.81,41.2,29.97,5489200
2010-12-09,41.37,41.65,40.88,41.44,30.15,3797100
2010-12-10,41.48,41.93,41.07,41.88,30.47,3031300
2010-12-13,42.24,42.96,42.04,42.71,31.07,6524300
2010-12-14,42.73,43.28,42.65,43.19,31.42,7021300
