Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,18.71,18.95,18.66,18.68,17.18,17508500
2010-01-04,18.51,18.62,18.11,18.49,17.0,20005100
2010-01-05,18.42,18.96,18.42,18.76,17.25,18216200
2010-01-06,18.75,18.92,18.57,18.88,17.36,16229200
2010-01-07,18.78,18.86,18.37,18.51,17.02,13694800
2010-01-08,18.36,18.68,18.25,18.55,17.06,11954200
2010-01-11,18.65,18.73,18.03,18.29,16.82,13915300
2010-01-12,18.02,18.09,17.29,17.67,16.25,15685800
2010-01-13,17.79,17.97,17.1,17.91,16.47,12721700
2010-01-14,17.69,17.82,17.33,17.63,16.21,15213100
2010-01-15,17.5,17.65,16.88,17.11,15.74,20454800
2010-01-19,16.98,17.54,16.93,17.43,16.03,13633200
2010-01-20,17.21,17.43,16.98,17.36,15.97,17993200
2010-01-21,17.35,17.66,16.89,17.05,15.68,15215800
2010-01-22,16.85,17.16,16.36,16.46,15.14,26697900
2010-01-25,16.73,17.06,16.61,16.74,15.4,16091900
2010-01-26,16.66,16.77,16.2,16.21,14.91,17865900
2010-01-27,16.2,16.71,16.02,16.65,15.31,20312600
2010-01-28,16.78,16.84,15.86,16.09,14.8,17194100
2010-01-29,16.27,16.45,15.15,15.39,14.15,19367500
2010-02-01,15.45,16.6,15.32,16.57,15.24,23745800
2010-02-02,16.51,16.95,16.46,16.74,15.4,21245300
2010-02-03,16.59,16.95,16.51,16.88,15.52,14057400
2010-02-04,16.73,16.73,15.72,15.9,14.62,19587000
2010-02-05,15.88,16.26,15.6,16.22,14.92,15121400
2010-02-08,16.17,16.58,15.87,16.19,14.89,11129000
2010-02-09,16.45,16.53,15.9,16.06,14.77,23253600
2010-02-10,16.16,16.52,16.05,16.37,15.06,13395700
2010-02-11,16.63,17.3,16.51,17.12,15.74,17399500
2010-02-12,17.0,17.7,16.81,17.35,15.96,19505300
2010-02-16,17.58,17.74,17.37,17.67,16.25,11425600
2010-02-17,17.89,17.9,17.33,17.84,16.41,21914000
2010-02-18,16.86,16.95,16.21,16.67,15.33,37887700
