Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,15.11,15.18,15.01,15.01,11.09,1229000
2010-01-04,15.12,15.43,15.07,15.2,11.23,2925800
2010-01-05,15.27,15.28,14.98,15.11,11.16,2885400
2010-01-06,15.05,15.4,15.04,15.38,11.36,4676500
2010-01-07,15.54,15.87,15.33,15.82,11.69,3613200
2010-01-08,15.7,15.8,15.56,15.77,11.65,1915900
2010-01-11,15.86,15.86,15.56,15.6,11.52,2321700
2010-01-12,15.46,15.59,15.22,15.4,11.38,3032900
2010-01-13,15.4,15.57,15.38,15.51,11.46,2514000
2010-01-14,15.46,15.55,15.42,15.45,11.41,2204300
2010-01-15,15.38,15.44,14.91,14.91,11.01,4555400
2010-01-19,15.02,15.44,14.93,15.2,11.23,10731500
2010-01-20,15.13,15.24,15.01,15.13,11.18,4472700
2010-01-21,15.23,15.23,14.73,14.77,10.91,5474500
2010-01-22,14.72,14.93,14.44,14.47,10.69,4615800
2010-01-25,14.61,14.7,14.42,14.54,10.74,2533700
2010-01-26,14.44,14.6,14.36,14.43,10.66,3819100
2010-01-27,14.43,14.5,14.02,14.26,10.53,4837200
2010-01-28,14.32,14.36,14.04,14.2,10.49,4504300
2010-01-29,14.02,14.11,13.21,13.57,10.02,15226700
2010-02-01,13.81,13.81,13.39,13.64,10.08,9550300
2010-02-02,14.03,14.48,13.83,14.24,10.52,7714400
2010-02-03,14.14,14.31,14.03,14.13,10.44,4598600
2010-02-04,14.01,14.05,13.54,13.56,10.02,4746800
2010-02-05,13.53,13.56,13.11,13.36,9.87,5776500
2010-02-08,13.75,13.92,13.51,13.58,10.03,6038800
2010-02-09,13.74,13.88,13.58,13.84,10.22,3775800
2010-02-10,13.83,13.85,13.5,13.64,10.08,4896500
2010-02-11,13.59,13.84,13.46,13.77,10.17,6039200
2010-02-12,13.59,13.81,13.45,13.78,10.18,3292800
2010-02-16,13.81,13.85,13.65,13.76,10.16,4969100
