Date,Open,High,Low,Close,Adj Close,Volume
2013-06-19,15.21,16.03,14.96,15.53,14.29,7717000
2013-06-20,16.25,16.3,15.36,15.44,14.21,1874600
2013-06-21,15.98,15.98,15.46,15.8,14.54,635300
2013-06-24,15.79,15.79,15.19,15.52,14.29,758300
2013-06-25,15.5,15.67,15.35,15.66,14.41,564400
2013-06-26,15.54,15.55,15.31,15.47,14.24,901000
2013-06-27,14.78,15.74,14.66,15.37,14.15,3258000
2013-06-28,15.29,15.68,15.25,15.38,14.16,1793700
2013-07-01,15.48,15.5,14.84,14.87,13.69,4343500
2013-07-02,14.68,15.19,14.67,14.99,13.8,8682500
2013-07-03,14.88,15.12,14.84,14.97,13.78,2265100
2013-07-05,14.96,15.94,14.96,15.61,14.37,3470900
2013-07-08,15.83,16.08,15.55,16.02,14.75,4010700
2013-07-09,15.81,16.02,15.67,15.73,14.48,3656200
2013-07-10,15.5,15.6,15.22,15.45,14.22,3010500
2013-07-11,15.8,15.8,15.06,15.21,14.0,3630300
2013-07-12,15.0,15.18,14.97,14.99,13.8,3042300
2013-07-15,15.0,15.08,14.52,14.8,13.62,5331400
2013-07-16,14.71,15.47,14.7,15.39,14.17,2711100
2013-07-17,15.28,16.12,15.28,16.02,14.75,3737700
2013-07-18,16.04,16.25,15.46,15.6,14.36,2827900
2013-07-19,15.37,16.26,15.37,16.12,14.84,3735400
2013-07-22,16.15,16.26,15.75,15.9,14.64,2159200
2013-07-23,15.85,16.05,15.71,15.85,14.59,2104900
2013-07-24,15.79,16.05,15.62,15.92,14.65,2205100
2013-07-25,15.91,16.05,15.64,15.76,14.51,2097300
2013-07-26,15.76,16.16,15.5,16.09,14.81,937600
2013-07-29,15.98,16.07,15.61,15.71,14.46,3495600
2013-07-30,15.73,16.18,15.67,16.14,14.86,3438100
2013-07-31,16.09,16.37,16.04,16.09,14.81,2392800
2013-08-01,16.11,16.42,16.09,16.39,15.09,1951600
2013-08-02,16.29,16.64,16.25,16.5,15.19,2042800
2013-08-05,16.41,16.48,16.08,16.21,14.92,1127500
2013-08-06,16.13,16.45,16.03,16.39,15.09,1335300
2013-08-07,16.24,16.3,16.04,16.16,14.87,1239800
2013-08-08,16.32,16.51,16.15,16.38,15.08,2109500
2013-08-09,16.41,16.41,16.22,16.24,14.95,1370900
2013-08-12,16.1,16.3,15.97,16.11,14.83,1917600
2013-08-13,16.23,16.23,16.0,16.05,14.77,1643600
2013-08-14,16.0,16.21,15.87,16.18,14.89,2029000
2013-08-15,16.06,16.39,15.94,16.32,15.02,1351600
2013-08-16,16.26,16.45,16.16,16.19,14.9,2144700
2013-08-19,16.21,16.22,15.88,15.89,14.63,610700
2013-08-20,15.91,15.98,15.72,15.88,14.62,993300
2013-08-21,15.83,16.0,15.7,15.94,14.67,1948100
2013-08-22,15.99,16.03,15.82,15.88,14.62,1611600
2013-08-23,15.84,16.02,15.77,15.92,14.65,1676500
2013-08-26,15.94,16.13,15.94,16.06,14.78,1095300
2013-08-27,15.98,16.2,15.93,15.94,14.67,3848700
2013-08-28,15.97,16.02,15.89,15.97,14.7,7235800
2013-08-29,15.98,16.09,15.83,15.96,14.69,797500
2013-08-30,15.91,15.97,15.76,15.84,14.58,1583300
2013-09-03,16.02,16.2,15.88,16.0,14.73,584400
2013-09-04,15.9,16.28,15.9,16.21,14.92,2037400
2013-09-05,16.2,16.44,16.07,16.39,15.09,1912100
2013-09-06,16.43,16.49,16.23,16.34,15.04,1655900
2013-09-09,16.33,16.5,16.3,16.49,15.18,772900
2013-09-10,16.53,16.72,16.41,16.72,15.39,846300
2013-09-11,16.71,17.2,16.68,17.2,15.83,1531600
2013-09-12,17.19,17.46,17.11,17.3,15.92,601600
2013-09-13,17.29,17.29,16.98,17.11,15.75,411600
2013-09-16,17.37,17.38,17.0,17.17,15.8,772100
2013-09-17,17.16,17.29,17.12,17.22,15.85,548600
2013-09-18,17.2,17.34,17.07,17.25,15.88,951800
2013-09-19,17.39,17.39,16.91,17.13,15.77,884200
2013-09-20,17.1,17.23,16.72,16.91,15.57,1416500
2013-09-23,16.82,16.85,16.61,16.79,15.45,703900
2013-09-24,16.77,17.43,16.77,17.33,15.95,1402900
2013-09-25,17.23,17.3,16.99,17.09,15.73,1126100
2013-09-26,17.12,17.12,16.47,16.67,15.34,2539000
2013-09-27,16.47,16.59,16.37,16.56,15.24,823300
2013-09-30,16.52,16.52,16.29,16.43,15.12,611800
2013-10-01,16.45,16.45,16.16,16.29,14.99,521200
2013-10-02,16.17,16.57,16.02,16.49,15.18,1292300
2013-10-03,16.5,16.59,16.21,16.27,14.98,2186100
2013-10-04,16.24,16.4,16.2,16.27,14.98,1114000
2013-10-07,16.15,16.36,16.11,16.27,14.98,1107800
2013-10-08,16.21,16.35,16.17,16.23,14.94,667400
2013-10-09,16.21,16.4,16.17,16.34,15.04,4387600
2013-10-10,16.39,16.67,16.39,16.65,15.33,1069200
2013-10-11,16.6,17.06,16.6,16.92,15.57,2259400
2013-10-14,16.76,17.14,16.75,17.06,15.7,754900
2013-10-15,17.04,17.18,16.94,17.16,15.8,1436900
2013-10-16,17.2,17.29,17.08,17.26,15.89,1241700
2013-10-17,17.19,17.27,17.1,17.26,15.89,861300
2013-10-18,17.36,17.39,17.24,17.32,15.94,2034100
2013-10-21,17.36,17.45,17.24,17.3,15.92,563900
2013-10-22,17.36,17.53,17.28,17.45,16.06,1578100
2013-10-23,17.45,17.64,17.29,17.49,16.1,1532000
2013-10-24,17.58,17.8,17.5,17.72,16.31,931700
2013-10-25,17.73,17.74,17.5,17.56,16.16,1527000
2013-10-28,17.55,17.73,17.42,17.68,16.27,1045000
2013-10-29,17.69,17.93,17.67,17.87,16.45,889500
2013-10-30,17.95,18.0,17.72,17.75,16.34,677500
2013-10-31,17.81,18.14,17.73,17.93,16.5,1810300
2013-11-01,17.87,18.16,17.8,18.11,16.67,1295300
2013-11-04,18.16,18.24,18.08,18.13,16.69,404700
2013-11-05,18.13,18.26,17.88,18.1,16.66,696300
2013-11-06,18.09,18.24,17.71,17.77,16.36,619800
2013-11-07,17.75,18.12,17.58,17.61,16.21,660600
2013-11-08,17.58,17.97,17.54,17.94,16.51,518800
2013-11-11,17.86,17.98,17.68,17.78,16.37,537400
2013-11-12,17.39,17.65,17.0,17.49,16.1,1135600
2013-11-13,17.41,17.6,17.27,17.53,16.14,833800
2013-11-14,17.5,17.67,17.47,17.51,16.12,573900
2013-11-15,17.6,18.08,17.6,18.02,16.59,842100
2013-11-18,18.03,18.07,17.61,17.69,16.28,795200
2013-11-19,17.67,17.91,17.61,17.73,16.32,471700
2013-11-20,17.75,18.0,17.7,17.85,16.43,805500
2013-11-21,17.84,17.97,17.76,17.8,16.38,299200
2013-11-22,17.88,17.92,17.69,17.71,16.3,1203700
2013-11-25,17.69,17.83,17.51,17.61,16.21,717400
2013-11-26,17.6,17.82,17.5,17.76,16.35,1162100
2013-11-27,17.71,18.0,17.6,17.89,16.47,1039300
2013-11-29,17.9,18.0,17.87,17.97,16.54,392000
2013-12-02,17.9,17.95,17.62,17.66,16.26,889300
2013-12-03,17.54,17.6,17.4,17.53,16.14,560400
2013-12-04,17.41,17.6,17.29,17.5,16.11,540200
2013-12-05,17.46,17.46,17.26,17.37,15.99,513200
2013-12-06,17.47,17.61,17.21,17.36,15.98,1733400
2013-12-09,17.36,17.43,17.18,17.36,15.98,1985800
2013-12-10,17.3,17.56,17.1,17.5,16.11,937700
2013-12-11,17.45,17.61,17.33,17.47,16.08,745800
2013-12-12,17.39,17.5,17.31,17.35,15.97,466800
2013-12-13,17.43,17.55,17.22,17.5,16.11,643300
2013-12-16,17.43,17.65,17.38,17.63,16.23,718700
2013-12-17,17.32,17.38,17.02,17.21,15.84,800900
2013-12-18,17.29,17.4,16.95,17.35,15.97,531000
2013-12-19,17.27,17.31,17.05,17.21,15.84,386800
2013-12-20,17.28,17.78,17.28,17.58,16.18,565100
2013-12-23,17.6,17.83,17.57,17.78,16.37,395900
2013-12-24,17.8,17.9,17.63,17.82,16.4,87700
2013-12-26,17.84,17.95,17.58,17.7,16.29,240200
2013-12-27,17.66,17.7,17.46,17.68,16.27,319700
2013-12-30,17.68,17.83,17.6,17.75,16.34,308400
2013-12-31,17.63,17.92,17.63,17.83,16.41,297100
2014-01-02,17.84,18.03,17.76,17.89,16.47,758500
2014-01-03,17.95,17.95,17.62,17.73,16.32,431600
2014-01-06,17.82,17.87,17.43,17.55,16.15,620000
2014-01-07,17.51,17.55,17.22,17.32,15.94,1174400
2014-01-08,17.26,17.33,17.07,17.24,15.87,630300
2014-01-09,17.33,17.47,17.2,17.3,15.92,594200
2014-01-10,17.28,17.41,17.23,17.34,15.96,303800
2014-01-13,17.28,17.37,17.03,17.08,15.72,458200
2014-01-14,17.08,17.29,17.08,17.24,15.87,594200
2014-01-15,17.25,17.25,17.09,17.15,15.79,480300
2014-01-16,17.06,17.17,16.99,17.04,15.68,506000
2014-01-17,16.96,17.08,16.88,17.02,15.67,813400
2014-01-21,17.12,17.12,16.66,16.76,15.43,885900
2014-01-22,16.74,17.01,16.57,16.67,15.34,644100
2014-01-23,16.58,16.58,16.39,16.55,15.23,372700
2014-01-24,16.4,16.73,16.06,16.15,14.87,838800
2014-01-27,16.14,16.52,16.05,16.15,14.87,3012700
2014-01-28,16.1,16.27,16.0,16.01,14.74,1214600
2014-01-29,15.86,16.02,15.8,15.92,14.65,1283200
2014-01-30,16.05,16.05,15.75,15.8,14.54,1937300
2014-01-31,15.63,15.82,15.58,15.61,14.37,783600
2014-02-03,15.55,15.73,15.06,15.07,13.87,1966600
2014-02-04,15.18,15.36,15.0,15.07,13.87,4492500
2014-02-05,15.2,15.49,15.12,15.31,14.09,2498300
2014-02-06,15.4,15.74,15.18,15.66,14.41,1457800
2014-02-07,16.5,17.5,16.5,17.0,15.65,1909400
2014-02-10,17.06,17.19,16.73,17.15,15.79,920700
2014-02-11,17.14,17.55,17.08,17.5,16.11,1025800
2014-02-12,17.45,17.58,17.24,17.3,15.92,443800
2014-02-13,17.26,17.39,17.02,17.26,15.89,540100
2014-02-14,17.18,17.39,17.11,17.22,15.85,637900
2014-02-18,17.28,17.38,17.07,17.29,15.91,1097700
2014-02-19,17.42,17.52,17.2,17.25,15.88,879700
2014-02-20,17.28,17.28,16.97,17.11,15.75,448100
2014-02-21,17.08,17.31,17.01,17.22,15.85,725200
2014-02-24,17.22,17.62,17.22,17.5,16.11,811600
2014-02-25,17.58,17.71,17.58,17.62,16.22,1054800
2014-02-26,17.71,17.73,17.51,17.59,16.19,860700
