Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,9.19,9.23,8.92,9.1,8.95,4497400.0
2010-01-04,9.1,9.22,8.59,8.68,8.54,3572200.0
2010-01-05,8.64,8.89,8.44,8.87,8.72,4010800.0
2010-01-06,8.85,9.24,8.85,9.03,8.88,2567800.0
2010-01-07,8.78,9.11,8.59,8.59,8.45,3115800.0
2010-01-08,8.68,8.84,8.57,8.71,8.57,3129400.0
2010-01-11,8.74,8.79,8.59,8.66,8.52,1351500.0
2010-01-12,8.63,8.79,8.49,8.62,8.48,2257300.0
2010-01-13,8.64,8.72,8.52,8.66,8.52,1354600.0
2010-01-14,8.44,8.91,8.44,8.64,8.5,1779300.0
2010-01-15,8.67,8.67,8.31,8.42,8.28,2904000.0
2010-01-19,8.39,8.45,8.16,8.26,8.13,2438100.0
2010-01-20,8.24,8.24,8.04,8.16,8.03,1614600.0
2010-01-21,8.18,8.29,7.93,7.96,7.83,2253700.0
2010-01-22,7.96,8.02,7.82,7.86,7.74,1582300.0
2010-01-25,7.94,7.99,7.8,7.91,7.78,1424800.0
2010-01-26,7.91,8.05,7.85,8.0,7.87,1481800.0
2010-01-27,8.0,8.09,7.99,8.07,7.94,2987700.0
2010-01-28,8.31,8.61,8.11,8.18,8.05,5139600.0
2010-01-29,8.19,8.29,8.1,8.15,8.02,2334700.0
2010-02-01,8.17,8.39,8.15,8.33,8.19,2196600.0
2010-02-02,8.37,8.38,8.23,8.31,8.17,1942600.0
2010-02-03,8.27,8.45,8.22,8.41,8.27,1371700.0
2010-02-04,8.38,8.38,8.24,8.24,8.11,1405900.0
2010-02-05,8.23,8.35,8.03,8.18,8.05,2020500.0
2010-02-08,8.19,8.38,8.06,8.17,8.04,1788900.0
2010-02-09,8.28,8.42,8.19,8.38,8.24,1379200.0
2010-02-10,8.33,8.38,8.19,8.34,8.21,1581700.0
2010-02-11,8.3,8.47,8.15,8.41,8.28,1932000.0
2010-02-12,8.37,8.45,8.23,8.45,8.31,1229400.0
2010-02-16,8.47,8.47,8.28,8.39,8.26,1437900.0
2010-02-17,8.44,8.58,8.41,8.57,8.43,2121700.0
2010-02-18,8.55,8.71,8.52,8.54,8.4,2072400.0
2010-02-19,8.55,8.66,8.52,8.64,8.5,1360000.0
2010-02-22,8.63,8.86,8.61,8.83,8.69,1718500.0
2010-02-23,8.8,8.82,8.61,8.77,8.63,1886800.0
2010-02-24,8.77,8.95,8.76,8.92,8.77,1507200.0
2010-02-25,8.84,9.05,8.8,9.03,8.89,1223700.0
2010-02-26,9.01,9.14,8.92,9.11,8.96,727200.0
2010-03-01,9.12,9.13,8.97,9.02,8.88,1466700.0
2010-03-02,9.01,9.04,8.93,8.99,8.84,920800.0
2010-03-03,9.02,9.14,8.92,9.08,8.94,889600.0
2010-03-04,9.07,9.15,9.04,9.08,8.94,644800.0
2010-03-05,9.1,9.27,9.02,9.23,9.08,1121100.0
2010-03-08,9.31,9.63,9.31,9.49,9.34,1965600.0
2010-03-09,9.51,10.06,9.51,9.87,9.71,3084700.0
2010-03-10,9.85,10.16,9.7,9.88,9.72,1927900.0
2010-03-11,9.82,10.0,9.81,9.94,9.78,729900.0
2010-03-12,9.99,10.01,9.71,9.93,9.77,1134600.0
2010-03-15,9.89,9.99,9.79,9.93,9.77,799300.0
2010-03-16,9.93,10.22,9.93,10.21,10.05,1074100.0
2010-03-17,10.23,10.25,10.02,10.07,9.91,1118700.0
2010-03-18,10.03,10.07,9.85,9.97,9.81,1441900.0
2010-03-19,10.02,10.02,9.83,9.88,9.72,1141600.0
2010-03-22,9.8,10.0,9.75,9.93,9.77,828900.0
2010-03-23,9.96,10.03,9.91,9.95,9.79,852000.0
2010-03-24,9.95,9.98,9.81,9.83,9.68,621900.0
2010-03-25,9.91,10.05,9.81,9.82,9.66,609400.0
2010-03-26,9.82,9.91,9.66,9.8,9.65,748800.0
2010-03-29,9.85,9.96,9.73,9.78,9.63,523300.0
2010-03-30,9.82,9.91,9.75,9.9,9.74,563500.0
2010-03-31,9.86,10.02,9.74,9.89,9.73,1107000.0
2010-04-01,9.96,10.12,9.74,9.81,9.65,2416600.0
2010-04-05,9.85,10.0,9.75,10.0,9.84,703500.0
2010-04-06,10.01,10.33,9.93,10.19,10.02,1760500.0
2010-04-07,10.18,10.27,10.03,10.27,10.1,1313500.0
2010-04-08,10.21,10.36,10.13,10.34,10.18,1050400.0
2010-04-09,10.31,10.32,10.21,10.3,10.14,1036300.0
2010-04-12,10.3,10.43,10.25,10.29,10.12,1015300.0
2010-04-13,10.26,10.31,10.14,10.24,10.07,903700.0
2010-04-14,10.31,10.66,10.27,10.65,10.47,3099700.0
2010-04-15,10.68,11.31,10.67,11.05,10.87,2388100.0
2010-04-16,11.05,11.05,10.83,11.0,10.82,996400.0
2010-04-19,10.94,11.0,10.7,10.87,10.69,791200.0
2010-04-20,10.92,11.03,10.6,10.75,10.58,982000.0
2010-04-21,10.81,10.86,10.6,10.84,10.66,1014000.0
2010-04-22,10.75,10.95,10.58,10.91,10.73,1377100.0
2010-04-23,10.92,11.15,10.87,11.07,10.89,997600.0
2010-04-26,11.08,11.31,10.98,11.25,11.07,1174600.0
2010-04-27,11.19,11.51,11.01,11.11,10.93,1906800.0
2010-04-28,11.13,11.19,10.45,10.56,10.39,3556800.0
2010-04-29,10.65,11.01,10.65,10.97,10.79,1697500.0
2010-04-30,11.01,11.19,10.62,10.63,10.46,1226400.0
2010-05-03,10.7,11.06,10.63,10.9,10.72,877000.0
2010-05-04,10.84,10.85,10.56,10.73,10.56,1649700.0
2010-05-05,10.67,10.87,10.58,10.75,10.58,1061200.0
2010-05-06,11.1,11.13,10.06,10.46,10.29,1840200.0
2010-05-07,10.46,10.53,10.02,10.11,9.94,1558800.0
2010-05-10,10.52,10.82,10.44,10.82,10.65,1171000.0
2010-05-11,10.76,11.19,10.71,11.17,10.99,1504500.0
2010-05-12,11.21,11.47,11.12,11.26,11.07,1493200.0
2010-05-13,11.19,11.27,10.87,10.99,10.82,2112300.0
2010-05-14,10.9,11.05,10.82,11.0,10.82,1032900.0
2010-05-17,11.08,11.16,10.82,11.15,10.97,1259100.0
2010-05-18,11.26,11.39,10.99,11.02,10.84,1284000.0
2010-05-19,10.96,11.14,10.8,11.04,10.86,1021200.0
2010-05-20,10.81,10.81,10.24,10.24,10.07,1663200.0
2010-05-21,10.14,10.52,10.0,10.44,10.27,1856800.0
2010-05-24,10.46,10.49,10.23,10.25,10.08,953700.0
2010-05-25,10.07,10.25,9.83,10.23,10.07,884800.0
2010-05-26,10.29,10.56,10.26,10.28,10.12,806500.0
2010-05-27,10.43,10.75,10.27,10.73,10.55,1449100.0
2010-05-28,10.69,10.79,10.5,10.56,10.39,739800.0
2010-06-01,10.5,10.6,10.33,10.33,10.17,771700.0
2010-06-02,10.35,10.68,10.29,10.62,10.45,935500.0
2010-06-03,10.62,10.91,10.62,10.9,10.72,928900.0
2010-06-04,10.76,10.79,10.22,10.24,10.07,873600.0
2010-06-07,10.25,10.29,9.71,9.74,9.58,1155600.0
2010-06-08,9.74,9.76,9.34,9.66,9.5,1877100.0
2010-06-09,9.75,10.22,9.64,10.05,9.89,2185200.0
2010-06-10,10.23,10.48,10.18,10.46,10.29,730500.0
2010-06-11,10.39,10.67,10.28,10.67,10.5,492700.0
2010-06-14,10.78,11.02,10.75,10.87,10.69,659400.0
2010-06-15,10.99,11.04,10.76,11.0,10.82,1045800.0
