Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,39.76,39.99,39.12,39.15,28.85,988900
2010-01-04,39.5,39.74,39.36,39.62,29.2,1670800
2010-01-05,39.54,39.61,39.16,39.48,29.1,1807900
2010-01-06,39.32,39.5,39.02,39.17,28.87,2500500
2010-01-07,39.11,39.21,38.72,38.94,28.7,2520200
2010-01-08,38.72,39.55,38.59,39.39,29.03,1935700
2010-01-11,39.38,39.65,39.32,39.39,29.03,1383200
2010-01-12,39.05,39.19,38.5,38.73,28.54,2263800
2010-01-13,38.73,39.25,38.73,39.16,28.86,1819700
2010-01-14,38.74,39.0,38.04,38.11,28.09,3447500
2010-01-15,38.1,38.26,37.51,37.66,27.76,2219100
2010-01-19,37.56,38.01,37.53,37.8,27.86,2279300
2010-01-20,37.51,37.88,37.32,37.49,27.63,3081600
2010-01-21,37.43,38.0,36.97,37.03,27.29,2565300
2010-01-22,36.97,37.12,36.27,36.29,26.75,2618400
2010-01-25,36.69,36.73,36.45,36.62,26.99,1833700
2010-01-26,36.53,36.95,36.23,36.55,26.94,2486400
2010-01-27,36.55,36.61,35.7,36.0,26.53,2877800
2010-01-28,36.12,36.39,35.74,35.85,26.42,1886300
2010-01-29,36.07,36.2,35.13,35.3,26.02,2988000
2010-02-01,35.62,36.18,35.45,36.03,26.55,2735800
2010-02-02,35.94,36.96,35.9,36.94,27.22,2649500
2010-02-03,36.86,37.14,36.56,37.02,27.28,3202100
2010-02-04,36.66,36.82,35.75,35.76,26.35,2221600
2010-02-05,35.7,35.72,34.78,35.28,26.0,3581400
2010-02-08,35.34,35.37,34.54,34.54,25.46,3288500
2010-02-09,35.05,35.54,34.96,35.25,25.98,3799900
2010-02-10,35.96,35.96,35.08,35.75,26.35,4072300
2010-02-11,35.74,35.85,34.95,35.56,26.21,3681300
2010-02-12,35.06,35.27,34.83,35.2,25.94,3627900
2010-02-16,35.55,36.0,35.2,35.95,26.49,2831800
2010-02-17,36.14,36.48,35.87,36.35,26.79,3446600
2010-02-18,36.34,37.29,36.25,36.78,27.11,3751100
2010-02-19,36.75,37.27,36.5,37.07,27.32,3266400
2010-02-22,37.1,37.22,36.86,36.98,27.25,1511700
2010-02-23,36.98,37.12,36.63,36.67,27.03,2043600
2010-02-24,36.9,37.18,36.72,36.88,27.18,1595500
2010-02-25,36.21,36.65,36.16,36.62,26.99,2220700
2010-02-26,36.7,37.01,36.52,36.62,26.99,3203000
2010-03-01,36.63,37.75,36.58,37.68,27.77,2579200
2010-03-02,37.89,38.03,37.57,37.66,27.76,2462700
2010-03-03,37.49,37.77,37.46,37.63,27.88,1915900
2010-03-04,37.63,37.79,37.32,37.51,27.79,1962600
2010-03-05,37.76,38.14,37.63,38.06,28.2,2528900
2010-03-08,37.87,38.08,37.82,37.99,28.15,1187200
2010-03-09,37.91,38.4,37.75,38.23,28.33,1701500
2010-03-10,38.19,38.89,38.1,38.84,28.78,2359800
2010-03-11,38.76,39.29,38.53,39.26,29.09,1954400
2010-03-12,39.41,39.46,38.97,39.31,29.13,1525900
2010-03-15,39.25,39.49,38.89,39.16,29.01,1828700
2010-03-16,39.18,39.34,38.99,39.24,29.07,1362800
2010-03-17,39.24,39.9,39.24,39.78,29.47,1739800
2010-03-18,39.72,39.78,39.37,39.56,29.31,1416300
2010-03-19,39.08,39.7,38.93,39.08,28.96,3042600
2010-03-22,38.97,39.76,38.8,39.66,29.39,2090500
2010-03-23,39.7,39.92,39.36,39.82,29.5,2064600
2010-03-24,39.71,40.02,39.59,39.75,29.45,3276900
2010-03-25,39.95,40.29,39.77,39.77,29.47,3067300
2010-03-26,39.86,40.13,39.73,39.81,29.5,2223000
