Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,30.81,30.99,30.64,30.64,20.76,2073200
2010-01-04,31.14,31.15,30.73,30.82,20.88,3731300
2010-01-05,30.85,30.88,30.54,30.8,20.87,3237700
2010-01-06,30.81,31.09,30.67,31.05,21.04,3507700
2010-01-07,30.95,31.55,30.75,31.54,21.37,3674700
2010-01-08,30.81,31.6,30.64,31.56,21.38,5082700
2010-01-11,31.56,31.9,31.23,31.75,21.51,3256600
2010-01-12,31.77,31.79,31.41,31.64,21.44,2806200
2010-01-13,31.54,31.72,31.24,31.66,21.45,3927000
2010-01-14,31.53,31.66,31.1,31.35,21.24,2300000
2010-01-15,30.77,31.08,30.51,30.67,20.78,4405000
2010-01-19,30.7,30.79,30.25,30.43,20.62,4649700
2010-01-20,30.17,30.5,29.83,30.45,20.63,4836000
2010-01-21,30.44,30.85,30.11,30.23,20.48,3833700
2010-01-22,30.24,30.34,29.62,29.64,20.08,3658700
2010-01-25,29.75,29.76,29.36,29.5,19.99,2919400
2010-01-26,29.39,29.66,29.33,29.37,19.9,3873500
2010-01-27,29.25,29.53,29.12,29.38,19.91,4804800
2010-01-28,29.07,29.3,28.62,28.87,19.77,4935300
2010-01-29,29.0,29.31,28.96,28.99,19.85,6691300
2010-02-01,29.14,29.35,29.0,29.32,20.08,5189400
2010-02-02,29.36,29.62,28.97,29.51,20.21,3507200
2010-02-03,29.51,29.63,29.3,29.48,20.19,2423100
2010-02-04,29.25,29.33,28.85,28.98,19.84,4839000
2010-02-05,28.95,29.08,28.5,28.94,19.82,4116700
2010-02-08,28.71,29.09,28.71,28.86,19.76,2798700
2010-02-09,29.13,29.35,28.89,29.11,19.93,2877200
2010-02-10,29.07,29.24,28.82,29.08,19.91,1812000
2010-02-11,29.0,29.51,28.82,29.43,20.15,2460500
2010-02-12,28.97,29.63,28.97,29.53,20.22,3620700
2010-02-16,29.87,29.91,29.5,29.87,20.45,1797900
2010-02-17,30.0,30.12,29.92,30.08,20.6,1870800
2010-02-18,30.17,30.32,30.05,30.16,20.65,2416200
2010-02-19,30.13,30.28,29.93,30.23,20.7,2641600
2010-02-22,30.23,30.43,30.15,30.29,20.74,1501300
2010-02-23,30.03,30.46,29.85,30.09,20.6,2559200
2010-02-24,30.31,30.57,30.18,30.31,20.76,3428300
2010-02-25,29.91,30.03,29.57,29.8,20.41,3686100
2010-02-26,29.92,30.0,29.7,29.94,20.5,2317000
2010-03-01,30.24,30.39,29.86,30.29,20.74,2315000
2010-03-02,30.27,30.33,29.93,29.99,20.54,2477900
2010-03-03,30.38,30.52,30.12,30.36,20.79,2881600
2010-03-04,30.49,30.51,30.19,30.33,20.77,2387500
2010-03-05,30.5,31.21,30.42,31.12,21.31,2704700
2010-03-08,31.22,31.46,31.02,31.25,21.4,2282700
2010-03-09,31.25,31.63,31.16,31.5,21.57,2231200
2010-03-10,31.54,31.9,31.51,31.79,21.77,2325400
