Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,33.91,34.0,33.23,33.25,21.76,2120900
2010-01-04,33.14,33.64,32.89,33.63,22.01,5130400
2010-01-05,33.65,33.75,33.43,33.6,21.99,6568700
2010-01-06,33.63,33.74,33.17,33.42,21.87,2972700
2010-01-07,33.29,33.39,32.88,32.97,21.58,1923800
2010-01-08,32.79,33.01,32.62,32.88,21.52,1764000
2010-01-11,32.85,33.05,32.61,33.04,21.63,3397600
2010-01-12,32.48,33.15,32.35,32.83,21.49,4012200
2010-01-13,32.88,33.26,32.6,33.05,21.63,2749100
2010-01-14,32.9,32.98,32.65,32.82,21.48,2590000
2010-01-15,32.67,32.89,32.17,32.62,21.35,3169700
2010-01-19,32.56,32.94,32.42,32.92,21.55,2185300
2010-01-20,32.71,32.71,31.85,32.23,21.1,3719400
2010-01-21,32.25,32.6,31.52,31.75,20.78,3204500
2010-01-22,31.68,31.81,31.18,31.24,20.45,3298800
2010-01-25,31.28,31.62,31.13,31.44,20.58,2074900
2010-01-26,31.41,31.51,31.02,31.29,20.48,2382500
2010-01-27,31.21,31.21,30.39,30.86,20.2,2649300
2010-01-28,30.91,30.93,30.32,30.57,20.01,2994500
2010-01-29,30.83,30.98,30.51,30.59,20.02,3138100
2010-02-01,30.73,30.82,30.46,30.63,20.05,2192100
2010-02-02,30.65,30.95,30.4,30.89,20.22,2553900
2010-02-03,30.7,30.87,30.44,30.55,20.0,1914100
2010-02-04,30.32,30.4,29.6,29.64,19.4,2337500
2010-02-05,29.61,29.74,29.01,29.52,19.32,3041800
2010-02-08,29.49,30.03,29.37,29.48,19.3,2157200
2010-02-09,29.74,30.23,29.6,29.89,19.56,3132400
2010-02-10,29.85,30.05,29.39,29.93,19.59,3503200
2010-02-11,29.9,30.61,29.58,30.53,19.98,5261500
2010-02-12,30.28,30.35,29.9,30.17,19.75,4165100
2010-02-16,30.42,30.84,30.41,30.76,20.13,3017500
2010-02-17,30.92,31.12,30.55,30.74,20.12,2219700
2010-02-18,30.66,31.07,30.53,30.85,20.19,3440400
2010-02-19,30.7,31.2,30.48,31.18,20.41,2822900
2010-02-22,31.37,31.37,30.5,30.57,20.01,2305800
2010-02-23,30.46,30.57,29.96,30.16,19.74,3321100
2010-02-24,30.27,30.31,29.76,30.17,19.75,3771400
2010-02-25,29.8,29.98,29.37,29.92,19.58,4217700
2010-02-26,29.87,30.01,29.55,29.72,19.45,2599600
2010-03-01,29.83,30.61,29.83,30.44,19.92,2944500
2010-03-02,30.59,30.74,30.42,30.63,20.05,2401400
2010-03-03,30.66,30.74,30.5,30.57,20.01,2356400
2010-03-04,30.69,30.93,30.38,30.9,20.23,7348300
2010-03-05,31.49,31.49,30.96,31.2,20.42,5039300
2010-03-08,30.72,30.89,30.33,30.71,20.32,2415200
2010-03-09,30.69,30.75,30.5,30.55,20.22,2987200
2010-03-10,30.6,30.7,30.29,30.55,20.22,3263100
2010-03-11,30.43,30.71,30.41,30.67,20.3,2532000
2010-03-12,30.78,30.91,30.52,30.57,20.23,1916400
2010-03-15,30.52,30.85,30.52,30.85,20.42,2157400
2010-03-16,30.92,31.18,30.74,31.13,20.6,2360100
2010-03-17,31.18,31.32,30.78,30.96,20.49,3551500
2010-03-18,30.94,31.2,30.71,30.99,20.51,2269400
2010-03-19,30.92,31.34,30.65,30.92,20.46,3569000
2010-03-22,30.8,30.92,30.5,30.59,20.24,2010200
2010-03-23,30.59,30.95,30.36,30.53,20.21,2770200
2010-03-24,30.45,30.63,30.07,30.09,19.91,3384400
2010-03-25,30.09,30.21,29.18,29.35,19.42,5960600
2010-03-26,29.44,29.45,29.04,29.11,19.27,3177700
2010-03-29,29.31,29.51,29.15,29.49,19.52,2689700
2010-03-30,29.6,29.63,29.36,29.45,19.49,2444400
2010-03-31,29.58,29.64,29.11,29.52,19.54,3954100
2010-04-01,29.66,30.15,29.66,30.12,19.93,3110800
2010-04-05,30.25,30.87,30.23,30.82,20.4,3317600
2010-04-06,30.69,31.15,30.56,31.1,20.58,3975800
2010-04-07,30.97,30.97,30.4,30.68,20.3,5440700
2010-04-08,30.62,30.62,30.23,30.48,20.17,2602200
2010-04-09,30.52,30.71,30.22,30.69,20.31,2686600
2010-04-12,30.99,31.06,30.81,31.03,20.54,2048000
2010-04-13,31.06,31.13,30.66,30.85,20.42,2521900
2010-04-14,30.83,31.23,30.61,31.22,20.66,3131700
2010-04-15,31.12,31.18,30.7,30.7,20.32,3118200
2010-04-16,30.65,30.8,30.16,30.25,20.02,2908600
2010-04-19,30.12,30.39,30.07,30.26,20.03,1610200
2010-04-20,30.46,30.81,30.37,30.79,20.38,2127000
2010-04-21,30.75,30.86,30.59,30.83,20.4,1747000
2010-04-22,30.84,31.12,30.62,31.07,20.56,2338700
2010-04-23,31.02,31.55,30.85,31.55,20.88,2064300
2010-04-26,31.47,31.64,31.33,31.39,20.77,2478900
2010-04-27,31.31,31.55,31.01,31.07,20.56,3475200
2010-04-28,31.29,31.53,30.77,31.46,20.82,3518700
2010-04-29,31.6,32.07,31.6,31.84,21.07,2678900
2010-04-30,31.94,32.65,31.89,32.13,21.26,4937400
2010-05-03,32.33,32.87,32.27,32.77,21.69,2559700
2010-05-04,32.51,32.58,31.95,32.15,21.28,2741900
2010-05-05,31.77,32.21,31.57,31.89,21.11,3174900
2010-05-06,31.84,31.97,29.61,31.0,20.52,3644400
2010-05-07,31.01,31.38,30.26,30.7,20.32,4797900
2010-05-10,31.71,32.08,31.17,31.42,20.79,6063500
2010-05-11,31.13,31.78,31.13,31.48,20.83,4001900
2010-05-12,31.46,32.2,31.32,32.15,21.28,3551900
2010-05-13,32.41,32.72,32.0,32.1,21.24,3647400
2010-05-14,31.94,32.19,31.47,31.81,21.05,3619300
2010-05-17,32.08,32.24,31.33,31.87,21.09,5231000
2010-05-18,32.01,32.19,31.5,31.57,20.89,3671200
2010-05-19,31.49,31.62,31.05,31.43,20.8,3681400
2010-05-20,30.84,30.97,30.35,30.49,20.18,7311000
2010-05-21,30.07,30.38,29.76,30.26,20.03,4815300
2010-05-24,30.45,30.72,30.07,30.13,19.94,2486900
2010-05-25,29.53,30.05,29.02,30.05,19.89,4362600
2010-05-26,30.3,30.41,29.75,29.89,19.78,2880100
2010-05-27,30.27,30.62,30.08,30.6,20.25,2347000
2010-05-28,30.61,30.96,30.49,30.63,20.27,2633600
2010-06-01,30.44,30.84,30.12,30.28,20.04,3910900
2010-06-02,30.48,31.13,30.17,31.12,20.6,4898400
2010-06-03,31.15,31.51,31.11,31.49,20.84,2023500
2010-06-04,31.08,31.51,30.55,30.67,20.3,3386000
2010-06-07,30.46,31.12,30.21,30.81,20.62,4980500
2010-06-08,30.84,31.61,30.65,31.58,21.14,4824300
2010-06-09,31.8,32.4,31.46,31.86,21.32,6026100
2010-06-10,32.22,32.45,32.05,32.24,21.58,3392400
2010-06-11,31.92,32.15,31.57,32.11,21.49,2917200
2010-06-14,32.37,32.75,32.26,32.32,21.63,2706800
2010-06-15,32.59,33.12,32.33,33.12,22.17,2682300
2010-06-16,32.88,33.33,32.54,33.2,22.22,2628500
2010-06-17,33.22,33.73,32.97,33.64,22.52,3113300
2010-06-18,33.61,33.8,33.36,33.62,22.5,3351300
2010-06-21,34.1,34.21,32.95,33.08,22.14,4271100
2010-06-22,33.05,33.36,32.08,32.19,21.54,5555200
2010-06-23,32.1,32.18,31.68,31.71,21.22,4480800
2010-06-24,31.67,32.34,31.63,31.82,21.3,3122700
2010-06-25,31.91,32.43,31.36,32.4,21.69,6229800
2010-06-28,32.47,32.63,32.04,32.43,21.71,2779500
2010-06-29,32.09,32.11,31.48,31.61,21.16,4139500
2010-06-30,31.76,32.06,31.3,31.33,20.97,4804100
2010-07-01,31.43,31.47,30.92,31.15,20.85,3695100
2010-07-02,31.15,31.63,31.13,31.38,21.0,2860400
2010-07-06,31.54,31.85,31.36,31.71,21.22,4111400
2010-07-07,31.72,32.85,31.64,32.72,21.9,6629900
2010-07-08,32.84,33.19,32.84,33.16,22.19,3598200
2010-07-09,33.04,33.43,32.92,33.34,22.31,2794700
2010-07-12,33.31,33.58,33.13,33.45,22.39,2576600
2010-07-13,33.71,33.83,33.32,33.47,22.4,3269600
2010-07-14,33.31,33.63,33.12,33.52,22.43,2047800
2010-07-15,33.27,33.86,33.24,33.74,22.58,2137800
2010-07-16,33.61,33.71,32.96,32.97,22.07,3187400
2010-07-19,33.16,33.54,32.98,33.3,22.29,2418900
2010-07-20,33.1,33.53,32.68,33.48,22.41,3059400
2010-07-21,33.58,33.58,32.8,33.0,22.09,2205400
2010-07-22,33.31,33.91,33.18,33.69,22.55,3581300
2010-07-23,33.62,33.84,33.36,33.77,22.6,2144500
2010-07-26,33.8,34.08,33.69,34.05,22.79,2072100
2010-07-27,34.17,34.83,34.12,34.78,23.28,2720300
2010-07-28,34.7,34.93,34.3,34.39,23.02,3851800
2010-07-29,34.64,34.75,33.49,33.82,22.64,4388400
2010-07-30,33.31,33.75,32.2,32.9,22.02,5140700
2010-08-02,33.15,33.34,32.73,33.31,22.29,5799500
