Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,23.48,23.58,23.01,23.01,16.85,372700
2010-01-04,23.27,23.73,23.23,23.39,17.13,810900
2010-01-05,23.42,23.84,23.27,23.69,17.35,532700
2010-01-06,23.75,24.05,23.51,23.57,17.26,505600
2010-01-07,23.5,23.61,23.1,23.4,17.14,628400
2010-01-08,23.43,25.09,23.3,24.95,18.28,2726700
2010-01-11,25.0,25.0,23.87,24.05,17.62,1350500
2010-01-12,23.86,23.94,23.34,23.73,17.38,842500
2010-01-13,23.89,24.02,23.46,23.92,17.52,559900
2010-01-14,23.75,23.93,23.43,23.61,17.29,533000
2010-01-15,23.77,23.77,22.99,23.23,17.02,741700
2010-01-19,23.31,23.89,23.23,23.84,17.46,788200
2010-01-20,23.63,23.63,22.89,22.96,16.82,929700
2010-01-21,22.94,23.14,21.69,21.69,15.89,1627500
2010-01-22,21.72,22.08,21.16,21.24,15.56,1834100
2010-01-25,21.42,22.32,21.4,21.54,15.78,2088000
2010-01-26,21.5,23.21,21.41,22.81,16.71,2969100
2010-01-27,22.96,22.96,22.01,22.42,16.42,963000
2010-01-28,22.45,22.54,21.7,21.89,16.03,726700
2010-01-29,21.91,22.42,21.75,22.04,16.14,1038300
2010-02-01,22.17,22.32,21.93,22.26,16.31,1421700
2010-02-02,22.2,22.37,21.88,22.27,16.31,1184600
2010-02-03,21.76,22.2,21.6,21.7,15.9,1318400
2010-02-04,21.47,21.5,20.92,20.94,15.34,1273900
2010-02-05,20.89,21.43,20.63,21.39,15.67,1074400
2010-02-08,21.41,21.81,21.16,21.37,15.65,887000
2010-02-09,21.66,21.98,21.29,21.57,15.8,1178700
2010-02-10,21.46,21.68,21.05,21.26,15.57,436200
2010-02-11,21.27,21.5,21.13,21.5,15.75,354200
2010-02-12,21.27,21.6,20.86,21.6,15.82,493900
2010-02-16,21.78,22.3,21.77,22.24,16.29,786100
2010-02-17,22.43,22.93,22.23,22.46,16.45,716500
2010-02-18,22.4,23.08,22.26,22.89,16.77,1021900
2010-02-19,22.8,23.05,22.63,22.72,16.64,595200
2010-02-22,22.73,22.73,22.05,22.46,16.45,1263800
2010-02-23,22.53,23.69,22.53,23.33,17.09,1571700
2010-02-24,23.47,23.85,23.23,23.69,17.35,903100
2010-02-25,23.35,24.17,23.18,24.15,17.69,1124000
2010-02-26,24.15,24.26,23.58,23.8,17.43,618000
2010-03-01,23.82,24.49,23.78,24.39,17.87,1089200
2010-03-02,24.41,24.65,24.31,24.37,17.85,857600
2010-03-03,24.36,24.66,24.23,24.52,17.96,721500
2010-03-04,24.6,24.73,24.16,24.4,17.87,383000
2010-03-05,24.58,24.79,24.47,24.61,18.03,386000
2010-03-08,24.55,24.69,24.37,24.5,17.95,384100
2010-03-09,24.44,24.88,24.26,24.37,17.85,549200
2010-03-10,24.31,24.56,23.98,24.29,17.79,1115600
2010-03-11,24.06,24.29,23.85,24.28,17.9,647000
2010-03-12,24.44,24.44,23.96,24.29,17.9,803000
2010-03-15,24.29,24.37,23.87,24.36,17.95,1152400
2010-03-16,24.53,25.05,24.43,25.04,18.46,919000
2010-03-17,25.18,25.83,25.07,25.46,18.77,1370200
2010-03-18,25.54,25.54,24.94,25.29,18.64,888700
2010-03-19,24.78,25.41,24.67,24.78,18.26,690200
2010-03-22,24.55,25.43,24.49,25.07,18.48,679200
2010-03-23,25.09,25.31,24.88,25.26,18.62,611200
