Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,37.18,37.24,36.58,36.58,23.7,858800
2010-01-04,36.66,37.09,36.59,36.88,23.9,873500
2010-01-05,36.77,37.02,36.11,36.38,23.57,1432200
2010-01-06,36.34,36.76,36.19,36.76,23.82,961100
2010-01-07,36.59,36.71,36.38,36.69,23.77,686000
2010-01-08,36.54,36.94,36.28,36.92,23.92,614000
2010-01-11,37.0,37.53,37.0,37.52,24.31,719200
2010-01-12,37.29,37.7,37.27,37.45,24.27,790000
2010-01-13,37.63,37.74,37.21,37.65,24.4,737100
2010-01-14,37.57,37.81,37.47,37.73,24.45,375300
2010-01-15,37.58,37.63,36.9,37.13,24.06,970500
2010-01-19,37.08,37.54,37.07,37.54,24.33,831100
2010-01-20,37.44,37.44,36.68,37.32,24.18,1911400
2010-01-21,37.26,37.7,36.66,36.82,23.86,699100
2010-01-22,36.88,36.88,35.98,35.99,23.32,885300
2010-01-25,36.37,36.53,35.87,36.4,23.59,784700
2010-01-26,36.25,36.94,36.08,36.93,23.93,1154000
2010-01-27,36.93,36.97,36.21,36.57,23.7,2482100
2010-01-28,36.22,36.29,35.62,36.08,23.72,1181300
2010-01-29,36.12,36.34,35.81,35.82,23.55,1064500
2010-02-01,35.97,36.1,35.57,36.08,23.72,665000
2010-02-02,36.02,36.32,35.65,36.29,23.86,592300
2010-02-03,36.11,36.38,36.02,36.3,23.86,870900
2010-02-04,35.99,36.19,35.41,35.44,23.3,770500
2010-02-05,35.37,35.48,34.82,35.37,23.25,885400
2010-02-08,35.43,35.43,34.77,34.77,22.86,557300
2010-02-09,34.99,35.46,34.79,35.16,23.12,1154700
2010-02-10,35.16,35.28,34.77,35.03,23.03,1057000
2010-02-11,35.0,35.35,34.62,35.35,23.24,716800
2010-02-12,35.29,35.35,34.8,35.3,23.21,1151000
2010-02-16,35.58,36.37,35.45,36.37,23.91,976500
2010-02-17,36.49,36.65,36.31,36.65,24.09,857300
2010-02-18,36.58,36.93,36.42,36.89,24.25,684900
2010-02-19,36.77,37.75,36.77,37.37,24.57,1134600
2010-02-22,37.57,37.85,37.14,37.23,24.48,955200
2010-02-23,37.23,37.45,37.12,37.2,24.46,728200
2010-02-24,37.42,37.71,37.05,37.64,24.75,1303500
2010-02-25,37.28,37.58,36.88,37.57,24.7,1174300
2010-02-26,37.55,37.69,36.4,36.41,23.94,2290300
2010-03-01,36.43,36.81,36.42,36.63,24.08,1901200
2010-03-02,36.82,37.56,36.82,37.34,24.55,1893800
2010-03-03,37.54,38.0,37.48,37.56,24.69,1213500
2010-03-04,37.69,37.79,37.43,37.7,24.79,688500
2010-03-05,37.95,38.13,37.76,37.99,24.98,678200
