Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,19.33,19.65,19.07,19.08,16.25,269300
2010-01-04,19.35,19.48,19.15,19.34,16.47,217100
2010-01-05,19.29,19.61,19.24,19.54,16.64,754900
2010-01-06,18.55,19.28,18.55,18.91,16.11,837900
2010-01-07,18.84,19.07,18.5,18.79,16.0,331700
2010-01-08,18.7,18.81,18.58,18.65,15.89,392500
2010-01-11,18.7,18.79,18.19,18.51,15.77,399200
2010-01-12,18.33,18.57,18.27,18.46,15.72,414600
2010-01-13,18.53,19.03,18.45,18.94,16.13,342800
2010-01-14,18.83,19.12,18.71,19.07,16.24,312400
2010-01-15,19.14,19.4,18.9,19.27,16.41,746700
2010-01-19,18.82,19.96,18.82,19.74,16.81,810700
2010-01-20,19.6,19.73,19.32,19.49,16.6,236100
2010-01-21,19.58,19.81,19.45,19.5,16.61,448700
2010-01-22,19.5,19.69,19.11,19.22,16.37,373900
2010-01-25,19.37,19.41,18.98,19.11,16.28,296500
2010-01-26,19.05,19.3,18.9,18.9,16.1,257200
2010-01-27,18.82,19.0,18.72,19.0,16.18,198800
2010-01-28,18.98,19.09,18.55,18.86,16.06,220300
2010-01-29,18.91,19.14,18.32,18.36,15.64,421900
2010-02-01,18.41,18.94,18.37,18.9,16.1,309100
2010-02-02,18.86,19.09,18.76,18.85,16.06,285500
2010-02-03,18.72,19.0,18.5,18.95,16.14,275200
2010-02-04,18.86,18.86,18.45,18.47,15.73,345200
2010-02-05,18.54,18.54,18.17,18.43,15.7,372400
2010-02-08,18.46,18.75,18.41,18.58,15.83,235000
2010-02-09,19.0,20.41,19.0,19.5,16.61,1122300
2010-02-10,19.52,19.82,19.32,19.57,16.67,508700
2010-02-11,19.45,20.19,19.45,19.99,17.03,454600
2010-02-12,19.87,20.62,19.74,20.6,17.55,524000
2010-02-16,20.65,21.23,20.56,21.13,18.0,551200
2010-02-17,21.21,21.48,20.83,20.99,17.88,606800
2010-02-18,20.84,20.84,19.95,20.58,17.53,783900
2010-02-19,20.47,20.68,20.2,20.66,17.6,541900
2010-02-22,20.65,20.84,20.42,20.71,17.64,434700
2010-02-23,20.69,20.69,20.26,20.32,17.31,404200
2010-02-24,20.4,20.47,20.21,20.34,17.32,338000
2010-02-25,20.11,20.45,20.11,20.43,17.4,333700
2010-02-26,20.38,20.38,19.95,19.98,17.02,192000
2010-03-01,20.14,20.46,19.93,20.24,17.24,376800
2010-03-02,20.33,20.53,20.2,20.5,17.46,207400
2010-03-03,20.59,21.09,20.55,20.87,17.78,246700
2010-03-04,20.94,21.0,20.65,20.94,17.84,114900
2010-03-05,20.9,21.52,20.74,21.48,18.41,404600
2010-03-08,21.55,21.93,21.5,21.55,18.47,398000
2010-03-09,21.45,22.03,21.45,21.91,18.78,642400
2010-03-10,21.88,22.23,21.88,22.13,18.97,535800
2010-03-11,21.94,22.2,21.86,22.05,18.9,183100
2010-03-12,22.21,22.21,21.83,22.08,18.92,236600
2010-03-15,21.94,22.21,21.93,22.14,18.98,231400
2010-03-16,22.19,22.82,22.1,22.82,19.56,252100
2010-03-17,22.79,22.85,22.63,22.71,19.46,226800
2010-03-18,22.75,22.9,22.61,22.71,19.46,139100
2010-03-19,22.84,23.16,22.68,22.91,19.64,492300
2010-03-22,22.76,23.4,22.76,23.4,20.06,311600
2010-03-23,23.44,23.7,23.26,23.68,20.3,261000
2010-03-24,23.54,23.67,23.2,23.26,19.94,169900
2010-03-25,23.3,23.57,23.06,23.1,19.8,360300
2010-03-26,23.06,23.32,22.87,22.97,19.69,297700
2010-03-29,23.09,23.26,23.0,23.11,19.81,166000
2010-03-30,23.21,23.22,22.64,23.06,19.76,359300
2010-03-31,22.66,23.3,22.64,22.64,19.4,216500
2010-04-01,22.7,22.98,22.29,22.6,19.37,229000
2010-04-05,22.61,23.43,22.56,23.43,20.08,265000
2010-04-06,23.35,23.35,23.13,23.15,19.84,161900
2010-04-07,23.06,23.26,22.77,22.84,19.58,279100
2010-04-08,22.69,22.95,22.39,22.91,19.64,124000
2010-04-09,22.82,22.87,22.32,22.76,19.51,135400
2010-04-12,22.83,22.83,22.5,22.61,19.38,170100
2010-04-13,22.63,22.63,22.36,22.57,19.34,207200
2010-04-14,22.62,22.97,22.52,22.97,19.69,280300
2010-04-15,22.9,23.66,22.9,23.63,20.25,459400
2010-04-16,23.63,23.97,23.5,23.89,20.48,329900
2010-04-19,24.72,25.0,24.21,24.93,21.37,709300
2010-04-20,25.0,25.26,24.69,24.91,21.35,487000
2010-04-21,24.86,25.0,24.38,24.42,20.93,763200
2010-04-22,24.59,25.46,24.27,25.32,21.7,947700
2010-04-23,25.44,25.87,25.02,25.52,21.87,827700
2010-04-26,25.56,26.21,25.45,25.89,22.19,503900
2010-04-27,25.86,26.02,25.33,25.41,21.78,553200
