Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,41.27,41.36,40.64,40.68,39.97,343900
2010-01-04,40.92,41.55,40.52,41.1,40.39,540500
2010-01-05,41.03,42.72,41.0,42.64,41.9,834600
2010-01-06,42.51,43.76,42.51,43.66,42.9,1111400
2010-01-07,43.45,44.5,43.45,43.66,42.9,476800
2010-01-08,43.39,43.73,43.14,43.59,42.83,332400
2010-01-11,43.84,43.87,43.13,43.5,42.74,327100
2010-01-12,44.76,44.92,42.85,43.35,42.6,851600
2010-01-13,43.62,43.92,43.35,43.72,42.96,433400
2010-01-14,43.55,44.13,43.51,43.64,42.88,571500
2010-01-15,43.29,43.9,43.06,43.21,42.46,308200
2010-01-19,43.32,43.6,42.94,43.51,42.75,417400
2010-01-20,43.04,43.44,42.89,43.25,42.5,509800
2010-01-21,43.29,43.52,42.25,42.64,41.9,598200
2010-01-22,42.67,42.84,41.34,41.51,40.79,397600
2010-01-25,41.99,41.99,40.95,41.02,40.31,662300
2010-01-26,40.94,41.31,39.94,40.01,39.31,1022900
2010-01-27,39.87,40.33,39.54,40.22,39.52,602700
2010-01-28,40.31,40.48,39.8,40.0,39.3,877000
2010-01-29,40.2,40.33,39.2,39.29,38.61,635200
2010-02-01,39.58,39.96,39.3,39.81,39.12,440100
2010-02-02,39.76,40.69,39.69,40.66,39.95,373300
2010-02-03,40.34,40.35,39.74,40.04,39.34,691400
2010-02-04,39.67,40.41,39.5,39.54,38.85,747900
2010-02-05,39.52,39.52,38.25,38.69,38.02,1108200
2010-02-08,38.86,39.42,38.47,38.6,37.93,578300
2010-02-09,38.94,39.5,38.65,39.26,38.58,353700
2010-02-10,39.03,39.51,38.86,39.13,38.45,442000
2010-02-11,39.16,39.93,38.9,39.87,39.18,370500
2010-02-12,39.56,40.25,39.26,40.22,39.52,443500
2010-02-16,40.46,40.87,40.08,40.85,40.14,422700
2010-02-17,41.6,43.07,41.5,42.38,41.64,1247000
2010-02-18,42.39,42.73,42.28,42.68,41.94,408900
2010-02-19,42.71,42.99,42.13,42.38,41.64,502100
2010-02-22,42.35,42.51,42.15,42.36,41.62,328900
2010-02-23,42.15,42.79,41.9,42.5,41.76,432000
2010-02-24,42.56,43.28,42.41,43.22,42.47,478900
2010-02-25,42.61,43.03,42.33,42.99,42.24,458700
2010-02-26,43.09,43.61,42.97,43.52,42.76,401800
2010-03-01,43.61,44.32,43.5,44.3,43.53,400300
2010-03-02,44.31,44.59,43.85,44.14,43.37,513200
2010-03-03,43.89,43.89,42.38,42.44,41.7,1443100
2010-03-04,42.63,43.0,42.49,42.9,42.15,990600
2010-03-05,43.19,44.31,43.13,44.31,43.54,902700
2010-03-08,44.42,46.65,44.35,46.24,45.44,1511700
2010-03-09,46.01,46.78,45.46,45.71,44.92,780600
2010-03-10,45.6,46.45,45.41,46.28,45.48,588400
2010-03-11,45.94,48.37,45.71,47.67,46.84,1776800
2010-03-12,47.82,48.78,47.44,47.74,46.91,634900
2010-03-15,52.0,54.64,51.25,52.4,51.49,4416500
2010-03-16,52.64,53.9,52.61,53.78,52.84,2330600
2010-03-17,53.78,54.18,53.09,54.18,53.24,1135600
2010-03-18,54.22,54.75,53.62,54.08,53.14,1172500
2010-03-19,53.73,54.48,53.25,53.73,52.8,1418100
2010-03-22,53.46,56.07,52.97,55.43,54.5,1712000
2010-03-23,56.57,56.88,55.01,56.09,55.15,2206300
2010-03-24,55.92,56.84,55.09,56.7,55.75,1582200
2010-03-25,56.93,57.28,55.44,55.52,54.59,1151400
2010-03-26,55.56,57.07,55.55,57.03,56.08,941700
2010-03-29,56.98,57.57,55.88,57.02,56.07,1002700
2010-03-30,56.92,57.37,56.46,57.08,56.13,548600
2010-03-31,56.97,57.8,56.88,57.36,56.4,1039000
2010-04-01,57.76,58.37,57.52,58.27,57.3,954400
2010-04-05,58.29,60.3,58.29,60.03,59.03,1087000
2010-04-06,59.99,60.2,59.5,60.08,59.08,821100
2010-04-07,60.13,60.48,59.53,59.93,58.93,777300
2010-04-08,59.79,61.39,59.05,61.31,60.29,989700
2010-04-09,61.68,62.67,61.68,62.67,61.62,1218600
2010-04-12,62.8,63.0,62.13,62.75,61.7,872000
2010-04-13,62.75,63.04,62.51,62.86,61.81,673400
2010-04-14,62.68,64.25,62.68,64.16,63.09,706300
2010-04-15,63.91,64.62,63.76,64.25,63.18,823900
2010-04-16,63.91,64.83,63.3,63.71,62.65,1057900
2010-04-19,63.38,63.92,61.54,62.84,61.79,943600
2010-04-20,63.23,63.52,61.97,62.43,61.39,978300
2010-04-21,62.39,65.84,62.39,65.64,64.54,2092500
2010-04-22,65.14,67.5,65.0,67.08,65.96,1812700
2010-04-23,67.88,68.18,66.65,67.05,65.93,5589700
2010-04-26,66.79,67.24,65.7,66.24,65.13,1629200
2010-04-27,66.06,66.38,64.11,64.31,63.24,1367800
2010-04-28,64.72,65.59,63.17,63.57,62.51,1333400
2010-04-29,64.14,65.91,64.13,65.41,64.32,769800
2010-04-30,65.27,65.75,62.89,63.01,61.96,1291100
2010-05-03,62.96,65.22,62.96,64.36,63.29,1517600
2010-05-04,63.24,63.27,62.0,62.53,61.49,1008400
2010-05-05,61.66,63.24,58.8,60.41,59.4,1455500
2010-05-06,59.94,60.84,53.86,58.18,57.21,2723800
2010-05-07,57.65,58.27,54.63,54.8,53.89,1767400
2010-05-10,57.11,59.76,57.05,59.58,58.59,1469800
2010-05-11,58.84,62.77,58.75,61.18,60.16,1654500
2010-05-12,61.54,62.18,60.96,61.79,60.76,771400
2010-05-13,61.5,62.17,58.76,59.29,58.3,1234200
2010-05-14,58.67,58.8,57.01,57.89,56.92,880800
2010-05-17,58.09,58.57,55.58,57.52,56.56,1208900
2010-05-18,56.86,58.49,55.72,56.29,55.39,1964200
2010-05-19,55.93,56.56,53.81,54.3,53.43,2023500
2010-05-20,52.56,53.01,50.79,51.41,50.59,3143300
2010-05-21,50.0,53.82,49.96,52.98,52.13,2039700
2010-05-24,54.02,55.75,54.01,54.28,53.41,2226100
2010-05-25,51.66,54.04,50.34,53.93,53.06,2480700
2010-05-26,54.27,55.29,53.2,53.27,52.42,1284100
2010-05-27,54.62,56.08,54.3,56.04,55.14,1298100
2010-05-28,55.77,56.57,54.26,54.73,53.85,1820700
2010-06-01,54.17,54.55,52.06,52.14,51.3,1171700
2010-06-02,52.28,53.3,51.44,53.27,52.42,1552100
2010-06-03,53.86,54.73,53.2,54.55,53.67,1356100
2010-06-04,53.0,53.49,50.78,51.06,50.24,760200
2010-06-07,51.24,51.86,48.79,48.97,48.18,1046300
2010-06-08,49.4,50.46,47.58,50.05,49.25,1939900
2010-06-09,50.55,53.06,50.55,51.44,50.61,1502800
