Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,49.04,49.66,48.17,48.17,46.46,1141900
2010-01-04,49.38,51.15,49.38,50.98,49.17,1524100
2010-01-05,51.06,51.78,50.79,51.0,49.19,1666100
2010-01-06,51.0,52.37,50.56,51.89,50.05,2130300
2010-01-07,51.39,52.69,50.29,52.35,50.49,1491400
2010-01-08,51.6,53.35,51.38,53.25,51.36,1374800
2010-01-11,53.7,54.03,51.75,52.28,50.42,1214400
2010-01-12,51.29,51.99,50.76,51.14,49.32,1345700
2010-01-13,51.46,52.0,49.93,51.9,50.06,1302700
2010-01-14,51.69,52.7,51.51,52.53,50.66,794000
2010-01-15,52.28,52.68,50.19,50.53,48.73,2090300
2010-01-19,51.9,52.19,48.93,50.26,48.47,3115200
2010-01-20,49.26,49.77,48.56,49.53,47.77,1493000
2010-01-21,49.52,50.4,47.72,48.13,46.42,1556100
2010-01-22,47.82,48.22,46.44,46.53,44.88,1840800
2010-01-25,47.14,48.12,46.87,46.92,45.25,1276900
2010-01-26,46.44,47.52,45.8,45.94,44.31,1624500
2010-01-27,46.0,46.24,44.5,45.4,43.79,1968900
2010-01-28,45.71,46.09,43.88,45.23,43.62,1357000
2010-01-29,45.78,46.6,43.61,43.98,42.42,1933300
2010-02-01,44.57,45.93,44.55,45.84,44.21,1319100
2010-02-02,46.09,47.07,45.39,46.78,45.12,1666300
2010-02-03,46.65,47.54,45.58,45.87,44.24,1989900
2010-02-04,45.69,45.69,44.0,44.12,42.55,2793700
2010-02-05,44.11,44.16,41.88,43.62,42.07,2851800
2010-02-08,43.53,44.67,43.01,44.27,42.7,2495700
2010-02-09,45.28,46.85,44.86,46.31,44.66,2468800
2010-02-10,46.2,46.2,44.58,45.37,43.76,3295300
2010-02-11,45.3,47.45,45.11,47.33,45.65,1634600
2010-02-12,46.43,47.36,45.72,47.1,45.43,1603800
2010-02-16,47.79,48.89,47.79,48.8,47.07,1010700
2010-02-17,48.81,49.24,48.05,48.73,47.0,918900
2010-02-18,48.61,49.31,48.32,49.26,47.51,1306900
2010-02-19,47.84,49.64,47.84,49.49,47.73,1660300
2010-02-22,49.69,49.73,47.89,48.02,46.31,1979800
2010-02-23,47.91,48.25,46.07,46.18,44.54,2342300
2010-02-24,46.05,47.02,45.82,46.3,44.66,1868400
2010-02-25,45.56,46.83,44.57,46.67,45.01,1877600
2010-02-26,45.93,46.79,45.44,46.65,44.99,1729200
2010-03-01,46.93,47.59,46.74,47.15,45.48,1437900
2010-03-02,47.24,48.37,47.24,47.84,46.14,1541200
2010-03-03,48.01,48.95,47.89,48.0,46.29,1287400
2010-03-04,48.01,48.51,47.38,47.69,46.0,1290100
2010-03-05,48.29,49.15,48.11,48.98,47.24,1329300
2010-03-08,48.94,49.48,48.45,48.54,46.82,1282100
2010-03-09,48.31,49.8,48.07,49.43,47.67,1804800
2010-03-10,49.22,51.16,49.04,50.97,49.16,2757700
2010-03-11,50.74,51.32,50.25,51.09,49.28,1790000
2010-03-12,51.56,52.85,51.5,52.78,50.91,2565100
2010-03-15,52.41,52.57,51.14,52.1,50.25,1663900
2010-03-16,52.49,53.88,52.16,53.75,51.84,1715200
2010-03-17,54.02,54.49,53.13,53.29,51.4,1675900
2010-03-18,53.11,53.23,52.09,53.07,51.18,2541500
2010-03-19,53.03,53.38,51.84,53.03,51.15,2468300
2010-03-22,52.23,52.9,51.64,52.6,50.73,1299100
2010-03-23,52.04,54.15,52.04,53.79,51.88,1810500
2010-03-24,53.23,54.32,53.01,53.9,51.99,1484600
2010-03-25,54.53,55.0,53.19,53.36,51.46,1695900
2010-03-26,53.18,53.39,52.14,52.84,50.96,1683700
2010-03-29,53.3,54.45,53.17,54.42,52.53,914400
2010-03-30,54.43,54.86,53.61,54.73,52.83,901300
2010-03-31,54.46,56.88,54.46,56.32,54.36,1675500
2010-04-01,56.94,59.17,56.94,59.15,57.09,2004200
2010-04-05,59.63,61.44,59.36,61.4,59.26,2251000
2010-04-06,61.28,62.38,60.59,60.96,58.84,2272500
2010-04-07,61.02,61.23,59.16,59.58,57.51,2528500
2010-04-08,59.01,60.58,58.48,60.21,58.12,1531800
2010-04-09,60.91,61.62,60.24,60.99,58.87,1470000
2010-04-12,61.02,61.85,60.58,60.84,58.72,1940300
2010-04-13,61.73,62.46,60.31,62.02,59.86,3415300
2010-04-14,62.56,62.83,61.69,62.69,60.51,2051000
2010-04-15,62.71,63.37,62.24,62.39,60.22,1638200
2010-04-16,61.77,62.24,60.3,60.74,58.63,2456400
2010-04-19,60.21,61.55,59.74,61.4,59.26,1661900
2010-04-20,62.05,63.5,61.98,63.3,61.1,1538400
2010-04-21,63.01,63.63,62.41,63.28,61.08,1300700
2010-04-22,62.01,64.89,62.01,64.8,62.55,1594500
2010-04-23,64.51,66.24,64.07,66.09,63.79,1833200
2010-04-26,66.15,66.82,65.82,66.09,63.79,930600
2010-04-27,65.35,65.46,62.28,62.55,60.37,2166500
2010-04-28,63.2,63.45,61.54,63.14,60.94,1543700
2010-04-29,63.71,64.36,62.64,63.92,61.7,1415000
2010-04-30,64.15,66.15,63.74,64.13,61.9,1861600
2010-05-03,64.71,66.96,64.54,66.23,63.93,1631200
2010-05-04,64.51,64.75,62.91,64.13,61.9,2242900
2010-05-05,61.15,63.44,60.0,62.86,60.67,3300100
