Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,24.07,24.22,23.77,23.77,20.27,414100
2010-01-04,23.94,24.29,23.74,24.27,20.7,598100
2010-01-05,24.26,24.67,24.11,24.66,21.03,554200
2010-01-06,24.52,25.07,24.36,25.01,21.33,757200
2010-01-07,24.9,24.95,24.59,24.86,21.2,698000
2010-01-08,24.77,24.88,24.33,24.59,20.97,463100
2010-01-11,24.8,24.8,24.25,24.53,20.92,502000
2010-01-12,24.23,24.4,23.71,24.05,20.51,462500
2010-01-13,24.86,25.0,24.41,24.95,21.28,737800
2010-01-14,25.01,25.21,24.8,25.11,21.42,484600
2010-01-15,25.03,25.24,24.75,24.8,21.15,539100
2010-01-19,24.78,25.2,24.72,25.05,21.36,336200
2010-01-20,24.74,25.32,24.7,25.13,21.43,630300
2010-01-21,25.28,27.03,25.28,26.72,22.79,1944000
2010-01-22,26.54,26.89,26.2,26.45,22.56,1644000
2010-01-25,26.69,26.76,25.75,26.28,22.41,680800
2010-01-26,26.16,26.7,26.03,26.06,22.23,720200
2010-01-27,26.06,26.35,25.72,26.26,22.4,832500
2010-01-28,26.38,26.38,25.5,25.69,21.91,745200
2010-01-29,25.79,26.25,25.14,25.31,21.59,915000
2010-02-01,25.41,25.71,25.24,25.58,21.82,1402200
2010-02-02,25.65,26.58,25.62,26.36,22.48,826500
2010-02-03,26.45,27.31,26.45,26.73,22.8,1579400
2010-02-04,26.49,26.66,25.56,25.56,21.8,1125400
2010-02-05,25.61,25.82,24.7,25.17,21.47,1766700
2010-02-08,25.19,25.52,24.8,25.26,21.54,720200
2010-02-09,25.63,25.87,25.4,25.54,21.78,845900
2010-02-10,25.42,26.07,25.39,25.75,21.96,720900
2010-02-11,25.63,25.8,25.47,25.65,21.88,631200
2010-02-12,25.3,25.93,25.3,25.91,22.1,582800
2010-02-16,26.07,26.37,25.71,26.29,22.42,470900
2010-02-17,26.33,26.48,26.18,26.43,22.54,897200
2010-02-18,26.41,26.49,26.13,26.35,22.47,535400
2010-02-19,26.22,26.89,26.22,26.69,22.76,569800
2010-02-22,26.81,26.93,26.57,26.81,22.87,375300
2010-02-23,26.77,26.87,26.08,26.15,22.3,626600
2010-02-24,26.18,26.24,25.72,25.87,22.06,1075400
2010-02-25,25.44,25.7,25.16,25.58,21.82,777900
2010-02-26,25.66,25.92,25.49,25.86,22.06,462400
2010-03-01,25.9,26.43,25.77,26.35,22.47,509700
2010-03-02,26.39,26.77,26.25,26.66,22.74,738000
2010-03-03,27.17,27.25,26.63,26.85,22.9,751400
2010-03-04,26.81,27.07,26.65,27.03,23.05,551900
2010-03-05,27.18,27.46,27.04,27.39,23.36,574400
2010-03-08,27.35,27.91,27.25,27.77,23.68,372400
2010-03-09,27.65,27.93,27.45,27.61,23.55,312000
2010-03-10,27.56,27.88,27.48,27.75,23.67,476000
2010-03-11,27.56,27.7,27.4,27.62,23.56,562200
