Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,26.32,26.61,26.1,26.14,22.67,445800
2010-01-04,26.32,26.56,26.14,26.4,22.89,1665400
2010-01-05,25.91,25.91,25.03,25.27,21.92,2559800
2010-01-06,25.6,26.12,25.6,26.08,22.62,1830400
2010-01-07,26.14,26.27,25.94,26.13,22.66,906400
2010-01-08,26.15,26.32,25.67,26.11,22.65,1657800
2010-01-11,26.27,26.42,25.98,26.42,22.91,813800
2010-01-12,26.37,26.38,25.67,25.72,22.31,1013000
2010-01-13,26.02,26.24,25.85,26.1,22.64,1877800
2010-01-14,26.07,26.3,26.05,26.28,22.79,998400
2010-01-15,26.28,26.3,25.94,26.08,22.62,734400
2010-01-19,26.06,26.5,26.06,26.46,22.95,715600
2010-01-20,26.4,26.63,26.27,26.47,22.95,702800
2010-01-21,26.49,26.52,25.75,25.97,22.52,879000
2010-01-22,26.05,26.54,25.93,25.99,22.54,1376400
2010-01-25,26.18,26.69,26.03,26.51,23.0,2314200
2010-01-26,26.43,27.0,26.43,26.74,23.19,1674800
2010-01-27,26.62,26.62,26.1,26.33,22.84,1053800
2010-01-28,26.33,26.48,25.77,26.05,22.59,927200
2010-01-29,26.11,26.19,25.57,25.57,22.18,1082000
2010-02-01,25.68,25.82,25.5,25.74,22.32,758200
2010-02-02,25.77,26.15,25.73,26.1,22.64,1386400
2010-02-03,25.99,26.19,25.89,26.08,22.62,1219200
2010-02-04,26.01,26.13,25.26,25.47,22.09,1961200
2010-02-05,27.5,27.75,26.55,27.45,23.81,4911800
2010-02-08,27.59,27.63,27.33,27.42,23.78,2187400
2010-02-09,27.6,27.6,26.72,27.14,23.53,1550600
2010-02-10,27.15,27.39,26.89,27.14,23.54,687800
2010-02-11,27.17,27.83,26.95,27.75,24.07,1822800
2010-02-12,27.57,28.05,27.52,27.99,24.28,1783400
2010-02-16,28.06,28.06,27.5,27.73,24.05,1214800
2010-02-17,27.59,27.93,27.47,27.9,24.19,1245400
2010-02-18,27.91,28.77,27.91,28.72,24.9,2060600
2010-02-19,28.65,28.84,28.5,28.74,24.92,1791400
2010-02-22,28.86,29.19,28.58,28.98,25.13,1537400
2010-02-23,28.89,28.95,28.43,28.47,24.69,957000
2010-02-24,28.47,28.77,28.29,28.76,24.94,834200
2010-02-25,28.52,28.8,28.3,28.77,24.95,835800
2010-02-26,28.75,28.79,28.44,28.54,24.75,1473800
2010-03-01,28.67,29.11,28.54,29.08,25.23,643200
2010-03-02,29.2,29.77,29.17,29.45,25.54,1153600
2010-03-03,29.55,29.71,29.44,29.63,25.7,758000
2010-03-04,29.69,29.69,29.4,29.55,25.62,682200
2010-03-05,29.6,29.75,29.3,29.75,25.8,588000
2010-03-08,29.81,29.81,29.51,29.59,25.66,653400
2010-03-09,29.47,29.79,29.4,29.68,25.74,596800
2010-03-10,29.78,30.32,29.78,30.09,26.1,1865800
