Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,47.23,47.68,46.97,46.98,36.91,643200
2010-01-04,47.61,47.96,47.01,47.73,37.5,904000
2010-01-05,47.65,47.82,47.14,47.35,37.2,964900
2010-01-06,47.35,48.28,47.23,48.25,37.91,893200
2010-01-07,48.22,48.87,47.8,48.78,38.33,673800
2010-01-08,48.63,49.51,48.35,49.46,38.86,664400
2010-01-11,48.36,49.03,48.24,49.0,38.5,1416900
2010-01-12,48.47,48.8,48.01,48.22,37.89,1765400
2010-01-13,48.31,48.64,47.97,48.45,38.07,777400
2010-01-14,48.2,48.86,48.2,48.6,38.18,627400
2010-01-15,48.5,48.53,47.26,47.69,37.47,877200
2010-01-19,47.73,49.17,47.45,49.17,38.63,1150700
2010-01-20,48.48,48.5,47.96,48.36,38.0,1094300
2010-01-21,48.2,48.7,47.5,47.68,37.46,1406400
2010-01-22,47.42,47.57,45.92,46.02,36.16,989900
2010-01-25,46.62,46.87,46.09,46.63,36.64,687500
2010-01-26,46.34,46.89,45.72,46.16,36.27,1920600
2010-01-27,50.25,51.86,49.03,50.84,39.94,8160200
2010-01-28,51.09,51.36,49.73,49.94,39.24,3284300
2010-01-29,50.2,50.41,48.24,48.24,37.9,2637200
2010-02-01,48.46,49.75,48.44,49.75,39.09,1363300
2010-02-02,50.0,50.6,49.58,49.68,39.03,2382200
2010-02-03,49.59,49.93,48.93,49.23,38.68,1512400
2010-02-04,48.7,48.7,47.15,47.91,37.64,1962700
2010-02-05,48.0,48.55,47.51,48.51,38.11,3071100
2010-02-08,48.2,48.34,47.25,47.71,37.49,2016000
2010-02-09,48.89,50.07,48.3,49.5,38.89,1899100
2010-02-10,49.27,49.99,48.84,49.71,39.06,1867700
2010-02-11,49.44,50.84,49.05,50.72,40.08,1303700
2010-02-12,49.74,51.48,49.36,51.43,40.65,1826700
2010-02-16,51.72,53.0,51.72,52.83,41.75,1509800
2010-02-17,52.96,53.58,52.86,53.09,41.96,1191100
2010-02-18,53.08,53.8,53.01,53.78,42.5,726400
2010-02-19,53.52,54.52,53.29,54.31,42.92,1207900
2010-02-22,54.38,54.49,53.64,54.04,42.71,737000
2010-02-23,53.97,54.26,52.81,53.25,42.08,926700
2010-02-24,53.36,53.8,53.0,53.78,42.5,785500
2010-02-25,53.1,53.63,52.11,53.52,42.3,1060500
2010-02-26,53.48,54.21,53.24,54.09,42.75,790700
2010-03-01,54.45,55.22,54.41,55.13,43.57,864300
2010-03-02,55.5,55.91,55.3,55.65,43.98,765700
2010-03-03,55.71,56.14,55.1,55.26,43.67,993700
2010-03-04,55.46,55.62,54.86,55.0,43.47,684400
2010-03-05,55.31,56.05,55.31,55.98,44.24,2167200
2010-03-08,56.13,56.88,55.95,56.14,44.37,1171200
2010-03-09,56.01,56.26,55.71,56.05,44.3,804400
2010-03-10,56.03,56.49,55.85,56.16,44.38,858500
2010-03-11,56.03,56.05,55.41,55.84,44.13,1240400
2010-03-12,56.09,56.09,55.2,55.36,43.75,1413700
2010-03-15,55.47,55.47,54.51,54.99,43.46,1045500
2010-03-16,55.08,55.5,54.79,55.33,43.73,1228000
2010-03-17,55.32,55.82,55.16,55.23,43.65,852800
2010-03-18,55.4,55.4,54.94,55.13,43.57,797300
2010-03-19,55.37,55.58,54.9,55.37,43.76,1785400
2010-03-22,55.07,56.17,54.86,55.86,44.15,1201500
2010-03-23,55.92,57.0,55.8,56.78,44.87,1913300
2010-03-24,56.72,56.77,55.77,55.82,44.11,796600
2010-03-25,56.14,56.7,55.86,55.92,44.19,1108400
2010-03-26,56.19,56.65,55.29,55.43,43.81,1276600
2010-03-29,55.72,56.11,55.52,55.55,43.9,1078000
2010-03-30,55.74,56.5,55.5,56.16,44.38,1121000
