Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,5.79,5.86,5.71,5.71,4.87,386200
2010-01-04,5.75,5.86,5.71,5.81,4.95,559500
2010-01-05,5.82,5.83,5.75,5.78,4.93,467700
2010-01-06,5.77,5.85,5.77,5.78,4.93,560800
2010-01-07,5.76,5.83,5.7,5.83,4.97,357300
2010-01-08,5.81,5.83,5.77,5.82,4.96,220200
2010-01-11,5.84,5.84,5.77,5.81,4.95,311100
2010-01-12,5.77,5.81,5.75,5.78,4.92,347500
2010-01-13,5.79,5.85,5.75,5.85,4.98,256600
2010-01-14,5.87,5.87,5.8,5.86,5.0,149400
2010-01-15,5.87,5.88,5.67,5.73,4.88,591900
2010-01-19,5.69,5.79,5.69,5.79,4.93,488200
2010-01-20,5.75,5.75,5.58,5.67,4.83,499000
2010-01-21,5.68,5.72,5.53,5.61,4.78,388000
2010-01-22,5.58,5.66,5.52,5.54,4.72,455500
2010-01-25,5.56,5.57,5.47,5.51,4.69,251700
2010-01-26,5.48,5.52,5.44,5.45,4.64,308700
2010-01-27,5.5,5.95,5.5,5.91,5.03,1450800
2010-01-28,5.93,5.93,5.65,5.75,4.9,686400
2010-01-29,5.75,5.88,5.75,5.83,4.97,673800
2010-02-01,5.83,5.86,5.78,5.82,4.96,362400
2010-02-02,5.83,5.87,5.76,5.77,4.92,431200
2010-02-03,5.77,5.82,5.7,5.8,4.94,505500
2010-02-04,5.77,5.78,5.68,5.71,4.87,552700
2010-02-05,5.71,5.77,5.66,5.76,4.91,491400
2010-02-08,5.75,5.76,5.65,5.66,4.84,478000
2010-02-09,5.7,5.75,5.66,5.72,4.89,395100
2010-02-10,5.7,5.72,5.65,5.69,4.87,326800
2010-02-11,5.66,5.8,5.64,5.8,4.96,322800
2010-02-12,5.89,5.97,5.85,5.96,5.1,1265100
2010-02-16,6.01,6.01,5.93,6.0,5.14,436900
2010-02-17,6.03,6.09,6.01,6.09,5.21,390700
2010-02-18,6.11,6.21,6.1,6.2,5.31,406300
2010-02-19,6.21,6.28,6.17,6.27,5.36,540900
2010-02-22,6.3,6.36,6.27,6.34,5.43,475200
2010-02-23,6.34,6.36,6.25,6.3,5.39,737700
2010-02-24,6.33,6.38,6.29,6.33,5.42,387400
2010-02-25,6.26,6.36,6.26,6.35,5.44,318700
2010-02-26,6.34,6.34,6.27,6.3,5.39,515200
2010-03-01,6.37,6.4,6.29,6.4,5.48,608400
2010-03-02,6.42,6.48,6.38,6.46,5.53,725800
2010-03-03,6.48,6.52,6.45,6.47,5.54,415800
2010-03-04,6.49,6.5,6.44,6.45,5.52,274600
2010-03-05,6.49,6.65,6.49,6.63,5.68,686700
2010-03-08,6.64,6.7,6.61,6.62,5.67,375300
2010-03-09,6.61,6.72,6.6,6.68,5.72,475800
2010-03-10,6.67,6.76,6.67,6.73,5.76,1086300
2010-03-11,6.68,6.73,6.67,6.7,5.73,290200
2010-03-12,6.7,6.73,6.65,6.67,5.71,417300
2010-03-15,6.66,6.67,6.56,6.59,5.64,676500
2010-03-16,6.58,6.59,6.53,6.57,5.63,490600
2010-03-17,6.57,6.67,6.55,6.62,5.67,345700
2010-03-18,6.63,6.68,6.59,6.63,5.68,229500
2010-03-19,6.6,6.68,6.57,6.6,5.65,807400
2010-03-22,6.57,6.68,6.55,6.66,5.7,523900
2010-03-23,6.68,6.75,6.59,6.74,5.77,735000
2010-03-24,6.73,6.73,6.61,6.63,5.67,408300
2010-03-25,6.54,6.62,6.44,6.46,5.53,981000
2010-03-26,6.49,6.49,6.37,6.41,5.49,467200
2010-03-29,6.42,6.51,6.42,6.47,5.54,316500
2010-03-30,6.46,6.49,6.4,6.48,5.55,483900
2010-03-31,6.45,6.51,6.42,6.42,5.5,490000
2010-04-01,6.43,6.46,6.38,6.4,5.48,382900
2010-04-05,6.43,6.5,6.41,6.49,5.55,418500
2010-04-06,6.47,6.55,6.46,6.55,5.61,345100
2010-04-07,6.52,6.56,6.5,6.55,5.61,527100
2010-04-08,6.51,6.54,6.48,6.49,5.56,241800
2010-04-09,6.52,6.52,6.41,6.44,5.51,421800
2010-04-12,6.46,6.46,6.41,6.44,5.51,264600
2010-04-13,6.42,6.51,6.4,6.51,5.57,271500
2010-04-14,6.53,6.6,6.46,6.6,5.65,356500
2010-04-15,6.56,6.64,6.56,6.62,5.67,257800
2010-04-16,6.62,6.65,6.55,6.57,5.62,439300
2010-04-19,6.53,6.59,6.49,6.56,5.62,287500
2010-04-20,6.58,6.64,6.57,6.63,5.67,277300
2010-04-21,6.61,6.71,6.6,6.7,5.74,287100
2010-04-22,6.65,6.73,6.62,6.72,5.75,326800
2010-04-23,6.69,6.7,6.64,6.68,5.72,503500
2010-04-26,6.69,6.71,6.63,6.66,5.7,360600
2010-04-27,6.65,6.73,6.56,6.57,5.63,382900
2010-04-28,6.63,6.73,6.55,6.63,5.68,366400
2010-04-29,6.65,6.67,6.5,6.56,5.62,569700
2010-04-30,6.54,6.64,6.44,6.44,5.52,716800
2010-05-03,6.48,6.58,6.44,6.57,5.63,499500
2010-05-04,6.47,6.53,6.41,6.5,5.56,603000
2010-05-05,6.47,6.61,6.47,6.5,5.56,434700
2010-05-06,6.46,6.51,6.06,6.31,5.42,701500
2010-05-07,6.24,6.31,6.11,6.15,5.29,841900
2010-05-10,6.33,6.54,6.28,6.54,5.62,771000
2010-05-11,6.45,6.66,6.42,6.6,5.67,453100
2010-05-12,6.63,6.81,6.59,6.79,5.84,588100
2010-05-13,6.75,6.79,6.62,6.64,5.71,762700
2010-05-14,6.6,6.61,6.53,6.58,5.66,539200
2010-05-17,6.63,6.7,6.44,6.66,5.73,949000
2010-05-18,6.74,6.74,6.42,6.47,5.56,1160200
2010-05-19,6.43,6.55,6.43,6.5,5.58,860100
2010-05-20,6.38,6.49,6.15,6.16,5.29,910000
2010-05-21,6.07,6.23,6.03,6.17,5.3,829800
2010-05-24,6.17,6.23,6.08,6.16,5.29,549600
2010-05-25,6.02,6.22,5.97,6.18,5.31,837100
2010-05-26,6.18,6.31,6.16,6.2,5.33,756100
2010-05-27,6.31,6.36,6.23,6.36,5.47,483400
2010-05-28,6.33,6.36,6.26,6.3,5.41,357300
2010-06-01,6.23,6.36,6.18,6.2,5.33,571600
2010-06-02,6.21,6.36,6.18,6.36,5.47,559800
2010-06-03,6.36,6.38,6.3,6.36,5.47,558400
2010-06-04,6.23,6.29,6.12,6.14,5.28,762700
2010-06-07,6.17,6.23,6.07,6.11,5.25,626400
2010-06-08,6.13,6.22,6.1,6.2,5.33,631000
2010-06-09,6.23,6.32,6.15,6.19,5.32,690700
2010-06-10,6.29,6.31,6.2,6.31,5.42,379500
2010-06-11,6.24,6.36,6.23,6.36,5.46,217500
2010-06-14,6.39,6.39,6.26,6.26,5.38,492300
2010-06-15,6.3,6.43,6.29,6.41,5.51,556300
2010-06-16,6.39,6.41,6.33,6.35,5.46,395700
2010-06-17,6.36,6.38,6.31,6.36,5.47,417300
2010-06-18,6.37,6.37,6.33,6.35,5.46,911200
2010-06-21,6.43,6.43,6.3,6.32,5.43,447000
2010-06-22,6.35,6.4,6.27,6.29,5.4,664800
2010-06-23,6.27,6.29,6.19,6.23,5.36,406900
2010-06-24,6.19,6.31,6.17,6.18,5.31,369400
2010-06-25,6.17,6.28,6.17,6.27,5.39,1330300
2010-06-28,6.27,6.38,6.25,6.34,5.45,603600
2010-06-29,6.24,6.26,6.14,6.18,5.31,809200
2010-06-30,6.18,6.25,6.12,6.13,5.27,568300
2010-07-01,6.12,6.12,5.96,6.05,5.2,627900
2010-07-02,6.1,6.1,5.98,6.02,5.18,586000
2010-07-06,6.1,6.17,5.98,6.03,5.18,818700
2010-07-07,6.05,6.17,6.03,6.16,5.3,461700
2010-07-08,6.16,6.33,6.16,6.33,5.44,652200
2010-07-09,6.33,6.35,6.29,6.35,5.46,319900
2010-07-12,6.32,6.39,6.32,6.37,5.48,1104900
2010-07-13,6.47,6.52,6.43,6.5,5.59,859500
2010-07-14,6.47,6.5,6.39,6.44,5.53,428100
2010-07-15,6.43,6.44,6.3,6.37,5.47,517000
2010-07-16,6.36,6.36,6.17,6.19,5.32,749200
2010-07-19,6.2,6.25,6.16,6.25,5.37,442900
2010-07-20,6.18,6.34,6.16,6.34,5.45,394300
2010-07-21,6.39,6.39,6.23,6.23,5.36,423100
2010-07-22,6.31,6.38,6.28,6.36,5.47,979300
2010-07-23,6.34,6.49,6.33,6.48,5.57,569700
2010-07-26,6.49,6.57,6.45,6.56,5.64,580500
2010-07-27,6.62,6.63,6.49,6.53,5.61,554100
2010-07-28,6.49,6.63,6.47,6.55,5.63,442800
2010-07-29,6.62,6.64,6.43,6.49,5.58,280300
2010-07-30,6.47,6.54,6.36,6.47,5.56,428100
2010-08-02,6.58,6.58,6.45,6.53,5.61,473800
2010-08-03,6.49,6.59,6.45,6.48,5.57,420000
2010-08-04,6.48,6.56,6.48,6.56,5.64,360400
2010-08-05,6.55,6.55,6.47,6.48,5.57,298300
2010-08-06,6.39,6.44,6.3,6.39,5.52,378000
2010-08-09,6.44,6.5,6.39,6.49,5.6,265500
2010-08-10,6.42,6.47,6.35,6.39,5.51,385300
2010-08-11,6.31,6.31,6.19,6.2,5.35,828900
2010-08-12,6.16,6.21,6.14,6.17,5.33,480700
2010-08-13,6.14,6.21,6.1,6.12,5.29,614400
2010-08-16,6.08,6.19,6.05,6.18,5.33,438700
2010-08-17,6.25,6.32,6.2,6.29,5.43,447000
2010-08-18,6.26,6.33,6.21,6.27,5.41,454500
2010-08-19,6.24,6.24,6.08,6.09,5.26,717400
2010-08-20,6.07,6.11,5.99,6.1,5.26,525700
