Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,53.17,53.39,52.36,52.37,49.05,355900
2010-01-04,53.02,53.24,52.38,52.54,49.2,927900
2010-01-05,52.59,52.59,51.62,51.87,48.58,1102500
2010-01-06,51.66,52.3,51.43,52.27,49.04,1099800
2010-01-07,51.39,52.24,51.11,52.07,48.85,1394200
2010-01-08,52.05,52.51,51.7,52.44,49.2,720400
2010-01-11,52.66,53.07,52.3,52.66,49.41,507000
2010-01-12,52.24,52.8,52.24,52.62,49.37,773500
2010-01-13,52.59,52.71,51.86,52.43,49.19,575300
2010-01-14,52.14,52.58,51.95,52.5,49.26,540700
2010-01-15,52.4,52.45,51.48,51.71,48.52,403900
2010-01-19,53.33,54.18,53.22,53.84,50.51,1100800
2010-01-20,53.28,53.94,52.42,53.3,50.01,819600
2010-01-21,53.03,53.32,52.24,52.26,49.03,566200
2010-01-22,51.9,52.23,51.05,51.11,47.95,761200
2010-01-25,51.57,51.84,51.0,51.26,48.09,446300
2010-01-26,51.27,51.93,50.95,51.0,47.85,480700
2010-01-27,50.82,51.03,49.84,50.67,47.54,506900
2010-01-28,50.68,50.83,49.9,50.35,47.24,337700
2010-01-29,50.61,51.27,50.03,50.08,46.99,675400
2010-02-01,50.31,50.8,50.23,50.49,47.37,493100
2010-02-02,50.71,51.48,50.64,51.39,48.22,690700
2010-02-03,53.98,54.2,53.06,53.6,50.29,1381400
2010-02-04,52.99,53.92,52.74,53.08,49.8,1150200
2010-02-05,52.99,53.29,51.24,52.52,49.28,811100
2010-02-08,52.45,52.6,51.72,51.8,48.6,460300
2010-02-09,52.2,52.91,51.81,52.24,49.01,747000
2010-02-10,51.99,52.33,51.01,51.75,48.55,662700
2010-02-11,51.53,53.03,51.12,52.96,49.69,794100
2010-02-12,52.1,52.96,51.79,52.9,49.63,1039200
2010-02-16,53.06,53.9,53.05,53.84,50.51,479800
2010-02-17,54.35,54.42,53.61,53.91,50.58,433100
2010-02-18,53.72,54.93,53.72,54.84,51.45,489400
2010-02-19,54.72,56.11,54.61,55.52,52.09,1145000
2010-02-22,55.59,56.03,54.99,55.2,51.79,735600
2010-02-23,55.13,55.22,54.17,54.48,51.11,514700
2010-02-24,54.53,55.11,54.44,55.06,51.66,700900
2010-02-25,54.14,54.95,53.7,54.82,51.43,580400
2010-02-26,54.86,55.63,54.13,55.44,52.02,855500
2010-03-01,55.59,55.96,55.41,55.7,52.26,531500
2010-03-02,55.85,56.1,55.57,55.69,52.25,408300
2010-03-03,56.02,56.29,55.72,55.76,52.32,678700
2010-03-04,55.98,55.98,55.41,55.7,52.26,343300
2010-03-05,56.03,56.5,55.78,56.4,52.92,336600
2010-03-08,56.4,56.97,56.16,56.77,53.26,607300
2010-03-09,56.5,57.0,56.36,56.68,53.18,540400
2010-03-10,56.55,57.08,56.52,56.94,53.42,501900
2010-03-11,56.73,57.67,56.37,57.66,54.1,831600
2010-03-12,57.92,58.06,57.25,58.05,54.46,491900
2010-03-15,58.09,58.24,56.99,57.25,53.71,1081700
2010-03-16,57.41,57.98,57.31,57.91,54.33,445200
2010-03-17,57.95,58.46,57.91,58.34,54.74,462900
2010-03-18,58.23,58.42,57.64,57.8,54.23,463800
2010-03-19,57.26,58.22,57.12,57.26,53.72,1176200
2010-03-22,57.1,57.85,56.96,57.49,53.94,459200
2010-03-23,57.5,57.99,57.3,57.92,54.34,329200
2010-03-24,57.83,58.06,57.2,57.3,53.76,340200
2010-03-25,57.59,57.64,56.75,56.85,53.34,316500
2010-03-26,56.94,57.46,56.66,56.87,53.36,321200
2010-03-29,57.01,57.09,56.3,56.96,53.44,578400
2010-03-30,57.04,58.26,56.87,57.75,54.18,775500
2010-03-31,57.48,58.25,57.48,57.84,54.27,520100
2010-04-01,58.04,58.6,58.04,58.6,54.98,514800
2010-04-05,58.87,59.29,58.69,58.97,55.33,373900
2010-04-06,58.66,59.52,58.4,59.47,55.8,545500
2010-04-07,59.15,59.85,58.9,59.52,55.93,672400
2010-04-08,59.47,60.23,59.21,60.05,56.43,653300
2010-04-09,60.1,60.47,59.83,60.38,56.74,399000
2010-04-12,60.52,60.98,60.4,60.87,57.2,469900
2010-04-13,60.69,61.04,60.36,60.97,57.3,429000
2010-04-14,61.13,61.42,60.69,61.41,57.71,543600
2010-04-15,61.15,61.71,60.98,61.68,57.96,450700
2010-04-16,61.24,61.5,60.36,60.8,57.14,488600
2010-04-19,60.68,60.88,59.96,60.65,56.99,394100
