Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,28.47,28.56,28.28,28.31,21.42,1336500
2010-01-04,28.58,28.78,28.37,28.68,21.7,1425500
2010-01-05,28.64,28.72,28.49,28.72,21.73,1204500
2010-01-06,28.65,28.97,28.52,28.94,21.9,1833400
2010-01-07,28.86,29.05,28.67,28.89,21.86,1648400
2010-01-08,28.79,28.99,28.48,28.93,21.89,1375400
2010-01-11,29.15,29.43,28.78,28.92,21.88,2301600
2010-01-12,28.8,28.91,28.54,28.88,21.85,1279900
2010-01-13,28.96,29.34,28.88,29.28,22.15,1198300
2010-01-14,29.2,29.3,28.99,29.22,22.11,1439700
2010-01-15,29.21,29.26,28.36,28.38,21.47,2361800
2010-01-19,28.35,28.68,28.33,28.59,21.63,1575800
2010-01-20,28.33,28.36,28.0,28.31,21.42,1295400
2010-01-21,28.51,29.01,28.11,28.2,21.34,2566100
2010-01-22,28.0,28.28,27.54,27.58,20.87,2158800
2010-01-25,27.7,27.83,27.11,27.43,20.75,2386600
2010-01-26,27.27,27.36,26.93,26.95,20.39,2258800
2010-01-27,26.87,27.09,26.62,27.04,20.46,1682700
2010-01-28,27.09,27.1,26.5,26.9,20.35,2021600
2010-01-29,27.11,27.2,26.7,26.79,20.27,1844600
2010-02-01,26.82,27.08,26.59,27.0,20.43,1131400
2010-02-02,26.92,27.19,26.8,27.02,20.44,2238900
2010-02-03,26.88,27.03,26.6,26.75,20.24,2030200
2010-02-04,26.54,26.64,25.88,25.92,19.61,3138500
2010-02-05,25.86,26.19,25.15,25.68,19.43,3908000
2010-02-08,25.68,25.96,25.41,25.62,19.38,1832200
2010-02-09,25.84,26.14,25.63,25.87,19.57,1957500
2010-02-10,25.8,26.01,25.56,25.89,19.59,1842800
2010-02-11,25.75,26.28,25.5,26.22,19.84,2677500
2010-02-12,26.45,26.45,25.5,26.03,19.69,5628400
2010-02-16,26.26,27.29,26.21,27.02,20.44,4363500
2010-02-17,27.24,27.6,27.1,27.42,20.75,2343500
2010-02-18,27.42,27.71,27.34,27.63,20.9,2154600
2010-02-19,27.6,28.27,27.47,28.08,21.25,2898300
2010-02-22,28.3,28.34,27.92,28.0,21.18,2257100
2010-02-23,28.0,28.15,27.58,27.66,20.93,2165500
2010-02-24,27.81,28.07,27.47,28.06,21.23,1845900
2010-02-25,27.78,28.15,27.56,28.14,21.29,2182400
2010-02-26,28.21,28.44,28.11,28.14,21.29,1711200
2010-03-01,28.33,28.91,28.32,28.89,21.86,1716500
2010-03-02,29.03,29.34,29.01,29.31,22.18,2362400
2010-03-03,29.3,29.44,29.01,29.23,22.12,1505800
2010-03-04,29.26,29.26,28.87,29.07,21.99,1680100
2010-03-05,29.3,29.55,29.2,29.51,22.33,2738700
2010-03-08,29.51,29.54,29.16,29.24,22.12,1474500
2010-03-09,29.12,29.27,28.88,29.0,21.94,2319400
2010-03-10,29.06,29.12,28.48,28.72,21.73,4380400
2010-03-11,28.68,28.84,28.43,28.8,21.79,2608300
2010-03-12,28.83,29.01,28.69,28.71,21.72,2355000
2010-03-15,28.7,29.06,28.64,29.04,21.97,2382400
2010-03-16,29.09,29.09,28.71,28.84,21.82,2965900
2010-03-17,28.94,29.04,28.72,28.84,21.82,2725100
2010-03-18,28.92,28.96,28.75,28.85,21.83,2450500
2010-03-19,28.55,29.0,28.39,28.55,21.6,3551500
2010-03-22,28.47,28.63,28.32,28.55,21.6,2848600
2010-03-23,28.56,29.0,28.48,28.88,21.85,2448300
2010-03-24,28.86,29.0,28.67,28.84,21.82,2736000
2010-03-25,28.96,29.06,28.73,28.76,21.76,2519300
2010-03-26,28.77,29.03,28.68,28.97,21.92,2710300
2010-03-29,29.07,29.25,28.98,29.22,22.11,3546100
2010-03-30,29.2,29.25,29.01,29.13,22.18,1625400
2010-03-31,29.06,29.16,28.79,29.02,22.1,2306700
2010-04-01,29.26,29.49,29.03,29.18,22.22,1587700
2010-04-05,29.32,29.5,29.18,29.39,22.38,1499700
2010-04-06,29.41,29.76,29.28,29.75,22.66,1709100
2010-04-07,29.62,29.79,29.48,29.68,22.6,1774700
2010-04-08,29.68,29.84,29.53,29.79,22.69,1848500
2010-04-09,29.89,29.95,29.7,29.95,22.81,1709600
2010-04-12,30.07,30.07,29.87,29.99,22.84,1857000
2010-04-13,30.0,30.0,29.66,29.94,22.8,1952700
2010-04-14,30.01,30.23,29.76,30.12,22.94,3412100
2010-04-15,30.52,30.81,30.07,30.69,23.37,3530100
2010-04-16,30.65,30.91,30.26,30.38,23.14,3472600
2010-04-19,30.36,30.45,29.91,30.29,23.07,1925800
2010-04-20,30.35,30.58,30.28,30.49,23.22,2481700
2010-04-21,30.45,30.61,30.25,30.44,23.18,2106200
2010-04-22,30.27,30.34,29.96,30.28,23.06,2301800
2010-04-23,30.18,30.52,29.99,30.27,23.05,3829700
2010-04-26,30.3,30.77,30.27,30.59,23.3,2318500
2010-04-27,30.35,30.39,29.56,29.62,22.56,3804600
2010-04-28,29.79,30.0,29.58,29.8,22.69,1868500
2010-04-29,30.0,30.28,29.8,30.17,22.98,3131200
2010-04-30,30.31,31.47,30.31,31.03,23.63,5158500
2010-05-03,31.19,31.6,31.01,31.58,24.05,3606500
2010-05-04,31.32,31.32,30.0,30.14,22.95,4088700
2010-05-05,29.92,30.22,29.65,29.95,22.81,2316500
2010-05-06,29.89,30.16,27.68,29.08,22.15,4698600
2010-05-07,29.15,29.37,28.53,28.95,22.05,5331400
2010-05-10,30.24,30.28,29.77,30.0,22.85,2906400
2010-05-11,29.87,30.42,29.77,29.99,22.84,2634000
2010-05-12,30.07,30.38,29.9,30.36,23.12,2013800
2010-05-13,30.28,30.31,29.95,30.1,22.92,3327700
2010-05-14,29.84,29.95,29.23,29.58,22.53,2763300
2010-05-17,29.64,29.89,29.32,29.79,22.69,4192800
2010-05-18,30.2,30.22,29.64,29.75,22.66,3817500
2010-05-19,29.68,29.72,29.23,29.41,22.4,2764300
2010-05-20,29.02,29.02,28.25,28.25,21.51,4101000
2010-05-21,28.02,28.73,27.72,28.65,21.82,4421900
2010-05-24,28.51,28.64,28.26,28.27,21.53,2183400
2010-05-25,27.69,28.47,27.65,28.46,21.67,3736400
2010-05-26,28.7,28.76,28.26,28.32,21.57,3410700
2010-05-27,28.79,29.25,28.72,29.25,22.28,2952200
2010-05-28,29.32,29.37,28.85,29.12,22.18,1807300
2010-06-01,28.94,29.37,28.68,29.05,22.12,3652600
2010-06-02,29.23,29.68,28.92,29.68,22.6,2482900
2010-06-03,29.82,29.99,29.66,29.96,22.82,1861100
2010-06-04,29.58,29.58,28.39,28.51,21.71,3138600
2010-06-07,28.57,28.64,28.02,28.07,21.38,2567900
2010-06-08,28.05,29.0,28.04,28.94,22.04,4837600
2010-06-09,29.14,29.86,29.14,29.6,22.54,4202300
2010-06-10,29.92,30.67,29.92,30.65,23.34,2925400
2010-06-11,30.33,30.67,30.21,30.67,23.36,2515800
2010-06-14,30.71,31.09,30.71,30.84,23.49,2879400
2010-06-15,31.2,31.31,30.86,31.29,23.83,2934400
2010-06-16,31.15,31.36,31.03,31.3,23.84,2270200
2010-06-17,31.39,31.54,31.02,31.54,24.02,2451600
2010-06-18,31.56,31.74,31.35,31.52,24.0,2576500
2010-06-21,31.75,31.92,31.07,31.29,23.83,1985700
2010-06-22,31.38,31.48,30.56,30.6,23.3,2270900
2010-06-23,30.62,30.83,30.36,30.63,23.33,1811500
2010-06-24,30.53,30.85,30.29,30.34,23.11,2405600
2010-06-25,30.48,30.98,30.02,30.97,23.59,3668300
2010-06-28,30.99,31.2,30.7,30.89,23.52,1937400
2010-06-29,30.45,30.45,29.36,29.56,22.65,2307300
2010-06-30,29.55,30.19,29.37,29.73,22.78,2771900
2010-07-01,29.9,29.94,29.0,29.53,22.63,3637500
2010-07-02,29.63,29.74,29.14,29.26,22.42,1859900
2010-07-06,29.5,29.93,29.21,29.44,22.56,2736100
2010-07-07,29.42,30.19,29.11,30.12,23.08,3717700
2010-07-08,30.28,30.55,30.24,30.53,23.39,1808800
2010-07-09,30.52,30.64,30.38,30.6,23.45,1663800
2010-07-12,30.56,30.71,30.41,30.59,23.44,1197700
2010-07-13,30.88,31.04,30.73,30.89,23.67,2052700
2010-07-14,30.74,30.74,30.13,30.44,23.33,2994600
2010-07-15,30.38,30.8,30.12,30.74,23.56,2311900
2010-07-16,30.61,30.76,29.89,29.98,22.97,2922700
2010-07-19,30.04,30.21,29.76,30.12,23.08,1672600
2010-07-20,29.85,30.47,29.67,30.45,23.33,2068600
2010-07-21,30.57,31.1,30.39,31.1,23.83,4987200
2010-07-22,31.47,31.84,31.3,31.75,24.33,3520200
2010-07-23,31.64,32.06,31.42,32.06,24.57,2023900
2010-07-26,32.24,32.67,32.15,32.65,25.02,2089300
2010-07-27,32.85,32.95,32.17,32.25,24.71,2274200
2010-07-28,32.18,32.24,31.95,32.12,24.61,1397200
2010-07-29,32.37,32.45,31.68,31.98,24.51,3007700
2010-07-30,32.0,32.0,31.06,31.86,24.41,2319700
2010-08-02,32.32,32.51,32.15,32.47,24.88,2073000
2010-08-03,32.36,32.49,32.12,32.31,24.76,1632100
2010-08-04,32.4,32.57,32.31,32.39,24.82,1814100
2010-08-05,32.24,32.31,31.75,31.84,24.4,2671100
2010-08-06,31.64,31.66,31.23,31.64,24.24,2826300
2010-08-09,31.83,31.9,31.62,31.77,24.34,1822800
2010-08-10,31.57,31.58,31.13,31.28,23.97,2182100
2010-08-11,30.94,30.94,29.78,29.94,22.94,3431000
2010-08-12,29.5,29.62,28.97,29.43,22.55,4719400
2010-08-13,29.42,29.72,29.38,29.4,22.53,2343500
2010-08-16,29.34,29.7,29.03,29.66,22.73,2156600
2010-08-17,29.89,30.5,29.74,30.16,23.11,2180600
2010-08-18,30.21,30.31,29.86,30.0,22.99,1755600
2010-08-19,29.94,30.65,29.75,30.11,23.07,4387900
2010-08-20,30.39,30.65,30.04,30.51,23.38,4258800
2010-08-23,30.64,30.68,30.0,30.06,23.03,3507200
2010-08-24,29.81,30.09,29.51,29.95,22.95,3479300
2010-08-25,29.69,29.9,29.26,29.77,22.81,2216100
2010-08-26,29.92,30.11,29.57,29.64,22.71,1960700
2010-08-27,29.76,30.28,29.48,30.25,23.18,2295300
2010-08-30,30.01,30.27,29.82,29.82,22.85,1682200
2010-08-31,29.66,29.75,29.33,29.43,22.55,2789000
2010-09-01,29.84,30.59,29.73,30.27,23.19,2691200
2010-09-02,30.19,30.8,29.72,30.78,23.59,4223300
2010-09-03,31.09,31.25,30.85,31.14,23.86,2454400
2010-09-07,30.88,30.99,30.36,30.41,23.3,2398400
2010-09-08,30.4,30.54,30.0,30.09,23.06,3183600
2010-09-09,30.67,30.93,30.25,30.43,23.32,2924600
2010-09-10,30.51,30.71,30.32,30.6,23.45,2029900
2010-09-13,30.94,30.96,30.57,30.71,23.53,1917500
2010-09-14,30.78,31.08,30.51,30.79,23.59,2839900
2010-09-15,30.71,30.85,30.41,30.84,23.63,2391800
2010-09-16,30.81,31.0,30.68,30.95,23.72,2164900
2010-09-17,30.98,31.43,30.96,31.21,23.92,5000900
2010-09-20,31.35,31.67,31.03,31.6,24.21,2090300
2010-09-21,31.54,31.88,31.44,31.66,24.26,2544600
2010-09-22,31.54,31.85,31.2,31.22,23.92,3051400
2010-09-23,30.93,31.0,30.23,30.36,23.26,3586000
2010-09-24,30.72,30.81,30.47,30.53,23.39,3795300
2010-09-27,30.48,30.63,29.83,29.89,22.9,4420900
2010-09-28,29.85,30.21,29.56,30.16,23.11,3864200
2010-09-29,29.93,30.54,29.82,30.43,23.47,3800000
2010-09-30,30.69,30.78,30.31,30.49,23.52,3327700
2010-10-01,30.57,30.74,30.34,30.56,23.57,2400800
2010-10-04,30.42,30.58,30.02,30.19,23.29,2088300
2010-10-05,30.45,31.18,30.4,31.05,23.95,2789000
2010-10-06,30.94,31.34,30.88,31.2,24.07,2814800
2010-10-07,31.37,31.41,30.95,31.1,23.99,1720800
2010-10-08,31.08,31.3,31.0,31.22,24.08,1479300
2010-10-11,31.24,31.43,31.07,31.24,24.1,876300
2010-10-12,31.11,31.22,30.77,31.15,24.03,1405900
2010-10-13,31.35,32.13,31.24,31.87,24.58,3686700
2010-10-14,31.89,32.0,31.04,31.05,23.95,4616700
2010-10-15,31.32,31.41,30.6,30.74,23.71,4443100
2010-10-18,30.88,30.97,30.17,30.3,23.37,3760300
2010-10-19,30.06,30.37,29.97,30.08,23.2,4403500
2010-10-20,30.18,30.7,30.11,30.32,23.39,2534700
2010-10-21,30.5,30.87,30.5,30.8,23.76,3479200
2010-10-22,30.9,30.99,30.61,30.71,23.69,2178300
2010-10-25,30.87,31.22,30.8,30.82,23.77,1785400
2010-10-26,30.9,31.06,30.51,30.65,23.64,2202200
2010-10-27,30.38,30.38,29.84,30.08,23.2,3837700
2010-10-28,30.25,30.5,30.12,30.44,23.48,2827100
2010-10-29,30.26,30.26,29.7,29.81,22.99,4750100
2010-11-01,29.9,30.27,29.28,29.45,22.72,3830500
2010-11-02,29.64,30.04,29.64,29.89,23.06,4241600
2010-11-03,29.86,30.05,29.57,29.84,23.02,2044400
2010-11-04,30.02,30.12,29.74,29.95,23.1,3807000
2010-11-05,29.44,29.44,28.05,29.04,22.4,12700600
2010-11-08,28.94,28.94,28.39,28.45,21.95,6286600
2010-11-09,28.44,29.03,28.36,28.59,22.05,3949600
2010-11-10,28.59,28.71,28.37,28.66,22.11,3277300
2010-11-11,28.48,28.68,28.11,28.17,21.73,3857000
2010-11-12,28.16,28.56,28.02,28.27,21.81,3767800
2010-11-15,28.4,28.56,28.33,28.33,21.85,2556200
2010-11-16,28.05,28.2,27.7,27.88,21.51,3822600
2010-11-17,27.85,28.23,27.78,28.04,21.63,3973100
2010-11-18,28.35,28.5,28.21,28.3,21.83,2706000
2010-11-19,28.31,28.33,27.83,28.17,21.73,3096700
2010-11-22,28.0,28.3,27.89,28.16,21.72,2679900
2010-11-23,27.9,28.07,27.8,28.0,21.6,1677700
2010-11-24,28.13,28.61,28.12,28.59,22.05,1957100
2010-11-26,28.3,28.4,28.09,28.27,21.81,780400
2010-11-29,28.01,28.39,27.7,28.34,21.86,2698300
2010-11-30,28.15,28.19,27.97,28.14,21.71,2999800
2010-12-01,28.48,28.69,28.3,28.63,22.08,2079100
2010-12-02,28.7,29.33,28.69,29.33,22.62,2789300
2010-12-03,29.12,29.18,28.55,28.79,22.21,2690500
2010-12-06,28.75,28.86,28.31,28.79,22.21,5023600
2010-12-07,28.98,28.99,28.43,28.45,21.95,3240000
2010-12-08,28.51,28.89,28.46,28.81,22.22,2885200
2010-12-09,29.02,29.65,28.92,29.63,22.86,4936000
2010-12-10,29.83,29.94,29.58,29.93,23.09,3585800
2010-12-13,30.0,30.42,30.0,30.41,23.46,2627000
2010-12-14,30.5,30.52,30.03,30.03,23.16,3893500
2010-12-15,30.04,30.28,29.88,29.98,23.13,4160900
2010-12-16,30.01,30.1,29.89,29.93,23.09,3549500
2010-12-17,30.0,30.42,29.98,30.41,23.46,3538800
2010-12-20,30.33,30.44,30.15,30.34,23.4,2778400
2010-12-21,30.46,30.5,29.97,29.98,23.13,2297200
2010-12-22,29.91,30.17,29.91,30.02,23.16,2840600
2010-12-23,29.99,30.17,29.81,30.16,23.26,2499400
2010-12-27,29.98,30.11,29.85,30.07,23.2,1211700
2010-12-28,30.12,30.2,29.87,30.16,23.26,2182200
2010-12-29,30.24,30.41,30.11,30.11,23.23,1126200
2010-12-30,29.8,30.06,29.78,29.94,23.25,1192000
2010-12-31,29.88,29.98,29.79,29.86,23.19,1186400
2011-01-03,30.03,30.29,29.91,30.05,23.34,2264800
2011-01-04,30.06,30.06,29.7,29.91,23.23,2516500
2011-01-05,29.76,29.95,29.56,29.6,22.99,1901500
2011-01-06,29.63,29.86,29.54,29.79,23.13,2177900
2011-01-07,29.81,29.91,29.53,29.63,23.01,1635500
2011-01-10,29.54,29.6,29.22,29.26,22.72,2440100
2011-01-11,29.38,29.49,29.17,29.24,22.71,1851300
2011-01-12,29.35,29.54,29.15,29.43,22.85,3422200
2011-01-13,29.49,29.49,29.23,29.3,22.75,1409800
2011-01-14,29.32,29.87,29.21,29.85,23.18,2410700
2011-01-18,29.93,30.33,29.69,30.28,23.51,2565100
2011-01-19,30.31,30.38,30.04,30.38,23.59,2493500
2011-01-20,30.32,30.44,30.15,30.38,23.59,2340800
2011-01-21,30.41,30.48,30.15,30.24,23.48,3212900
2011-01-24,30.22,30.65,30.16,30.52,23.7,1439200
2011-01-25,30.51,30.74,30.35,30.71,23.85,1392700
2011-01-26,30.92,31.1,30.71,31.0,24.07,1480800
2011-01-27,31.02,31.34,30.95,31.29,24.3,1857900
2011-01-28,31.25,31.5,30.57,30.69,23.83,2164300
2011-01-31,30.81,31.05,30.58,30.84,23.95,1449500
2011-02-01,30.11,30.76,29.89,30.46,23.65,5643300
2011-02-02,30.34,30.68,30.28,30.5,23.68,2214600
2011-02-03,30.44,30.49,30.13,30.35,23.57,2433500
2011-02-04,30.34,30.58,29.95,30.1,23.37,2457600
2011-02-07,30.31,30.65,30.24,30.55,23.72,2087300
2011-02-08,30.62,30.66,30.34,30.47,23.66,2386000
2011-02-09,30.44,30.58,30.26,30.53,23.71,2038900
2011-02-10,30.41,30.59,30.3,30.41,23.61,1563400
2011-02-11,30.18,30.51,29.94,30.05,23.34,4630000
2011-02-14,30.09,30.17,29.69,29.98,23.28,3170800
2011-02-15,29.94,30.03,29.79,29.84,23.17,2918400
2011-02-16,29.95,30.11,29.7,30.05,23.34,4885300
2011-02-17,30.03,30.03,29.91,29.99,23.29,5144000
2011-02-18,29.99,30.0,29.83,29.99,23.29,5166700
2011-02-22,29.75,29.94,29.22,29.58,22.97,5004200
2011-02-23,29.51,29.6,28.86,28.86,22.41,4232300
2011-02-24,28.79,29.22,28.79,29.06,22.57,3720400
2011-02-25,29.22,29.34,29.09,29.25,22.71,2775200
2011-02-28,29.33,29.69,29.28,29.61,22.99,3726500
2011-03-01,29.63,29.75,28.99,28.99,22.51,2424100
2011-03-02,28.98,29.31,28.81,29.31,22.76,3528600
2011-03-03,29.54,29.85,29.51,29.82,23.16,2167200
2011-03-04,29.73,29.9,29.48,29.78,23.13,2143800
2011-03-07,29.83,29.95,29.49,29.6,22.99,3283800
2011-03-08,29.7,30.01,29.43,29.92,23.23,3184100
2011-03-09,29.92,30.01,29.7,29.92,23.23,6163200
2011-03-10,29.71,29.98,29.52,29.6,22.99,4473600
2011-03-11,29.57,29.85,29.46,29.69,23.06,3255000
2011-03-14,29.62,29.66,29.41,29.59,22.98,2904500
2011-03-15,28.99,29.4,28.93,29.18,22.66,7730000
2011-03-16,29.09,29.13,28.36,28.56,22.18,4967000
2011-03-17,28.95,29.34,28.72,28.95,22.48,3790100
2011-03-18,29.27,29.47,29.1,29.27,22.73,2213400
2011-03-21,29.54,29.84,29.48,29.58,22.97,1699900
2011-03-22,29.51,29.65,28.95,29.0,22.52,2759600
2011-03-23,28.95,29.23,28.83,29.16,22.64,1874500
2011-03-24,29.36,29.57,29.13,29.56,22.95,2609300
2011-03-25,29.65,29.98,29.61,29.87,23.2,4296100
2011-03-28,29.95,30.18,29.8,29.85,23.18,2039800
2011-03-29,29.8,30.22,29.77,30.19,23.44,2419300
2011-03-30,30.11,30.19,30.05,30.14,23.56,2110300
2011-03-31,30.1,30.23,29.92,30.04,23.48,1911500
2011-04-01,30.09,30.3,29.99,30.1,23.53,2015400
2011-04-04,30.09,30.24,30.0,30.13,23.55,1336700
2011-04-05,30.01,30.11,29.86,29.93,23.4,1928400
2011-04-06,30.04,30.32,30.03,30.29,23.68,2421600
2011-04-07,30.19,30.29,29.99,30.12,23.55,1463500
2011-04-08,30.26,30.26,29.66,29.91,23.38,1313300
2011-04-11,29.9,30.16,29.78,29.85,23.33,1891800
2011-04-12,29.76,30.21,29.76,30.07,23.51,3482000
2011-04-13,30.17,30.2,29.91,30.02,23.47,1670500
2011-04-14,29.91,29.97,29.75,29.87,23.35,1901500
2011-04-15,29.98,30.11,29.79,29.79,23.29,2212900
2011-04-18,29.54,29.58,29.24,29.56,23.11,2581500
2011-04-19,29.55,29.59,29.24,29.41,22.99,1685300
2011-04-20,29.75,29.89,29.58,29.89,23.37,2241000
2011-04-21,29.97,29.99,29.61,29.66,23.19,1555200
2011-04-25,29.69,29.91,29.42,29.71,23.22,2644300
2011-04-26,29.84,30.41,29.79,30.27,23.66,2304100
2011-04-27,30.27,30.67,30.17,30.63,23.94,3688800
2011-04-28,30.57,31.0,30.35,30.96,24.2,4174600
2011-04-29,31.0,31.92,30.84,31.62,24.72,5374400
2011-05-02,31.68,32.1,31.6,31.9,24.94,3531000
2011-05-03,31.81,32.06,31.57,31.93,24.96,5361400
2011-05-04,31.95,32.0,31.55,31.81,24.87,2578900
2011-05-05,31.69,31.8,31.38,31.59,24.69,2582000
2011-05-06,31.88,32.15,31.77,31.89,24.93,2132200
2011-05-09,31.89,31.95,31.67,31.91,24.94,1660900
2011-05-10,31.94,32.09,31.9,32.01,25.02,1483800
2011-05-11,32.0,32.17,31.92,32.14,25.12,2434000
2011-05-12,32.1,32.51,31.92,32.48,25.39,2865200
2011-05-13,32.45,32.57,32.29,32.36,25.3,2907300
2011-05-16,32.3,32.57,32.17,32.3,25.25,1776100
2011-05-17,32.25,32.44,31.96,32.31,25.26,3820300
2011-05-18,32.36,32.93,32.12,32.91,25.73,2508500
2011-05-19,32.95,33.1,32.83,32.94,25.75,2590900
2011-05-20,32.8,32.87,32.13,32.15,25.13,2491500
2011-05-23,31.8,31.95,31.6,31.9,24.94,1525900
2011-05-24,32.05,32.16,31.64,31.64,24.73,2527800
2011-05-25,31.44,31.54,31.12,31.41,24.55,3005200
2011-05-26,31.35,31.54,31.1,31.43,24.57,2269900
2011-05-27,31.57,31.75,31.47,31.54,24.66,1669800
2011-05-31,31.7,31.86,31.34,31.52,24.64,6619500
2011-06-01,31.47,31.58,31.16,31.19,24.38,2766300
2011-06-02,31.28,31.35,30.89,31.13,24.33,2036900
2011-06-03,30.81,30.81,30.59,30.61,23.93,2079300
2011-06-06,30.64,30.67,30.38,30.41,23.77,1792200
2011-06-07,30.48,30.55,30.16,30.16,23.58,1780000
2011-06-08,30.12,30.25,29.96,30.17,23.58,2899200
2011-06-09,30.17,30.37,30.04,30.19,23.6,2112200
2011-06-10,30.1,30.16,29.84,29.87,23.35,1883900
2011-06-13,29.94,30.18,29.75,30.1,23.53,2477500
2011-06-14,30.35,30.43,30.24,30.33,23.71,1747100
2011-06-15,30.04,30.13,29.62,29.9,23.37,2476200
2011-06-16,30.06,30.4,29.98,30.29,23.68,2630900
2011-06-17,30.54,30.61,30.34,30.46,23.81,2566300
2011-06-20,30.33,30.9,30.22,30.84,24.11,1621100
2011-06-21,30.9,31.04,30.77,31.03,24.26,1104300
2011-06-22,30.95,31.29,30.86,31.12,24.33,2006200
2011-06-23,30.75,31.12,30.32,31.1,24.31,2582900
2011-06-24,31.04,31.1,30.46,30.49,23.83,3358100
2011-06-27,30.58,30.71,30.38,30.64,23.95,1178500
2011-06-28,30.7,30.84,30.62,30.84,24.11,1495800
2011-06-29,30.86,30.97,30.66,30.85,24.27,2291400
2011-06-30,30.85,31.04,30.79,30.85,24.27,2293400
2011-07-01,30.93,31.24,30.92,31.11,24.48,2801700
2011-07-05,31.16,31.28,31.1,31.12,24.49,2197200
2011-07-06,31.14,31.33,30.96,31.33,24.65,1253200
2011-07-07,31.54,31.73,31.43,31.65,24.9,1622200
2011-07-08,31.34,31.34,31.03,31.28,24.61,1366800
