Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,34.45,34.51,34.16,34.16,33.85,775000
2010-01-04,34.35,35.81,34.19,35.17,34.85,1885400
2010-01-05,35.44,36.03,35.18,36.01,35.68,1851100
2010-01-06,35.95,36.02,35.29,35.94,35.61,2036000
2010-01-07,35.7,36.68,35.53,36.45,36.11,3020800
2010-01-08,36.51,36.67,36.1,36.49,36.15,1032800
2010-01-11,36.71,37.0,36.49,36.74,36.4,1193000
2010-01-12,36.29,36.47,35.14,35.33,35.01,1115600
2010-01-13,35.59,36.36,35.43,36.28,35.95,1149000
2010-01-14,36.09,36.91,36.09,36.41,36.08,1356300
2010-01-15,36.55,37.12,36.4,36.65,36.31,1511900
2010-01-19,36.79,37.0,36.53,36.72,36.38,949500
2010-01-20,36.58,36.66,36.12,36.31,35.98,1161500
2010-01-21,36.52,36.9,35.94,36.13,35.8,2047400
2010-01-22,36.18,36.74,34.41,34.5,34.18,1692900
2010-01-25,35.12,35.56,34.22,34.69,34.37,2270800
2010-01-26,34.76,34.78,33.62,34.25,33.94,1852200
2010-01-27,34.26,34.71,33.57,34.57,34.25,1674000
2010-01-28,34.49,34.56,33.36,33.69,33.38,1469900
2010-01-29,33.98,34.23,32.75,33.09,32.79,1883100
2010-02-01,33.21,34.16,32.8,34.06,33.75,1451900
2010-02-02,34.28,34.28,33.33,34.06,33.75,1042900
2010-02-03,33.96,34.19,33.04,33.16,32.86,1448800
2010-02-04,33.05,33.06,31.75,31.82,31.53,2081500
2010-02-05,31.76,31.86,30.64,31.79,31.5,2307500
2010-02-08,31.85,32.59,31.22,32.18,31.88,1272800
2010-02-09,32.43,33.16,32.17,32.97,32.67,1924800
2010-02-10,32.79,33.25,32.34,33.24,32.93,1427500
2010-02-11,33.0,33.94,32.8,33.81,33.5,1721500
2010-02-12,33.52,34.03,33.15,33.95,33.64,1793700
2010-02-16,33.94,34.38,33.79,34.33,34.01,1147200
2010-02-17,34.29,34.54,34.15,34.33,34.01,1138700
2010-02-18,34.41,34.48,34.13,34.45,34.13,1981300
2010-02-19,34.38,34.98,34.31,34.78,34.46,1170200
2010-02-22,34.75,34.75,34.13,34.22,33.91,1840700
2010-02-23,34.31,34.41,33.89,34.38,34.06,1796700
2010-02-24,34.33,34.89,34.22,34.89,34.57,1749200
2010-02-25,34.41,35.6,34.32,35.44,35.11,2427200
2010-02-26,35.59,35.59,33.57,35.36,35.03,2250400
2010-03-01,35.69,36.04,35.4,35.54,35.21,1255800
2010-03-02,35.49,35.93,35.27,35.42,35.09,1701300
2010-03-03,35.5,35.95,35.42,35.65,35.32,846800
2010-03-04,35.77,35.98,35.49,35.71,35.38,2482900
2010-03-05,35.75,35.98,35.56,35.72,35.39,2223400
2010-03-08,35.29,35.95,35.23,35.35,35.02,1618000
2010-03-09,35.2,36.45,35.2,36.26,35.93,1537500
2010-03-10,36.4,36.92,36.25,36.67,36.33,1059100
2010-03-11,36.6,36.71,36.36,36.49,36.15,867000
2010-03-12,36.51,36.74,36.23,36.26,35.93,1166300
2010-03-15,36.22,36.36,35.28,35.61,35.28,2188400
2010-03-16,35.62,36.5,35.53,36.38,36.05,1413900
2010-03-17,36.49,36.5,36.19,36.34,36.01,742700
2010-03-18,36.2,36.46,35.72,35.9,35.57,1220800
2010-03-19,36.0,36.04,35.23,35.27,34.95,1021600
2010-03-22,35.06,36.03,34.86,35.79,35.46,980300
2010-03-23,35.69,36.5,35.61,36.3,35.97,1558300
2010-03-24,36.07,36.22,35.51,35.69,35.36,1028400
2010-03-25,35.9,36.12,34.57,34.81,34.49,2673900
2010-03-26,35.04,35.23,34.57,34.83,34.51,1906900
2010-03-29,35.19,36.35,35.19,35.63,35.3,1831200
2010-03-30,35.79,36.52,35.75,36.25,35.92,1360100
2010-03-31,36.29,36.56,36.02,36.07,35.74,976200
2010-04-01,36.26,36.95,36.26,36.62,36.28,1308600
2010-04-05,36.67,37.03,36.64,36.97,36.63,1217300
2010-04-06,36.62,36.97,36.37,36.62,36.28,893100
2010-04-07,36.71,36.77,35.59,35.83,35.5,1287800
2010-04-08,35.56,36.05,35.56,35.93,35.6,1330600
2010-04-09,36.09,36.59,35.97,36.24,35.91,1262300
2010-04-12,36.45,36.67,35.69,36.17,35.84,2550800
2010-04-13,36.01,36.01,35.12,35.55,35.22,2011800
2010-04-14,35.62,35.69,34.91,35.39,35.06,1712000
2010-04-15,35.14,35.2,34.77,35.1,34.78,1768400
2010-04-16,34.86,35.14,34.45,34.82,34.5,1045900
2010-04-19,34.57,34.7,33.53,34.25,33.94,2294800
2010-04-20,34.48,35.3,34.26,35.18,34.86,1953800
2010-04-21,35.25,35.46,35.06,35.35,35.02,1809500
2010-04-22,35.2,35.94,34.75,35.79,35.46,1521300
2010-04-23,35.66,36.1,35.51,35.76,35.43,1910000
2010-04-26,35.81,35.99,35.3,35.8,35.47,1363100
2010-04-27,35.76,35.91,35.01,35.21,34.89,1671800
2010-04-28,35.38,35.58,34.54,34.75,34.43,1371100
2010-04-29,35.26,35.63,35.12,35.5,35.17,1178800
2010-04-30,35.62,36.1,35.31,35.34,35.02,935300
2010-05-03,35.41,35.99,35.32,35.8,35.47,1104700
2010-05-04,35.45,35.5,34.15,34.73,34.41,2252100
2010-05-05,34.22,34.41,33.21,33.68,33.37,2321800
2010-05-06,33.66,33.75,31.01,32.81,32.51,3703000
2010-05-07,32.36,32.88,31.65,32.61,32.31,3689700
2010-05-10,34.6,34.62,33.43,33.78,33.47,3321300
2010-05-11,33.66,33.85,33.24,33.42,33.11,2168400
2010-05-12,33.48,34.18,33.45,34.11,33.8,1489700
2010-05-13,34.06,34.65,33.86,34.29,33.97,1107400
2010-05-14,34.17,34.2,33.32,33.98,33.67,1583800
2010-05-17,33.85,34.45,33.21,33.97,33.66,2018600
2010-05-18,34.07,34.32,33.5,33.58,33.27,1088400
2010-05-19,33.34,33.54,32.45,32.84,32.54,1845900
2010-05-20,32.33,32.5,31.29,31.54,31.25,2588300
2010-05-21,31.21,32.24,31.0,32.03,31.74,1745200
2010-05-24,31.83,32.19,31.64,31.66,31.37,1000800
2010-05-25,31.02,32.07,30.47,31.9,31.61,2433900
2010-05-26,32.27,32.82,32.11,32.33,32.03,4373200
2010-05-27,32.88,33.75,32.6,33.74,33.43,1396000
2010-05-28,33.68,33.9,32.69,33.03,32.73,1299300
2010-06-01,32.86,33.42,32.08,32.1,31.8,1231900
2010-06-02,32.13,33.18,32.13,33.18,32.87,2321900
2010-06-03,33.0,34.32,32.99,34.3,33.98,2504200
2010-06-04,33.63,34.12,32.63,32.79,32.49,2374300
2010-06-07,32.79,33.19,32.33,32.44,32.14,1256700
2010-06-08,32.45,32.73,31.62,32.26,31.96,1474700
2010-06-09,32.42,32.99,32.11,32.2,31.9,1038900
2010-06-10,32.73,33.97,32.56,33.97,33.66,1451300
2010-06-11,33.66,34.99,33.55,34.96,34.64,1639900
2010-06-14,35.01,35.59,34.56,34.6,34.28,1116400
2010-06-15,34.78,35.63,34.47,35.59,35.26,1354800
2010-06-16,35.39,35.62,35.19,35.37,35.04,986100
2010-06-17,35.35,35.61,34.66,35.07,34.75,1122700
2010-06-18,34.99,35.37,34.75,35.33,35.01,2228800
2010-06-21,35.75,35.94,35.0,35.14,34.82,1306400
2010-06-22,35.05,35.58,34.52,34.63,34.31,1433200
2010-06-23,34.61,35.15,33.91,35.07,34.75,1399700
2010-06-24,34.83,34.95,34.31,34.42,34.1,1457800
2010-06-25,34.55,35.1,34.25,34.76,34.44,969000
2010-06-28,34.9,35.32,34.82,35.19,34.87,1251400
2010-06-29,34.69,34.7,33.85,34.06,33.75,1327300
2010-06-30,34.16,34.48,33.88,34.01,33.7,1067600
2010-07-01,33.94,34.21,33.12,33.45,33.14,1834800
2010-07-02,33.51,33.71,33.06,33.23,32.92,581400
2010-07-06,33.71,34.4,33.23,33.5,33.19,1936300
2010-07-07,33.81,35.13,33.44,35.12,34.8,1800900
2010-07-08,35.35,35.78,35.11,35.67,35.34,1523700
2010-07-09,35.72,35.93,35.12,35.35,35.02,982600
2010-07-12,35.18,35.47,34.37,34.43,34.11,1015800
2010-07-13,34.73,35.13,34.72,34.86,34.54,901800
2010-07-14,34.75,35.09,34.45,35.07,34.75,1312800
2010-07-15,35.15,35.22,34.62,34.91,34.59,1267200
2010-07-16,34.7,34.72,33.93,34.01,33.7,1323300
2010-07-19,34.24,34.37,33.81,34.3,33.98,695700
2010-07-20,34.42,35.97,34.42,35.9,35.57,3813800
2010-07-21,36.08,36.25,35.17,35.48,35.15,1193500
2010-07-22,35.75,36.0,35.2,35.81,35.48,1353600
2010-07-23,35.53,36.45,35.18,36.42,36.09,1052100
2010-07-26,36.44,36.45,35.77,36.04,35.71,857500
2010-07-27,36.2,36.4,35.27,35.5,35.17,1362100
2010-07-28,35.38,35.87,35.21,35.53,35.2,703100
2010-07-29,35.77,35.88,34.58,35.34,35.02,1136800
2010-07-30,34.91,36.28,34.73,36.18,35.85,1171600
2010-08-02,36.49,37.23,36.21,37.15,36.81,1772000
2010-08-03,36.28,37.11,35.91,36.03,35.7,2004300
2010-08-04,36.3,36.83,36.27,36.68,36.34,1399600
2010-08-05,36.51,36.68,36.09,36.6,36.26,1353200
2010-08-06,36.35,36.91,35.6,35.99,35.66,1028100
2010-08-09,36.22,36.45,35.89,36.3,35.97,604200
2010-08-10,35.86,36.58,35.7,36.4,36.07,824400
2010-08-11,35.69,35.94,35.25,35.51,35.18,1293000
2010-08-12,35.01,36.03,34.94,35.82,35.49,998200
2010-08-13,35.81,36.34,35.7,36.0,35.67,768300
2010-08-16,35.73,36.3,35.73,36.19,35.86,644900
2010-08-17,36.48,37.22,36.4,36.95,36.61,1399000
2010-08-18,37.09,37.32,36.68,36.99,36.65,1208400
2010-08-19,36.74,36.89,36.32,36.55,36.21,597100
2010-08-20,36.47,36.73,36.06,36.73,36.39,660100
2010-08-23,36.84,37.17,35.92,36.78,36.44,736400
2010-08-24,36.28,36.65,36.14,36.26,35.93,1379000
2010-08-25,35.91,36.88,35.91,36.74,36.4,1409100
2010-08-26,36.74,37.08,36.39,36.54,36.2,1083600
2010-08-27,36.82,36.99,36.15,36.6,36.26,1240500
2010-08-30,36.4,36.75,35.69,35.69,35.36,928800
2010-08-31,35.49,36.29,35.45,35.8,35.47,1120800
2010-09-01,36.32,36.46,35.91,36.0,35.67,1496800
2010-09-02,36.03,36.31,35.95,36.21,35.88,1188700
2010-09-03,36.5,36.93,36.2,36.89,36.55,1126600
2010-09-07,36.88,37.35,36.58,37.28,36.94,874400
2010-09-08,37.2,38.25,37.07,37.75,37.4,1678400
2010-09-09,38.23,38.23,37.25,37.57,37.22,1022100
2010-09-10,37.74,38.25,37.64,38.14,37.79,1519700
