Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,11.67,11.74,11.53,11.53,9.64,7526400
2010-01-04,11.66,11.66,11.45,11.52,9.63,16370000
2010-01-05,11.48,12.0,11.44,11.8,9.86,30058800
2010-01-06,11.74,11.81,11.63,11.71,9.79,14209600
2010-01-07,11.64,11.77,11.6,11.68,9.76,10256000
2010-01-08,11.6,11.8,11.6,11.64,9.73,10274800
2010-01-11,11.69,11.69,11.44,11.6,9.7,11387000
2010-01-12,11.45,11.6,11.25,11.41,9.54,15429600
2010-01-13,11.45,11.75,11.39,11.69,9.77,15098400
2010-01-14,11.62,11.8,11.6,11.77,9.84,15517400
2010-01-15,11.86,11.88,11.45,11.64,9.72,21862600
2010-01-19,11.7,11.9,11.58,11.79,9.85,18908200
2010-01-20,11.87,11.9,11.43,11.65,9.73,33950400
2010-01-21,12.06,12.23,11.66,11.84,9.9,53670800
2010-01-22,11.81,11.91,11.43,11.45,9.57,24557600
2010-01-25,11.5,11.53,11.14,11.2,9.36,24673800
2010-01-26,11.1,11.37,11.09,11.27,9.42,22492600
2010-01-27,11.27,11.28,11.06,11.2,9.37,21200200
2010-01-28,11.25,11.31,10.93,11.04,9.23,28730400
2010-01-29,11.06,11.27,10.88,10.9,9.11,18741800
2010-02-01,10.99,11.14,10.89,11.11,9.29,13498800
2010-02-02,11.07,11.24,10.95,11.23,9.38,15336200
2010-02-03,11.19,11.24,11.05,11.22,9.37,14938600
2010-02-04,11.13,11.19,10.9,10.9,9.11,19542400
2010-02-05,10.9,11.02,10.63,10.85,9.07,22069800
2010-02-08,10.83,11.07,10.7,10.95,9.16,15988600
2010-02-09,11.07,11.15,10.83,11.1,9.27,20816200
2010-02-10,11.02,11.27,11.02,11.19,9.35,20032800
2010-02-11,11.13,11.34,10.97,11.28,9.43,18518200
2010-02-12,11.03,11.34,11.03,11.3,9.44,15750800
2010-02-16,11.35,11.44,11.23,11.44,9.56,16820000
2010-02-17,11.53,11.65,11.48,11.57,9.67,12950400
2010-02-18,11.6,11.66,11.51,11.63,9.72,9300600
2010-02-19,11.59,11.73,11.59,11.68,9.76,9731800
2010-02-22,11.66,11.68,11.41,11.45,9.57,16983800
2010-02-23,11.38,11.45,11.23,11.34,9.48,16508400
2010-02-24,11.38,11.54,11.35,11.54,9.65,12921000
2010-02-25,11.32,11.49,11.22,11.45,9.57,18623800
2010-02-26,11.46,11.49,11.34,11.45,9.57,12100000
