Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,62.58,62.7,61.73,61.75,46.57,601300
2010-01-04,62.2,62.29,61.42,62.18,46.89,773700
2010-01-05,62.22,62.34,61.58,61.89,46.67,677800
2010-01-06,61.88,62.38,61.81,62.11,46.84,1060200
2010-01-07,62.44,62.44,61.52,61.94,46.71,981500
2010-01-08,61.89,62.14,61.18,62.08,46.82,635900
2010-01-11,62.39,62.49,61.71,61.94,46.71,449700
2010-01-12,61.91,62.67,61.81,62.65,47.25,770600
2010-01-13,62.65,63.0,62.41,62.63,47.23,478300
2010-01-14,62.46,62.67,62.1,62.11,46.84,653100
2010-01-15,62.01,62.58,61.59,61.9,46.68,693900
2010-01-19,61.79,62.5,61.79,62.44,47.09,464700
2010-01-20,62.15,62.15,61.14,61.62,46.47,549100
2010-01-21,61.54,62.12,60.28,60.57,45.68,1038500
2010-01-22,60.37,60.52,59.72,59.97,45.22,858600
2010-01-25,60.33,60.53,59.7,60.37,45.53,467200
2010-01-26,60.26,60.81,59.64,60.71,45.78,786300
2010-01-27,60.59,61.22,60.59,61.14,46.11,643600
2010-01-28,61.14,61.27,60.66,60.99,45.99,577200
2010-01-29,61.11,61.11,59.94,60.07,45.3,802100
2010-02-01,60.18,61.17,60.11,61.12,46.09,657500
2010-02-02,61.21,62.4,61.21,62.35,47.02,781800
2010-02-03,62.34,62.34,61.44,61.87,46.66,499400
2010-02-04,61.6,61.66,60.27,60.3,45.47,652500
2010-02-05,60.04,60.23,59.04,59.51,44.88,1000100
2010-02-08,59.55,59.98,59.18,59.38,44.78,378200
2010-02-09,59.92,60.76,59.75,60.04,45.28,638400
2010-02-10,59.94,59.95,59.45,59.71,45.29,359300
2010-02-11,59.59,59.87,58.94,59.7,45.28,620800
2010-02-12,59.33,59.72,58.7,59.02,44.77,939200
2010-02-16,59.14,60.0,59.02,59.85,45.4,655200
2010-02-17,59.79,60.59,59.69,60.34,45.77,695400
2010-02-18,60.33,61.05,60.32,60.9,46.19,447100
2010-02-19,60.74,61.2,60.46,60.55,45.93,821800
2010-02-22,60.75,60.96,60.27,60.39,45.81,802100
2010-02-23,60.35,60.56,59.71,60.11,45.6,1380600
2010-02-24,60.15,60.15,57.72,58.67,44.5,3051200
2010-02-25,58.12,59.41,57.75,59.39,45.05,1258100
2010-02-26,59.52,59.92,59.03,59.68,45.27,1118700
2010-03-01,59.92,59.93,59.32,59.51,45.14,780900
2010-03-02,59.55,59.95,59.44,59.85,45.4,819000
2010-03-03,59.85,59.95,59.4,59.56,45.18,702700
2010-03-04,59.6,59.85,59.38,59.7,45.28,739900
2010-03-05,59.87,59.95,59.42,59.66,45.25,602800
2010-03-08,59.48,59.56,58.91,59.17,44.88,932300
2010-03-09,59.17,59.53,59.03,59.2,44.91,939900
2010-03-10,59.28,59.28,58.87,59.19,44.9,665500
2010-03-11,59.01,59.18,58.51,58.95,44.72,864900
2010-03-12,58.92,59.33,58.88,59.18,44.89,658600
2010-03-15,59.16,59.51,59.13,59.38,45.04,689400
2010-03-16,59.43,59.93,59.22,59.8,45.36,935900
2010-03-17,59.6,60.34,59.53,60.23,45.69,586400
2010-03-18,60.17,60.23,59.85,60.0,45.51,676100
2010-03-19,59.79,60.41,59.51,59.79,45.35,1236000
2010-03-22,59.75,60.67,59.47,60.51,45.9,875000
2010-03-23,60.52,61.08,60.34,61.01,46.28,529100
2010-03-24,61.01,61.25,60.81,61.0,46.27,720000
2010-03-25,61.2,61.21,60.51,60.6,45.97,547800
2010-03-26,60.66,60.66,59.13,59.87,45.41,718100
2010-03-29,59.94,60.09,59.76,60.06,45.56,616100
2010-03-30,60.01,60.48,59.81,60.35,45.78,598700
2010-03-31,60.34,60.46,60.01,60.26,45.71,574300
2010-04-01,60.5,60.76,59.99,60.33,45.76,522300
2010-04-05,60.5,60.5,60.18,60.39,45.81,562700
2010-04-06,60.14,60.7,60.11,60.7,46.04,552700
2010-04-07,60.8,60.89,60.37,60.78,46.1,794100
2010-04-08,60.55,61.15,60.53,61.04,46.3,596100
2010-04-09,61.06,61.93,61.06,61.84,46.91,690200
2010-04-12,62.1,62.35,61.91,62.25,47.22,808600
2010-04-13,62.09,62.55,61.8,62.48,47.39,628200
2010-04-14,62.49,62.6,62.01,62.4,47.33,521100
2010-04-15,62.25,62.45,61.83,62.25,47.22,973300
2010-04-16,61.9,62.4,61.9,62.04,47.06,818600
2010-04-19,61.81,62.47,61.77,62.43,47.36,530600
2010-04-20,62.86,63.4,62.59,63.26,47.99,1064100
2010-04-21,63.39,63.5,62.94,63.05,47.83,908300
2010-04-22,62.63,63.13,62.58,63.01,47.8,553000
2010-04-23,62.94,63.3,62.6,63.24,47.97,741400
2010-04-26,63.17,63.2,62.41,62.62,47.5,532900
2010-04-27,62.41,62.64,61.27,61.38,46.56,533200
2010-04-28,61.43,62.07,60.93,61.7,46.8,581000
2010-04-29,61.89,62.29,61.31,61.71,46.81,820000
2010-04-30,61.58,61.94,61.04,61.07,46.32,754800
2010-05-03,61.13,61.42,60.33,61.06,46.32,710300
2010-05-04,60.35,61.01,60.32,60.59,45.96,658000
2010-05-05,60.19,60.74,60.07,60.62,45.98,530200
2010-05-06,60.68,60.73,57.0,58.89,44.67,1215700
2010-05-07,58.96,59.06,57.89,58.43,44.32,1264300
2010-05-10,59.79,60.02,58.31,58.92,44.69,1578300
2010-05-11,58.5,59.4,58.13,58.68,44.51,1356100
2010-05-12,58.73,58.73,57.37,58.07,44.35,1698000
2010-05-13,57.91,58.67,57.86,58.21,44.46,1043800
2010-05-14,58.1,58.36,57.63,57.79,44.14,1011400
2010-05-17,57.94,58.29,57.64,58.24,44.48,920400
2010-05-18,58.64,58.69,58.05,58.13,44.4,919500
2010-05-19,57.94,58.2,57.54,57.93,44.24,1699700
2010-05-20,57.32,57.32,56.3,56.31,43.01,1025300
