Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,51.73,52.34,50.24,50.24,38.06,658400
2010-01-04,50.68,51.25,48.58,48.93,37.07,2415600
2010-01-05,48.71,48.81,47.24,48.02,36.38,2564200
2010-01-06,48.19,48.79,47.37,47.7,36.14,1994000
2010-01-07,47.86,48.96,46.69,48.91,37.06,2150800
2010-01-08,48.43,48.86,47.27,48.56,36.79,2210500
2010-01-11,49.89,50.49,49.12,49.43,37.45,1259200
2010-01-12,48.7,50.82,48.7,49.62,37.59,3027000
2010-01-13,49.67,51.0,49.02,50.81,38.5,1399300
2010-01-14,50.52,51.66,50.0,50.59,38.33,1443400
2010-01-15,50.4,50.91,50.0,50.05,37.92,1113000
2010-01-19,50.06,52.21,50.04,51.72,39.18,1618500
2010-01-20,51.08,51.27,50.16,50.98,38.62,1127200
2010-01-21,51.26,51.62,47.67,47.71,36.15,1875000
2010-01-22,46.98,48.12,45.05,46.0,34.85,2932100
2010-01-25,46.56,46.56,44.12,45.92,34.79,2892600
2010-01-26,45.43,46.56,44.47,45.72,34.64,2637000
2010-01-27,45.61,46.32,44.43,45.93,34.8,2400300
2010-01-28,45.97,46.1,45.32,45.64,34.58,1939500
2010-01-29,46.03,46.36,44.81,45.49,34.46,1935500
2010-02-01,46.69,47.66,46.13,47.55,36.03,1806900
2010-02-02,47.78,48.03,47.13,47.99,36.36,1521700
2010-02-03,47.64,47.86,46.77,47.76,36.18,1517100
2010-02-04,47.18,47.18,44.94,45.1,34.17,2290200
2010-02-05,45.17,46.49,43.81,45.54,34.5,2295700
2010-02-08,45.84,46.41,44.06,44.18,33.47,1488900
2010-02-09,45.08,45.08,43.33,44.26,33.53,1827500
2010-02-10,44.16,45.3,43.49,44.75,33.9,1273000
2010-02-11,44.48,45.5,44.23,45.33,34.34,1076600
2010-02-12,44.57,46.07,44.25,45.96,34.82,1128200
2010-02-16,46.69,48.02,46.29,47.94,36.32,1485000
2010-02-17,48.14,48.58,47.45,47.9,36.29,1152300
2010-02-18,47.52,48.55,47.24,48.11,36.45,1270500
2010-02-19,47.64,48.37,47.5,48.12,36.46,1514100
2010-02-22,48.35,50.0,48.17,49.57,37.56,1452600
2010-02-23,49.39,49.57,48.59,48.79,36.96,1531700
2010-02-24,48.93,49.98,48.47,49.96,37.85,1280800
2010-02-25,49.02,50.58,48.87,50.49,38.25,694000
2010-02-26,50.54,51.5,50.07,51.06,38.68,1014700
2010-03-01,51.5,51.75,51.03,51.5,39.02,961600
2010-03-02,51.69,52.66,51.63,52.41,39.71,907100
2010-03-03,52.47,52.92,51.88,52.07,39.45,519000
2010-03-04,52.35,53.0,52.16,52.83,40.03,694600
2010-03-05,53.16,55.74,52.97,55.4,41.97,1435300
2010-03-08,55.36,57.87,55.36,57.45,43.53,1758900
2010-03-09,56.99,58.58,56.7,57.0,43.18,1386700
2010-03-10,57.21,58.16,56.45,57.11,43.27,1221900
2010-03-11,56.03,57.59,55.82,57.37,43.47,1471000
2010-03-12,57.6,57.64,55.9,56.41,42.74,1296300
2010-03-15,56.34,56.5,54.8,55.67,42.18,1033200
2010-03-16,55.67,57.4,55.67,57.08,43.25,1206900
2010-03-17,57.47,58.25,57.24,57.6,43.64,1084600
2010-03-18,57.66,58.07,56.7,56.74,42.99,782500
2010-03-19,55.18,56.96,55.12,55.18,41.81,1344600
2010-03-22,54.83,55.9,54.33,55.51,42.06,1305000
2010-03-23,55.53,55.78,54.71,54.9,41.59,1190800
2010-03-24,54.48,55.24,54.35,54.78,41.5,1820000
2010-03-25,55.24,57.09,55.21,55.93,42.37,1107000
2010-03-26,56.05,56.33,54.13,54.55,41.33,1707400
2010-03-29,54.78,56.49,54.42,56.12,42.6,1182500
2010-03-30,56.22,57.44,56.02,57.06,43.31,1225000
2010-03-31,56.71,59.16,56.6,57.27,43.47,2381200
2010-04-01,57.78,58.68,57.15,57.8,43.87,1080300
2010-04-05,58.05,60.75,57.99,60.39,45.84,1131600
2010-04-06,60.26,64.48,60.23,63.49,48.19,3048400
2010-04-07,63.09,63.56,59.39,59.85,45.43,2096600
2010-04-08,59.47,60.71,59.16,60.5,45.92,1007100
2010-04-09,60.92,62.0,60.48,61.8,46.91,1114600
2010-04-12,61.75,61.78,60.38,60.53,45.94,903800
2010-04-13,60.47,62.63,60.47,62.05,47.1,1105700
2010-04-14,62.62,62.96,61.5,61.66,46.8,1085100
2010-04-15,61.29,62.19,59.79,59.82,45.4,1372700
2010-04-16,59.66,61.0,58.32,58.36,44.3,1344200
2010-04-19,58.03,59.76,57.88,59.39,45.08,855900
2010-04-20,60.02,60.91,58.97,60.86,46.19,862100
2010-04-21,61.21,62.57,60.66,62.28,47.27,847400
