Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,42.95,42.96,42.26,42.26,33.66,259600
2010-01-04,42.74,43.06,42.51,42.86,34.14,268000
2010-01-05,42.63,43.01,42.44,42.84,34.12,392700
2010-01-06,42.84,43.17,42.62,43.08,34.32,658400
2010-01-07,42.86,43.8,42.86,43.8,34.89,405200
2010-01-08,43.58,44.78,43.49,44.71,35.61,384600
2010-01-11,44.84,44.96,44.54,44.9,35.77,521100
2010-01-12,44.46,44.61,43.73,43.96,35.02,462300
2010-01-13,44.0,44.3,43.78,44.24,35.24,244800
2010-01-14,44.06,44.41,43.93,44.1,35.13,267000
2010-01-15,43.94,44.21,43.17,43.4,34.57,407800
2010-01-19,43.34,44.01,43.34,44.01,35.06,310300
2010-01-20,43.48,43.78,42.98,43.49,34.64,277600
2010-01-21,43.39,43.75,42.92,43.39,34.56,686700
2010-01-22,43.42,43.77,43.06,43.21,34.42,558100
2010-01-25,43.61,43.69,42.8,43.07,34.31,409800
2010-01-26,43.06,43.26,42.66,42.67,33.99,404400
2010-01-27,42.44,42.64,41.36,42.2,33.61,432500
2010-01-28,42.14,42.2,40.9,41.26,32.87,340600
2010-01-29,41.34,41.82,40.78,40.88,32.56,335200
2010-02-01,41.11,41.7,41.07,41.69,33.21,209400
2010-02-02,41.65,43.11,41.65,42.99,34.24,413500
2010-02-03,42.94,43.48,42.59,42.93,34.2,497200
2010-02-04,42.73,43.06,40.21,40.4,32.18,1638000
2010-02-05,40.47,40.59,39.31,40.31,32.11,1197400
2010-02-08,40.23,40.62,39.79,40.12,31.96,540900
2010-02-09,40.47,41.16,40.34,41.01,32.67,475100
2010-02-10,41.1,41.62,40.92,41.01,32.67,372800
2010-02-11,41.01,41.45,40.52,41.43,33.0,450400
2010-02-12,41.04,41.65,40.88,41.61,33.14,302900
2010-02-16,42.13,42.34,41.75,42.25,33.65,279800
2010-02-17,42.25,42.62,41.86,42.47,33.83,215900
2010-02-18,42.31,42.58,42.23,42.57,33.91,388700
2010-02-19,42.54,43.03,42.38,42.9,34.17,325900
2010-02-22,43.12,43.12,42.54,42.87,34.15,191800
2010-02-23,42.57,42.81,41.78,42.16,33.82,266300
2010-02-24,42.4,42.56,41.8,42.27,33.91,484500
2010-02-25,41.64,42.21,41.2,42.12,33.79,264900
2010-02-26,42.12,42.29,41.82,42.22,33.87,357500
2010-03-01,42.5,42.98,42.16,42.81,34.34,315800
2010-03-02,43.18,43.48,42.94,43.02,34.51,244900
2010-03-03,43.33,43.54,42.82,42.96,34.46,233500
2010-03-04,43.15,43.29,42.75,43.07,34.55,149500
2010-03-05,43.46,43.67,43.21,43.45,34.85,251600
2010-03-08,43.59,43.59,42.94,43.17,34.63,253900
2010-03-09,43.06,43.39,42.98,43.18,34.64,255400
2010-03-10,43.18,43.82,43.03,43.65,35.01,328500
2010-03-11,43.59,43.59,43.19,43.52,34.91,312600
2010-03-12,43.7,43.7,43.08,43.31,34.74,346900
2010-03-15,43.17,43.32,42.86,43.17,34.63,190700
2010-03-16,43.24,43.38,42.93,43.31,34.74,359800
2010-03-17,43.35,43.69,43.13,43.53,34.92,414100
2010-03-18,43.42,43.88,43.42,43.74,35.09,433100
2010-03-19,42.88,44.02,42.78,42.88,34.4,492300
2010-03-22,42.58,43.12,42.56,43.03,34.52,338100
2010-03-23,43.02,43.51,42.84,43.38,34.8,391400
2010-03-24,43.23,43.24,42.7,42.93,34.44,259600
2010-03-25,43.13,43.26,42.56,42.61,34.18,208700
2010-03-26,42.77,43.05,42.61,42.8,34.33,312300
2010-03-29,42.99,43.35,42.76,43.06,34.54,259300
2010-03-30,43.03,43.74,43.03,43.59,34.97,290800
2010-03-31,43.54,43.75,43.14,43.34,34.77,268200
2010-04-01,43.66,43.88,43.3,43.67,35.03,145000
2010-04-05,43.81,44.54,43.63,44.42,35.63,210600
2010-04-06,44.31,44.57,44.19,44.47,35.67,197300
2010-04-07,44.36,44.6,44.18,44.56,35.74,396100
2010-04-08,44.35,44.64,43.93,44.58,35.76,185300
2010-04-09,44.61,44.91,44.38,44.9,36.02,247100
2010-04-12,44.95,45.23,44.81,45.16,36.23,280200
2010-04-13,45.2,45.38,44.78,45.3,36.34,206000
2010-04-14,45.49,45.59,45.13,45.57,36.55,181100
2010-04-15,45.38,45.66,45.11,45.43,36.44,178800
2010-04-16,45.31,45.81,44.59,44.94,36.05,326600
2010-04-19,44.73,44.9,44.34,44.8,35.94,364500
2010-04-20,47.87,49.0,46.51,48.59,38.98,1184900
2010-04-21,48.72,48.93,48.32,48.42,38.84,492400
2010-04-22,48.02,49.37,47.61,49.36,39.6,373900
2010-04-23,49.42,49.61,48.49,49.22,39.48,466200
2010-04-26,49.4,49.98,48.83,48.87,39.2,377400
2010-04-27,48.56,48.87,47.79,47.94,38.46,487100
2010-04-28,48.25,48.83,48.05,48.46,38.87,369300
2010-04-29,48.81,49.59,48.63,49.54,39.74,343400
2010-04-30,49.52,49.93,48.11,48.18,38.65,415700
2010-05-03,48.34,48.87,48.2,48.76,39.11,322900
2010-05-04,48.08,48.08,47.06,47.24,37.89,516400
2010-05-05,46.76,47.21,46.17,46.31,37.15,694000
2010-05-06,46.17,46.86,42.2,44.6,35.78,1041200
2010-05-07,44.32,44.81,43.15,43.5,34.89,634300
2010-05-10,45.54,46.51,45.24,46.51,37.31,429200
2010-05-11,46.04,47.14,45.73,46.54,37.33,382000
2010-05-12,46.63,47.69,46.55,47.57,38.16,269700
2010-05-13,47.54,47.71,46.52,46.71,37.47,285100
2010-05-14,46.41,46.41,45.39,45.72,36.68,347800
2010-05-17,45.71,46.13,44.79,45.92,36.84,369100
2010-05-18,46.1,46.41,44.73,44.93,36.28,394500
2010-05-19,44.34,44.89,43.71,44.23,35.71,527300
2010-05-20,43.09,43.29,42.12,42.19,34.07,596600
2010-05-21,41.51,43.12,40.74,43.02,34.74,624100
2010-05-24,42.88,43.55,42.54,42.79,34.55,430200
