Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,56.6,57.18,55.98,55.98,40.03,938600
2010-01-04,56.4,56.61,55.8,55.9,39.98,2081200
2010-01-05,55.82,55.84,54.37,54.71,39.13,3408600
2010-01-06,54.59,54.85,53.91,53.96,38.59,2956500
2010-01-07,53.79,54.22,52.91,53.84,38.5,2221300
2010-01-08,53.71,53.97,53.06,53.81,38.48,1364500
2010-01-11,54.03,54.8,53.95,54.59,39.04,1225900
2010-01-12,54.43,54.91,53.93,54.4,38.9,1238200
2010-01-13,53.62,53.91,52.86,53.87,38.52,2641400
2010-01-14,53.77,54.02,53.51,53.6,38.33,1411500
2010-01-15,53.58,53.6,51.93,52.42,37.49,3162300
2010-01-19,52.5,52.99,52.31,52.53,37.57,3581300
2010-01-20,52.2,52.27,51.68,51.88,37.1,2452300
2010-01-21,51.78,52.6,51.52,52.2,37.33,3036000
2010-01-22,52.21,52.6,51.5,51.55,36.87,3159200
2010-01-25,51.85,52.21,51.56,51.59,36.89,1602200
2010-01-26,51.44,51.71,50.68,51.45,36.79,1750500
2010-01-27,51.25,51.36,50.42,51.08,36.53,1665300
2010-01-28,51.14,51.31,50.2,50.8,36.33,1582900
2010-01-29,50.88,51.13,50.34,50.75,36.29,2364300
2010-02-01,50.93,51.3,50.38,51.22,36.63,1964100
2010-02-02,51.34,51.56,50.76,51.49,36.82,1524100
2010-02-03,51.34,51.34,50.71,50.83,36.35,757100
2010-02-04,50.59,50.64,49.56,49.57,35.45,1898100
2010-02-05,49.67,49.78,48.73,49.68,35.53,3613500
2010-02-08,49.57,49.7,49.01,49.01,35.05,1136800
2010-02-09,49.5,50.18,49.23,49.59,35.46,1166300
2010-02-10,49.61,49.61,48.72,49.26,35.23,1091100
2010-02-11,49.12,49.88,48.56,49.77,35.59,1354900
2010-02-12,49.49,49.59,48.98,49.48,35.39,2110800
2010-02-16,49.89,50.7,48.94,49.0,35.04,4835000
2010-02-17,49.1,49.1,47.94,48.19,34.46,4002700
2010-02-18,48.06,48.29,47.55,48.13,34.42,2694500
2010-02-19,48.19,49.35,47.96,48.95,35.01,2888700
2010-02-22,49.17,49.28,48.59,48.63,34.78,2569800
2010-02-23,48.6,48.99,48.21,48.24,34.5,2183300
2010-02-24,48.39,49.08,48.12,48.53,34.71,2501800
2010-02-25,47.9,50.94,47.55,50.32,35.99,4572800
2010-02-26,50.27,50.27,49.15,49.17,35.16,3376200
2010-03-01,49.2,49.58,49.12,49.3,35.26,2559500
2010-03-02,49.36,49.5,48.62,48.79,34.89,3512500
2010-03-03,48.78,49.06,48.62,48.94,35.0,2218600
2010-03-04,48.68,49.07,48.38,48.81,34.91,1962300
2010-03-05,49.01,49.83,48.86,49.73,35.56,2281300
2010-03-08,51.36,51.74,50.91,51.0,36.47,3446700
2010-03-09,50.98,50.98,50.48,50.65,36.22,3347400
