Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,28.41,28.68,27.96,27.97,23.58,292200
2010-01-04,27.97,28.48,27.88,28.29,23.85,435300
2010-01-05,28.27,28.28,27.97,28.26,23.83,631500
2010-01-06,28.4,28.48,28.1,28.23,23.8,570000
2010-01-07,28.2,28.2,27.64,27.82,23.46,538300
2010-01-08,27.9,27.99,27.55,27.68,23.34,325200
2010-01-11,27.69,27.86,27.49,27.66,23.32,393100
2010-01-12,27.4,27.59,27.25,27.35,23.06,506100
2010-01-13,27.34,27.86,27.34,27.78,23.42,346100
2010-01-14,27.71,27.83,27.5,27.6,23.27,294700
2010-01-15,27.6,27.72,27.35,27.62,23.29,520500
2010-01-19,27.62,28.09,27.58,27.66,23.32,524600
2010-01-20,27.47,27.79,27.26,27.41,23.11,915000
2010-01-21,27.5,27.63,26.59,27.06,22.81,1271100
2010-01-22,26.97,27.17,26.71,26.82,22.61,531300
2010-01-25,27.0,27.21,26.63,26.96,22.73,342500
2010-01-26,26.82,26.89,26.55,26.75,22.55,516700
2010-01-27,26.75,26.75,26.1,26.44,22.29,946000
2010-01-28,26.52,26.55,25.65,26.12,22.02,771400
2010-01-29,26.17,26.67,26.01,26.08,21.99,692300
2010-02-01,26.11,26.21,25.73,26.08,21.99,1284700
2010-02-02,27.29,29.95,26.29,29.53,24.9,3792000
2010-02-03,29.38,30.25,28.89,29.98,25.28,1556100
2010-02-04,29.89,30.47,29.72,29.73,25.07,1214300
2010-02-05,29.86,30.03,29.23,29.69,25.03,559700
2010-02-08,29.6,30.4,29.49,30.26,25.51,586300
2010-02-09,30.45,30.48,29.82,30.29,25.54,587400
2010-02-10,30.14,30.4,29.59,30.22,25.48,400700
2010-02-11,30.18,30.42,29.92,30.36,25.6,316400
2010-02-12,29.97,30.61,29.91,30.59,25.79,459100
2010-02-16,30.79,30.92,30.28,30.84,26.0,340000
2010-02-17,30.95,30.95,30.62,30.83,25.99,516400
2010-02-18,30.75,31.41,30.68,31.41,26.48,551200
2010-02-19,31.36,31.82,31.12,31.61,26.74,669900
2010-02-22,31.71,31.71,31.18,31.24,26.43,344800
2010-02-23,31.1,31.3,31.0,31.05,26.27,523500
2010-02-24,31.9,31.9,31.18,31.63,26.76,419800
2010-02-25,31.36,31.64,30.88,31.4,26.57,222600
2010-02-26,31.35,31.75,31.35,31.61,26.74,325800
2010-03-01,31.53,32.36,31.53,32.17,27.22,312100
2010-03-02,32.14,32.81,32.14,32.45,27.46,584700
2010-03-03,32.12,32.44,31.78,31.88,26.97,595500
2010-03-04,31.99,31.99,31.5,31.6,26.74,220200
2010-03-05,31.75,32.25,31.49,32.22,27.26,378400
2010-03-08,32.13,32.31,31.66,31.82,26.92,208200
2010-03-09,31.68,32.17,31.6,32.0,27.07,282500
2010-03-10,31.9,32.34,31.82,32.34,27.36,295700
2010-03-11,32.26,32.4,31.78,32.37,27.39,301600
2010-03-12,32.53,32.53,31.84,32.34,27.36,245500
2010-03-15,32.3,32.49,32.17,32.4,27.41,210900
2010-03-16,32.5,33.01,32.32,32.99,27.91,482700
2010-03-17,33.09,33.09,32.8,32.86,27.8,747200
2010-03-18,32.89,33.46,32.8,33.32,28.19,333200
2010-03-19,33.54,33.85,33.0,33.54,28.38,744900
2010-03-22,33.35,34.06,33.08,33.8,28.6,696700
2010-03-23,33.82,34.13,33.42,34.05,28.81,320000
2010-03-24,33.88,34.0,33.56,33.58,28.41,244000
2010-03-25,33.8,34.58,33.56,34.23,28.96,482700
2010-03-26,34.28,34.46,33.77,34.02,28.78,311500
2010-03-29,34.03,34.44,33.9,34.18,28.92,238100
2010-03-30,34.15,34.63,33.93,34.16,28.9,219800
2010-03-31,34.0,34.22,33.64,33.66,28.48,327000
2010-04-01,33.77,34.29,33.68,34.12,28.87,257000
2010-04-05,34.25,34.55,33.65,34.29,29.01,255400
2010-04-06,34.09,34.25,33.94,33.96,28.73,251400
2010-04-07,36.05,38.16,35.38,35.78,30.27,3145000
2010-04-08,35.58,35.58,34.51,34.67,29.33,975000
2010-04-09,34.68,35.11,34.25,35.11,29.71,694300
2010-04-12,35.03,35.79,35.03,35.65,30.16,796000
2010-04-13,35.56,35.65,35.05,35.51,30.04,398900
2010-04-14,35.66,36.02,35.42,36.0,30.46,297200
2010-04-15,35.79,36.06,35.55,35.66,30.17,261600
2010-04-16,35.7,36.18,35.44,35.68,30.19,308100
2010-04-19,35.54,35.91,35.19,35.85,30.33,358600
2010-04-20,35.88,36.6,35.49,36.21,30.64,703200
2010-04-21,36.14,36.23,35.15,35.46,30.0,463000
2010-04-22,35.21,35.28,34.35,34.91,29.54,609100
2010-04-23,34.95,35.07,34.62,34.92,29.55,413200
2010-04-26,34.83,35.01,34.45,34.48,29.17,357100
2010-04-27,34.46,34.78,33.83,34.02,28.78,484500
2010-04-28,34.03,34.23,33.89,33.99,28.76,292200
2010-04-29,34.15,34.46,33.95,34.24,28.97,319900
2010-04-30,34.18,34.39,33.28,33.28,28.16,565000
2010-05-03,33.37,34.02,33.04,33.87,28.66,447500
2010-05-04,33.49,33.63,32.91,33.51,28.35,677100
2010-05-05,33.4,34.63,33.25,34.31,29.03,757900
2010-05-06,32.27,34.35,31.02,32.97,27.9,1112500
2010-05-07,32.62,32.91,31.6,32.06,27.13,1214900
2010-05-10,33.0,33.3,32.4,32.86,27.8,703200
2010-05-11,32.42,33.98,32.33,33.37,28.23,523800
2010-05-12,33.43,33.73,33.15,33.37,28.23,813000
2010-05-13,33.41,33.81,32.99,33.32,28.19,402700
2010-05-14,33.17,33.4,32.74,33.04,27.95,615800
2010-05-17,33.24,33.86,32.72,33.58,28.41,513700
2010-05-18,33.95,34.3,33.36,33.43,28.28,372400
2010-05-19,33.31,33.44,32.79,32.97,27.9,561400
2010-05-20,32.37,32.5,31.7,31.87,26.96,684200
2010-05-21,31.62,32.32,31.08,31.9,26.99,549000
2010-05-24,31.72,32.36,31.42,31.85,26.95,311200
2010-05-25,31.27,31.48,30.5,31.34,26.61,385700
2010-05-26,31.41,32.15,31.13,31.28,26.56,387300
2010-05-27,31.83,32.06,31.6,32.06,27.22,340900
2010-05-28,31.92,32.38,31.7,31.83,27.02,352900
2010-06-01,31.67,31.86,30.93,30.96,26.29,345000
2010-06-02,30.98,31.56,30.57,31.41,26.67,889700
2010-06-03,31.4,31.63,31.1,31.55,26.79,762900
2010-06-04,31.25,31.25,30.32,30.4,25.81,419100
2010-06-07,30.48,30.62,30.09,30.11,25.56,561500
2010-06-08,30.12,30.35,29.84,30.09,25.55,616400
2010-06-09,30.2,30.68,30.04,30.18,25.62,853400
2010-06-10,30.56,30.7,30.13,30.43,25.84,482800
2010-06-11,30.12,31.46,30.03,31.42,26.68,422800
2010-06-14,31.59,32.41,31.59,32.15,27.3,498500
2010-06-15,32.24,32.5,31.84,32.45,27.55,377600
2010-06-16,32.23,32.46,32.03,32.29,27.41,297600
2010-06-17,32.36,32.64,31.88,32.6,27.68,283100
2010-06-18,32.5,32.83,32.09,32.59,27.67,505700
2010-06-21,32.92,33.12,32.41,32.59,27.67,338200
2010-06-22,32.56,33.1,32.21,32.26,27.39,283800
2010-06-23,32.16,32.17,31.66,31.8,27.0,256300
2010-06-24,31.6,31.96,31.44,31.68,26.9,412200
2010-06-25,31.78,32.12,31.15,31.69,26.91,539600
2010-06-28,31.85,32.27,31.43,32.05,27.21,188600
2010-06-29,31.77,31.77,31.31,31.49,26.74,364300
2010-06-30,31.6,31.92,30.99,31.08,26.39,319300
2010-07-01,31.19,31.19,29.95,30.7,26.06,382900
2010-07-02,30.91,30.91,30.54,30.62,26.0,193200
2010-07-06,31.0,31.32,30.26,30.41,25.82,309300
2010-07-07,30.54,31.25,30.29,31.23,26.51,520300
2010-07-08,31.48,31.65,31.05,31.32,26.59,335300
2010-07-09,31.21,31.49,31.09,31.31,26.58,373600
2010-07-12,31.17,31.4,30.66,31.05,26.36,286400
2010-07-13,31.34,31.99,31.34,31.9,27.08,436200
2010-07-14,31.75,31.98,31.55,31.79,26.99,222200
2010-07-15,31.85,31.92,31.06,31.19,26.48,374100
2010-07-16,31.01,31.09,30.1,30.13,25.58,398300
2010-07-19,30.27,30.3,29.91,29.98,25.45,355300
2010-07-20,28.68,30.48,28.68,30.46,25.86,354800
2010-07-21,30.64,30.64,29.81,29.82,25.32,362300
2010-07-22,30.2,31.16,30.19,30.64,26.01,506100
2010-07-23,30.49,30.99,30.28,30.87,26.21,299600
2010-07-26,30.75,31.74,30.75,31.5,26.74,314000
2010-07-27,31.74,32.31,31.67,31.91,27.09,341100
2010-07-28,31.91,32.18,30.91,30.94,26.27,312800
2010-07-29,31.14,31.51,30.56,31.34,26.61,356400
2010-07-30,30.98,31.89,30.93,31.79,26.99,358100
2010-08-02,32.28,32.38,31.56,32.12,27.27,354600
2010-08-03,31.96,32.93,31.79,31.99,27.16,287800
2010-08-04,31.98,32.44,31.94,32.34,27.46,293800
2010-08-05,32.11,32.41,31.88,32.23,27.36,200600
2010-08-06,31.91,32.58,31.81,32.06,27.22,399100
2010-08-09,32.27,32.54,31.76,32.5,27.59,317900
2010-08-10,32.24,32.46,31.77,32.21,27.35,269000
2010-08-11,31.74,31.74,30.84,30.9,26.23,444400
2010-08-12,30.61,30.89,30.27,30.71,26.07,313900
2010-08-13,30.56,30.56,30.04,30.17,25.61,307600
2010-08-16,30.04,30.39,29.58,30.17,25.61,220400
2010-08-17,30.4,30.92,30.26,30.81,26.16,291100
2010-08-18,30.81,31.36,30.53,30.96,26.29,225500
2010-08-19,30.8,30.94,29.7,29.95,25.43,433300
2010-08-20,29.51,29.67,28.83,29.42,25.1,416800
2010-08-23,29.55,29.83,28.89,29.04,24.78,226800
2010-08-24,28.7,28.74,28.07,28.35,24.19,274100
2010-08-25,28.13,28.87,28.11,28.73,24.51,288500
2010-08-26,28.88,29.17,28.87,28.93,24.69,367900
2010-08-27,29.09,29.57,28.73,29.49,25.16,231900
2010-08-30,29.42,29.49,28.97,28.99,24.74,366300
2010-08-31,28.91,29.23,28.73,28.77,24.55,578400
2010-09-01,29.1,29.48,28.98,29.22,24.93,399800
2010-09-02,29.2,29.97,29.08,29.9,25.51,232000
2010-09-03,30.25,30.59,30.16,30.54,26.06,237600
2010-09-07,30.39,30.61,30.11,30.24,25.8,343300
2010-09-08,30.27,30.8,30.19,30.57,26.08,307600
2010-09-09,30.81,31.03,30.58,30.62,26.13,179200
2010-09-10,30.71,30.96,30.63,30.79,26.27,183300
2010-09-13,31.09,31.66,31.01,31.58,26.95,309200
2010-09-14,31.62,32.2,31.52,31.95,27.26,323800
2010-09-15,31.98,32.48,31.87,32.36,27.61,292100
2010-09-16,32.22,32.27,31.61,31.87,27.19,353900
2010-09-17,32.38,32.7,31.97,32.57,27.79,381200
2010-09-20,32.56,33.31,32.28,33.27,28.39,275700
2010-09-21,33.3,33.38,33.06,33.15,28.29,227200
2010-09-22,33.18,33.61,32.89,32.99,28.15,314200
2010-09-23,32.74,33.25,32.45,32.5,27.73,283500
2010-09-24,32.9,33.34,32.69,33.31,28.42,284700
2010-09-27,33.28,33.36,32.8,33.11,28.25,228600
2010-09-28,33.29,33.39,32.81,33.28,28.4,306400
2010-09-29,33.26,33.54,32.81,33.16,28.29,302300
2010-09-30,33.49,33.65,32.98,33.22,28.35,406700
2010-10-01,33.52,33.52,32.66,33.43,28.53,321500
2010-10-04,33.44,33.72,32.71,32.82,28.0,272700
2010-10-05,33.22,33.9,33.11,33.83,28.87,420900
2010-10-06,33.74,34.07,33.74,33.99,29.0,204800
2010-10-07,34.13,34.35,33.97,34.13,29.12,254800
2010-10-08,34.02,34.4,33.92,34.18,29.17,262800
2010-10-11,34.1,34.36,33.86,34.16,29.15,135300
2010-10-12,34.03,34.27,33.62,34.11,29.11,336000
2010-10-13,34.19,34.56,33.99,34.37,29.33,400100
2010-10-14,34.42,34.64,34.24,34.54,29.47,291400
2010-10-15,34.85,34.87,34.16,34.23,29.21,309600
2010-10-18,34.15,34.66,34.13,34.3,29.27,232000
2010-10-19,33.88,34.14,33.23,33.35,28.46,301100
2010-10-20,33.48,33.96,33.47,33.71,28.76,205200
2010-10-21,33.81,34.23,33.39,33.71,28.76,305900
2010-10-22,33.72,34.02,33.62,33.94,28.96,127900
2010-10-25,34.15,34.71,34.15,34.27,29.24,125700
2010-10-26,34.06,34.55,33.91,34.27,29.24,163600
2010-10-27,34.05,34.26,33.66,33.93,28.95,222300
2010-10-28,34.16,34.5,33.68,34.04,29.05,160400
2010-10-29,33.9,34.4,33.8,34.22,29.2,203400
