Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,43.88,44.15,43.5,43.54,35.23,1936100
2010-01-04,43.81,44.78,43.55,44.46,35.97,3440300
2010-01-05,44.52,45.0,44.02,44.55,36.04,3992500
2010-01-06,44.4,44.67,43.65,43.81,35.44,4062100
2010-01-07,44.35,44.86,43.98,44.6,36.08,5273100
2010-01-08,44.76,45.88,44.39,45.51,36.82,6038000
2010-01-11,45.89,46.1,44.21,44.36,35.89,4260000
2010-01-12,43.91,44.85,43.91,44.2,35.76,3432600
2010-01-13,44.5,44.77,43.65,44.61,36.09,2741000
2010-01-14,44.33,44.42,43.19,43.79,35.43,4268500
2010-01-15,43.52,44.1,42.52,42.67,34.52,6887100
2010-01-19,42.51,43.33,42.45,43.2,34.95,6995200
2010-01-20,43.89,46.82,43.88,46.28,37.44,12516300
2010-01-21,46.21,46.9,45.35,45.47,36.79,8060100
2010-01-22,45.4,45.85,43.05,43.36,35.08,6370300
2010-01-25,43.85,44.42,43.17,43.94,35.55,3559200
2010-01-26,43.89,44.34,42.48,43.08,34.85,5314700
2010-01-27,42.88,44.61,42.7,44.51,36.01,5125200
2010-01-28,44.76,44.76,43.14,43.83,35.46,4129400
2010-01-29,44.15,44.52,42.61,42.88,34.69,5285700
2010-02-01,43.27,44.22,43.09,44.16,35.73,4831700
2010-02-02,44.16,44.76,43.85,44.57,36.06,5885200
2010-02-03,44.4,44.61,44.1,44.4,35.92,4762400
2010-02-04,44.02,44.35,43.0,43.07,34.85,7108400
2010-02-05,43.29,43.63,42.02,43.35,35.07,8363900
2010-02-08,43.32,44.31,42.9,43.0,34.79,5983200
2010-02-09,43.5,44.36,43.32,44.22,35.78,8471100
2010-02-10,44.22,45.33,43.99,44.64,36.12,5670300
2010-02-11,44.65,45.3,44.13,45.05,36.45,4879600
2010-02-12,44.58,44.91,44.11,44.62,36.1,5845700
2010-02-16,44.81,45.57,44.46,45.47,36.79,5037100
2010-02-17,45.38,45.45,44.52,44.84,36.28,4456800
2010-02-18,44.54,45.32,44.48,45.23,36.59,5354600
2010-02-19,45.28,47.55,45.21,46.64,37.73,9715600
2010-02-22,46.74,47.15,46.39,46.78,37.85,5888600
2010-02-23,46.61,46.96,45.64,45.86,37.1,5167200
2010-02-24,44.6,45.8,44.45,45.38,36.72,8404500
