Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,18.43,18.59,18.19,18.19,11.11,6022500
2010-01-04,18.57,18.97,18.4,18.89,11.54,11116900
2010-01-05,18.86,19.04,18.43,18.52,11.31,14536200
2010-01-06,18.43,18.64,18.22,18.39,11.23,7171200
2010-01-07,18.4,18.41,17.94,18.04,11.02,8556300
2010-01-08,17.58,18.08,17.48,17.89,10.92,11329000
2010-01-11,18.26,18.65,18.22,18.35,11.21,11497500
2010-01-12,18.27,18.44,17.57,17.72,10.82,11522800
2010-01-13,17.95,18.3,17.59,18.19,11.11,8800200
2010-01-14,18.16,18.49,18.01,18.34,11.2,6398700
2010-01-15,18.31,18.6,17.53,17.77,10.85,13716200
2010-01-19,17.88,18.27,17.77,18.16,11.09,7802900
2010-01-20,18.15,18.18,17.46,17.76,10.85,16283900
2010-01-21,19.84,20.3,19.34,19.49,11.9,35144100
2010-01-22,19.37,19.62,18.27,18.4,11.24,20111600
2010-01-25,18.79,19.06,18.59,18.92,11.55,15582000
2010-01-26,18.89,19.62,18.76,19.31,11.79,16018200
2010-01-27,19.22,19.43,18.68,19.08,11.65,15416200
2010-01-28,19.19,19.28,18.14,18.36,11.21,14128500
2010-01-29,18.35,18.51,16.47,16.71,10.2,28653200
2010-02-01,17.23,17.98,17.06,17.9,10.93,18205800
2010-02-02,17.88,18.6,17.78,18.58,11.35,17569900
2010-02-03,18.37,18.87,18.26,18.84,11.5,16905200
2010-02-04,18.17,18.48,17.78,18.02,11.0,21505800
2010-02-05,18.1,18.19,17.47,18.02,11.0,23836800
2010-02-08,18.05,18.74,17.84,18.18,11.1,14937100
2010-02-09,18.56,18.74,18.22,18.33,11.19,12415000
2010-02-10,18.36,18.66,18.17,18.48,11.28,9770100
2010-02-11,18.49,18.83,18.19,18.76,11.46,8142000
2010-02-12,18.55,18.87,18.15,18.7,11.42,11482500
2010-02-16,18.8,19.84,18.8,19.73,12.05,19036400
2010-02-17,19.94,20.05,19.55,20.0,12.21,13328300
2010-02-18,19.88,20.81,19.72,20.73,12.66,17442500
2010-02-19,20.55,20.94,20.4,20.51,12.52,15071300
2010-02-22,20.53,20.87,20.38,20.73,12.66,10665100
2010-02-23,20.64,20.72,20.03,20.33,12.41,11630800
2010-02-24,20.38,20.73,19.4,19.5,11.91,27780900
2010-02-25,19.16,19.54,18.61,19.49,11.9,28118900
2010-02-26,19.67,20.0,19.4,19.91,12.16,9090300
2010-03-01,20.1,21.45,20.0,21.35,13.04,20620200
2010-03-02,21.5,21.58,20.91,21.01,12.83,13412000
2010-03-03,20.75,20.84,19.61,19.63,11.99,25207200
2010-03-04,19.81,19.82,19.14,19.73,12.05,15528100
2010-03-05,19.84,20.1,19.51,19.92,12.16,10340300
2010-03-08,20.19,20.24,19.64,19.89,12.15,9933400
2010-03-09,19.88,20.14,19.5,19.6,11.97,12782500
2010-03-10,19.72,19.9,19.0,19.17,11.71,25708800
2010-03-11,18.8,19.27,18.39,19.23,11.74,26402500
2010-03-12,19.35,19.35,18.85,19.27,11.77,14388000
2010-03-15,19.14,19.16,18.58,18.78,11.47,11815100
2010-03-16,18.98,19.25,18.67,19.13,11.68,11810000
2010-03-17,19.21,19.59,19.02,19.32,11.8,11421100
2010-03-18,19.41,19.52,19.2,19.32,11.8,6879500
2010-03-19,19.4,19.47,18.77,18.93,11.56,12289900
2010-03-22,18.79,19.94,18.67,19.71,12.04,15350900
2010-03-23,19.76,20.61,19.69,20.45,12.49,20338400
2010-03-24,20.25,20.3,20.0,20.03,12.23,10619300
2010-03-25,20.17,20.27,19.62,19.62,11.98,10167400
2010-03-26,19.21,19.36,18.8,18.93,11.56,21547800
2010-03-29,19.12,19.38,18.83,18.9,11.54,10719000
2010-03-30,18.83,18.93,18.13,18.17,11.1,25804100
2010-03-31,17.97,18.61,17.88,18.26,11.15,12664100
2010-04-01,18.52,18.6,17.88,18.11,11.06,11090900
2010-04-05,18.32,18.6,18.18,18.48,11.28,14810100
2010-04-06,18.41,19.23,18.3,19.06,11.64,15020600
2010-04-07,18.84,19.0,18.44,18.85,11.51,15168200
2010-04-08,18.84,18.87,18.39,18.68,11.41,9454200
2010-04-09,18.83,19.17,18.69,19.14,11.69,7965900
2010-04-12,19.1,19.45,19.03,19.08,11.65,10932500
2010-04-13,18.88,19.14,18.32,18.38,11.22,21400400
2010-04-14,18.6,19.58,18.58,19.27,11.77,25927400
2010-04-15,19.11,19.91,19.08,19.69,12.02,13541700
