Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,14.27,14.45,14.17,14.19,12.9,2777400
2010-01-04,14.45,14.9,14.42,14.82,13.47,4911500
2010-01-05,14.89,15.07,14.7,15.05,13.68,5108700
2010-01-06,14.96,15.19,14.86,14.91,13.55,3638100
2010-01-07,14.82,14.93,14.53,14.74,13.4,2857300
2010-01-08,14.93,15.08,14.75,15.0,13.64,3073600
2010-01-11,15.01,15.16,14.9,15.01,13.65,2700400
2010-01-12,14.81,14.86,14.54,14.71,13.37,3067800
2010-01-13,14.73,15.09,14.5,15.05,13.68,4605800
2010-01-14,15.21,15.62,15.08,15.33,13.94,5782600
2010-01-15,15.24,15.42,14.73,14.78,13.44,5321400
2010-01-19,15.04,15.1,14.79,14.86,13.51,4660900
2010-01-20,14.95,14.99,14.53,14.71,13.37,6881200
2010-01-21,14.54,14.88,13.95,14.5,13.18,13939800
2010-01-22,14.39,14.54,13.74,13.81,12.55,10509100
2010-01-25,13.89,14.11,13.75,13.95,12.68,3026600
2010-01-26,13.88,13.88,13.27,13.37,12.15,7473900
2010-01-27,13.34,13.68,13.2,13.56,12.33,3802600
2010-01-28,13.78,13.82,12.88,13.24,12.04,7522300
2010-01-29,13.42,13.57,12.64,12.69,11.54,6065900
2010-02-01,12.67,13.35,12.65,13.24,12.04,5537600
2010-02-02,13.5,13.86,13.41,13.68,12.44,7371300
2010-02-03,13.68,13.99,13.58,13.77,12.52,4170800
2010-02-04,13.63,13.66,13.23,13.39,12.17,7246700
2010-02-05,13.38,13.63,13.1,13.48,12.25,6419200
2010-02-08,13.61,13.78,13.33,13.51,12.28,3650700
2010-02-09,13.7,13.89,13.53,13.76,12.51,5078800
2010-02-10,13.75,14.03,13.69,13.75,12.5,5137100
2010-02-11,13.73,13.98,13.5,13.89,12.63,3951800
2010-02-12,13.64,14.08,13.25,13.87,12.61,4896000
2010-02-16,14.1,14.13,13.73,14.12,12.84,3488000
2010-02-17,14.19,14.32,14.1,14.32,13.02,3679200
2010-02-18,14.19,14.64,14.14,14.63,13.3,3336800
2010-02-19,14.61,14.73,14.38,14.58,13.25,3251200
2010-02-22,15.0,15.4,14.94,15.29,13.9,8725200
2010-02-23,15.22,15.26,14.6,14.75,13.41,5876300
2010-02-24,14.92,15.21,14.84,15.2,13.82,7070200
2010-02-25,14.71,15.02,14.45,14.97,13.61,7126300
2010-02-26,15.11,15.3,14.87,15.27,13.88,5891800
2010-03-01,15.25,15.75,15.0,15.67,14.25,9255200
2010-03-02,15.85,16.04,15.69,15.76,14.33,6330300
2010-03-03,15.84,16.15,15.52,15.54,14.13,4820000
2010-03-04,15.65,15.75,15.35,15.52,14.11,2771700
2010-03-05,15.59,15.83,15.45,15.77,14.34,3047900
2010-03-08,15.86,15.99,15.7,15.92,14.47,3434100
2010-03-09,15.91,16.06,15.73,15.8,14.36,4293600
2010-03-10,15.81,15.94,15.63,15.75,14.32,4337600
2010-03-11,15.67,15.69,15.28,15.63,14.21,4857500
2010-03-12,15.65,15.65,15.28,15.36,13.96,3314200
2010-03-15,15.36,15.41,15.15,15.36,13.96,4262300
2010-03-16,15.33,15.77,15.32,15.67,14.25,3857800
2010-03-17,15.78,16.28,15.75,16.09,14.63,4792800
2010-03-18,16.18,16.18,15.75,15.82,14.38,2665300
2010-03-19,15.83,15.83,15.24,15.32,13.93,4935100
2010-03-22,15.18,15.74,15.15,15.69,14.26,4799400
2010-03-23,15.81,16.55,15.79,16.41,14.92,6734000
2010-03-24,16.32,16.4,16.01,16.05,14.59,5484000
2010-03-25,16.3,16.6,16.22,16.32,14.84,5555200
2010-03-26,16.4,16.55,15.82,15.96,14.51,5554900
2010-03-29,16.01,16.17,15.66,15.78,14.35,3855800
2010-03-30,15.85,16.07,15.73,16.03,14.57,3337600
2010-03-31,15.9,16.03,15.59,15.6,14.18,4687600
2010-04-01,15.7,15.95,15.34,15.49,14.08,4367200
2010-04-05,15.63,16.0,15.62,15.98,14.53,2694900
2010-04-06,15.89,15.99,15.75,15.9,14.45,2079100
2010-04-07,15.85,15.92,15.6,15.74,14.31,5358000
