Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,50.7,50.96,50.37,50.37,43.52,1115200
2010-01-04,51.28,52.27,50.83,52.16,45.07,3982800
2010-01-05,52.33,52.69,51.93,52.65,45.49,2238300
2010-01-06,52.66,53.53,52.5,53.46,46.19,3250400
2010-01-07,53.35,55.36,53.35,55.25,47.74,4095500
2010-01-08,55.68,56.12,55.21,55.42,47.88,3535500
2010-01-11,55.76,55.85,54.98,55.25,47.74,2164800
2010-01-12,54.7,55.38,54.38,55.21,47.7,2884700
2010-01-13,55.15,55.64,55.02,55.47,47.93,1770600
2010-01-14,55.53,56.12,55.41,56.02,48.4,1627200
2010-01-15,55.98,56.04,55.43,56.03,48.41,2935500
2010-01-19,56.23,57.39,56.23,56.96,49.21,2577700
2010-01-20,56.82,57.37,55.59,55.93,48.32,2593100
2010-01-21,55.84,55.97,54.5,54.73,47.29,2411000
2010-01-22,54.45,55.19,53.98,54.04,46.69,2588900
2010-01-25,54.27,54.88,53.81,54.44,47.04,2314000
2010-01-26,54.3,55.04,53.9,54.56,47.14,2183300
2010-01-27,53.61,53.97,51.73,52.91,45.71,4063900
2010-01-28,52.96,53.2,51.77,52.19,45.09,3360100
2010-01-29,52.43,52.57,51.6,51.92,44.86,3632400
2010-02-01,52.22,52.22,51.6,52.2,45.1,1323800
2010-02-02,52.34,53.29,52.06,53.15,45.92,2113600
2010-02-03,53.02,53.02,52.42,52.54,45.39,1353700
2010-02-04,52.15,52.19,51.07,51.09,44.14,4333900
2010-02-05,50.99,51.23,49.85,51.06,44.12,3187300
2010-02-08,51.14,51.98,50.93,51.43,44.43,2219000
2010-02-09,51.96,52.45,51.53,51.91,44.85,1910200
2010-02-10,51.93,52.1,51.29,51.62,44.6,1461600
2010-02-11,51.42,52.39,51.15,52.17,45.07,1778500
2010-02-12,51.66,52.26,51.37,52.06,44.98,1657600
2010-02-16,52.25,52.81,52.06,52.8,45.62,1362300
2010-02-17,53.0,53.22,52.8,53.07,45.85,1117900
2010-02-18,53.0,53.34,52.8,53.24,46.0,1074800
2010-02-19,52.97,53.43,52.81,53.16,45.93,1227100
2010-02-22,53.36,53.45,52.96,53.09,45.87,1255300
2010-02-23,52.91,53.07,52.45,52.62,45.46,1249300
2010-02-24,52.93,52.95,52.47,52.89,45.7,1094700
2010-02-25,52.07,52.85,51.84,52.84,45.65,1332700
2010-02-26,52.98,53.43,52.75,53.1,45.88,1213900
2010-03-01,53.32,54.08,53.29,53.82,46.5,1031000
2010-03-02,53.94,54.77,53.92,54.46,47.05,1092100
2010-03-03,54.56,54.78,54.06,54.11,46.75,1447800
2010-03-04,54.01,54.19,53.79,54.05,46.7,1256500
2010-03-05,54.23,55.04,54.21,55.04,47.55,2263400
2010-03-08,55.1,55.24,54.95,55.05,47.56,1357300
2010-03-09,54.93,55.07,54.78,55.0,47.52,1329800
2010-03-10,54.94,55.4,54.69,55.29,47.77,1566300
2010-03-11,55.2,55.79,54.78,55.73,48.15,2422700
2010-03-12,55.75,55.75,54.47,55.23,47.72,2085600
2010-03-15,55.36,55.47,54.98,55.42,47.88,1033500
2010-03-16,55.55,55.55,55.06,55.43,47.89,1059200
2010-03-17,55.44,56.27,55.33,56.27,48.62,2233000
2010-03-18,56.07,56.67,56.02,56.66,48.95,1597100
2010-03-19,56.64,57.09,56.21,56.64,48.94,1804100
2010-03-22,56.21,57.25,56.21,56.85,49.12,1847500
2010-03-23,56.87,57.01,56.21,57.0,49.25,1365300
2010-03-24,57.89,58.24,57.38,57.96,50.08,2681700
2010-03-25,58.31,58.49,57.68,57.68,49.83,1713400
2010-03-26,57.67,57.68,56.66,56.71,49.12,1950700
2010-03-29,56.83,57.27,56.76,57.18,49.53,1123600
2010-03-30,57.33,57.62,57.05,57.51,49.82,1088000
2010-03-31,57.24,57.6,56.82,57.22,49.57,1251000
2010-04-01,57.59,57.74,57.31,57.65,49.94,859200
2010-04-05,57.74,58.2,57.51,57.85,50.11,942200
2010-04-06,57.79,57.9,57.5,57.78,50.05,875400
2010-04-07,57.81,57.93,56.9,57.17,49.52,1416900
2010-04-08,57.19,57.2,56.63,57.1,49.46,1087600
2010-04-09,57.01,57.64,57.01,57.64,49.93,618800
2010-04-12,57.64,57.95,57.32,57.64,49.93,1068500
2010-04-13,57.13,57.56,56.87,57.18,49.53,1950800
2010-04-14,57.21,57.83,56.87,57.71,49.99,1953300
2010-04-15,58.0,58.37,57.51,58.09,50.32,1513400
2010-04-16,58.05,58.25,56.84,57.24,49.58,1842500
2010-04-19,57.03,57.51,57.03,57.47,49.78,1627800
2010-04-20,57.71,58.72,57.55,58.45,50.63,2116500
2010-04-21,57.92,58.44,57.35,57.93,50.18,1997600
2010-04-22,57.37,57.82,56.76,57.72,50.0,1896300
2010-04-23,57.76,59.01,57.15,58.89,51.01,3247900
2010-04-26,59.13,59.72,58.71,58.81,50.94,2269200
2010-04-27,58.73,58.93,57.45,57.54,49.84,2400400
2010-04-28,57.52,58.35,57.31,58.08,50.31,1907600
2010-04-29,58.36,58.98,58.33,58.6,50.76,1302400
2010-04-30,58.85,58.93,57.4,57.44,49.76,2093600
2010-05-03,57.6,58.37,57.22,58.12,50.35,2187900
2010-05-04,58.68,58.78,56.92,57.45,49.77,3484700
2010-05-05,56.75,57.41,56.75,57.22,49.57,2073000
2010-05-06,56.91,57.28,53.85,56.25,48.73,4144300
2010-05-07,56.12,56.12,53.74,54.12,46.88,4881200
2010-05-10,56.42,56.87,55.56,56.86,49.25,2755400
2010-05-11,56.3,57.18,56.09,56.75,49.16,1849300
2010-05-12,56.96,57.22,56.45,57.22,49.57,1166700
2010-05-13,57.01,57.99,57.01,57.47,49.78,1787000
2010-05-14,57.71,57.71,55.65,56.46,48.91,3243900
2010-05-17,56.39,56.89,55.74,56.56,48.99,2337500
2010-05-18,57.2,57.27,55.87,55.91,48.43,1241100
2010-05-19,55.66,56.38,55.04,55.72,48.27,2236200
2010-05-20,55.0,55.0,53.31,53.88,46.67,4533600
2010-05-21,53.23,53.9,52.18,52.7,45.65,5263400
2010-05-24,52.58,53.73,52.3,53.18,46.07,2787700
2010-05-25,52.02,52.62,51.22,52.59,45.56,2327300
2010-05-26,53.04,53.37,52.15,52.19,45.21,2173800
2010-05-27,52.79,53.53,52.53,53.47,46.32,1372900
2010-05-28,53.34,53.73,52.94,53.03,45.94,1827000
2010-06-01,52.6,53.34,52.34,52.42,45.41,1737300
2010-06-02,52.54,53.71,52.19,53.71,46.53,1833900
2010-06-03,53.91,54.35,53.62,54.03,46.8,1760700
2010-06-04,53.39,53.39,51.8,51.97,45.02,2390700
2010-06-07,51.98,52.17,50.58,50.62,43.85,3053600
2010-06-08,50.71,50.94,49.91,50.56,43.8,2642000
2010-06-09,50.85,51.0,49.24,49.48,42.86,4328200
2010-06-10,50.14,50.25,48.76,49.36,42.76,4722700
2010-06-11,49.01,50.6,49.0,50.59,43.82,4198800
2010-06-14,50.75,51.27,50.44,50.45,43.7,2018900
2010-06-15,50.83,51.72,50.68,51.72,44.8,2056200
2010-06-16,51.31,52.38,51.27,52.23,45.24,2039600
2010-06-17,52.22,52.23,51.56,52.04,45.08,1749600
2010-06-18,51.85,52.1,51.59,51.82,44.89,2019800
2010-06-21,52.24,52.47,51.25,51.58,44.68,1814100
2010-06-22,51.73,52.1,50.93,50.94,44.13,1879700
2010-06-23,51.23,51.43,50.17,51.14,44.3,2388800
2010-06-24,51.07,51.16,50.03,50.2,43.49,2361300
2010-06-25,50.26,50.51,49.75,50.1,43.4,3624600
2010-06-28,49.8,51.44,49.62,51.04,44.35,2396700
2010-06-29,50.51,50.77,49.73,50.16,43.58,2444400
2010-06-30,49.99,50.74,49.74,50.06,43.49,1995800
2010-07-01,49.8,49.89,48.61,49.76,43.23,2948200
2010-07-02,49.84,50.23,49.42,49.88,43.34,1897000
2010-07-06,50.2,50.87,49.91,50.42,43.81,1592000
2010-07-07,50.54,52.27,50.5,52.25,45.4,1730000
2010-07-08,52.62,52.67,51.72,52.48,45.6,2674700
2010-07-09,52.42,52.6,52.09,52.38,45.51,962700
2010-07-12,52.27,52.41,51.79,52.14,45.3,998200
2010-07-13,52.43,53.25,52.38,53.12,46.15,1171400
2010-07-14,53.01,53.29,52.71,53.05,46.09,1532700
2010-07-15,53.0,53.1,52.08,52.56,45.67,1598900
2010-07-16,52.38,52.56,51.03,51.2,44.48,1805800
2010-07-19,51.28,51.75,50.8,51.53,44.77,1573700
2010-07-20,50.58,51.38,49.23,51.29,44.56,3213900
2010-07-21,49.18,49.75,46.58,46.75,40.62,8511500
2010-07-22,47.15,47.41,46.37,47.13,40.95,5039000
2010-07-23,47.09,48.0,46.91,47.83,41.56,3361900
2010-07-26,48.02,48.02,46.98,47.16,40.97,3499000
2010-07-27,47.36,47.67,47.24,47.49,41.26,2979800
2010-07-28,47.34,47.53,46.71,46.85,40.71,2347000
2010-07-29,47.06,47.4,45.85,46.15,40.1,2498600
2010-07-30,45.8,46.72,45.52,46.57,40.46,1841200
2010-08-02,47.06,47.9,46.91,47.59,41.35,2291000
2010-08-03,47.04,48.24,47.04,47.76,41.5,1937000
2010-08-04,47.83,48.26,47.65,47.92,41.63,1625200
2010-08-05,47.77,48.06,47.37,48.06,41.76,3398400
2010-08-06,47.46,47.97,47.12,47.97,41.68,1741300
2010-08-09,48.04,48.25,47.63,48.07,41.77,1190100
2010-08-10,47.74,47.85,47.34,47.63,41.38,1558600
2010-08-11,47.1,47.1,46.4,46.62,40.51,2664900
2010-08-12,45.96,46.84,45.96,46.67,40.55,1862700
2010-08-13,46.75,46.85,46.38,46.57,40.46,1235800
2010-08-16,46.33,46.63,46.04,46.49,40.39,1242300
2010-08-17,46.86,47.75,46.27,46.69,40.57,3666500
2010-08-18,46.57,47.33,45.9,46.86,40.71,1550600
2010-08-19,46.58,46.64,45.64,45.86,39.85,1953200
2010-08-20,45.55,45.94,45.16,45.81,39.8,2009300
2010-08-23,46.01,46.7,46.01,46.14,40.09,2144600
2010-08-24,45.56,45.56,43.13,43.2,37.53,5204900
2010-08-25,42.85,43.49,42.74,43.12,37.46,3817200
2010-08-26,43.16,43.27,42.86,42.88,37.26,2320500
